date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002632,6.9000,7.0000,6.8700,6.9000,6.9300,1676281,11601393.7600
2019-01-03,sz.002632,6.9000,6.9800,6.8100,6.9000,6.9000,1210500,8375949.0000
2019-01-04,sz.002632,6.8500,7.2000,6.8000,7.0600,6.9000,3225067,22562403.3700
2019-01-07,sz.002632,7.0800,7.1500,7.0200,7.1100,7.0600,2995757,21233524.2700
2019-01-08,sz.002632,7.1100,7.1700,7.0800,7.1300,7.1100,1477700,10530274.0000
2019-01-09,sz.002632,7.1300,7.3300,7.0800,7.1900,7.1300,3832833,27759283.1700
2019-01-10,sz.002632,7.1900,7.2800,7.1100,7.1400,7.1900,2258028,16161347.0600
2019-01-11,sz.002632,7.1700,7.2500,7.1000,7.2000,7.1400,2135836,15321812.4600
2019-01-14,sz.002632,7.2100,7.2500,7.1100,7.1400,7.2000,2176283,15602336.4300
2019-01-15,sz.002632,7.1800,7.2200,7.1100,7.2000,7.1400,2881619,20659436.1300
2019-01-16,sz.002632,7.2100,7.2100,7.0800,7.1200,7.2000,2609365,18610562.1600
2019-01-17,sz.002632,7.1000,7.1300,6.9300,6.9300,7.1200,2358205,16542967.0300
2019-01-18,sz.002632,6.9800,7.0600,6.9300,7.0200,6.9300,1828972,12793427.4000
2019-01-21,sz.002632,7.0000,7.0900,6.9600,7.0900,7.0200,2638925,18604568.5000
2019-01-22,sz.002632,7.0600,7.1000,6.9000,6.9300,7.0900,2108943,14706665.1800
2019-01-23,sz.002632,6.9600,7.0400,6.8700,7.0400,6.9300,1871600,13074024.0000
2019-01-24,sz.002632,7.0500,7.1100,6.9300,7.0600,7.0400,2677422,18807859.6200
2019-01-25,sz.002632,7.0500,7.3300,6.9400,7.1400,7.0600,4796313,34237230.8700
2019-01-28,sz.002632,7.1800,7.2000,7.0500,7.1700,7.1400,2815816,19987499.1900
2019-01-29,sz.002632,7.1400,7.1400,6.8500,6.9800,7.1700,2522014,17637815.5800
2019-01-30,sz.002632,7.0000,7.0600,6.9000,6.9500,6.9800,1701776,11891288.2300
