date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300457,27.8000,28.0000,27.1900,27.4400,27.8500,1656126,45484802.1800
2019-01-03,sz.300457,27.4500,27.6800,26.9800,27.3400,27.4400,2125196,58124996.8600
2019-01-04,sz.300457,27.2000,27.3400,26.5500,26.9400,27.3400,2534125,68440081.0000
2019-01-07,sz.300457,27.0000,27.1000,26.3000,26.9500,26.9400,2242596,59825250.9600
2019-01-08,sz.300457,27.1000,27.9500,26.7600,27.8800,26.9500,3219763,88224504.3700
2019-01-09,sz.300457,27.8500,27.8500,26.6900,27.2900,27.8800,2858067,77452388.5000
2019-01-10,sz.300457,27.2000,27.5400,26.7900,27.2600,27.2900,1446140,39307145.0500
2019-01-11,sz.300457,27.2200,27.4700,26.8600,27.3600,27.2600,1900000,51718333.0000
2019-01-14,sz.300457,27.3700,27.7700,27.2100,27.7300,27.3600,4001636,110149913.1000
2019-01-15,sz.300457,27.8800,28.5900,27.6000,28.4800,27.7300,7499561,210861415.2600
2019-01-16,sz.300457,28.6600,29.0200,28.4900,28.8600,28.4800,4333071,124913755.0100
2019-01-17,sz.300457,28.8600,28.9600,28.3300,28.6400,28.8600,4357098,124569419.0700
2019-01-18,sz.300457,28.6400,29.3900,28.1500,29.1700,28.6400,4472712,128694276.9000
2019-01-21,sz.300457,29.2100,29.6000,28.6600,28.9000,29.1700,2988150,86636745.5000
2019-01-22,sz.300457,28.8800,29.3800,28.5200,28.7200,28.9000,4801319,138940583.6100
2019-01-23,sz.300457,28.7600,28.9000,28.1000,28.7400,28.7200,4368183,124374256.0900
2019-01-24,sz.300457,28.7300,28.9700,27.9500,28.2800,28.7400,4055060,114934489.7400
2019-01-25,sz.300457,28.1200,29.1000,27.6500,28.8500,28.2800,7831064,222257399.3300
2019-01-28,sz.300457,28.8000,28.8400,27.1800,27.8900,28.8500,5923431,166455093.7800
2019-01-29,sz.300457,27.7000,27.8800,26.7400,27.2200,27.8900,3968915,107547470.3800
2019-01-30,sz.300457,27.6500,27.6500,26.6600,26.7500,27.2200,2232650,60110763.5000
2019-01-31,sz.300457,26.8000,26.9500,26.3600,26.3600,26.7500,2562794,68181521.7100
2019-02-01,sz.300457,26.3600,27.1300,25.8900,26.9500,26.3600,4696541,124113407.4700
2019-02-11,sz.300457,26.9600,28.3000,26.6700,28.0800,26.9500,3593380,99761557.9500
2019-02-12,sz.300457,28.1500,28.5500,27.6700,28.0600,28.0800,3360938,94191498.9000
2019-02-13,sz.300457,27.9400,28.4600,27.9000,28.3700,28.0600,4115234,115786280.6900
2019-02-14,sz.300457,28.4100,28.8900,28.2200,28.6700,28.3700,6617668,188730386.8300
2019-02-15,sz.300457,28.9500,29.1400,27.9800,28.3500,28.6700,6252474,177741332.5200
2019-02-18,sz.300457,28.2800,28.9000,28.0800,28.8900,28.3500,6430012,183498984.8300
2019-02-19,sz.300457,28.8800,28.9700,27.1900,27.8000,28.8900,7637338,214196024.7700
2019-02-20,sz.300457,27.7900,28.0200,26.8200,27.1800,27.8000,5003797,136647580.0500
2019-02-21,sz.300457,27.1100,27.7300,26.8300,27.0600,27.1800,2510845,68400487.8500
2019-02-22,sz.300457,27.0600,27.5100,26.8800,27.4500,27.0600,3419031,93352434.2500
2019-02-25,sz.300457,27.7000,30.2000,27.7000,30.2000,27.4500,13635548,402794486.8500
2019-02-26,sz.300457,30.5700,31.7800,29.3800,29.9700,30.2000,14021072,424618586.7400
2019-02-27,sz.300457,29.7400,29.7400,27.7200,28.0400,29.9700,12378800,355222091.2600
2019-02-28,sz.300457,27.7800,28.1700,27.0200,27.5200,28.0400,7748307,213168733.3700
2019-03-01,sz.300457,27.6000,28.5600,27.4700,28.0300,27.5200,7657591,214455369.9700
2019-03-04,sz.300457,28.2800,29.1900,28.2500,28.8000,28.0300,10319723,297516254.0100
2019-03-05,sz.300457,28.7800,29.4400,28.2900,29.0700,28.8000,9720021,279639639.6100
2019-03-06,sz.300457,29.3300,29.3900,28.6900,29.1900,29.0700,9043836,262576868.4300
2019-03-07,sz.300457,29.1900,29.1900,28.3000,28.4200,29.1900,7748839,221522706.7500
2019-03-08,sz.300457,27.8400,27.9400,27.0800,27.0800,28.4200,8034587,220922127.9900
2019-03-11,sz.300457,27.1400,28.2900,27.0800,28.1700,27.0800,7940313,221401658.8100
2019-03-12,sz.300457,28.4500,29.9700,28.4500,29.5000,28.1700,17565047,512927455.2500
2019-03-13,sz.300457,29.4200,29.7800,28.7000,29.1300,29.5000,8827802,258363243.4100
2019-03-14,sz.300457,29.1300,29.5500,27.7200,28.0600,29.1300,7701005,218956596.4900
2019-03-15,sz.300457,28.2100,28.4500,27.4700,27.7400,28.0600,6135664,170950841.3900
2019-03-18,sz.300457,27.9900,28.2400,27.6000,28.2400,27.7400,6413430,179479860.1500
2019-03-19,sz.300457,28.4300,28.4300,27.1700,27.5200,28.2400,11847952,326385261.3300
2019-03-20,sz.300457,27.6000,27.6000,26.2400,26.8000,27.5200,11234808,301210827.0400
2019-03-21,sz.300457,26.8000,26.9500,26.5100,26.8000,26.8000,6292893,168223951.1000
2019-03-22,sz.300457,26.9500,27.1800,26.2100,26.4900,26.8000,6624593,175938630.0100
2019-03-25,sz.300457,26.2800,26.8600,25.7800,26.4900,26.4900,7511116,198018248.0600
2019-03-26,sz.300457,26.5100,26.7900,25.4000,25.4000,26.4900,7953884,205588119.7300
2019-03-27,sz.300457,25.4800,26.0000,24.5200,24.8200,25.4000,9032888,226368772.7300
2019-03-28,sz.300457,24.4000,24.9900,24.3900,24.4000,24.8200,5533506,136094711.8500
2019-03-29,sz.300457,24.6000,24.8000,24.0900,24.6500,24.4000,7362910,180418288.3100
2019-04-01,sz.300457,24.7800,26.1200,24.6800,25.9400,24.6500,10102324,257826674.6300
2019-04-02,sz.300457,25.9900,26.1700,25.6800,25.9300,25.9400,7977133,206719651.4600
2019-04-03,sz.300457,25.8900,26.7200,25.7000,26.3900,25.9300,10053357,265363895.3400
2019-04-04,sz.300457,26.4000,26.5300,25.8200,26.1700,26.3900,8232693,215352269.6400
2019-04-08,sz.300457,26.2000,26.3700,25.6400,25.8200,26.1700,9305730,242832234.9900
2019-04-09,sz.300457,25.7100,25.9000,25.5700,25.8100,25.8200,6880931,177306955.3800
2019-04-10,sz.300457,25.6700,26.2200,25.6600,26.1100,25.8100,7907317,205461478.5900
2019-04-11,sz.300457,26.1200,26.2800,25.7200,25.9100,26.1100,6178575,160877568.1700
2019-04-12,sz.300457,25.7000,26.1800,25.5600,25.6000,25.9100,5470024,141050871.2400
2019-04-15,sz.300457,25.6000,26.6000,25.5700,26.0300,25.6000,11771121,305063451.1800
2019-04-16,sz.300457,25.6000,26.0800,25.5600,25.9000,26.0300,7060691,182233219.8100
2019-04-17,sz.300457,25.7600,26.6700,25.6600,26.2800,25.9000,8321725,219105454.4700
2019-04-18,sz.300457,26.3400,26.4500,25.8400,25.9100,26.2800,5271848,137072304.2900
2019-04-19,sz.300457,25.9500,26.3300,25.6800,25.9300,25.9100,5263449,136221926.6100
2019-04-22,sz.300457,25.9600,26.3200,25.7500,25.8000,25.9300,5961267,154523927.4700
2019-04-23,sz.300457,25.8000,25.8000,24.5300,24.6800,25.8000,7249233,181381668.0900
2019-04-24,sz.300457,24.6200,25.3700,24.2400,25.2900,24.6800,6068856,151096974.4900
2019-04-25,sz.300457,25.2600,25.4900,25.0100,25.3000,25.2900,6175021,156019316.5700
2019-04-26,sz.300457,25.0900,25.4700,24.5100,24.8400,25.3000,3900600,96875092.0000
