date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300648,16.5000,16.8400,16.4400,16.7300,16.4300,2172100,36279932.0000
2019-01-03,sz.300648,16.5200,16.7600,15.8000,16.0000,16.7300,2351200,38113668.0000
2019-01-04,sz.300648,15.7000,16.5800,15.3000,16.3000,16.0000,2174013,35184946.9100
2019-01-07,sz.300648,16.6000,17.2500,16.4000,17.2200,16.3000,3387542,57124169.9900
2019-01-08,sz.300648,17.0000,17.4300,16.9200,17.4000,17.2200,2722150,46809631.0700
2019-01-09,sz.300648,17.2500,17.3700,16.9100,17.1100,17.4000,2001294,34369831.0200
2019-01-10,sz.300648,17.0700,17.9500,17.0700,17.5900,17.1100,2679844,47142661.0000
2019-01-11,sz.300648,17.5000,18.0500,17.4000,17.9300,17.5900,2213161,39299609.3900
2019-01-14,sz.300648,17.9300,18.4800,17.7400,18.4100,17.9300,4009690,72821379.9500
2019-01-15,sz.300648,18.4900,18.6000,18.0700,18.3700,18.4100,2761640,50620417.4000
2019-01-16,sz.300648,18.2500,18.4100,17.8900,18.0100,18.3700,1657947,29995939.0500
2019-01-17,sz.300648,18.0000,18.3000,17.6800,18.3000,18.0100,1952594,35326821.5800
2019-01-18,sz.300648,20.1300,20.1300,19.0000,19.4800,18.3000,8146220,161114032.6000
2019-01-21,sz.300648,19.5100,19.7500,19.0000,19.5300,19.4800,5215362,100991239.8400
2019-01-22,sz.300648,19.6000,19.6000,17.6000,17.7100,19.5300,6211420,114174982.4000
2019-01-23,sz.300648,17.5400,19.4800,17.5400,19.4800,17.7100,5848662,110494822.9800
2019-01-24,sz.300648,19.6800,19.8700,18.5500,18.8000,19.4800,8678934,166495036.9100
2019-01-25,sz.300648,18.8200,19.1000,18.0200,18.0900,18.8000,6611153,122276214.3100
2019-01-28,sz.300648,18.2700,18.2900,16.7200,16.9000,18.0900,5814598,100705389.7200
2019-01-29,sz.300648,16.7900,16.8000,15.6600,15.8600,16.9000,4421121,71066618.1200
2019-01-30,sz.300648,15.2400,16.1800,15.2400,15.6500,15.8600,2903720,46154679.6000
2019-01-31,sz.300648,15.6600,15.8500,14.5300,14.5600,15.6500,3506139,52774499.0600
2019-02-01,sz.300648,14.6900,15.1500,14.6700,14.9500,14.5600,2264144,33717414.7200
2019-02-11,sz.300648,15.0800,15.5200,15.0800,15.4100,14.9500,2397150,36802050.5000
2019-02-12,sz.300648,15.6500,15.8000,15.3000,15.6100,15.4100,2825572,44023392.1000
2019-02-13,sz.300648,15.5900,16.0800,15.5100,16.0000,15.6100,2903202,45996641.9200
2019-02-14,sz.300648,16.9900,16.9900,16.3800,16.5500,16.0000,4845013,80361778.6300
2019-02-15,sz.300648,16.3500,16.6600,16.2300,16.3100,16.5500,2454900,40253635.0200
2019-02-18,sz.300648,16.2500,17.3300,16.2500,17.0100,16.3100,4093673,69261968.8000
2019-02-19,sz.300648,16.9800,17.1600,16.5600,16.8800,17.0100,3277924,55319786.7000
2019-02-20,sz.300648,16.8000,18.0700,16.6900,17.8500,16.8800,6568668,115042812.1600
2019-02-21,sz.300648,17.6500,18.1000,17.3500,17.5600,17.8500,4554479,80369657.9000
2019-02-22,sz.300648,17.4000,17.8400,17.2100,17.7300,17.5600,3397720,59855205.4800
2019-02-25,sz.300648,17.9300,19.2800,17.8700,19.2700,17.7300,5051917,93144372.2900
2019-02-26,sz.300648,19.0000,19.8800,18.5100,18.9300,19.2700,5658210,108495328.1400
2019-02-27,sz.300648,18.9300,19.4900,18.2300,18.5300,18.9300,3879114,73364625.7200
2019-02-28,sz.300648,18.7000,19.1300,18.3500,18.6000,18.5300,2531985,47413903.7500
2019-03-01,sz.300648,18.6700,18.9500,18.3000,18.6900,18.6000,1919469,35783989.8600
2019-03-04,sz.300648,18.6500,19.4700,18.6500,19.2000,18.6900,4715467,90124789.0500
2019-03-05,sz.300648,19.1600,19.4500,18.9000,19.3300,19.2000,3237104,62160259.1600
2019-03-06,sz.300648,20.9000,20.9000,19.4000,19.8100,19.3300,4667900,93118005.7000
2019-03-07,sz.300648,19.7600,20.2600,19.5000,20.0000,19.8100,4267188,85302765.0000
2019-03-08,sz.300648,19.5100,19.6800,18.3800,18.5600,20.0000,4944212,94605148.4000
2019-03-11,sz.300648,18.7600,20.4200,18.7600,20.4200,18.5600,4324502,86853137.6400
2019-03-12,sz.300648,22.0000,22.4600,21.0500,22.4600,20.4200,11371526,248779116.1300
2019-03-13,sz.300648,22.7000,22.7000,21.0500,21.4300,22.4600,5764224,126237149.4800
2019-03-14,sz.300648,21.2200,23.5700,21.2200,23.5700,21.4300,11888451,276257760.8200
2019-03-15,sz.300648,23.3400,23.6500,22.5600,23.4100,23.5700,7700394,177579664.8100
2019-03-18,sz.300648,23.3600,24.3600,22.2000,23.0000,23.4100,6266500,145007975.6400
2019-03-19,sz.300648,22.8800,22.8800,22.2100,22.4000,23.0000,3434574,77106382.4800
2019-03-20,sz.300648,22.4000,22.7900,21.0800,21.6900,22.4000,4134040,90697644.9700
2019-03-21,sz.300648,21.8000,22.4500,21.6900,22.0600,21.6900,3293783,72830959.1700
2019-03-22,sz.300648,21.9800,22.2000,21.0000,21.7000,22.0600,3335877,71782912.4200
2019-03-25,sz.300648,21.0900,22.0000,21.0200,21.2700,21.7000,3054408,65471353.8200
2019-03-26,sz.300648,21.7100,21.7600,20.4000,20.4500,21.2700,2762018,57986840.8000
2019-03-27,sz.300648,20.6500,21.0500,20.0100,20.5000,20.4500,4606482,94905734.7100
2019-03-28,sz.300648,20.9700,20.9700,20.0100,20.0400,20.5000,2900777,59074801.7600
2019-03-29,sz.300648,20.0000,20.6500,19.7000,20.4900,20.0400,4352100,88208539.9100
2019-04-01,sz.300648,20.4900,22.2200,20.4800,21.8500,20.4900,6603824,141533885.5200
2019-04-02,sz.300648,21.7200,22.5000,21.4100,21.9000,21.8500,4880913,107500975.7600
2019-04-03,sz.300648,21.4800,21.6600,21.0000,21.5700,21.9000,3540014,75545560.2400
2019-04-04,sz.300648,21.5800,22.5000,21.4000,21.8000,21.5700,4525588,98979282.5300
2019-04-08,sz.300648,21.8100,22.2500,21.0100,21.4000,21.8000,3664141,79437009.6800
2019-04-09,sz.300648,21.2100,21.9600,20.9800,21.9000,21.4000,3180940,68302943.0800
2019-04-10,sz.300648,21.7000,21.7800,21.0300,21.5200,21.9000,2387896,51100580.0000
2019-04-11,sz.300648,22.1000,22.5000,21.3000,21.6900,21.5200,3891623,85263336.5300
2019-04-12,sz.300648,21.2800,23.5800,21.2800,22.2900,21.6900,6477123,145649845.8800
2019-04-15,sz.300648,22.4000,22.5500,21.9000,22.2700,22.2900,5145946,114611159.9000
2019-04-16,sz.300648,21.9000,23.5500,21.5200,23.2000,22.2700,7098944,159295208.1400
2019-04-17,sz.300648,23.2000,25.1100,23.0100,23.3400,23.2000,9221549,218873359.9600
2019-04-18,sz.300648,23.7100,25.6700,23.1000,25.0700,23.3400,12886949,314850388.7700
2019-04-19,sz.300648,24.0700,24.4800,23.5300,24.0200,25.0700,7949100,190992273.6700
2019-04-22,sz.300648,23.9300,24.0600,22.8100,22.9200,24.0200,4823564,113016779.8400
2019-04-23,sz.300648,22.8100,22.8100,20.6300,20.6300,22.9200,7046663,150164786.3700
2019-04-24,sz.300648,20.4700,20.8900,19.9800,20.6500,20.6300,3985800,81463751.6800
2019-04-25,sz.300648,20.5600,20.5600,18.8800,19.1300,20.6500,4108968,81143358.6100
2019-04-26,sz.300648,19.0500,19.5200,18.8000,19.0300,19.1300,3269633,62880133.9100
2019-04-29,sz.300648,19.0500,19.2800,17.9200,18.0900,19.0300,3114168,57766131.5600
2019-04-30,sz.300648,18.1000,18.5500,18.1000,18.4500,18.0900,1466000,26936910.0000
2019-05-06,sz.300648,17.0000,18.1300,16.6100,16.6100,18.4500,3191235,54390468.0300
2019-05-07,sz.300648,16.9400,16.9400,16.2100,16.8000,16.6100,2734919,45593823.3400
2019-05-08,sz.300648,16.3200,16.8400,16.1500,16.4700,16.8000,2268200,37577223.0000
2019-05-09,sz.300648,16.4300,16.7500,16.1400,16.4000,16.4700,1755600,29038145.0000
2019-05-10,sz.300648,16.5000,17.4400,16.4500,17.2400,16.4000,3522407,59695557.2700
2019-05-13,sz.300648,17.0500,17.4000,16.9000,17.1200,17.2400,1886467,32214548.0800
2019-05-14,sz.300648,17.0100,17.2900,16.9700,17.0400,17.1200,1531700,26256510.0000
2019-05-15,sz.300648,17.0600,17.6800,17.0600,17.4200,17.0400,1921500,33426053.0000
2019-05-16,sz.300648,17.4100,17.8500,17.3200,17.7800,17.4200,1907220,33450220.0000
2019-05-17,sz.300648,17.7900,17.7900,16.4700,16.5700,17.7800,3027235,51305644.0000
2019-05-20,sz.300648,16.4000,16.8900,16.1600,16.3800,16.5700,2358667,38800113.1500
2019-05-21,sz.300648,16.3700,16.8000,16.2000,16.7300,16.3800,2752000,45560041.0000
2019-05-22,sz.300648,16.8500,16.8900,16.4200,16.5900,16.7300,2077500,34645701.0000
2019-05-23,sz.300648,16.5000,16.6800,16.0300,16.1100,16.5900,1976343,32390330.0000
2019-05-24,sz.300648,16.1900,16.6000,16.1200,16.5100,16.1100,1998903,32803863.6900
2019-05-27,sz.300648,16.5100,17.3500,16.2000,17.1000,16.5100,2591042,43617721.5000
2019-05-28,sz.300648,17.0800,17.2700,16.7100,17.0300,17.1000,2089258,35702167.6800
2019-05-29,sz.300648,16.9800,17.4800,16.9000,17.3600,17.0300,2233107,38447178.8800
2019-05-30,sz.300648,17.1200,17.3300,16.8000,17.1100,17.3600,1873651,31841420.0600
2019-05-31,sz.300648,17.1200,17.2500,16.6800,16.7300,17.1100,2128048,36018593.6800
2019-06-03,sz.300648,16.7500,16.9200,16.2600,16.4800,16.7300,1610079,26595427.5000
2019-06-04,sz.300648,16.3800,16.5200,16.1600,16.2400,16.4800,1281826,20920215.4000
2019-06-05,sz.300648,16.3800,16.4900,16.1100,16.1400,16.2400,1302794,21229884.2400
2019-06-06,sz.300648,16.0900,16.3300,15.8000,15.8200,16.1400,1376669,22150157.7100
2019-06-10,sz.300648,16.0500,16.2000,15.8300,16.0400,15.8200,953200,15252420.0000
2019-06-11,sz.300648,15.9900,16.5800,15.9500,16.5300,16.0400,1781191,29168880.0000
2019-06-12,sz.300648,16.5900,16.8400,16.5500,16.6200,16.5300,1777493,29661216.6700
2019-06-13,sz.300648,16.6100,17.3000,16.4500,17.1300,16.6200,2307563,39117896.5400
2019-06-14,sz.300648,17.0200,17.2100,16.5000,16.5500,17.1300,1767500,29655577.8800
2019-06-17,sz.300648,16.3300,16.7700,16.2200,16.3300,16.5500,1429739,23406589.2600
2019-06-18,sz.300648,16.2700,16.5900,16.2500,16.3600,16.3300,925168,15202124.6800
2019-06-19,sz.300648,16.6500,17.0000,16.6500,16.7500,16.3600,1937528,32619999.3200
