date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300173,4.5700,4.7500,4.5700,4.6300,4.5300,8335700,38895123.0000
2019-01-03,sz.300173,4.7200,5.0800,4.6600,4.8200,4.6300,16820800,82293141.0900
2019-01-04,sz.300173,4.7200,5.3000,4.6500,5.1400,4.8200,32835864,167626821.6900
2019-01-07,sz.300173,5.1000,5.2400,5.0500,5.1500,5.1400,25829365,132992362.3000
2019-01-08,sz.300173,5.1600,5.3900,5.1100,5.2000,5.1500,18641380,97107482.2000
2019-01-09,sz.300173,5.7200,5.7200,5.3100,5.3800,5.2000,43753161,243262225.0600
2019-01-10,sz.300173,5.3200,5.4500,5.0800,5.1200,5.3800,28550709,148267847.5100
2019-01-11,sz.300173,5.0800,5.2400,5.0600,5.1700,5.1200,16188830,83492519.6000
2019-01-14,sz.300173,5.2100,5.2400,5.0200,5.2400,5.1700,13510014,69275916.1000
2019-01-15,sz.300173,5.2000,5.7000,5.1300,5.5100,5.2400,35996145,195716914.4500
2019-01-16,sz.300173,5.4800,5.5400,5.3200,5.3700,5.5100,19273980,103760017.2200
2019-01-17,sz.300173,5.3200,5.3600,5.1800,5.2100,5.3700,12200865,64261767.6000
2019-01-18,sz.300173,5.2200,5.3300,5.2000,5.2300,5.2100,9408735,49448581.3500
2019-01-21,sz.300173,5.2200,5.3100,5.1400,5.2000,5.2300,8120735,42397223.2000
2019-01-22,sz.300173,5.2400,5.2400,5.0300,5.0600,5.2000,10674400,54633754.7000
2019-01-23,sz.300173,5.0700,5.1000,4.9300,5.0600,5.0600,10846500,54372852.0000
2019-01-24,sz.300173,5.1100,5.1100,4.9900,5.0100,5.0600,7923109,39924987.0000
2019-01-25,sz.300173,5.0200,5.0400,4.8300,4.8300,5.0100,9862109,48568048.1900
2019-01-28,sz.300173,4.8800,4.9600,4.8100,4.8500,4.8300,8334976,40778147.1600
2019-01-29,sz.300173,4.8700,4.8700,4.5400,4.7000,4.8500,9955300,46603994.4800
2019-01-30,sz.300173,4.7000,4.7600,4.5500,4.6200,4.7000,6047161,28245792.7100
2019-01-31,sz.300173,4.6900,4.6900,4.1600,4.1600,4.6200,13036300,56516546.0000
2019-02-01,sz.300173,4.0500,4.2300,4.0300,4.2100,4.1600,12610157,52126966.4100
2019-02-11,sz.300173,4.2300,4.4100,4.2100,4.4000,4.2100,8692400,37554575.0000
2019-02-12,sz.300173,4.4100,4.5700,4.3800,4.5000,4.4000,8670127,38893938.6900
2019-02-13,sz.300173,4.4800,4.8700,4.4800,4.7400,4.5000,17788995,83719002.4400
2019-02-14,sz.300173,4.7400,4.8200,4.6600,4.7700,4.7400,13644306,64720582.4900
2019-02-15,sz.300173,4.7700,5.1000,4.7700,4.8500,4.7700,19951603,98400121.5800
2019-02-18,sz.300173,4.9000,5.3400,4.9000,5.3400,4.8500,37253394,197124548.9600
2019-02-19,sz.300173,5.8700,5.8700,5.3800,5.5200,5.3400,72604668,412156162.9400
2019-02-20,sz.300173,5.3900,5.4000,5.1700,5.2900,5.5200,41901416,221928561.5200
2019-02-21,sz.300173,5.2700,5.4000,5.1600,5.1800,5.2900,33360509,175965399.2400
2019-02-22,sz.300173,5.1500,5.3800,5.1200,5.2800,5.1800,22876566,119675285.0500
2019-02-25,sz.300173,5.2900,5.6400,5.2600,5.6000,5.2800,37480805,203957231.8600
2019-02-26,sz.300173,5.5100,5.9800,5.3800,5.8000,5.6000,56474575,319376365.9000
2019-02-27,sz.300173,5.6600,5.7200,5.4000,5.4500,5.8000,36369849,202449363.4600
2019-02-28,sz.300173,5.3800,5.5200,5.3300,5.4200,5.4500,17980715,97380552.1100
2019-03-01,sz.300173,5.4600,5.5500,5.2300,5.4900,5.4200,20647099,111683994.2800
2019-03-04,sz.300173,5.5000,5.8000,5.4300,5.6300,5.4900,35761924,200522131.1400
2019-03-05,sz.300173,5.5800,5.9000,5.5800,5.8500,5.6300,44818633,257402760.1000
2019-03-06,sz.300173,5.8300,6.2400,5.8200,6.0900,5.8500,45281141,270832395.6100
2019-03-07,sz.300173,6.0300,6.4300,5.8500,6.2500,6.0900,56618885,347248720.3000
2019-03-08,sz.300173,6.0000,6.1100,5.6300,5.6400,6.2500,39008460,230968427.0300
2019-03-11,sz.300173,5.7500,5.9500,5.6700,5.9500,5.6400,29612899,172542173.2400
2019-03-12,sz.300173,5.9600,6.3800,5.9600,6.2900,5.9500,50205488,308479480.9200
