date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300681,35.0000,35.8800,34.6100,35.6200,34.5900,1423185,50227117.0800
2019-01-03,sz.300681,34.8800,36.5000,34.8800,36.0800,35.6200,1240550,44631433.4900
2019-01-04,sz.300681,35.7500,37.5400,35.7000,37.2300,36.0800,1664015,61323598.1300
2019-01-07,sz.300681,37.2300,37.4100,36.6000,37.3600,37.2300,1314773,48749984.8100
2019-01-08,sz.300681,37.0200,37.1800,36.6400,36.7400,37.3600,739315,27254168.0500
2019-01-09,sz.300681,36.8100,37.3700,36.1800,36.1800,36.7400,996171,36838372.1700
2019-01-10,sz.300681,36.1500,36.4300,35.1800,35.4900,36.1800,1015387,36413967.2300
2019-01-11,sz.300681,35.7000,36.4600,35.5500,36.2800,35.4900,732262,26368602.2700
2019-01-14,sz.300681,36.1000,36.5900,35.6500,35.8400,36.2800,634700,22875892.0000
2019-01-15,sz.300681,35.6200,35.9300,35.0700,35.6800,35.8400,774616,27494054.0000
2019-01-16,sz.300681,35.6800,36.2000,35.5500,35.7800,35.6800,796300,28501831.0000
2019-01-17,sz.300681,35.9000,35.9100,35.0100,35.0200,35.7800,712871,25291604.5200
2019-01-18,sz.300681,35.1000,35.4700,34.7600,35.3000,35.0200,616577,21684944.0400
2019-01-21,sz.300681,35.4000,35.6500,35.1000,35.2700,35.3000,696815,24626448.3000
2019-01-22,sz.300681,35.2400,36.4900,35.0800,36.0700,35.2700,1506387,53996965.0000
2019-01-23,sz.300681,35.8600,36.0500,35.3200,35.8200,36.0700,854948,30499861.6300
2019-01-24,sz.300681,35.9800,36.4900,35.9800,36.0600,35.8200,1150428,41664949.1600
2019-01-25,sz.300681,32.4500,33.2800,32.4500,32.4500,36.0600,3052542,99330415.7300
2019-01-28,sz.300681,32.1200,32.6300,31.0800,31.4300,32.4500,1512904,48150263.3800
2019-01-29,sz.300681,31.0500,31.4300,30.5000,30.9500,31.4300,831613,25729501.1900
2019-01-30,sz.300681,30.9000,31.1300,30.7000,30.7300,30.9500,335400,10379553.0000
2019-01-31,sz.300681,30.8300,30.9200,29.4000,29.5300,30.7300,800563,24078780.4300
2019-02-01,sz.300681,29.6800,30.2500,29.6000,30.1200,29.5300,389600,11689630.0000
2019-02-11,sz.300681,30.2500,30.8600,30.2500,30.8100,30.1200,376878,11555305.2400
2019-02-12,sz.300681,30.8100,31.5000,30.6200,31.4600,30.8100,555600,17319859.4400
2019-02-13,sz.300681,31.5600,32.1600,31.0800,31.9300,31.4600,673378,21317572.0000
2019-02-14,sz.300681,31.9300,32.0800,31.6600,31.7400,31.9300,402900,12807249.0000
2019-02-15,sz.300681,31.8400,32.2400,31.5200,31.8800,31.7400,557349,17766427.9100
2019-02-18,sz.300681,31.9800,32.9000,31.6200,32.9000,31.8800,998252,32280011.5200
2019-02-19,sz.300681,33.3000,33.3300,32.3500,32.7200,32.9000,961403,31513998.6200
2019-02-20,sz.300681,32.6800,32.7700,32.3500,32.6600,32.7200,659803,21506798.6700
2019-02-21,sz.300681,32.6000,33.0700,32.4500,32.6500,32.6600,1166925,38230188.2000
2019-02-22,sz.300681,32.7500,32.9300,32.2500,32.8200,32.6500,1110716,36242753.7100
2019-02-25,sz.300681,33.0000,35.0000,33.0000,34.8200,32.8200,1854154,62941112.2600
2019-02-26,sz.300681,34.5400,36.1300,34.3300,35.1000,34.8200,1998275,70386021.0100
2019-02-27,sz.300681,35.4500,35.8000,34.6000,34.9200,35.1000,1045103,36895594.3100
2019-02-28,sz.300681,34.8800,35.3000,34.6500,35.0300,34.9200,679116,23791757.1200
2019-03-01,sz.300681,35.3000,35.4000,34.7100,35.0400,35.0300,584300,20422099.0000
2019-03-04,sz.300681,35.2200,36.2300,35.1900,35.5600,35.0400,1272800,45178743.0000
2019-03-05,sz.300681,35.5000,35.9100,35.1700,35.9000,35.5600,1176895,41883008.2000
