date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002080,8.0500,8.2100,8.0300,8.0800,8.0900,2824540,22875310.8000
2019-01-03,sz.002080,8.0800,8.1900,8.0400,8.1000,8.0800,2599020,21069465.8000
2019-01-04,sz.002080,8.0000,8.3000,7.8300,8.3000,8.1000,5433254,44090102.1000
2019-01-07,sz.002080,8.3300,8.6900,8.2800,8.6700,8.3000,7147840,60589864.5000
2019-01-08,sz.002080,8.5900,8.6500,8.5000,8.5300,8.6700,3262836,27897207.5700
2019-01-09,sz.002080,8.5600,8.7300,8.5000,8.5000,8.5300,5078073,43703825.5600
2019-01-10,sz.002080,8.5400,8.5600,8.3600,8.3900,8.5000,4119000,34836432.4000
2019-01-11,sz.002080,8.3500,8.7000,8.3200,8.7000,8.3900,7221138,61685003.8000
2019-01-14,sz.002080,8.7000,8.7600,8.5500,8.6000,8.7000,3670627,31730506.3900
2019-01-15,sz.002080,8.5700,8.9000,8.5400,8.8900,8.6000,6700727,58677298.7200
2019-01-16,sz.002080,8.8800,8.9300,8.6800,8.8300,8.8900,5495672,48403776.5400
2019-01-17,sz.002080,8.8400,8.8800,8.6900,8.6900,8.8300,3533645,30970075.6000
2019-01-18,sz.002080,8.6900,8.9500,8.6900,8.9200,8.6900,5660051,50127413.8700
2019-01-21,sz.002080,8.8700,8.9600,8.7700,8.7900,8.9200,4569535,40454351.5700
2019-01-22,sz.002080,8.8100,8.8700,8.7100,8.7200,8.7900,3298580,28929105.2000
2019-01-23,sz.002080,8.6800,8.8500,8.6500,8.7300,8.7200,2961060,25934774.1000
2019-01-24,sz.002080,8.7300,8.9200,8.6600,8.8200,8.7300,4316703,38020964.5800
2019-01-25,sz.002080,8.7900,9.3300,8.7700,9.0900,8.8200,11883724,108325248.2700
2019-01-28,sz.002080,9.1700,9.8000,9.1700,9.3100,9.0900,11734250,110967110.5800
2019-01-29,sz.002080,9.4100,9.4400,9.0400,9.1700,9.3100,7439855,68340005.1900
2019-01-30,sz.002080,9.0700,9.6000,9.0100,9.5500,9.1700,10875091,101957253.7600
2019-01-31,sz.002080,9.5200,9.9500,9.3800,9.7700,9.5500,14694058,143071543.4500
2019-02-01,sz.002080,9.6900,10.3000,9.6100,10.1300,9.7700,15423784,154980577.5000
2019-02-11,sz.002080,10.1400,10.3500,9.9500,10.2000,10.1300,14252534,144336227.8300
2019-02-12,sz.002080,10.1200,10.2300,9.8900,10.0400,10.2000,13536901,135772931.7500
2019-02-13,sz.002080,10.0000,10.0800,9.7500,9.9900,10.0400,14437211,143088246.5000
2019-02-14,sz.002080,9.9400,10.5200,9.8600,10.5000,9.9900,14686028,149040421.1500
2019-02-15,sz.002080,10.3600,10.5200,10.1800,10.2400,10.5000,11301704,116842207.6200
2019-02-18,sz.002080,10.2800,11.2000,10.2800,11.2000,10.2400,20840978,226848060.7900
2019-02-19,sz.002080,11.2200,11.3300,10.7800,11.1800,11.2000,15387823,170830871.4800
2019-02-20,sz.002080,11.0700,11.1700,10.8200,11.0500,11.1800,7345016,80610182.1800
2019-02-21,sz.002080,11.0600,11.3000,10.9200,11.0500,11.0500,10244600,114001103.8200
2019-02-22,sz.002080,10.9900,10.9900,10.7100,10.9300,11.0500,11727030,126791862.7400
2019-02-25,sz.002080,10.9400,11.4700,10.9000,11.3900,10.9300,15827807,177407768.8600
2019-02-26,sz.002080,11.3000,11.3900,11.0400,11.1000,11.3900,11502138,128554002.2800
2019-02-27,sz.002080,11.0000,11.1900,10.5000,10.6500,11.1000,12236939,132777325.8200
2019-02-28,sz.002080,10.9500,11.2800,10.9000,11.0000,10.6500,13525605,149879843.2600
2019-03-01,sz.002080,11.0600,11.8600,11.0600,11.6700,11.0000,17705416,203910528.6000
2019-03-04,sz.002080,11.8000,12.8400,11.7400,12.7800,11.6700,33105896,413728713.4800
2019-03-05,sz.002080,12.6000,13.3500,12.4000,13.0400,12.7800,22170373,286432170.6300
