date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300224,5.8900,5.9900,5.8500,5.9200,5.8900,1779982,10548258.5900
2019-01-03,sz.300224,5.9700,6.0700,5.9000,5.9700,5.9200,1883402,11305451.3900
2019-01-04,sz.300224,5.9100,6.1800,5.8700,6.1700,5.9700,4213703,25620827.1300
2019-01-07,sz.300224,6.2600,6.4000,6.1500,6.3600,6.1700,6129063,38707068.9100
2019-01-08,sz.300224,6.3300,6.7200,6.3200,6.3900,6.3600,11538951,75522060.2900
2019-01-09,sz.300224,6.3200,6.4600,6.2800,6.2900,6.3900,7203656,45753883.4400
2019-01-10,sz.300224,6.2400,6.3400,6.2100,6.2100,6.2900,3214150,20148794.5000
2019-01-11,sz.300224,6.2300,6.4000,6.2200,6.3800,6.2100,4361414,27645057.4800
2019-01-14,sz.300224,6.3700,6.4900,6.3000,6.3800,6.3800,3689753,23654440.7000
2019-01-15,sz.300224,6.3800,6.4600,6.3300,6.4200,6.3800,3497350,22397286.0000
2019-01-16,sz.300224,6.4300,6.4500,6.3000,6.3200,6.4200,2342600,14897366.0000
2019-01-17,sz.300224,6.4000,6.4100,6.2400,6.3100,6.3200,2925519,18492055.7700
2019-01-18,sz.300224,6.2700,6.3500,6.2500,6.3400,6.3100,2554703,16110904.3700
2019-01-21,sz.300224,6.3800,6.4000,6.3100,6.3600,6.3400,2084700,13247354.0000
2019-01-22,sz.300224,6.3500,6.4000,6.2500,6.2800,6.3600,2409350,15225168.3700
2019-01-23,sz.300224,6.2800,6.3400,6.2400,6.3200,6.2800,1779215,11207351.3700
2019-01-24,sz.300224,6.3100,6.3600,6.2600,6.3100,6.3200,2116166,13400980.9600
2019-01-25,sz.300224,6.3100,6.4200,6.2800,6.3800,6.3100,2493453,15870034.6100
2019-01-28,sz.300224,6.4200,6.4200,6.2600,6.2800,6.3800,2808902,17885766.9900
2019-01-29,sz.300224,5.9400,5.9500,5.6500,5.6500,6.2800,11070309,63239749.4300
2019-01-30,sz.300224,5.5200,5.7600,5.5200,5.6000,5.6500,3755693,21233378.9800
2019-01-31,sz.300224,5.5900,5.7900,5.5700,5.7300,5.6000,4348921,24916162.4000
2019-02-01,sz.300224,5.8100,5.8700,5.7500,5.8400,5.7300,2492850,14544080.9700
2019-02-11,sz.300224,5.8800,5.9700,5.8600,5.9700,5.8400,2314362,13743880.4400
2019-02-12,sz.300224,5.9400,6.0500,5.9400,6.0200,5.9700,2475853,14861264.3300
2019-02-13,sz.300224,6.0000,6.3400,5.9900,6.2700,6.0200,6333398,39365531.6100
2019-02-14,sz.300224,6.3200,6.3600,6.2100,6.3300,6.2700,3828630,24143884.2000
2019-02-15,sz.300224,6.3000,6.4800,6.2600,6.3200,6.3300,4083684,25976581.6500
2019-02-18,sz.300224,6.3000,6.5900,6.3000,6.5300,6.3200,6471175,41780942.9300
2019-02-19,sz.300224,6.5300,6.6800,6.4500,6.6700,6.5300,9236804,60954584.8900
2019-02-20,sz.300224,6.6600,6.8700,6.5200,6.6900,6.6700,5447845,36317968.1000
2019-02-21,sz.300224,6.6700,6.7500,6.5700,6.6000,6.6900,4384818,29257309.9900
2019-02-22,sz.300224,6.5600,6.7500,6.5400,6.7300,6.6000,4288616,28766311.4600
2019-02-25,sz.300224,6.8000,7.1000,6.7500,7.0500,6.7300,9328038,65420299.5400
2019-02-26,sz.300224,7.0900,7.2900,7.0500,7.1000,7.0500,9483034,68075617.6100
