date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002664,12.4500,12.4500,12.1800,12.3000,12.2800,4481325,55163499.0200
2019-01-03,sz.002664,12.3000,12.5500,12.0000,12.0100,12.3000,9471244,116708684.0900
2019-01-04,sz.002664,11.7000,12.2200,11.3100,12.1900,12.0100,9670596,114638743.7200
2019-01-07,sz.002664,12.2100,12.6800,12.1400,12.6800,12.1900,10065772,125223850.9200
2019-01-08,sz.002664,13.2300,13.2300,12.4300,12.4600,12.6800,11061180,141238914.2800
2019-01-09,sz.002664,12.6100,13.0900,12.5500,12.7000,12.4600,11211340,143640200.1600
2019-01-10,sz.002664,12.6800,12.7800,12.4700,12.5600,12.7000,6541900,82444356.2400
2019-01-11,sz.002664,12.4200,12.8100,12.2300,12.7800,12.5600,7911729,99347418.2800
2019-01-14,sz.002664,12.8000,12.8500,12.4300,12.5300,12.7800,5498102,69053402.0000
2019-01-15,sz.002664,12.5200,12.6800,12.4300,12.6100,12.5300,5435549,68249103.4000
2019-01-16,sz.002664,12.6000,12.6100,12.3500,12.3600,12.6100,5752634,71610560.9600
2019-01-17,sz.002664,12.2600,12.3500,12.0200,12.0300,12.3600,4713233,57300761.5200
2019-01-18,sz.002664,12.1400,12.1600,11.9800,12.1100,12.0300,3650044,44082553.6800
2019-01-21,sz.002664,12.1300,12.2600,12.0900,12.1500,12.1100,3537862,43007635.4200
2019-01-22,sz.002664,12.1300,12.1400,11.8300,11.9100,12.1500,4052400,48581790.0000
2019-01-23,sz.002664,11.9200,12.2100,11.8300,12.2000,11.9100,4560139,55104167.9000
2019-01-24,sz.002664,12.1900,12.2500,12.0300,12.1200,12.2000,3327250,40405754.4900
2019-01-25,sz.002664,12.2000,12.2000,11.9000,11.9500,12.1200,3518000,42339701.0000
2019-01-28,sz.002664,12.0200,12.1100,11.5500,11.5900,11.9500,4505553,52911165.7200
2019-01-29,sz.002664,11.4400,11.5300,10.7100,11.1900,11.5900,5414852,60278614.7700
2019-01-30,sz.002664,11.1000,11.2000,10.9300,11.0200,11.1900,2926972,32482833.8800
2019-01-31,sz.002664,11.1000,11.1600,10.5100,10.6500,11.0200,6689454,71754010.9000
2019-02-01,sz.002664,10.7200,11.0500,10.6600,10.9900,10.6500,3560900,38670356.0000
2019-02-11,sz.002664,11.0300,11.3700,11.0300,11.3100,10.9900,3213469,36150477.2600
2019-02-12,sz.002664,11.3200,11.7100,11.3100,11.5400,11.3100,5847012,67310502.2500
2019-02-13,sz.002664,11.6100,11.7600,11.2900,11.7200,11.5400,7681370,89244822.4100
2019-02-14,sz.002664,11.7900,12.1100,11.6100,11.9200,11.7200,7932441,93914572.6800
2019-02-15,sz.002664,11.8600,11.9100,11.7000,11.7400,11.9200,5359649,63257997.4500
2019-02-18,sz.002664,11.8300,12.2000,11.8300,12.1800,11.7400,7793507,93940493.8500
2019-02-19,sz.002664,12.1800,12.4100,12.0600,12.4100,12.1800,9745183,119307803.0400
2019-02-20,sz.002664,12.3000,12.7600,12.2300,12.4900,12.4100,9537778,119213412.0200
2019-02-21,sz.002664,12.4400,12.7500,12.2000,12.2500,12.4900,10309443,128454194.5400
2019-02-22,sz.002664,12.3000,12.9100,12.2800,12.8300,12.2500,12405052,157226887.7900
2019-02-25,sz.002664,12.8600,13.3800,12.6000,13.3100,12.8300,15337172,200661541.3000
2019-02-26,sz.002664,13.2300,13.9000,13.1300,13.4400,13.3100,15637133,210865082.5500
2019-02-27,sz.002664,13.3900,13.8200,13.2000,13.3500,13.4400,12613934,170673282.5900
2019-02-28,sz.002664,13.4100,13.7200,13.3600,13.4600,13.3500,7755558,104751509.6200
2019-03-01,sz.002664,13.5700,13.6800,13.2400,13.5000,13.4600,7634111,102578346.4400
2019-03-04,sz.002664,13.5500,13.9900,13.4200,13.7100,13.5000,13315863,182808388.5900
2019-03-05,sz.002664,13.6100,14.1700,13.5400,14.1000,13.7100,11990346,166260609.9900
2019-03-06,sz.002664,14.2500,14.5300,14.0400,14.5000,14.1000,16345522,234335868.3000
2019-03-07,sz.002664,14.4400,14.8800,14.3400,14.7000,14.5000,11528768,168267652.2700
2019-03-08,sz.002664,14.3900,15.7300,14.0800,14.3500,14.7000,20185781,300146130.3600
2019-03-11,sz.002664,14.3900,15.0600,14.3900,15.0600,14.3500,12957936,191691617.7800
2019-03-12,sz.002664,15.1000,15.9700,14.9000,15.7700,15.0600,18710699,287674245.2900
2019-03-13,sz.002664,15.7700,15.7700,14.6700,14.8000,15.7700,17870140,272217819.5600
2019-03-14,sz.002664,14.5300,14.7900,13.7000,14.0900,14.8000,11918414,168787396.0900
