date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601238,10.2900,10.3200,10.1800,10.2800,10.2900,2462372,25235122.0000
2019-01-03,sh.601238,10.2600,10.3300,10.1900,10.2800,10.2800,2486441,25533974.0000
2019-01-04,sh.601238,10.2000,10.4000,10.1900,10.3800,10.2800,3424957,35291145.0000
2019-01-07,sh.601238,10.3900,10.4700,10.3200,10.4400,10.3800,5419454,56435660.0000
2019-01-08,sh.601238,10.4200,10.4200,10.3200,10.3200,10.4400,3117153,32286082.0000
2019-01-09,sh.601238,10.7200,10.8300,10.5500,10.5500,10.3200,22337324,239418222.0000
2019-01-10,sh.601238,10.5400,10.7200,10.4700,10.7000,10.5500,9196941,97416075.0000
2019-01-11,sh.601238,10.6400,10.7200,10.5200,10.6100,10.7000,3697532,39227965.0000
2019-01-14,sh.601238,10.5600,10.5900,10.2800,10.3000,10.6100,9178760,95187105.0000
2019-01-15,sh.601238,10.3000,10.3400,10.2500,10.2900,10.3000,6872626,70729510.0000
2019-01-16,sh.601238,10.3000,10.3200,10.2500,10.2800,10.2900,6008370,61727054.0000
2019-01-17,sh.601238,10.2600,10.3100,10.2400,10.2700,10.2800,5552296,57007852.0000
2019-01-18,sh.601238,10.2800,10.2900,10.2000,10.2600,10.2700,7782620,79711744.0000
2019-01-21,sh.601238,10.2800,10.3800,10.2800,10.3600,10.2600,9293964,96019356.0000
2019-01-22,sh.601238,10.3400,10.3700,10.2300,10.2400,10.3600,4513810,46389271.0000
2019-01-23,sh.601238,10.2200,10.2700,10.2000,10.2700,10.2400,3468129,35532082.0000
2019-01-24,sh.601238,10.2900,10.3000,10.2300,10.3000,10.2700,4888196,50172954.0000
2019-01-25,sh.601238,10.3000,10.5000,10.2700,10.3800,10.3000,9086642,94127990.0000
2019-01-28,sh.601238,10.4400,10.4400,10.3200,10.3400,10.3800,3922817,40763901.0000
2019-01-29,sh.601238,10.4000,10.4000,10.1400,10.2800,10.3400,6793327,69518410.0000
2019-01-30,sh.601238,10.2900,10.3700,10.2000,10.3000,10.2800,4859508,50094415.0000
2019-01-31,sh.601238,10.3000,10.3800,10.2500,10.3100,10.3000,3908729,40361685.0000
2019-02-01,sh.601238,10.3400,10.3800,10.2300,10.3700,10.3100,5309826,54785095.0000
2019-02-11,sh.601238,10.3700,10.4500,10.3000,10.4500,10.3700,7285308,75711100.0000
2019-02-12,sh.601238,10.4500,10.7600,10.4200,10.6500,10.4500,16959229,180948573.0000
2019-02-13,sh.601238,10.7400,11.5400,10.7200,11.3900,10.6500,30644283,338181881.0000
2019-02-14,sh.601238,11.4000,11.5000,11.1600,11.3400,11.3900,16200011,182825101.0000
2019-02-15,sh.601238,11.2500,11.3200,10.9500,10.9600,11.3400,16391690,181394667.0000
2019-02-18,sh.601238,11.0400,11.3000,11.0200,11.3000,10.9600,15707800,175218084.0000
2019-02-19,sh.601238,11.3000,11.4600,11.0200,11.1900,11.3000,21087670,237456385.0000
2019-02-20,sh.601238,11.1800,11.3400,11.0600,11.2800,11.1900,16687960,187416237.0000
2019-02-21,sh.601238,11.2300,11.9800,11.2300,11.5800,11.2800,31393522,366397859.0000
2019-02-22,sh.601238,11.5700,12.1900,11.4400,12.1800,11.5800,21475621,255947719.0000
2019-02-25,sh.601238,12.3500,12.6000,12.0300,12.5200,12.1800,28387929,349646921.0000
2019-02-26,sh.601238,12.6700,12.6700,12.2000,12.3200,12.5200,22374309,276817748.0000
2019-02-27,sh.601238,12.2700,12.4900,12.0300,12.0900,12.3200,13722965,167349821.0000
2019-02-28,sh.601238,12.1000,12.1700,11.9000,11.9100,12.0900,10349280,124393409.0000
2019-03-01,sh.601238,12.0300,12.1500,11.8500,12.0900,11.9100,9755265,116992261.0000
2019-03-04,sh.601238,12.2100,12.4000,12.0500,12.1400,12.0900,19656263,240402299.0000
2019-03-05,sh.601238,12.1400,12.3100,12.1400,12.2700,12.1400,12992584,159015929.0000
2019-03-06,sh.601238,12.3000,12.7000,12.1700,12.6700,12.2700,23873293,297711219.0000
2019-03-07,sh.601238,12.6800,12.6900,12.1300,12.2800,12.6700,18684832,231372656.0000
2019-03-08,sh.601238,12.1400,12.2000,11.7800,11.8200,12.2800,17558259,210647205.0000
2019-03-11,sh.601238,11.7600,12.0700,11.6600,11.9500,11.8200,18261802,215858530.0000
2019-03-12,sh.601238,11.9500,12.1100,11.7400,11.9500,11.9500,17790146,212839880.0000
2019-03-13,sh.601238,11.9500,12.0000,11.7000,11.7500,11.9500,11666888,137878357.0000
2019-03-14,sh.601238,11.7500,11.8600,11.4200,11.5400,11.7500,14277052,165585380.0000
2019-03-15,sh.601238,11.5400,11.7600,11.5300,11.6800,11.5400,9226479,107617867.0000
2019-03-18,sh.601238,11.7000,12.1300,11.6000,12.0700,11.6800,15082969,179182174.0000
2019-03-19,sh.601238,12.0100,12.2200,11.8000,11.9100,12.0700,12346355,147145453.0000
2019-03-20,sh.601238,11.9100,12.0400,11.6600,11.8300,11.9100,8568906,101095480.0000
2019-03-21,sh.601238,11.8300,11.9900,11.7600,11.9000,11.8300,8691739,103432610.0000
2019-03-22,sh.601238,11.9000,12.1900,11.7100,12.1200,11.9000,14999881,180081853.0000
2019-03-25,sh.601238,11.8500,12.0600,11.7800,11.8500,12.1200,9862608,117551102.0000
2019-03-26,sh.601238,11.8800,11.9400,11.3100,11.4400,11.8500,10580216,122619740.0000
2019-03-27,sh.601238,11.4700,11.6300,11.4000,11.4500,11.4400,7843227,90149606.0000
2019-03-28,sh.601238,11.5500,11.5500,11.3500,11.3700,11.4500,5695812,65229990.0000
2019-03-29,sh.601238,11.3600,11.7100,11.3200,11.6800,11.3700,10044873,116393582.0000
2019-04-01,sh.601238,11.7500,12.0800,11.6200,11.8900,11.6800,26887338,320358271.0000
2019-04-02,sh.601238,11.9900,12.0200,11.6400,11.8800,11.8900,28277934,334642816.0000
2019-04-03,sh.601238,11.8800,12.6400,11.7800,12.4800,11.8800,35118988,431724756.0000
2019-04-04,sh.601238,12.5600,13.6100,12.5600,13.0700,12.4800,38893886,508482012.0000
2019-04-08,sh.601238,13.0700,13.4100,12.8200,13.1200,13.0700,26780220,350999936.0000
2019-04-09,sh.601238,13.2800,13.5400,13.1800,13.4500,13.1200,22585863,302061613.0000
2019-04-10,sh.601238,13.3200,14.1300,13.0200,13.9300,13.4500,37081989,508635047.0000
2019-04-11,sh.601238,13.7000,14.2300,13.3500,13.5600,13.9300,30986982,429096536.0000
2019-04-12,sh.601238,13.5600,13.8300,13.3600,13.5700,13.5600,15472503,209636978.0000
2019-04-15,sh.601238,13.7300,13.9500,13.3900,13.4200,13.5700,15971887,218068141.0000
2019-04-16,sh.601238,13.4000,13.7000,12.8800,13.5900,13.4200,22825501,303646432.0000
2019-04-17,sh.601238,13.6000,14.8700,13.4600,14.8300,13.5900,44823816,637078750.0000
2019-04-18,sh.601238,14.8700,15.0000,14.3500,14.4100,14.8300,25823077,377072167.0000
2019-04-19,sh.601238,14.4300,14.7100,14.2600,14.3600,14.4100,14502128,209755857.0000
2019-04-22,sh.601238,14.3500,14.3600,13.6300,13.8800,14.3600,19886634,276479261.0000
2019-04-23,sh.601238,13.9300,14.1000,13.6500,13.8100,13.8800,14757490,205319605.0000
2019-04-24,sh.601238,13.8600,14.1800,13.6300,13.8700,13.8100,11884080,164800232.0000
2019-04-25,sh.601238,13.8700,13.8700,13.4800,13.5100,13.8700,10599907,145151932.0000
2019-04-26,sh.601238,13.3800,13.4500,12.8600,12.9100,13.5100,18803422,245205991.0000
2019-04-29,sh.601238,12.9100,13.2000,12.5000,12.6200,12.9100,11971488,153941311.0000
2019-04-30,sh.601238,12.5900,12.5900,12.3000,12.4900,12.6200,10394437,128948180.0000
2019-05-06,sh.601238,12.2000,12.2000,11.2400,11.5800,12.4900,25819255,299310085.0000
2019-05-07,sh.601238,11.5300,11.7800,11.4000,11.6100,11.5800,13647599,158183826.0000
2019-05-08,sh.601238,11.3700,11.9600,11.3300,11.6400,11.6100,11388976,132567105.0000
2019-05-09,sh.601238,11.5300,11.6300,11.4000,11.6100,11.6400,8784775,101328125.0000
2019-05-10,sh.601238,11.7000,11.9800,11.4000,11.9000,11.6100,11589068,136539007.0000
2019-05-13,sh.601238,11.7400,11.7900,11.5900,11.6700,11.9000,9804483,114194311.0000
2019-05-14,sh.601238,11.5300,11.9400,11.4600,11.7200,11.6700,7253209,85457858.0000
2019-05-15,sh.601238,11.8500,11.9100,11.7000,11.8100,11.7200,8248695,97277172.0000
2019-05-16,sh.601238,11.8600,12.2400,11.8200,12.1400,11.8100,10822560,130851124.0000
2019-05-17,sh.601238,12.0100,12.1300,11.5600,11.8800,12.1400,8343195,97986833.0000
2019-05-20,sh.601238,11.7600,11.7600,11.4200,11.6200,11.8800,5334848,61506472.0000
2019-05-21,sh.601238,11.5200,11.7300,11.5200,11.7300,11.6200,5931776,68960843.0000
2019-05-22,sh.601238,11.7000,11.7000,11.4800,11.5300,11.7300,4657695,53846474.0000
2019-05-23,sh.601238,11.4500,11.4700,10.8000,10.8900,11.5300,13793347,152740817.0000
2019-05-24,sh.601238,10.9800,11.3900,10.4000,10.8200,10.8900,18189513,195515395.0000
2019-05-27,sh.601238,10.6600,10.7900,10.2900,10.7400,10.8200,17547478,184630044.0000
2019-05-28,sh.601238,10.5600,11.2400,10.5400,11.0900,10.7400,23383242,256217581.0000
2019-05-29,sh.601238,10.9500,10.9900,10.8000,10.9900,11.0900,8995630,98239456.0000
2019-05-30,sh.601238,10.9000,11.0600,10.7400,10.9000,10.9900,7361627,80048878.0000
2019-05-31,sh.601238,10.8700,10.9900,10.7600,10.8300,10.9000,5374279,58330483.0000
2019-06-03,sh.601238,11.0400,11.1600,10.7300,10.8300,10.8300,11048681,120259720.0000
2019-06-04,sh.601238,10.8300,10.8700,10.6000,10.7300,10.8300,8273765,88455218.0000
2019-06-05,sh.601238,10.8100,10.8500,10.5300,10.5800,10.7300,11260268,120417192.0000
2019-06-06,sh.601238,10.5200,10.7600,10.4800,10.6700,10.5800,7781838,82508340.0000
2019-06-10,sh.601238,10.7500,10.8000,10.4600,10.6500,10.6700,7353329,78285330.0000
2019-06-11,sh.601238,10.6500,11.0400,10.5300,11.0400,10.6500,18098837,196056286.0000
2019-06-12,sh.601238,11.0300,11.0300,10.8300,10.8500,11.0400,11182853,121748620.0000
2019-06-13,sh.601238,10.8200,10.8700,10.6400,10.7400,10.8500,10220325,109832515.0000
2019-06-14,sh.601238,10.7100,10.8300,10.5900,10.6500,10.7400,8738717,93267151.0000
2019-06-17,sh.601238,10.6500,10.7000,10.5300,10.6600,10.6500,3638175,38732360.0000
2019-06-18,sh.601238,10.7600,10.7600,10.6100,10.7000,10.6600,3139893,33502605.0000
2019-06-19,sh.601238,10.9200,11.0200,10.7500,10.7500,10.7000,8737686,94593675.0000
2019-06-20,sh.601238,10.7500,10.9900,10.6900,10.9000,10.7500,15466283,168353658.0000
2019-06-21,sh.601238,10.9300,11.1100,10.9000,11.1100,10.9000,18551553,204477050.0000
2019-06-24,sh.601238,11.1200,11.2100,10.9800,11.1900,11.1100,13277931,147050689.0000
2019-06-25,sh.601238,10.9000,10.9000,10.6300,10.6600,10.9100,10059254,107633782.0000
2019-06-26,sh.601238,10.6200,10.8300,10.5800,10.7300,10.6600,6626596,71112067.0000
2019-06-27,sh.601238,10.7500,10.8900,10.7400,10.7600,10.7300,9492871,102489760.0000
2019-06-28,sh.601238,10.8500,10.9900,10.7600,10.9300,10.7600,17491962,190541326.0000
2019-07-01,sh.601238,11.1400,11.1600,10.9500,11.0200,10.9300,13935765,154095647.0000
2019-07-02,sh.601238,11.0600,11.5400,10.9900,11.4200,11.0200,25914106,294989920.0000
2019-07-03,sh.601238,11.3800,11.6500,11.3100,11.4600,11.4200,17862110,204789799.0000
2019-07-04,sh.601238,11.4900,11.9300,11.4900,11.6100,11.4600,21584154,252769884.0000
2019-07-05,sh.601238,11.6100,11.7500,11.4000,11.6300,11.6100,9314152,108373968.0000
2019-07-08,sh.601238,11.7500,11.8100,11.3000,11.4800,11.6300,9906112,113624372.0000
2019-07-09,sh.601238,11.5500,11.7300,11.3200,11.4900,11.4800,15879854,183263692.0000
2019-07-10,sh.601238,11.5500,11.6200,11.3300,11.4400,11.4900,7612695,87233177.0000
2019-07-11,sh.601238,11.4500,11.6100,11.2500,11.4000,11.4400,6836302,78016784.0000
2019-07-12,sh.601238,11.4100,11.4900,11.2000,11.2500,11.4000,8864242,100198719.0000
2019-07-15,sh.601238,11.2600,11.3000,10.8100,11.1500,11.2500,13060591,144327804.0000
2019-07-16,sh.601238,11.1500,11.2000,11.0100,11.1200,11.1500,6554896,72758307.0000
2019-07-17,sh.601238,11.1000,11.2700,11.0500,11.2200,11.1200,7267476,81421572.0000
2019-07-18,sh.601238,11.1200,11.1900,10.9300,11.0100,11.2200,6288636,69262053.0000
2019-07-19,sh.601238,11.0000,11.1300,10.9200,11.0300,11.0100,5848379,64480552.0000
2019-07-22,sh.601238,10.9600,11.0400,10.8000,10.8800,11.0300,5204843,56743034.0000
2019-07-23,sh.601238,10.8800,11.0100,10.7300,10.9200,10.8800,8576994,93404980.0000
2019-07-24,sh.601238,10.9200,11.3400,10.9200,11.3000,10.9200,12295862,138068118.0000
2019-07-25,sh.601238,11.3000,11.4200,11.1900,11.2300,11.3000,6813460,76881669.0000
2019-07-26,sh.601238,11.2400,11.2700,11.1400,11.2200,11.2300,3890442,43584253.0000
2019-07-29,sh.601238,11.2000,11.3900,11.2000,11.3600,11.2200,5830539,65930633.0000
2019-07-30,sh.601238,11.4200,11.4300,11.2800,11.2900,11.3600,7441684,84381419.0000
2019-07-31,sh.601238,11.3100,11.3200,11.0700,11.0800,11.2900,7820488,87162871.0000
2019-08-01,sh.601238,11.0900,11.2000,10.9900,11.1000,11.0800,5391642,59823474.0000
2019-08-02,sh.601238,10.9000,10.9700,10.8300,10.9100,11.1000,6234438,67865277.0000
2019-08-05,sh.601238,10.8200,10.8900,10.6900,10.7000,10.9100,6496536,70026180.0000
2019-08-06,sh.601238,10.5000,10.6300,10.3900,10.5700,10.7000,7563708,79336725.0000
2019-08-07,sh.601238,10.6500,10.6800,10.5000,10.5500,10.5700,2861200,30192490.0000
2019-08-08,sh.601238,10.5700,10.7700,10.5700,10.7300,10.5500,4158730,44454728.0000
2019-08-09,sh.601238,10.7300,10.8700,10.6300,10.6500,10.7300,4046894,43532102.0000
2019-08-12,sh.601238,10.6700,10.7500,10.5700,10.7200,10.6500,3146293,33490179.0000
2019-08-13,sh.601238,10.6300,10.6300,10.5100,10.5400,10.7200,3147321,33212842.0000
2019-08-14,sh.601238,10.6300,10.7400,10.6100,10.6100,10.5400,2114084,22530279.0000
2019-08-15,sh.601238,10.4200,10.6000,10.2900,10.5500,10.6100,7908000,82618141.0000
2019-08-16,sh.601238,10.5500,10.6400,10.4000,10.5600,10.5500,4123607,43542365.0000
2019-08-19,sh.601238,10.5800,10.9100,10.5800,10.8800,10.5600,7487591,80680395.0000
2019-08-20,sh.601238,10.9000,11.0800,10.8200,10.9300,10.8800,5138362,56271542.0000
2019-08-21,sh.601238,10.8500,10.9900,10.7500,10.8200,10.9300,3708503,40154275.0000
2019-08-22,sh.601238,10.8600,11.0300,10.7600,10.7800,10.8200,6940939,75335807.0000
2019-08-23,sh.601238,10.8700,10.9700,10.7200,10.9200,10.7800,9370626,101979883.0000
2019-08-26,sh.601238,10.6900,11.0800,10.6400,10.9000,10.9200,6936023,75480611.0000
2019-08-27,sh.601238,10.9700,11.6000,10.9700,11.4800,10.9000,21406363,242614025.0000
2019-08-28,sh.601238,11.6600,12.0800,11.5400,11.5800,11.4800,22550181,265876389.0000
2019-08-29,sh.601238,11.6600,12.0200,11.5600,11.8600,11.5800,17844070,211159989.0000
2019-08-30,sh.601238,11.9000,11.9400,11.7000,11.7300,11.8600,9839216,116118044.0000
2019-09-02,sh.601238,11.5200,11.8300,11.5000,11.6000,11.7300,14088889,163438986.0000
2019-09-03,sh.601238,11.5900,11.5900,11.2600,11.3400,11.6000,9987670,113532541.0000
2019-09-04,sh.601238,11.3400,11.3900,11.1600,11.2200,11.3400,10178956,114180169.0000
2019-09-05,sh.601238,11.2900,11.5200,11.2500,11.4500,11.2200,12827766,146268239.0000
2019-09-06,sh.601238,11.5800,12.0500,11.5500,11.9000,11.4500,20726573,244574629.0000
2019-09-09,sh.601238,12.1500,12.4900,12.0800,12.2200,11.9000,19926303,243429220.0000
2019-09-10,sh.601238,12.1800,12.3500,12.0200,12.2500,12.2200,14699526,179633073.0000
2019-09-11,sh.601238,12.2700,12.4300,12.1600,12.2700,12.2500,8657688,106388036.0000
2019-09-12,sh.601238,12.2600,12.8100,12.2600,12.7800,12.2700,16899776,212849888.0000
2019-09-16,sh.601238,12.8000,13.2200,12.6300,12.8100,12.7800,23270233,298944003.0000
2019-09-17,sh.601238,12.8300,12.8300,12.4200,12.4900,12.8100,11923797,149901141.0000
2019-09-18,sh.601238,12.5000,12.6300,12.2700,12.4000,12.4900,11982845,148416332.0000
2019-09-19,sh.601238,12.5000,12.7000,12.4100,12.7000,12.4000,13548354,169613368.0000
2019-09-20,sh.601238,12.8000,12.8000,12.2300,12.3700,12.7000,23849516,295846367.0000
