date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600733,8.0100,8.0500,7.7500,7.8100,7.9600,11104916,87333070.0000
2019-01-03,sh.600733,7.8900,7.9700,7.8000,7.8000,7.8100,10234668,80598052.0000
2019-01-04,sh.600733,7.6700,8.0300,7.5600,8.0100,7.8000,15798722,123630395.0000
2019-01-07,sh.600733,8.0900,8.2500,8.0300,8.1900,8.0100,18082880,147407916.0000
2019-01-08,sh.600733,8.1500,8.7900,8.1300,8.6300,8.1900,27216213,230718280.0000
2019-01-09,sh.600733,8.6800,8.9700,8.4400,8.4700,8.6300,31137237,272245694.0000
2019-01-10,sh.600733,8.3700,8.4600,8.1800,8.2000,8.4700,20002596,166056944.0000
2019-01-11,sh.600733,8.2200,8.2900,8.1200,8.2600,8.2000,10947700,89983274.0000
2019-01-14,sh.600733,8.2900,8.2900,8.1300,8.1800,8.2600,8183819,67043872.0000
2019-01-15,sh.600733,8.1800,8.2100,8.0900,8.1900,8.1800,8906535,72713826.0000
2019-01-16,sh.600733,8.2500,8.3600,8.2200,8.2500,8.1900,10486240,86761897.0000
2019-01-17,sh.600733,8.2000,8.2400,7.8900,7.9600,8.2500,16813617,135019824.0000
2019-01-18,sh.600733,7.9600,8.0000,7.8100,7.9400,7.9600,10826994,85629662.0000
2019-01-21,sh.600733,7.9200,8.0900,7.8800,8.0200,7.9400,8792515,70452151.0000
2019-01-22,sh.600733,8.0200,8.0200,7.8400,7.8600,8.0200,7949830,62844662.0000
2019-01-23,sh.600733,7.8000,8.0800,7.8000,7.9500,7.8600,8361360,66685694.0000
2019-01-24,sh.600733,7.9000,7.9900,7.8100,7.9000,7.9500,8085658,63817615.0000
2019-01-25,sh.600733,7.8700,8.0300,7.8500,7.9000,7.9000,8355250,66196606.0000
2019-01-28,sh.600733,7.9100,8.2000,7.8900,8.0000,7.9000,12951263,104006808.0000
2019-01-29,sh.600733,8.0500,8.4700,7.9600,8.3600,8.0000,27054211,223172027.0000
2019-01-30,sh.600733,8.2400,8.3000,7.9300,7.9800,8.3600,16615300,135270525.0000
2019-01-31,sh.600733,7.8100,7.9600,7.5000,7.5200,7.9800,17254175,133219696.0000
2019-02-01,sh.600733,7.6100,7.7800,7.6100,7.7400,7.5200,8262472,63682983.0000
2019-02-11,sh.600733,7.7700,7.8900,7.7600,7.8900,7.7400,8408569,66003766.0000
2019-02-12,sh.600733,7.8900,8.0300,7.8400,7.9700,7.8900,10702822,85016129.0000
2019-02-13,sh.600733,7.9400,8.3800,7.9300,8.2900,7.9700,20557167,167726411.0000
2019-02-14,sh.600733,8.2300,8.3200,8.1000,8.2000,8.2900,18768907,153788419.0000
2019-02-15,sh.600733,8.2000,8.2500,8.0700,8.0800,8.2000,14026910,114395284.0000
2019-02-18,sh.600733,7.8600,8.2100,7.8600,8.1900,8.0800,25237677,203463009.0000
2019-02-19,sh.600733,8.1700,8.3800,8.0800,8.1900,8.1900,24813553,203436152.0000
2019-02-20,sh.600733,8.1700,8.3800,8.1000,8.3800,8.1900,24731467,204026962.0000
2019-02-21,sh.600733,8.3600,8.7300,8.2900,8.4800,8.3800,38585211,328339567.0000
2019-02-22,sh.600733,8.5900,8.7900,8.5100,8.5500,8.4800,29879121,256739573.0000
2019-02-25,sh.600733,8.7300,9.0500,8.5200,8.9900,8.5500,43876298,385866290.0000
2019-02-26,sh.600733,9.0600,9.3700,8.8900,8.9400,8.9900,42160984,385353991.0000
2019-02-27,sh.600733,8.9000,9.0400,8.6000,8.6800,8.9400,32051594,282973560.0000
2019-02-28,sh.600733,8.7700,8.9500,8.6800,8.9500,8.6800,25922564,228585955.0000
2019-03-01,sh.600733,8.9500,8.9500,8.7100,8.8500,8.9500,19336278,170476610.0000
2019-03-04,sh.600733,8.8900,9.2200,8.7400,9.0300,8.8500,42815713,382883416.0000
2019-03-05,sh.600733,8.9300,9.1000,8.8700,9.0400,9.0300,28479304,255562629.0000
2019-03-06,sh.600733,9.1400,9.6800,8.9700,9.5500,9.0400,53752943,505401073.0000
2019-03-07,sh.600733,9.4000,9.5200,9.2300,9.4000,9.5500,39893791,373122434.0000
2019-03-08,sh.600733,9.2100,9.2200,8.5300,8.6600,9.4000,36163820,323778456.0000
2019-03-11,sh.600733,8.6500,9.0400,8.6300,8.9400,8.6600,22478743,198757519.0000
2019-03-12,sh.600733,8.9500,9.1500,8.8800,9.0500,8.9400,30115622,271728658.0000
2019-03-13,sh.600733,9.0600,9.0800,8.7300,8.7900,9.0500,21635044,192302165.0000
2019-03-14,sh.600733,8.6900,8.7800,8.4400,8.5500,8.7900,20855532,179132542.0000
2019-03-15,sh.600733,8.6000,8.7700,8.5700,8.6300,8.5500,15006821,130063700.0000
2019-03-18,sh.600733,8.5900,8.8800,8.5600,8.8400,8.6300,21575860,189732867.0000
2019-03-19,sh.600733,8.8100,8.8600,8.6800,8.7200,8.8400,18037726,158038257.0000
2019-03-20,sh.600733,8.6800,8.8400,8.6200,8.7800,8.7200,16136941,140971491.0000
2019-03-21,sh.600733,8.7300,8.8400,8.7000,8.7900,8.7800,18958642,166364132.0000
2019-03-22,sh.600733,8.7800,9.1300,8.6300,8.9500,8.7900,29682680,264280306.0000
2019-03-25,sh.600733,8.9300,9.4700,8.8800,9.1900,8.9500,45300159,418574022.0000
