date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600418,4.8400,4.8500,4.7500,4.7600,4.8100,6581573,31556136.0000
2019-01-03,sh.600418,4.7200,4.8200,4.7200,4.7400,4.7600,5673774,27097798.0000
2019-01-04,sh.600418,4.7200,4.8700,4.6800,4.8400,4.7400,9773126,46950300.0000
2019-01-07,sh.600418,4.8800,4.9900,4.8500,4.9900,4.8400,12696366,62686746.0000
2019-01-08,sh.600418,4.9800,5.0400,4.9300,5.0000,4.9900,10575294,52736775.0000
2019-01-09,sh.600418,5.3300,5.4500,5.0700,5.0800,5.0000,31809681,166204525.0000
2019-01-10,sh.600418,5.0200,5.0500,4.9400,4.9800,5.0800,16385306,81733783.0000
2019-01-11,sh.600418,4.9400,5.0300,4.9000,5.0000,4.9800,11358637,56489094.0000
2019-01-14,sh.600418,4.9900,5.0100,4.9100,4.9500,5.0000,7492347,37227385.0000
2019-01-15,sh.600418,4.9400,5.0000,4.9200,4.9900,4.9500,7861136,39014036.0000
2019-01-16,sh.600418,5.0000,5.0200,4.9600,4.9800,4.9900,6898582,34434684.0000
2019-01-17,sh.600418,4.9800,4.9900,4.8900,4.8900,4.9800,8741510,43109120.0000
2019-01-18,sh.600418,4.8800,4.9500,4.8800,4.9300,4.8900,5754053,28293657.0000
2019-01-21,sh.600418,4.9300,4.9600,4.9000,4.9100,4.9300,7332376,36119546.0000
2019-01-22,sh.600418,4.9100,4.9100,4.7900,4.8000,4.9100,10681738,51678706.0000
2019-01-23,sh.600418,4.8000,4.8400,4.7600,4.8000,4.8000,4443938,21366535.0000
2019-01-24,sh.600418,4.8000,4.8400,4.7600,4.8000,4.8000,6973384,33500420.0000
2019-01-25,sh.600418,4.8400,4.8800,4.7800,4.8400,4.8000,8676374,41908860.0000
2019-01-28,sh.600418,4.8600,4.8800,4.7600,4.7600,4.8400,8530230,41100441.0000
2019-01-29,sh.600418,4.7700,4.8000,4.5400,4.6400,4.7600,13446368,62229324.0000
2019-01-30,sh.600418,4.6400,4.6400,4.5600,4.5700,4.6400,6446900,29587249.0000
2019-01-31,sh.600418,4.3100,4.4000,4.2700,4.3300,4.5700,17976102,77809995.0000
2019-02-01,sh.600418,4.3500,4.5400,4.3500,4.5000,4.3300,10739822,47892460.0000
2019-02-11,sh.600418,4.5000,4.6300,4.5000,4.6100,4.5000,6613351,30265912.0000
2019-02-12,sh.600418,4.6100,4.7400,4.6000,4.7100,4.6100,9122253,42817900.0000
2019-02-13,sh.600418,4.7100,4.8900,4.6500,4.8100,4.7100,16681307,79915182.0000
2019-02-14,sh.600418,4.7700,4.8300,4.7500,4.7900,4.8100,10625292,50821712.0000
2019-02-15,sh.600418,4.8300,4.8500,4.7500,4.8100,4.7900,11112171,53400023.0000
2019-02-18,sh.600418,4.8100,4.9300,4.8100,4.9200,4.8100,14502798,70800952.0000
2019-02-19,sh.600418,4.9200,4.9900,4.8800,4.9100,4.9200,15117015,74465813.0000
2019-02-20,sh.600418,4.9300,4.9800,4.9000,4.9500,4.9100,12124815,59954413.0000
2019-02-21,sh.600418,4.9400,5.0800,4.9100,4.9800,4.9500,22854207,114655242.0000
2019-02-22,sh.600418,4.9400,5.0200,4.9000,5.0100,4.9800,18064885,89745454.0000
2019-02-25,sh.600418,5.0600,5.2300,5.0300,5.2100,5.0100,33783209,173721944.0000
2019-02-26,sh.600418,5.2400,5.3600,5.2100,5.2400,5.2100,32929389,174094807.0000
2019-02-27,sh.600418,5.3500,5.3500,5.1800,5.2500,5.2400,27230175,143809875.0000
2019-02-28,sh.600418,5.2300,5.3300,5.2300,5.2800,5.2500,15320479,80926476.0000
2019-03-01,sh.600418,5.3100,5.3500,5.2300,5.3000,5.2800,17002574,89876017.0000
2019-03-04,sh.600418,5.3200,5.4500,5.3000,5.3400,5.3000,28158204,151539985.0000
2019-03-05,sh.600418,5.3500,5.4500,5.3200,5.4400,5.3400,24647962,132846512.0000
2019-03-06,sh.600418,5.4600,5.7300,5.4200,5.6800,5.4400,49125678,275609287.0000
2019-03-07,sh.600418,5.6300,5.7200,5.5900,5.6800,5.6800,35543738,200937123.0000
2019-03-08,sh.600418,5.5900,5.6100,5.2800,5.3000,5.6800,36338481,199169852.0000
2019-03-11,sh.600418,5.3100,5.4900,5.3000,5.4500,5.3000,22325095,120594693.0000
2019-03-12,sh.600418,5.4700,5.5400,5.3600,5.4500,5.4500,34156320,186877997.0000
2019-03-13,sh.600418,5.3400,5.3800,5.2100,5.2400,5.4500,37232113,197274302.0000
2019-03-14,sh.600418,5.2600,5.3200,5.0700,5.1300,5.2400,27209143,140531195.0000
2019-03-15,sh.600418,5.1500,5.2700,5.1300,5.2200,5.1300,23637697,122610900.0000
2019-03-18,sh.600418,5.2200,5.4100,5.1800,5.3200,5.2200,26359588,139661099.0000
2019-03-19,sh.600418,5.3500,5.3600,5.2400,5.3100,5.3200,21479983,113854925.0000
2019-03-20,sh.600418,5.3200,5.3700,5.2100,5.2900,5.3100,20517470,108665532.0000
2019-03-21,sh.600418,5.3100,5.4000,5.2900,5.3500,5.2900,24498001,131183740.0000
2019-03-22,sh.600418,5.3600,5.4600,5.2200,5.3900,5.3500,41951683,225009322.0000
2019-03-25,sh.600418,5.2500,5.3700,5.2200,5.2900,5.3900,25305945,134396011.0000
2019-03-26,sh.600418,5.3200,5.3200,5.0700,5.0700,5.2900,24707687,127873559.0000
2019-03-27,sh.600418,5.0700,5.1200,4.9600,5.0200,5.0700,19949462,100094776.0000
2019-03-28,sh.600418,4.9900,5.0300,4.9400,4.9500,5.0200,16291307,81082292.0000
2019-03-29,sh.600418,4.9500,5.0900,4.9400,5.0800,4.9500,19392966,97448437.0000
2019-04-01,sh.600418,5.0900,5.2800,5.0600,5.2700,5.0800,26790340,139581085.0000
2019-04-02,sh.600418,5.3000,5.4000,5.2700,5.3500,5.2700,29873968,159144938.0000
2019-04-03,sh.600418,5.3200,5.6200,5.2900,5.6000,5.3500,51782719,283658898.0000
2019-04-04,sh.600418,5.5700,5.7200,5.5100,5.6300,5.6000,47151811,265307430.0000
2019-04-08,sh.600418,5.7400,5.7700,5.6200,5.7000,5.6300,45167712,256968819.0000
2019-04-09,sh.600418,5.6100,6.1700,5.6100,6.0800,5.7000,74221687,445619898.0000
2019-04-10,sh.600418,6.0300,6.6900,6.0100,6.6900,6.0800,100734954,649560188.0000
2019-04-11,sh.600418,7.3600,7.3600,7.3600,7.3600,6.6900,18102773,133236409.0000
2019-04-12,sh.600418,7.6000,8.1000,7.2000,7.2000,7.3600,150106463,1155264475.0000
2019-04-15,sh.600418,7.2400,7.4900,6.8000,6.8300,7.2000,91560223,650111637.0000
2019-04-16,sh.600418,6.9200,6.9800,6.6500,6.7800,6.8300,52346914,354629730.0000
2019-04-17,sh.600418,6.8200,7.3400,6.6100,7.1900,6.7800,106931211,747368625.0000
2019-04-18,sh.600418,7.1000,7.1000,6.8100,6.8800,7.1900,64608807,449102468.0000
2019-04-19,sh.600418,6.8400,7.2100,6.7900,7.1400,6.8800,50166610,354506559.0000
