date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600006,3.6600,3.6600,3.5800,3.5900,3.6000,2510100,9056526.0000
2019-01-03,sh.600006,3.5800,3.6500,3.5800,3.6300,3.5900,4916276,17807297.0000
2019-01-04,sh.600006,3.5900,3.7000,3.5700,3.6600,3.6300,5802089,21057001.0000
2019-01-07,sh.600006,3.6700,3.7500,3.6600,3.7400,3.6600,6494219,24100672.0000
2019-01-08,sh.600006,3.7400,3.8400,3.7000,3.7900,3.7400,8473202,31921155.0000
2019-01-09,sh.600006,3.9000,3.9900,3.8200,3.8200,3.7900,15209468,59374500.0000
2019-01-10,sh.600006,3.7900,3.8000,3.7300,3.7600,3.8200,8310083,31284461.0000
2019-01-11,sh.600006,3.7200,3.7900,3.7200,3.7800,3.7600,5861820,22045792.0000
2019-01-14,sh.600006,3.7600,3.7900,3.7400,3.7400,3.7800,4144395,15600718.0000
2019-01-15,sh.600006,3.7500,3.8100,3.7400,3.8000,3.7400,7088766,26854604.0000
2019-01-16,sh.600006,3.8000,3.8400,3.7800,3.8400,3.8000,6738357,25725156.0000
2019-01-17,sh.600006,3.7900,3.8300,3.7500,3.7700,3.8400,5209125,19739026.0000
2019-01-18,sh.600006,3.8000,3.8000,3.7500,3.7900,3.7700,4152700,15660344.0000
2019-01-21,sh.600006,3.7900,3.8100,3.7700,3.7800,3.7900,4810990,18217812.0000
2019-01-22,sh.600006,3.7800,3.7900,3.7100,3.7200,3.7800,6502277,24268336.0000
2019-01-23,sh.600006,3.7200,3.7700,3.7200,3.7600,3.7200,6329909,23704046.0000
2019-01-24,sh.600006,3.7400,3.7800,3.7200,3.7400,3.7600,5594217,20985717.0000
2019-01-25,sh.600006,3.7500,3.7800,3.7400,3.7500,3.7400,4080697,15329731.0000
2019-01-28,sh.600006,3.7700,3.8200,3.7500,3.8100,3.7500,8463345,32090814.0000
2019-01-29,sh.600006,3.8000,3.8100,3.6600,3.6900,3.8100,8275530,30791067.0000
2019-01-30,sh.600006,3.6800,3.6900,3.6100,3.6200,3.6900,5561901,20295007.0000
2019-01-31,sh.600006,3.6500,3.7000,3.5800,3.6300,3.6200,7243903,26424642.0000
2019-02-01,sh.600006,3.6800,3.7000,3.6200,3.6900,3.6300,6354944,23258732.0000
2019-02-11,sh.600006,3.7100,3.8700,3.7000,3.8000,3.6900,12263460,46491627.0000
2019-02-12,sh.600006,3.8000,3.8400,3.7800,3.8300,3.8000,11008629,42045069.0000
