date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601127,17.0000,17.0000,16.5800,16.7000,17.1400,2294056,38283133.0000
2019-01-03,sh.601127,16.7000,16.7100,15.9000,16.0800,16.7000,2544110,41449505.0000
2019-01-04,sh.601127,16.0000,16.2500,15.9600,16.2000,16.0800,2244472,36299680.0000
2019-01-07,sh.601127,16.2500,16.4000,16.1300,16.2000,16.2000,1953931,31724400.0000
2019-01-08,sh.601127,16.2000,16.3800,16.1500,16.3700,16.2000,1683168,27378836.0000
2019-01-09,sh.601127,16.4100,16.7700,16.3600,16.6600,16.3700,2368000,39459655.0000
2019-01-10,sh.601127,16.6300,16.8600,16.3800,16.5400,16.6600,2884828,48019184.0000
2019-01-11,sh.601127,16.6500,16.8300,16.3600,16.5700,16.5400,2785115,46090497.0000
2019-01-14,sh.601127,16.5100,16.8400,16.4600,16.7100,16.5700,3401659,56689112.0000
2019-01-15,sh.601127,16.6700,16.8300,16.5500,16.7200,16.7100,3109048,52017244.0000
2019-01-16,sh.601127,16.6800,16.8400,16.5700,16.6600,16.7200,3500490,58546967.0000
2019-01-17,sh.601127,16.6000,16.9000,16.4400,16.7600,16.6600,4204266,70364797.0000
2019-01-18,sh.601127,16.7000,16.8000,16.5200,16.7700,16.7600,3766436,62807818.0000
2019-01-21,sh.601127,16.7200,16.7200,16.4500,16.4600,16.7700,1875594,31066145.0000
2019-01-22,sh.601127,16.4500,16.6600,16.3000,16.4000,16.4600,1869400,30789386.0000
2019-01-23,sh.601127,16.3700,16.4000,16.1900,16.3000,16.4000,1770577,28826385.0000
2019-01-24,sh.601127,16.3000,16.5000,16.2100,16.4000,16.3000,1797088,29399466.0000
2019-01-25,sh.601127,16.4000,16.5700,16.4000,16.4500,16.4000,1725400,28432653.0000
2019-01-28,sh.601127,16.4300,16.5100,16.1300,16.2600,16.4500,1906200,31125284.0000
2019-01-29,sh.601127,16.2600,16.2800,16.0200,16.1600,16.2600,1391000,22442260.0000
2019-01-30,sh.601127,16.1700,16.2400,16.0900,16.2100,16.1600,1525969,24673301.0000
2019-01-31,sh.601127,16.2100,16.4000,16.1100,16.2200,16.2100,1617513,26300220.0000
2019-02-01,sh.601127,16.1800,16.3900,16.0800,16.3700,16.2200,1574836,25564698.0000
