date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601777,3.8500,3.9000,3.8000,3.8100,3.8100,4966953,19099773.0000
2019-01-03,sh.601777,3.8100,3.8800,3.8100,3.8100,3.8100,3285900,12619472.0000
2019-01-04,sh.601777,3.7800,3.9300,3.7400,3.9100,3.8100,8448616,32664708.0000
2019-01-07,sh.601777,3.9300,3.9700,3.9100,3.9600,3.9100,7432558,29299474.0000
2019-01-08,sh.601777,3.9600,4.0000,3.9200,3.9600,3.9600,5792849,22913700.0000
2019-01-09,sh.601777,4.0900,4.3600,4.0300,4.3600,3.9600,41926260,178267199.0000
2019-01-10,sh.601777,4.4600,4.5000,4.2300,4.2800,4.3600,46723111,203518764.0000
2019-01-11,sh.601777,4.2200,4.2800,4.1500,4.2200,4.2800,23530941,99009428.0000
2019-01-14,sh.601777,4.2000,4.2700,4.1500,4.1500,4.2200,15773968,66220900.0000
2019-01-15,sh.601777,4.1400,4.2000,4.1300,4.1800,4.1500,11453656,47670005.0000
2019-01-16,sh.601777,4.1700,4.2500,4.1400,4.2100,4.1800,12815803,53816902.0000
2019-01-17,sh.601777,4.1800,4.2000,4.0800,4.0900,4.2100,10709552,44190293.0000
2019-01-18,sh.601777,4.1100,4.1600,4.0800,4.1300,4.0900,9033010,37190666.0000
2019-01-21,sh.601777,4.1400,4.1700,4.1000,4.1300,4.1300,8308710,34341124.0000
2019-01-22,sh.601777,4.1100,4.1100,4.0300,4.0500,4.1300,8179770,33255271.0000
2019-01-23,sh.601777,4.0500,4.0900,4.0300,4.0700,4.0500,6935652,28159536.0000
2019-01-24,sh.601777,4.0700,4.1000,4.0300,4.0600,4.0700,6447443,26198578.0000
2019-01-25,sh.601777,4.0500,4.1300,4.0300,4.0700,4.0600,8515170,34752208.0000
2019-01-28,sh.601777,4.0900,4.1100,3.9500,3.9600,4.0700,10082707,40551163.0000
2019-01-29,sh.601777,3.9500,3.9600,3.8100,3.8800,3.9600,8893377,34501319.0000
2019-01-30,sh.601777,3.8900,3.9100,3.8300,3.8500,3.8800,4121054,15973652.0000
2019-01-31,sh.601777,3.8300,3.8600,3.7100,3.7400,3.8500,10099240,38387365.0000
2019-02-01,sh.601777,3.7500,3.8800,3.7500,3.8500,3.7400,5003882,19130007.0000
2019-02-11,sh.601777,3.8600,3.9600,3.8600,3.9400,3.8500,6240417,24467393.0000
2019-02-12,sh.601777,3.9600,4.0300,3.9400,4.0100,3.9400,8119988,32415488.0000
2019-02-13,sh.601777,3.9900,4.1200,3.9700,4.0700,4.0100,11633504,46977012.0000
2019-02-14,sh.601777,4.0500,4.1000,4.0300,4.0900,4.0700,8345510,33916386.0000
2019-02-15,sh.601777,4.0800,4.1000,4.0400,4.0700,4.0900,7174641,29265279.0000
2019-02-18,sh.601777,4.0700,4.2400,4.0700,4.1900,4.0700,14430702,60023949.0000
2019-02-19,sh.601777,4.1700,4.3100,4.1600,4.2200,4.1900,16783266,70716979.0000
2019-02-20,sh.601777,4.2200,4.3300,4.1900,4.2900,4.2200,21377544,91529214.0000
2019-02-21,sh.601777,4.3100,4.3600,4.2100,4.2600,4.2900,21182800,91129847.0000
2019-02-22,sh.601777,4.2700,4.3500,4.1700,4.3500,4.2600,18364180,78558924.0000
2019-02-25,sh.601777,4.3600,4.5500,4.3300,4.5200,4.3500,38191265,169312768.0000
2019-02-26,sh.601777,4.5200,4.7200,4.4700,4.5800,4.5200,38098335,174492979.0000
2019-02-27,sh.601777,4.5700,4.6600,4.4900,4.5300,4.5800,24758172,113186883.0000
2019-02-28,sh.601777,4.5500,4.6300,4.5000,4.5600,4.5300,18981548,86427417.0000
2019-03-01,sh.601777,4.5500,4.5800,4.4500,4.5500,4.5600,13869973,62650884.0000
2019-03-04,sh.601777,4.5600,4.6900,4.5400,4.6000,4.5500,25189357,116348390.0000
2019-03-05,sh.601777,4.5900,4.7200,4.5400,4.7200,4.6000,19681757,91386724.0000
2019-03-06,sh.601777,4.7400,4.9800,4.6900,4.8500,4.7200,33254873,160511283.0000
2019-03-07,sh.601777,4.8600,5.1400,4.8100,5.0500,4.8500,32568657,162380080.0000
2019-03-08,sh.601777,5.0100,5.0400,4.7600,4.7700,5.0500,29041204,142438510.0000
2019-03-11,sh.601777,4.8000,4.9500,4.7600,4.9300,4.7700,20623470,100302413.0000
2019-03-12,sh.601777,4.9600,5.1100,4.9200,5.0000,4.9300,29174037,145875516.0000
2019-03-13,sh.601777,5.0000,5.0300,4.8300,4.8500,5.0000,23374432,115361965.0000
2019-03-14,sh.601777,4.8400,5.1500,4.8300,4.9200,4.8500,36048467,178272463.0000
2019-03-15,sh.601777,5.0500,5.4100,4.9600,5.4100,4.9200,102570449,547544459.0000
2019-03-18,sh.601777,5.1600,5.2000,4.8700,5.1000,5.4100,74801792,377187420.0000
2019-03-19,sh.601777,5.1000,5.1000,4.9500,5.0200,5.1000,34700399,174161675.0000
2019-03-20,sh.601777,4.9600,5.0500,4.9500,5.0100,5.0200,22096196,110342887.0000
2019-03-21,sh.601777,5.0300,5.0700,4.9700,5.0300,5.0100,28789627,144864108.0000
2019-03-22,sh.601777,5.0100,5.1800,4.9000,5.1300,5.0300,39142976,197702831.0000
2019-03-25,sh.601777,5.0000,5.0900,4.9800,5.0200,5.1300,23548099,118421786.0000
2019-03-26,sh.601777,5.0200,5.0400,4.8200,4.8300,5.0200,19695309,96987892.0000
2019-03-27,sh.601777,4.8600,4.9000,4.7300,4.7900,4.8300,14319615,68612075.0000
2019-03-28,sh.601777,4.7700,4.8500,4.7100,4.7100,4.7900,12231884,58353298.0000
2019-03-29,sh.601777,4.6900,4.8400,4.6900,4.8200,4.7100,14379102,68711675.0000
2019-04-01,sh.601777,4.8500,5.0000,4.8400,4.9900,4.8200,18988452,93961386.0000
2019-04-02,sh.601777,5.0100,5.1000,4.9900,5.0700,4.9900,22703407,114414713.0000
2019-04-03,sh.601777,5.0400,5.1300,5.0100,5.1200,5.0700,19081075,97177789.0000
2019-04-04,sh.601777,5.1200,5.1700,5.0800,5.1400,5.1200,24908492,127799560.0000
2019-04-08,sh.601777,5.1800,5.2300,5.0300,5.0800,5.1400,21032440,107689392.0000
2019-04-09,sh.601777,5.0900,5.2800,5.0600,5.2200,5.0800,28853976,149481461.0000
2019-04-10,sh.601777,5.1700,5.5600,5.0800,5.4000,5.2200,43480891,230480360.0000
2019-04-11,sh.601777,5.4200,5.6900,5.3800,5.4300,5.4000,53371412,296085139.0000
2019-04-12,sh.601777,5.4300,5.8000,5.2600,5.6300,5.4300,57032330,316263412.0000
2019-04-15,sh.601777,6.1900,6.1900,6.1900,6.1900,5.6300,9310962,57634855.0000
2019-04-16,sh.601777,6.8100,6.8100,6.8100,6.8100,6.1900,6710349,45697477.0000
2019-04-17,sh.601777,7.4900,7.4900,7.4900,7.4900,6.8100,9438723,70696035.0000
2019-04-18,sh.601777,8.2400,8.2400,8.2400,8.2400,7.4900,11583243,95445922.0000
2019-04-19,sh.601777,8.6600,9.0600,8.3300,9.0600,8.2400,309757776,2728232022.0000
2019-04-22,sh.601777,8.7000,9.6500,8.3800,9.3600,9.0600,256727771,2282873597.0000
2019-04-23,sh.601777,8.9400,9.0000,8.4200,8.4200,9.3600,125926523,1072772778.0000
2019-04-24,sh.601777,8.1100,8.2600,7.6900,7.8600,8.4200,157589433,1251903043.0000
2019-04-25,sh.601777,7.7600,7.7700,7.0700,7.0700,7.8600,151214352,1105193243.0000
