date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002276,5.0500,5.1300,5.0300,5.0500,5.0400,5056526,25657019.4400
2019-01-03,sz.002276,5.0600,5.1500,5.0400,5.0500,5.0500,5958677,30364644.3600
2019-01-04,sz.002276,5.0400,5.3500,4.9900,5.3000,5.0500,16552907,86753580.1700
2019-01-07,sz.002276,5.3100,5.5400,5.2800,5.5000,5.3000,19596795,106917574.1000
2019-01-08,sz.002276,5.4800,5.6200,5.4300,5.4800,5.5000,15514686,85435311.4000
2019-01-09,sz.002276,5.4800,5.6800,5.4400,5.4700,5.4800,21539711,119824226.8200
2019-01-10,sz.002276,5.5100,5.7300,5.4700,5.6000,5.4700,27918092,157256105.6700
2019-01-11,sz.002276,5.6200,5.6600,5.5200,5.6400,5.6000,18397801,103026592.1600
2019-01-14,sz.002276,5.6700,5.7200,5.5200,5.5700,5.6400,12290410,68753356.4500
2019-01-15,sz.002276,5.5600,5.7100,5.5300,5.6800,5.5700,13570303,76365479.5200
2019-01-16,sz.002276,5.6800,5.8500,5.5600,5.7200,5.6800,19704476,112177306.7000
2019-01-17,sz.002276,5.7200,5.7300,5.5300,5.5800,5.7200,17456782,98075643.0000
2019-01-18,sz.002276,5.5500,5.7300,5.5500,5.7100,5.5800,16688366,94333332.7900
2019-01-21,sz.002276,6.0900,6.1800,5.7700,5.8000,5.7100,28858571,171268997.7300
2019-01-22,sz.002276,5.7600,5.8400,5.5700,5.6100,5.8000,15739942,89631149.1300
2019-01-23,sz.002276,5.6100,5.8000,5.5600,5.6900,5.6100,17206548,97783392.0500
2019-01-24,sz.002276,5.6900,5.8600,5.6400,5.7600,5.6900,16083885,92539974.7300
2019-01-25,sz.002276,5.7300,5.7700,5.5200,5.5700,5.7600,13229673,74665056.0100
2019-01-28,sz.002276,5.6400,5.7400,5.6000,5.6700,5.5700,13068928,74307030.9600
2019-01-29,sz.002276,5.6600,5.6600,5.3800,5.5400,5.6700,11136244,61447917.2500
2019-01-30,sz.002276,5.5000,5.5700,5.3300,5.3700,5.5400,9161036,49866900.8000
2019-01-31,sz.002276,5.3900,5.5200,5.3500,5.4600,5.3700,8595150,46809895.8400
2019-02-01,sz.002276,5.5000,5.5800,5.4400,5.5700,5.4600,8556675,47369447.7900
2019-02-11,sz.002276,5.6500,5.7400,5.5900,5.7200,5.5700,12505482,70940904.2400
2019-02-12,sz.002276,5.7000,5.8900,5.6700,5.8200,5.7200,17359439,100981717.2900
2019-02-13,sz.002276,5.7900,5.9600,5.7400,5.9000,5.8200,20152272,118199189.5400
2019-02-14,sz.002276,5.8500,6.0200,5.8300,5.8700,5.9000,18402863,108705793.9600
2019-02-15,sz.002276,5.9300,6.0500,5.8700,5.9000,5.8700,21802751,130079260.9400
2019-02-18,sz.002276,5.9200,6.1100,5.9100,6.0900,5.9000,20912058,126040648.7800
2019-02-19,sz.002276,6.1200,6.2000,5.9500,6.0800,6.0900,21963911,133060582.2200
2019-02-20,sz.002276,6.0800,6.1700,5.9300,6.0300,6.0800,18393972,111151430.4200
2019-02-21,sz.002276,5.9700,6.1400,5.9600,5.9700,6.0300,24101810,145963613.3000
2019-02-22,sz.002276,6.0000,6.1900,5.9900,6.1900,5.9700,26114753,159759394.2100
2019-02-25,sz.002276,6.3000,6.5800,6.1600,6.5400,6.1900,40779186,260380254.9900
2019-02-26,sz.002276,6.5100,7.1900,6.4200,6.8600,6.5400,52525150,357955612.5000
2019-02-27,sz.002276,6.8600,7.0900,6.5700,6.7100,6.8600,39608789,271053318.5500
2019-02-28,sz.002276,6.6800,6.8500,6.6100,6.6800,6.7100,21919301,147270297.0400
2019-03-01,sz.002276,6.7500,6.7500,6.5600,6.6900,6.6800,18713498,124336026.7200
2019-03-04,sz.002276,6.8000,7.2400,6.8000,7.0500,6.6900,52143887,367656734.9500
2019-03-05,sz.002276,6.9500,7.1200,6.9500,7.1000,7.0500,31309576,220378501.1200
2019-03-06,sz.002276,7.2000,7.3100,6.9500,7.2200,7.1000,44069503,314920838.6800
2019-03-07,sz.002276,7.1500,7.5800,7.1100,7.3200,7.2200,42570290,310185842.4300
2019-03-08,sz.002276,7.1300,7.4400,6.9000,6.9000,7.3200,41521340,296127039.9800
2019-03-11,sz.002276,6.9100,7.5900,6.9100,7.5900,6.9000,47219548,347515243.2400
2019-03-12,sz.002276,7.9500,7.9500,7.4500,7.6400,7.5900,61196641,472233124.7700
2019-03-13,sz.002276,7.5000,8.1200,7.4500,7.6200,7.6400,52564613,408834481.1300
2019-03-14,sz.002276,7.4900,7.8100,7.2700,7.4500,7.6200,31102650,232740741.3900
2019-03-15,sz.002276,7.5500,7.6600,7.3600,7.5100,7.4500,22590644,169543435.2200
2019-03-18,sz.002276,7.5600,7.6200,7.1100,7.4200,7.5100,27916491,203879529.1400
2019-03-19,sz.002276,7.4000,7.7200,7.4000,7.5400,7.4200,27678701,208803609.7600
2019-03-20,sz.002276,7.4400,7.4900,7.1200,7.2700,7.5400,32549852,236421153.3900
2019-03-21,sz.002276,7.2700,7.4000,7.2100,7.3100,7.2700,23524889,172042068.3100
2019-03-22,sz.002276,7.3200,7.3700,7.1800,7.3300,7.3100,17444274,126919173.2400
2019-03-25,sz.002276,7.1300,7.6900,7.1100,7.4000,7.3300,32862723,245227671.1900
