date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300376,4.2200,4.2300,4.1500,4.1600,4.2100,3262801,13628913.1500
2019-01-03,sz.300376,4.1800,4.2400,4.1400,4.1500,4.1600,3447283,14403369.6600
2019-01-04,sz.300376,4.1300,4.2500,4.0700,4.2300,4.1500,4395120,18443615.4000
2019-01-07,sz.300376,4.2700,4.3700,4.2400,4.3500,4.2300,5895147,25446365.2500
2019-01-08,sz.300376,4.3400,4.3900,4.3200,4.3500,4.3500,4703991,20467929.0700
2019-01-09,sz.300376,4.3400,4.4300,4.3100,4.3300,4.3500,6065209,26571063.8200
2019-01-10,sz.300376,4.3500,4.5400,4.3100,4.4400,4.3300,9717221,43284981.3900
2019-01-11,sz.300376,4.4700,4.4800,4.4000,4.4700,4.4400,6198061,27513316.9900
2019-01-14,sz.300376,4.4700,4.5500,4.3600,4.3900,4.4700,6241288,27580456.4400
2019-01-15,sz.300376,4.3700,4.5600,4.3700,4.5300,4.3900,10358330,46506370.5400
2019-01-16,sz.300376,4.5700,4.5800,4.4900,4.4900,4.5300,7695186,34786101.1000
2019-01-17,sz.300376,4.4900,4.5500,4.4400,4.4400,4.4900,7173366,32145671.7000
2019-01-18,sz.300376,4.5000,4.5100,4.4200,4.4800,4.4400,4958982,22123271.7200
2019-01-21,sz.300376,4.5700,4.7700,4.5200,4.5400,4.4800,11890656,54831325.4200
2019-01-22,sz.300376,4.5400,4.5500,4.4000,4.4000,4.5400,7752336,34470361.7700
2019-01-23,sz.300376,4.4500,4.5200,4.4000,4.4900,4.4000,7407397,33049998.8900
2019-01-24,sz.300376,4.4900,4.6000,4.4500,4.5900,4.4900,10145084,46130488.0800
2019-01-25,sz.300376,4.5600,4.6100,4.5100,4.5200,4.5900,8281200,37685432.8600
2019-01-28,sz.300376,4.6600,4.7500,4.5300,4.6200,4.5200,10763241,49669550.2800
2019-01-29,sz.300376,4.5800,4.5800,4.4000,4.4700,4.6200,9920194,44308451.1700
2019-01-30,sz.300376,4.4600,4.5100,4.4000,4.4000,4.4700,5400198,24011413.6500
2019-01-31,sz.300376,4.4000,4.4600,4.2000,4.2700,4.4000,7450032,32272011.4900
2019-02-01,sz.300376,4.2800,4.6700,4.2800,4.6300,4.2700,15174853,68726889.5800
2019-02-11,sz.300376,4.6500,4.7700,4.6000,4.7300,4.6300,16397711,77070311.4400
2019-02-12,sz.300376,4.7300,4.8100,4.6900,4.7400,4.7300,13591631,64550734.4900
2019-02-13,sz.300376,4.7400,4.8200,4.7200,4.7800,4.7400,16085282,76861374.0700
2019-02-14,sz.300376,4.7600,4.8200,4.7200,4.7900,4.7800,11258496,53595318.7600
2019-02-15,sz.300376,4.7900,4.8700,4.7200,4.7200,4.7900,12556660,60172707.3000
2019-02-18,sz.300376,4.7500,4.8900,4.7400,4.8600,4.7200,19061298,92092151.7000
2019-02-19,sz.300376,4.8900,5.1300,4.7900,4.8500,4.8600,25838949,127684375.0200
2019-02-20,sz.300376,4.8000,4.8400,4.7400,4.8000,4.8500,14701745,70410588.1100
2019-02-21,sz.300376,4.7600,4.8700,4.7000,4.7100,4.8000,15461415,73994404.3400
2019-02-22,sz.300376,4.7000,5.0500,4.6900,5.0000,4.7100,35215516,173747625.3000
2019-02-25,sz.300376,5.0800,5.4200,5.0100,5.3400,5.0000,46916373,246839584.9900
2019-02-26,sz.300376,5.3000,5.5200,5.2700,5.3100,5.3400,36728397,198247757.0700
2019-02-27,sz.300376,5.2900,5.4600,5.2000,5.2600,5.3100,26314100,140504102.8000
2019-02-28,sz.300376,5.2500,5.4900,5.2500,5.3400,5.2600,23158279,124384663.9800
2019-03-01,sz.300376,5.3400,5.7800,5.2600,5.6600,5.3400,35010110,191996445.1200
2019-03-04,sz.300376,5.6600,6.0700,5.6200,5.8700,5.6600,48947481,287595904.8400
2019-03-05,sz.300376,5.8500,6.0400,5.7600,6.0400,5.8700,34297608,202188260.0800
2019-03-06,sz.300376,6.0300,6.0900,5.8600,6.0500,6.0400,37368437,223550678.0900
2019-03-07,sz.300376,6.0200,6.2600,5.9600,6.0700,6.0500,33108807,202219117.3300
2019-03-08,sz.300376,5.9500,5.9600,5.7200,5.7300,6.0700,39076698,228897210.6200
2019-03-11,sz.300376,5.7100,6.3000,5.7100,6.3000,5.7300,49649444,300901013.5300
2019-03-12,sz.300376,6.4000,6.4800,6.1200,6.2800,6.3000,54039095,340421135.0500
2019-03-13,sz.300376,6.2300,6.2800,6.0200,6.0700,6.2800,26533482,163098308.2500
2019-03-14,sz.300376,6.0600,6.2800,6.0000,6.1800,6.0700,33108744,202945770.1900
2019-03-15,sz.300376,6.3000,6.3900,6.1100,6.1800,6.1800,22389168,138922920.8300
2019-03-18,sz.300376,6.1700,6.2500,6.0200,6.1400,6.1800,19946492,121720191.4000
2019-03-19,sz.300376,6.1100,6.2000,6.0300,6.0800,6.1400,15854152,96737239.6400
2019-03-20,sz.300376,6.1300,6.1300,5.8400,6.0000,6.0800,17268200,103217351.7100
2019-03-21,sz.300376,6.0200,6.2000,5.9900,6.1000,6.0000,20092743,122455362.2300
2019-03-22,sz.300376,6.1200,6.1500,5.9700,6.0600,6.1000,11713910,70876185.0200
2019-03-25,sz.300376,5.9800,6.1900,5.9300,6.0500,6.0600,15775068,95808182.7600
2019-03-26,sz.300376,6.0600,6.0800,5.7200,5.7400,6.0500,19783956,116213156.6900
2019-03-27,sz.300376,5.9500,6.0500,5.7800,5.8600,5.7400,19177300,113171955.4700
2019-03-28,sz.300376,5.8200,5.8700,5.7100,5.7100,5.8600,14025400,80918752.0000
2019-03-29,sz.300376,5.5600,5.6600,5.2800,5.6000,5.7100,29270084,161005738.6400
2019-04-01,sz.300376,5.6200,5.8900,5.6100,5.8400,5.6000,24307326,140947416.8500
2019-04-02,sz.300376,5.9500,5.9600,5.8300,5.8500,5.8400,15474439,91081361.6700
2019-04-03,sz.300376,5.8400,5.8400,5.7400,5.7700,5.8500,20880833,120719392.4100
2019-04-04,sz.300376,5.8400,5.8600,5.6800,5.7100,5.7700,18598227,106403461.5900
2019-04-08,sz.300376,5.7600,5.7900,5.4900,5.5700,5.7100,20065126,112824052.2200
2019-04-09,sz.300376,5.5900,5.6700,5.4800,5.6300,5.5700,13625324,76240351.1600
2019-04-10,sz.300376,5.6300,5.6700,5.5600,5.5800,5.6300,13498141,75595355.9300
2019-04-11,sz.300376,5.6200,5.7100,5.5300,5.5400,5.5800,15983562,89808094.6500
2019-04-12,sz.300376,5.5500,5.6100,5.5000,5.5600,5.5400,10502488,58231938.3700
2019-04-15,sz.300376,5.6000,5.8200,5.6000,5.6200,5.5600,22179585,126678955.7900
2019-04-16,sz.300376,5.5800,5.8100,5.4900,5.7700,5.6200,23609338,133567290.9200
2019-04-17,sz.300376,5.7200,6.1200,5.7000,6.0400,5.7700,40479369,240752231.5800
2019-04-18,sz.300376,6.0600,6.0600,5.9000,5.9500,6.0400,25397886,151042405.8000
2019-04-19,sz.300376,5.9400,6.1200,5.8400,6.0800,5.9500,27976243,168120373.0800
2019-04-22,sz.300376,6.1100,6.3000,6.0200,6.1800,6.0800,35525455,220122350.0300
2019-04-23,sz.300376,6.1500,6.1500,5.9200,5.9400,6.1800,23207166,139162723.0100
2019-04-24,sz.300376,5.9500,6.1400,5.8800,6.1100,5.9400,21408874,128951195.9800
2019-04-25,sz.300376,5.9700,6.1100,5.8000,5.8300,6.1100,29142640,173996390.1900
2019-04-26,sz.300376,5.9000,6.0700,5.8400,5.9500,5.8300,24229182,144816413.5900
2019-04-29,sz.300376,5.9700,6.0600,5.7500,5.8200,5.9500,25763491,153480299.9400
2019-04-30,sz.300376,5.9000,6.2000,5.8500,5.9400,5.8200,26655559,160169099.9100
2019-05-06,sz.300376,5.7500,5.7500,5.3500,5.3500,5.9400,29315885,159913927.7500
2019-05-07,sz.300376,5.3500,5.4400,5.1300,5.2300,5.3500,17680368,93257055.8900
2019-05-08,sz.300376,5.1900,5.3800,5.1600,5.2600,5.2300,11267392,59553992.2100
2019-05-09,sz.300376,5.1800,5.3200,5.1600,5.2200,5.2600,7179520,37720520.4000
2019-05-10,sz.300376,5.2900,5.3800,5.1500,5.3600,5.2200,12504820,66283970.2000
2019-05-13,sz.300376,5.2900,5.3700,5.2500,5.3000,5.3600,7139100,37815929.0000
2019-05-14,sz.300376,5.2400,5.3300,5.2000,5.2700,5.3000,6141540,32389392.0000
2019-05-15,sz.300376,5.3000,5.3400,5.2500,5.2900,5.2700,9705651,51335314.0700
2019-05-16,sz.300376,5.2900,5.2900,5.2000,5.2300,5.2900,10768007,56217442.0000
2019-05-17,sz.300376,5.2300,5.2600,5.1200,5.1500,5.2300,15345384,79319002.0800
2019-05-20,sz.300376,5.1600,5.1900,5.1200,5.1500,5.1500,5997526,30892599.8400
2019-05-21,sz.300376,5.1800,5.2400,5.1300,5.1800,5.1500,6968330,36125743.3600
2019-05-22,sz.300376,5.1900,5.2100,5.1200,5.1500,5.1800,5551260,28672747.0000
2019-05-23,sz.300376,5.1700,5.1700,5.0200,5.0200,5.1500,8926600,45304448.0000
2019-05-24,sz.300376,4.9900,5.0700,4.9700,4.9700,5.0200,5644305,28225237.2000
2019-05-27,sz.300376,5.0400,5.0700,4.9700,5.0600,4.9700,4500386,22673061.4400
2019-05-28,sz.300376,5.0800,5.0900,5.0000,5.0200,5.0600,5604000,28270302.0000
2019-05-29,sz.300376,5.0200,5.0400,4.9900,4.9900,5.0200,4452915,22314408.7200
2019-05-30,sz.300376,4.9200,4.9700,4.9000,4.9400,4.9900,5100166,25112905.7200
2019-05-31,sz.300376,4.9400,5.0300,4.9300,4.9600,4.9400,3649786,18169251.3600
2019-06-03,sz.300376,4.9900,5.1900,4.9100,5.0800,4.9600,10861798,54929867.5200
2019-06-04,sz.300376,5.0800,5.1100,4.9800,5.0200,5.0800,5523500,27840064.0000
2019-06-05,sz.300376,5.0700,5.1400,5.0200,5.0300,5.0200,4052600,20544857.0000
2019-06-06,sz.300376,5.0000,5.0300,4.8300,4.8800,5.0300,4349100,21388708.0000
2019-06-10,sz.300376,4.9200,4.9600,4.8800,4.8800,4.8800,3130200,15377725.0000
2019-06-11,sz.300376,4.9400,5.0000,4.9100,4.9900,4.8800,5899800,29321213.0000
2019-06-12,sz.300376,5.0400,5.0500,4.9400,4.9600,4.9900,5008575,24976791.7500
2019-06-13,sz.300376,4.9400,5.0000,4.9100,4.9700,4.9600,4060000,20125485.1500
2019-06-14,sz.300376,4.9500,5.0000,4.8200,4.8600,4.9700,5581200,27338651.0000
2019-06-17,sz.300376,4.8600,4.8900,4.7800,4.8200,4.8600,3237185,15611059.5500
2019-06-18,sz.300376,4.8100,4.8500,4.7200,4.7300,4.8200,4324400,20597418.7000
2019-06-19,sz.300376,4.8000,5.0900,4.7800,4.9600,4.7300,10628988,52259878.0200
2019-06-20,sz.300376,4.9800,5.1000,4.9600,5.1000,4.9600,15198440,76484753.2000
2019-06-21,sz.300376,5.1100,5.3000,5.0600,5.2800,5.1000,20207440,104754327.6000
2019-06-24,sz.300376,5.2700,5.2800,5.1100,5.1100,5.2800,11498325,59287496.2500
2019-06-25,sz.300376,5.1600,5.1600,4.8900,5.0100,5.1100,8882435,44318302.8500
2019-06-26,sz.300376,5.0100,5.0500,4.9600,4.9600,5.0100,4669965,23307152.0500
2019-06-27,sz.300376,4.9700,5.0600,4.9700,5.0300,4.9600,7427524,37210017.0600
2019-06-28,sz.300376,5.0500,5.0500,4.9000,4.9300,5.0300,5339330,26396965.0000
2019-07-01,sz.300376,5.0200,5.1000,5.0100,5.0800,4.9300,10420300,52754635.0000
2019-07-02,sz.300376,5.0600,5.0700,5.0000,5.0200,5.0800,6624083,33239616.4700
2019-07-03,sz.300376,5.0100,5.0200,4.8900,4.9200,5.0200,6535600,32199401.0000
2019-07-04,sz.300376,4.9200,4.9700,4.9000,4.9200,4.9200,3448800,17009341.0000
2019-07-05,sz.300376,4.9500,4.9500,4.8800,4.9100,4.9200,3016200,14802284.0000
2019-07-08,sz.300376,4.9000,4.9000,4.6400,4.6700,4.9100,9545100,45105861.0000
2019-07-09,sz.300376,4.7000,4.7000,4.6000,4.6400,4.6700,4368949,20261351.1500
2019-07-10,sz.300376,4.6600,4.6900,4.5800,4.6000,4.6400,3191208,14706422.4900
2019-07-11,sz.300376,4.6000,4.6900,4.5900,4.6000,4.5800,3769200,17482772.0000
2019-07-12,sz.300376,4.6200,4.6400,4.5600,4.6000,4.6000,2516453,11595687.2700
2019-07-15,sz.300376,4.5200,4.6400,4.4000,4.6200,4.6000,5113552,23266275.8400
2019-07-16,sz.300376,4.6000,4.6400,4.5700,4.5800,4.6200,2643800,12156319.0000
2019-07-17,sz.300376,4.5800,4.6000,4.5300,4.5500,4.5800,4529095,20725751.1000
2019-07-18,sz.300376,4.5500,4.5500,4.4200,4.4300,4.5500,5242500,23392157.0000
2019-07-19,sz.300376,4.4800,4.5800,4.4500,4.5500,4.4300,5357700,24275140.7600
2019-07-22,sz.300376,4.5500,4.5900,4.4400,4.4500,4.5500,4357000,19495445.0000
2019-07-23,sz.300376,4.4500,4.5100,4.4400,4.4800,4.4500,2537600,11377191.0000
2019-07-24,sz.300376,4.5400,4.5900,4.5200,4.5700,4.4800,4028900,18394995.0000
2019-07-25,sz.300376,4.5500,4.5900,4.5300,4.5500,4.5700,3019850,13763137.5000
2019-07-26,sz.300376,4.5300,4.6000,4.5300,4.5900,4.5500,3522000,16110779.0000
2019-07-29,sz.300376,4.5900,4.7000,4.5800,4.6400,4.5900,5569300,25921500.7400
2019-07-30,sz.300376,4.6800,4.7200,4.6200,4.6700,4.6400,4762824,22319765.4300
2019-07-31,sz.300376,4.6200,4.6600,4.6200,4.6500,4.6700,3339100,15496109.0000
2019-08-01,sz.300376,4.6200,4.6700,4.5700,4.5800,4.6500,3480100,16028886.0000
2019-08-02,sz.300376,4.4300,4.5600,4.4300,4.5600,4.5800,5821913,26137413.3700
2019-08-05,sz.300376,4.5200,4.5600,4.4500,4.5300,4.5600,4478100,20109873.0000
2019-08-06,sz.300376,4.4400,4.4500,4.2800,4.3200,4.5300,6870128,29959476.5200
2019-08-07,sz.300376,4.3300,4.4000,4.3000,4.3500,4.3200,3133730,13566431.9000
2019-08-08,sz.300376,4.3600,4.3700,4.3000,4.3500,4.3500,2874100,12447502.1800
2019-08-09,sz.300376,4.3300,4.4100,4.3100,4.4000,4.3500,5406800,23596185.4700
2019-08-12,sz.300376,4.3600,4.3900,4.1700,4.3200,4.4000,6145826,26190976.2400
2019-08-13,sz.300376,4.2800,4.3300,4.2400,4.2500,4.3200,3547700,15139704.0000
2019-08-14,sz.300376,4.2600,4.3900,4.2600,4.3400,4.2500,5719541,24685489.1300
2019-08-15,sz.300376,4.2100,4.4700,4.2000,4.3300,4.3400,6924840,29889730.7000
2019-08-16,sz.300376,4.3200,4.3600,4.2400,4.3000,4.3300,5912720,25412375.3000
2019-08-19,sz.300376,4.3200,4.4000,4.3100,4.3900,4.3000,6477793,28252721.0900
2019-08-20,sz.300376,4.4000,4.4500,4.3800,4.3900,4.3900,5574500,24578083.0000
2019-08-21,sz.300376,4.3700,4.4400,4.3700,4.4100,4.3900,4282324,18891444.6000
2019-08-22,sz.300376,4.4200,4.4300,4.3300,4.4000,4.4100,4409615,19300244.9500
2019-08-23,sz.300376,4.4100,4.4200,4.3300,4.3500,4.4000,4410907,19308417.3800
2019-08-26,sz.300376,4.2300,4.4100,4.2200,4.4100,4.3500,7690535,33217055.8500
2019-08-27,sz.300376,4.3800,4.5000,4.3800,4.4800,4.4100,9033640,40213950.4000
2019-08-28,sz.300376,4.4900,4.5800,4.4100,4.5100,4.4800,8273253,36995899.2900
2019-08-29,sz.300376,4.5000,4.5100,4.4400,4.4400,4.5100,6476000,28884507.0000
2019-08-30,sz.300376,4.4600,4.5000,4.3600,4.3800,4.4400,4726100,20939011.0000
2019-09-02,sz.300376,4.7400,4.7400,4.5100,4.5900,4.3800,15223300,70173539.6000
2019-09-03,sz.300376,4.5800,4.5800,4.4800,4.5300,4.5900,10502380,47352682.0000
2019-09-04,sz.300376,4.5000,4.5400,4.4700,4.5400,4.5300,7390262,33272314.7900
2019-09-05,sz.300376,4.5400,4.6200,4.5300,4.5700,4.5400,12264714,56036946.3600
2019-09-06,sz.300376,4.5700,4.6100,4.5300,4.5600,4.5700,6628953,30262490.0900
2019-09-09,sz.300376,4.6100,4.7000,4.5500,4.6900,4.5600,13601253,63054200.3900
2019-09-10,sz.300376,4.6800,4.9800,4.6800,4.8100,4.6900,21339199,103352391.9900
2019-09-11,sz.300376,4.8200,4.8500,4.7300,4.8100,4.8100,10803000,51678046.6700
2019-09-12,sz.300376,4.8000,5.0300,4.7600,4.9800,4.8100,22446660,110618199.1800
2019-09-16,sz.300376,5.0100,5.0300,4.8800,4.9200,4.9800,18207750,90257936.9400
2019-09-17,sz.300376,4.9000,4.9400,4.6500,4.7500,4.9200,13145674,62435310.4600
2019-09-18,sz.300376,4.7200,4.7700,4.6600,4.6800,4.7500,6148474,29034528.7800
2019-09-19,sz.300376,4.7000,4.8200,4.6200,4.8000,4.6800,7920557,37652697.5000
2019-09-20,sz.300376,4.8600,4.8700,4.7400,4.8000,4.8000,7347519,35197497.1500
2019-09-23,sz.300376,4.7700,4.8000,4.7100,4.7400,4.8000,5554700,26411505.0000
2019-09-24,sz.300376,4.7500,4.7700,4.6800,4.6800,4.7400,7528208,35529531.8400
2019-09-25,sz.300376,4.6400,4.6600,4.5700,4.6100,4.6800,5418534,25007433.4800
2019-09-26,sz.300376,4.6100,4.6400,4.4000,4.4300,4.6100,7069350,31895432.8400
2019-09-27,sz.300376,4.4400,4.5200,4.4100,4.4900,4.4300,3733140,16742063.7000
2019-09-30,sz.300376,4.5200,4.5300,4.4000,4.4000,4.4900,3385500,15045765.0000
