date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002125,6.7100,6.7600,6.6300,6.6600,6.6700,1300800,8675894.4000
2019-01-03,sz.002125,6.6600,6.7400,6.6400,6.7200,6.6600,1125984,7544934.4200
2019-01-04,sz.002125,6.6600,6.8400,6.4200,6.8100,6.7200,1667062,11236333.5800
2019-01-07,sz.002125,6.8400,6.9800,6.8300,6.9100,6.8100,1860060,12828133.0000
2019-01-08,sz.002125,6.9600,6.9800,6.8600,6.9000,6.9100,1186117,8200875.1300
2019-01-09,sz.002125,6.9400,6.9900,6.8500,6.8600,6.9000,1807300,12515508.0000
2019-01-10,sz.002125,6.8100,6.9200,6.7600,6.9100,6.8600,1492265,10232785.2400
2019-01-11,sz.002125,6.8200,6.9100,6.8200,6.9000,6.9100,1419161,9746127.0200
2019-01-14,sz.002125,6.9000,6.9400,6.8400,6.8900,6.9000,1556400,10730259.0000
2019-01-15,sz.002125,6.8900,6.9400,6.8100,6.9400,6.8900,1811600,12500697.0000
2019-01-16,sz.002125,6.9400,7.0500,6.9200,7.0100,6.9400,2218401,15518976.9700
2019-01-17,sz.002125,7.0100,7.1400,6.8500,6.9500,7.0100,3303446,23195150.9300
2019-01-18,sz.002125,7.0700,7.0700,6.9300,6.9900,6.9500,1889998,13182065.9800
2019-01-21,sz.002125,6.9900,7.2200,6.9900,7.2000,6.9900,3593120,25606619.7800
2019-01-22,sz.002125,7.1700,7.1700,7.0500,7.0600,7.2000,1754320,12460219.6000
2019-01-23,sz.002125,7.0400,7.1600,6.9400,7.0800,7.0600,1053440,7463207.8000
2019-01-24,sz.002125,7.0800,7.1500,6.9600,7.0900,7.0800,1707700,12093624.2000
2019-01-25,sz.002125,7.1000,7.4800,7.0700,7.2000,7.0900,4253899,30814896.0100
2019-01-28,sz.002125,7.2300,7.4500,7.1300,7.3200,7.2000,3476563,25357058.9900
2019-01-29,sz.002125,7.2200,7.2800,7.0100,7.1400,7.3200,2528260,18037442.4000
2019-01-30,sz.002125,7.1400,7.3800,7.0700,7.2500,7.1400,2292020,16672951.2000
2019-01-31,sz.002125,7.2000,7.4500,7.1600,7.4500,7.2500,4285736,31458011.5600
2019-02-01,sz.002125,7.4400,7.4900,7.3300,7.4800,7.4500,3489743,25911039.5500
2019-02-11,sz.002125,7.4900,7.8000,7.3600,7.7700,7.4800,5044678,38190856.9600
2019-02-12,sz.002125,7.6900,7.8000,7.5300,7.7000,7.7700,4735721,36334003.1200
2019-02-13,sz.002125,7.6700,7.8400,7.6300,7.7300,7.7000,3815280,29411409.0000
2019-02-14,sz.002125,7.7300,7.7300,7.6400,7.6800,7.7300,2629260,20218738.8000
2019-02-15,sz.002125,7.6400,7.6800,7.5300,7.5400,7.6800,3494522,26545889.6800
2019-02-18,sz.002125,7.6800,7.7400,7.5500,7.7200,7.5400,4126470,31607857.5500
2019-02-19,sz.002125,7.7200,7.8200,7.5700,7.6400,7.7200,5260721,40535244.7000
2019-02-20,sz.002125,7.6100,7.8500,7.6100,7.7600,7.6400,4744044,36705141.0300
2019-02-21,sz.002125,7.7900,7.9000,7.5700,7.6000,7.7600,5353763,41341151.3400
2019-02-22,sz.002125,7.6000,7.7000,7.5500,7.7000,7.6000,3974189,30250431.2900
2019-02-25,sz.002125,7.7900,8.1500,7.7000,8.0800,7.7000,9118400,72337695.9800
2019-02-26,sz.002125,8.0500,8.3000,7.9200,8.0500,8.0800,7960491,64342664.7600
2019-02-27,sz.002125,8.0100,8.1700,7.9400,7.9900,8.0500,4827885,38839141.4800
2019-02-28,sz.002125,8.1700,8.4500,8.1000,8.1800,7.9900,5775050,47601490.3900
