date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002364,11.9000,12.0500,11.7100,11.7400,11.7600,5509700,65154786.2500
2019-01-03,sz.002364,11.7000,11.9700,11.5500,11.6900,11.7400,6109211,71834949.5000
2019-01-04,sz.002364,11.7200,12.3000,11.4300,11.5100,11.6900,11010502,129171832.8500
2019-01-07,sz.002364,11.5800,11.8900,11.4500,11.8600,11.5100,10280829,120473463.9800
2019-01-08,sz.002364,11.9100,12.0000,11.7200,11.7400,11.8600,7482242,88469312.7000
2019-01-09,sz.002364,11.8300,11.8300,11.6200,11.6500,11.7400,8356706,97775195.8000
2019-01-10,sz.002364,11.6300,11.7300,11.4700,11.5500,11.6500,7902074,91624763.3900
2019-01-11,sz.002364,11.6200,11.6200,11.1200,11.1800,11.5500,8951017,101410236.6000
2019-01-14,sz.002364,11.2000,11.2700,10.7200,10.7900,11.1800,9461683,103511335.5900
2019-01-15,sz.002364,10.7900,10.9000,10.4000,10.7900,10.7900,13920506,147404990.6200
2019-01-16,sz.002364,10.7300,10.8300,10.6000,10.7000,10.7900,4878695,52305190.2800
2019-01-17,sz.002364,10.7100,10.7900,10.5700,10.6900,10.7000,5000278,53462728.0900
2019-01-18,sz.002364,10.6900,10.9700,10.6000,10.6800,10.6900,10230468,110263496.2000
2019-01-21,sz.002364,10.7400,10.8800,10.6000,10.6500,10.6800,11333000,121683302.0000
2019-01-22,sz.002364,10.6500,10.7900,10.1300,10.1400,10.6500,13696030,143221371.6800
2019-01-23,sz.002364,10.1100,10.2300,9.7000,9.8400,10.1400,11032683,108907706.9900
2019-01-24,sz.002364,9.9200,9.9800,9.6000,9.7000,9.8400,8393068,81732894.5600
2019-01-25,sz.002364,9.7100,9.8000,9.4000,9.4000,9.7000,9178573,87733310.9900
2019-01-28,sz.002364,9.4400,9.5000,9.1600,9.2700,9.4000,7623331,71254880.1200
2019-01-29,sz.002364,9.2400,9.2500,8.8400,8.9600,9.2700,5855400,52806388.7800
2019-01-30,sz.002364,9.0100,9.0800,8.8100,8.8500,8.9600,4200492,37602796.7200
2019-01-31,sz.002364,8.8900,9.1400,8.8300,8.9300,8.8500,6206609,55586635.0100
2019-02-01,sz.002364,8.9400,9.1900,8.9400,9.1800,8.9300,4944074,44902971.9000
2019-02-11,sz.002364,9.1800,9.4400,9.1800,9.4200,9.1800,6020800,56145319.0000
