date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600405,4.1500,4.1900,4.0900,4.1300,4.0900,3113373,12875965.0000
2019-01-03,sh.600405,4.0900,4.1800,4.0900,4.1300,4.1300,3330993,13790595.0000
2019-01-04,sh.600405,4.0800,4.2800,4.0000,4.2600,4.1300,5510691,23140859.0000
2019-01-07,sh.600405,4.2700,4.6900,4.2700,4.6900,4.2600,12388365,56634953.0000
2019-01-08,sh.600405,4.9000,5.1600,4.7700,4.8400,4.6900,47428078,236296549.0000
2019-01-09,sh.600405,4.7300,4.9000,4.5800,4.6700,4.8400,30352651,142556103.0000
2019-01-10,sh.600405,4.6900,4.8600,4.6200,4.7300,4.6700,20713644,98267568.0000
2019-01-11,sh.600405,4.7000,4.8300,4.6500,4.7100,4.7300,14594511,68985093.0000
2019-01-14,sh.600405,4.7300,4.7800,4.6200,4.6600,4.7100,8917003,41725801.0000
2019-01-15,sh.600405,4.6900,4.8100,4.6500,4.7700,4.6600,13172332,62522917.0000
2019-01-16,sh.600405,4.7600,4.7800,4.7100,4.7100,4.7700,7748002,36757584.0000
2019-01-17,sh.600405,4.7400,4.7400,4.5400,4.5500,4.7100,9637167,44275628.0000
2019-01-18,sh.600405,4.5600,4.6400,4.5000,4.6400,4.5500,5962516,27281433.0000
2019-01-21,sh.600405,4.9800,5.1000,4.7400,4.7800,4.6400,27541441,136830776.0000
2019-01-22,sh.600405,4.8000,4.8500,4.4800,4.5500,4.7800,18025135,83283507.0000
2019-01-23,sh.600405,4.5700,5.0100,4.5100,5.0100,4.5500,26813225,128947341.0000
2019-01-24,sh.600405,5.1900,5.3300,4.9400,5.0000,5.0100,46038927,235552250.0000
2019-01-25,sh.600405,4.9800,5.1300,4.8400,4.9300,5.0000,28531526,141603347.0000
2019-01-28,sh.600405,4.9700,4.9900,4.8000,4.8000,4.9300,17213687,83859646.0000
2019-01-29,sh.600405,4.7900,4.7900,4.4700,4.5300,4.8000,17657776,81054982.0000
2019-01-30,sh.600405,4.5000,4.6200,4.4300,4.4300,4.5300,7970835,36082844.0000
2019-01-31,sh.600405,4.2500,4.4900,4.2500,4.3400,4.4300,8482107,37052120.0000
2019-02-01,sh.600405,4.3400,4.5000,4.3400,4.5000,4.3400,4599701,20486066.0000
2019-02-11,sh.600405,4.5200,4.6600,4.5200,4.6500,4.5000,6808034,31337365.0000
2019-02-12,sh.600405,4.6400,4.8800,4.6300,4.7900,4.6500,10735370,51152940.0000
2019-02-13,sh.600405,4.7000,4.9400,4.7000,4.8300,4.7900,12666849,61005169.0000
2019-02-14,sh.600405,4.8400,4.8800,4.7800,4.8100,4.8300,8279700,39946921.0000
2019-02-15,sh.600405,4.8200,4.9100,4.7400,4.7600,4.8100,8818587,42564688.0000
2019-02-18,sh.600405,4.8200,4.9400,4.8000,4.9200,4.7600,11448606,55999094.0000
2019-02-19,sh.600405,4.9400,4.9800,4.8000,4.8800,4.9200,10678741,52238606.0000
2019-02-20,sh.600405,4.8800,5.3600,4.8700,5.0900,4.8800,26048036,133002078.0000
2019-02-21,sh.600405,5.0200,5.2400,4.9400,4.9900,5.0900,20904268,105826557.0000
2019-02-22,sh.600405,4.9500,5.0700,4.9100,5.0700,4.9900,13170498,65729575.0000
2019-02-25,sh.600405,5.1100,5.4700,5.0700,5.4000,5.0700,29374423,154541178.0000
2019-02-26,sh.600405,5.5000,5.6400,5.2500,5.3600,5.4000,32750035,178938585.0000
2019-02-27,sh.600405,5.2900,5.4000,5.1200,5.2100,5.3600,20139774,106340958.0000
2019-02-28,sh.600405,5.2800,5.3700,5.1800,5.2500,5.2100,11711246,61673811.0000
2019-03-01,sh.600405,5.2600,5.3000,5.2000,5.2700,5.2500,8781199,46085034.0000
2019-03-04,sh.600405,5.3100,5.4600,5.2900,5.3900,5.2700,20553070,110347772.0000
2019-03-05,sh.600405,5.3100,5.4500,5.3000,5.4400,5.3900,16580674,88902947.0000
2019-03-06,sh.600405,5.4500,5.8000,5.4000,5.6200,5.4400,27956866,156122977.0000
2019-03-07,sh.600405,5.5400,5.6800,5.4500,5.5900,5.6200,22916693,127912994.0000
2019-03-08,sh.600405,5.5100,5.5200,5.1900,5.2000,5.5900,18167703,97655460.0000
2019-03-11,sh.600405,5.2800,5.6200,5.2600,5.6200,5.2000,21728612,118786364.0000
2019-03-12,sh.600405,5.7100,5.7700,5.4800,5.5900,5.6200,23274135,130609169.0000
2019-03-13,sh.600405,5.5900,5.8800,5.4600,5.7300,5.5900,33076066,188271283.0000
2019-03-14,sh.600405,5.6500,6.3000,5.5600,6.1200,5.7300,84328246,521526844.0000
2019-03-15,sh.600405,5.9500,6.0000,5.7500,5.9600,6.1200,56516753,331955398.0000
2019-03-18,sh.600405,6.0000,6.0400,5.6600,5.8500,5.9600,29437343,170851881.0000
2019-03-19,sh.600405,5.8000,6.1000,5.7300,5.8700,5.8500,25919319,152966924.0000
2019-03-20,sh.600405,5.7500,5.8400,5.5600,5.7100,5.8700,23463351,133572068.0000
2019-03-21,sh.600405,5.6800,5.7700,5.6300,5.7100,5.7100,15484126,88455030.0000
2019-03-22,sh.600405,5.7300,5.7500,5.6000,5.7000,5.7100,11390042,64444132.0000
2019-03-25,sh.600405,5.6200,5.6900,5.5700,5.6100,5.7000,9168273,51700980.0000
2019-03-26,sh.600405,5.6300,5.6700,5.3600,5.3900,5.6100,13212671,72610852.0000
2019-03-27,sh.600405,5.7700,5.8900,5.6100,5.6700,5.3900,30812847,176614716.0000
2019-03-28,sh.600405,5.5300,5.6900,5.3700,5.4300,5.6700,19302925,105536684.0000
2019-03-29,sh.600405,5.3900,5.5500,5.3300,5.5000,5.4300,12763768,69519349.0000
2019-04-01,sh.600405,5.5200,5.6700,5.5200,5.6700,5.5000,14628952,82264746.0000
2019-04-02,sh.600405,5.6800,5.7400,5.6200,5.7200,5.6700,16275503,92484308.0000
2019-04-03,sh.600405,5.7000,5.7100,5.6400,5.6900,5.7200,10247453,58107128.0000
2019-04-04,sh.600405,5.6800,5.7700,5.6600,5.7400,5.6900,15209939,86944089.0000
2019-04-08,sh.600405,5.7500,5.8300,5.6000,5.6700,5.7400,13551164,77657772.0000
2019-04-09,sh.600405,5.6700,5.7200,5.5000,5.6500,5.6700,9286855,52366491.0000
2019-04-10,sh.600405,5.6500,5.7800,5.6200,5.7400,5.6500,13825075,78978519.0000
2019-04-11,sh.600405,5.7900,5.8400,5.6400,5.8300,5.7400,19367504,111384174.0000
2019-04-12,sh.600405,6.4100,6.4100,6.3700,6.4100,5.8300,28899980,185241162.0000
2019-04-15,sh.600405,6.7800,6.8000,6.1200,6.1200,6.4100,59945502,384568600.0000
2019-04-16,sh.600405,5.8800,6.2600,5.8000,6.1800,6.1200,30320194,183474432.0000
2019-04-17,sh.600405,6.1300,6.4200,6.0700,6.2700,6.1800,35167312,220829092.0000
2019-04-18,sh.600405,6.2000,6.2700,6.0500,6.1100,6.2700,26719493,164048180.0000
2019-04-19,sh.600405,6.0800,6.5300,5.9200,6.2800,6.1100,32870431,204831280.0000
2019-04-22,sh.600405,6.2500,6.4500,6.1000,6.1100,6.2800,20829637,129689616.0000
2019-04-23,sh.600405,6.1500,6.1500,5.8300,5.8500,6.1100,16048078,95382614.0000
2019-04-24,sh.600405,5.9200,5.9800,5.8400,5.9600,5.8500,10577067,62612957.0000
2019-04-25,sh.600405,5.8600,5.8800,5.5100,5.5300,5.9600,19326441,109666874.0000
2019-04-26,sh.600405,5.5200,5.5600,5.4000,5.4200,5.5300,8238910,45342650.0000
2019-04-29,sh.600405,5.4300,5.5200,5.1500,5.1600,5.4200,10946829,57644969.0000
2019-04-30,sh.600405,5.1400,5.2600,5.1000,5.1900,5.1600,5659929,29431922.0000
2019-05-06,sh.600405,5.1000,5.1000,4.6800,4.7000,5.1900,9277278,45069229.0000
2019-05-07,sh.600405,4.7600,4.8700,4.7000,4.8400,4.7000,6106092,29269101.0000
2019-05-08,sh.600405,4.7700,4.9100,4.7000,4.8600,4.8400,5817101,28134598.0000
2019-05-09,sh.600405,4.8000,4.8900,4.7600,4.8200,4.8600,4221114,20452896.0000
2019-05-10,sh.600405,4.8400,4.9700,4.7200,4.9500,4.8200,7757936,38048271.0000
2019-05-13,sh.600405,4.9000,4.9700,4.8700,4.9100,4.9500,5103051,25047847.0000
2019-05-14,sh.600405,4.8500,4.9000,4.8100,4.8400,4.9100,4338363,21071786.0000
2019-05-15,sh.600405,4.8700,5.0200,4.8700,5.0000,4.8400,6055562,30010595.0000
2019-05-16,sh.600405,5.0300,5.2500,5.0100,5.0800,5.0000,10619780,54552890.0000
2019-05-17,sh.600405,5.0800,5.1500,4.9400,4.9600,5.0800,6717582,33774348.0000
2019-05-20,sh.600405,4.9600,5.0500,4.7400,4.9100,4.9600,5692437,27621703.0000
2019-05-21,sh.600405,4.8900,5.0000,4.8500,4.9800,4.9100,4961054,24565819.0000
2019-05-22,sh.600405,4.9500,5.0400,4.8900,5.0200,4.9800,5219075,25967049.0000
2019-05-23,sh.600405,5.0200,5.0200,4.8200,4.8500,5.0200,5739545,28083315.0000
2019-05-24,sh.600405,4.8200,4.8800,4.7300,4.7500,4.8500,5034888,24045438.0000
2019-05-27,sh.600405,4.8000,4.8900,4.7000,4.8900,4.7500,5153959,24781411.0000
2019-05-28,sh.600405,4.9400,5.0700,4.8700,4.9600,4.8900,9191736,45687117.0000
2019-05-29,sh.600405,4.9500,4.9700,4.8900,4.9300,4.9600,5024063,24781806.0000
2019-05-30,sh.600405,4.9300,4.9300,4.8300,4.9000,4.9300,4336274,21119522.0000
