date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600406,18.5400,18.5900,17.7400,18.1200,18.5300,13058337,235401582.0000
2019-01-03,sh.600406,18.0000,18.2000,17.8700,18.1800,18.1200,8736477,157776764.0000
2019-01-04,sh.600406,18.0700,18.7000,17.9200,18.6300,18.1800,16167782,298333677.0000
2019-01-07,sh.600406,18.7000,19.6800,18.7000,19.5400,18.6300,28729764,554164958.0000
2019-01-08,sh.600406,19.3900,19.5400,19.0500,19.1600,19.5400,15274975,293448221.0000
2019-01-09,sh.600406,19.2300,19.3500,19.0300,19.0800,19.1600,14326047,274568078.0000
2019-01-10,sh.600406,19.0300,19.4300,18.9500,19.3500,19.0800,14927569,286872591.0000
2019-01-11,sh.600406,19.3000,19.3400,18.8900,19.1700,19.3500,10268898,195971742.0000
2019-01-14,sh.600406,19.2500,19.2800,18.8100,18.9100,19.1700,8617827,163200990.0000
2019-01-15,sh.600406,18.9600,19.4900,18.8500,19.3200,18.9100,13094842,251855634.0000
2019-01-16,sh.600406,19.3200,19.4500,19.0000,19.0900,19.3200,10763637,206080170.0000
2019-01-17,sh.600406,19.1800,19.2800,18.8500,18.9500,19.0900,8384878,160257491.0000
2019-01-18,sh.600406,19.0300,19.4400,19.0000,19.3900,18.9500,14658704,281414022.0000
2019-01-21,sh.600406,19.5000,19.6400,19.3600,19.4700,19.3900,13220294,257487802.0000
2019-01-22,sh.600406,19.3700,19.4200,19.1000,19.1200,19.4700,8661328,166464282.0000
2019-01-23,sh.600406,19.1100,19.7700,19.0600,19.4900,19.1200,13125662,256512532.0000
2019-01-24,sh.600406,19.5200,19.6900,19.3600,19.6000,19.4900,9636113,188267375.0000
2019-01-25,sh.600406,19.6000,19.7600,19.3700,19.5000,19.6000,8984617,176062140.0000
2019-01-28,sh.600406,19.5200,19.9800,19.4200,19.7100,19.5000,12991990,256453444.0000
2019-01-29,sh.600406,19.5800,19.7700,19.4000,19.6900,19.7100,6921702,135485235.0000
2019-01-30,sh.600406,19.6500,19.8100,19.2100,19.2700,19.6900,10497704,203793158.0000
2019-01-31,sh.600406,19.1300,19.4000,19.0100,19.1500,19.2700,7143384,137256659.0000
2019-02-01,sh.600406,19.1000,19.7500,19.1000,19.6700,19.1500,8926245,174557085.0000
2019-02-11,sh.600406,19.8000,19.9100,19.6100,19.7000,19.6700,13971651,275589981.0000
2019-02-12,sh.600406,19.8600,19.9500,19.5000,19.8000,19.7000,19311246,379355135.0000
2019-02-13,sh.600406,19.7900,19.9300,19.4700,19.8200,19.8000,23009373,452871931.0000
2019-02-14,sh.600406,19.7500,20.0500,19.4500,19.8000,19.8200,20605099,406479031.0000
2019-02-15,sh.600406,19.7300,20.1900,19.6700,19.7700,19.8000,20088068,401012542.0000
2019-02-18,sh.600406,19.8800,20.3200,19.8800,20.1000,19.7700,28246812,567741900.0000
2019-02-19,sh.600406,20.1000,20.1500,19.5800,19.7800,20.1000,22554416,447225896.0000
2019-02-20,sh.600406,19.6800,19.7000,19.0100,19.2300,19.7800,28678826,554247148.0000
2019-02-21,sh.600406,19.2500,19.5800,19.0500,19.2100,19.2300,20799866,401523426.0000
2019-02-22,sh.600406,19.2700,19.5500,19.1700,19.5500,19.2100,16535964,320488771.0000
2019-02-25,sh.600406,19.7900,20.1100,19.2400,20.0900,19.5500,46801731,922527736.0000
2019-02-26,sh.600406,20.0000,20.0000,19.4000,19.5100,20.0900,40726229,797904754.0000
2019-02-27,sh.600406,19.4200,19.4300,18.1900,18.4100,19.5100,59686273,1124818419.0000
2019-02-28,sh.600406,18.2300,18.7500,18.2300,18.4800,18.4100,25618897,473146351.0000
2019-03-01,sh.600406,18.6100,18.6200,18.3600,18.5600,18.4800,17191069,317994548.0000
2019-03-04,sh.600406,18.9000,19.6400,18.9000,19.1700,18.5600,53174286,1026720589.0000
2019-03-05,sh.600406,19.2000,19.3100,18.8900,19.1200,19.1700,28592195,544334780.0000
2019-03-06,sh.600406,19.1000,19.2900,18.9100,19.1100,19.1200,26832311,510929089.0000
2019-03-07,sh.600406,18.9900,19.1000,18.5600,18.7600,19.1100,32528059,611195691.0000
2019-03-08,sh.600406,18.5000,19.2900,18.4000,18.9400,18.7600,35581100,676885449.0000
2019-03-11,sh.600406,20.8300,20.8300,20.8300,20.8300,18.9400,33556871,698989623.0000
2019-03-12,sh.600406,22.9100,22.9100,22.9100,22.9100,20.8300,23053045,528145261.0000
2019-03-13,sh.600406,23.0000,25.1700,22.6600,23.4000,22.9100,183336054,4318356282.0000
2019-03-14,sh.600406,23.0000,23.0000,21.0600,21.1500,23.4000,107515479,2335408012.0000
2019-03-15,sh.600406,21.1500,22.1800,21.1500,21.5000,21.1500,58406820,1262512387.0000
2019-03-18,sh.600406,21.5000,22.1000,20.6600,21.7600,21.5000,53833947,1161848437.0000
2019-03-19,sh.600406,21.6000,22.7700,21.5400,22.2700,21.7600,50808321,1134006026.0000
2019-03-20,sh.600406,22.1000,22.6400,21.6300,21.8600,22.2700,35717544,786015443.0000
2019-03-21,sh.600406,21.7900,22.7400,21.7900,22.0900,21.8600,42593742,952238104.0000
2019-03-22,sh.600406,21.9000,22.1000,21.4000,21.7400,22.0900,27983573,605681592.0000
2019-03-25,sh.600406,21.3700,21.5900,20.7400,20.8700,21.7400,29283065,619410743.0000
2019-03-26,sh.600406,20.9000,21.3900,20.7000,20.8100,20.8700,20957183,440780110.0000
2019-03-27,sh.600406,21.2100,21.3300,20.7300,21.0600,20.8100,16036307,336711962.0000
2019-03-28,sh.600406,20.9800,21.2700,20.6600,20.7000,21.0600,18832515,392754358.0000
2019-03-29,sh.600406,20.7100,21.1800,20.4000,21.1100,20.7000,32189609,671364997.0000
2019-04-01,sh.600406,21.3500,21.8700,21.0100,21.6900,21.1100,34474015,744566301.0000
2019-04-02,sh.600406,21.6200,22.1700,21.6200,21.7700,21.6900,34222410,751141424.0000
2019-04-03,sh.600406,21.4700,21.4700,20.6000,21.2200,21.7700,44840415,939925253.0000
2019-04-04,sh.600406,20.9300,21.6800,20.9100,21.4000,21.2200,37392305,799390184.0000
2019-04-08,sh.600406,21.4800,21.5500,20.7200,20.9000,21.4000,34235103,723379078.0000
2019-04-09,sh.600406,20.8400,21.1400,20.5100,21.0700,20.9000,21316728,444649501.0000
2019-04-10,sh.600406,21.0000,21.0600,20.6500,20.9000,21.0700,20206163,420859254.0000
2019-04-11,sh.600406,20.9200,21.9800,20.9200,21.4900,20.9000,41145976,890136305.0000
2019-04-12,sh.600406,21.5700,22.0000,21.1300,21.6500,21.4900,39421749,853756411.0000
2019-04-15,sh.600406,22.0500,22.2000,21.0900,21.1600,21.6500,26168235,566931103.0000
2019-04-16,sh.600406,21.2300,21.3200,20.6300,21.2700,21.1600,24704495,518522481.0000
2019-04-17,sh.600406,21.1000,21.8800,21.0000,21.7300,21.2700,34026710,734256375.0000
2019-04-18,sh.600406,21.6800,21.7400,21.3300,21.5300,21.7300,17774606,382794394.0000
2019-04-19,sh.600406,21.7800,21.8500,21.2500,21.6000,21.5300,16654727,358454651.0000
2019-04-22,sh.600406,21.7500,21.7500,21.0000,21.1600,21.6000,16574502,353335952.0000
2019-04-23,sh.600406,21.4000,21.6600,21.1100,21.2500,21.1600,21594138,463363322.0000
2019-04-24,sh.600406,21.2100,21.5400,20.8500,21.3100,21.2500,18225166,384759689.0000
2019-04-25,sh.600406,21.4700,21.6900,21.0900,21.1300,21.3100,27708370,595411247.0000
2019-04-26,sh.600406,21.1400,21.3700,19.7800,19.8700,21.1300,36099107,734874842.0000
2019-04-29,sh.600406,19.9000,20.2400,19.4600,19.8500,19.8700,27208672,540737724.0000
2019-04-30,sh.600406,20.1000,20.1000,19.5100,19.9300,19.8500,16602586,328920183.0000
2019-05-06,sh.600406,19.5000,19.7300,18.4100,18.7400,19.9300,28151554,533578138.0000
2019-05-07,sh.600406,19.0000,19.1600,18.5400,18.9600,18.7400,15269034,288620357.0000
2019-05-08,sh.600406,18.7000,18.8700,18.3200,18.5000,18.9600,15183336,281861804.0000
2019-05-09,sh.600406,18.3000,18.6700,18.2400,18.3800,18.5000,11053548,204198780.0000
2019-05-10,sh.600406,18.5100,18.9600,18.2200,18.9400,18.3800,12649114,236585922.0000
2019-05-13,sh.600406,18.7800,18.8100,18.2800,18.4200,18.9400,13269411,245320272.0000
2019-05-14,sh.600406,18.2200,18.5000,18.1800,18.4000,18.4200,8924723,164043836.0000
2019-05-15,sh.600406,18.5700,18.8800,18.3500,18.8600,18.4000,14871337,277423634.0000
2019-05-16,sh.600406,18.8800,19.8800,18.7200,19.6200,18.8600,20327934,393245448.0000
2019-05-17,sh.600406,19.5500,19.5500,19.1000,19.1500,19.6200,15615304,301420849.0000
2019-05-20,sh.600406,19.2800,19.2800,18.5000,18.8600,19.1500,14449500,271075751.0000
2019-05-21,sh.600406,18.9000,19.1800,18.7100,18.9900,18.8600,11865763,224733752.0000
2019-05-22,sh.600406,19.0700,19.4000,18.8900,19.1200,18.9900,11457948,219189111.0000
2019-05-23,sh.600406,19.1200,19.2800,18.6100,19.1000,19.1200,10807709,203548736.0000
2019-05-24,sh.600406,18.9500,19.0900,18.7600,19.0500,19.1000,7539064,142623604.0000
2019-05-27,sh.600406,18.9100,19.2000,18.6600,19.1300,19.0500,11294516,214064612.0000
2019-05-28,sh.600406,19.1800,19.6800,19.1600,19.6700,19.1300,18054525,350585940.0000
2019-05-29,sh.600406,19.4000,19.5000,19.2100,19.3800,19.6700,9734284,188243604.0000
2019-05-30,sh.600406,19.2100,19.2600,18.3500,18.5300,19.3800,23705793,441553269.0000
2019-05-31,sh.600406,18.5700,18.5800,18.2200,18.3000,18.5300,14424887,264609101.0000
2019-06-03,sh.600406,18.3200,18.3800,17.1600,17.5000,18.3000,32668124,573893947.0000
2019-06-04,sh.600406,17.5000,17.5000,16.8800,17.2700,17.5000,18689663,321033056.0000
2019-06-05,sh.600406,17.3800,17.4800,17.1300,17.2800,17.2700,10942062,189494754.0000
