date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300748,21.8000,22.2100,21.5800,21.6100,21.7100,6605505,144715261.2200
2019-01-03,sz.300748,21.6800,22.1200,21.5000,21.6800,21.6100,6481074,141327806.5200
2019-01-04,sz.300748,21.0800,23.3000,20.6000,22.5900,21.6800,10025296,220157004.5800
2019-01-07,sz.300748,22.7800,23.9100,22.5000,23.4000,22.5900,11658771,272045847.5700
2019-01-08,sz.300748,23.3500,25.7000,22.9500,23.9800,23.4000,16250549,393731674.0900
2019-01-09,sz.300748,24.1800,24.9800,23.5000,23.8100,23.9800,13500783,327331662.2600
2019-01-10,sz.300748,23.3000,24.6600,23.0400,24.6600,23.8100,12774958,304351673.2800
2019-01-11,sz.300748,25.3400,27.1300,25.3300,27.1300,24.6600,21866128,577813177.9500
2019-01-14,sz.300748,28.2000,28.8600,24.8300,24.8300,27.1300,23503400,628891009.9600
2019-01-15,sz.300748,23.5800,24.6900,23.2800,24.2600,24.8300,12851258,307464451.2800
2019-01-16,sz.300748,24.9700,25.4500,24.4900,24.5700,24.2600,11782255,294232925.8200
2019-01-17,sz.300748,24.3300,25.8500,23.8200,25.6900,24.5700,13292428,332929481.9900
2019-01-18,sz.300748,25.5600,26.7700,25.0600,25.1900,25.6900,15463220,399236109.6400
2019-01-21,sz.300748,25.3000,26.3000,24.4200,25.8300,25.1900,10913273,278772372.1200
2019-01-22,sz.300748,25.8500,27.6900,25.6700,27.3700,25.8300,17665046,472927125.0900
2019-01-23,sz.300748,26.5000,28.2800,26.5000,27.9000,27.3700,17032092,467846522.5200
2019-01-24,sz.300748,27.3600,27.7800,26.6000,26.8000,27.9000,12439824,337525465.1000
2019-01-25,sz.300748,26.5300,26.5300,25.4000,25.5100,26.8000,10014695,258889304.4600
2019-01-28,sz.300748,25.6700,26.1800,25.0300,25.9200,25.5100,7083807,182363423.8900
2019-01-29,sz.300748,25.7000,27.4000,25.2000,26.9300,25.9200,13681656,363761619.0100
2019-01-30,sz.300748,25.5000,25.5000,24.2400,24.2400,26.9300,10923546,267803951.8300
2019-01-31,sz.300748,23.3000,23.3700,21.8200,21.8200,24.2400,10427926,232273959.0300
2019-02-01,sz.300748,21.7000,22.5700,21.7000,22.0400,21.8200,6454896,143107535.6800
2019-02-11,sz.300748,22.2000,23.1600,22.0300,23.0800,22.0400,7129490,161780915.8800
2019-02-12,sz.300748,23.0700,23.6900,22.9200,23.1900,23.0800,8140979,189473760.7900
2019-02-13,sz.300748,23.0800,24.0900,22.8000,23.6500,23.1900,8809811,207246307.6900
2019-02-14,sz.300748,23.5000,24.9500,23.4600,24.5500,23.6500,10845878,262593464.2800
2019-02-15,sz.300748,24.7100,25.6800,24.1300,25.3400,24.5500,11769993,290412044.2800
2019-02-18,sz.300748,24.9000,25.8500,24.7100,25.7000,25.3400,12553687,318586787.6100
2019-02-19,sz.300748,25.6900,25.8800,24.8300,25.2600,25.7000,9844856,249798150.5600
2019-02-20,sz.300748,25.5000,26.2200,25.2700,25.5400,25.2600,10970710,281312362.7100
2019-02-21,sz.300748,25.1000,25.3500,24.4100,24.5800,25.5400,10318708,255493480.2300
2019-02-22,sz.300748,24.5700,24.8700,23.8900,24.6200,24.5800,7666022,187288180.4600
2019-02-25,sz.300748,24.9700,26.3900,24.7500,26.3800,24.6200,14085862,361427329.2800
2019-02-26,sz.300748,26.1000,27.9000,25.6500,26.7000,26.3800,17470686,466469223.4200
2019-02-27,sz.300748,26.4800,27.1900,25.4000,25.7400,26.7000,10832398,284934707.0400
2019-02-28,sz.300748,26.1000,27.2000,26.1000,26.4100,25.7400,10697529,285282384.7600
2019-03-01,sz.300748,27.2500,27.8800,26.6000,26.7100,26.4100,13175207,358136238.4000
2019-03-04,sz.300748,26.6200,27.8200,26.1000,27.2000,26.7100,13172105,353569523.0000
2019-03-05,sz.300748,26.7300,27.1800,26.6000,27.1200,27.2000,8783056,235923935.5800
2019-03-06,sz.300748,27.0800,29.3500,26.9000,28.5700,27.1200,17458306,492566166.6200
2019-03-07,sz.300748,27.9900,31.4300,27.5300,31.4300,28.5700,16123364,475249471.5600
2019-03-08,sz.300748,30.3100,31.2700,28.2900,28.2900,31.4300,18311110,546008944.6500
2019-03-11,sz.300748,27.9900,28.8500,27.0500,28.7500,28.2900,10984221,307731816.9500
2019-03-12,sz.300748,28.6900,29.3000,27.9800,28.5600,28.7500,11048017,317632933.1300
2019-03-13,sz.300748,28.3600,28.5000,27.3100,27.7000,28.5600,8352552,232678905.8800
2019-03-14,sz.300748,27.5400,28.3600,26.2000,26.7800,27.7000,8142789,224092389.2600
2019-03-15,sz.300748,26.6100,27.2800,26.3200,27.2000,26.7800,6582404,176706375.6300
2019-03-18,sz.300748,28.3500,28.9800,27.5000,27.6600,27.2000,7634249,213829929.0500
2019-03-19,sz.300748,27.3000,27.9000,27.3000,27.8500,27.6600,5885582,162708805.6900
2019-03-20,sz.300748,27.8800,27.8800,26.1600,26.9800,27.8500,8276535,222649225.0600
2019-03-21,sz.300748,26.8700,27.2800,26.5800,26.9300,26.9800,5505670,148318295.8500
2019-03-22,sz.300748,26.8400,27.1000,26.2700,26.5600,26.9300,4122355,109978953.1000
2019-03-25,sz.300748,25.8600,26.2300,25.6000,25.6000,26.5600,4284759,111083469.2600
2019-03-26,sz.300748,25.7000,26.0500,25.4500,25.5100,25.6000,3683208,94838568.8400
2019-03-27,sz.300748,25.7500,25.8500,24.5100,24.9100,25.5100,3954074,98870692.0800
2019-03-28,sz.300748,24.3000,25.0800,24.3000,24.3600,24.9100,3308199,81620518.8500
2019-03-29,sz.300748,24.4000,24.9700,23.8300,24.9200,24.3600,4208271,103120526.5700
2019-04-01,sz.300748,24.9500,25.8700,24.9500,25.8000,24.9200,4648957,118689080.3500
2019-04-02,sz.300748,25.9000,27.1600,25.6000,27.0000,25.8000,8658140,227842576.6200
2019-04-03,sz.300748,26.5700,26.8500,26.2000,26.5000,27.0000,5412213,143239471.4500
2019-04-04,sz.300748,26.6400,27.3000,26.2000,26.8800,26.5000,6552283,175151115.1500
2019-04-08,sz.300748,26.9400,27.2800,26.2600,26.4800,26.8800,5656122,151390289.5500
2019-04-09,sz.300748,26.2900,26.2900,25.3900,25.6200,26.4800,4520954,116102327.8800
2019-04-10,sz.300748,25.4300,25.4300,24.8600,25.0500,25.6200,3069623,77071129.0100
2019-04-11,sz.300748,25.0800,25.3800,24.8000,25.1400,25.0500,2707144,68103763.9600
2019-04-12,sz.300748,25.1100,25.4900,24.9900,25.2500,25.1400,2171046,54847507.3200
2019-04-15,sz.300748,25.3600,25.7700,25.2800,25.3300,25.1400,3422796,87148590.8600
2019-04-16,sz.300748,25.1100,26.3800,25.1000,26.3700,25.3300,5474017,141750154.2200
2019-04-17,sz.300748,26.1500,26.4000,25.8100,25.9300,26.3700,4393946,114332616.0400
2019-04-18,sz.300748,25.9800,27.2500,25.9000,26.6900,25.9300,9077267,243342578.9700
2019-04-19,sz.300748,26.3900,26.5000,25.4300,26.0600,26.6900,5430396,141256510.4200
2019-04-22,sz.300748,26.0500,26.0900,24.8700,24.8700,26.0600,4636672,117615580.6700
2019-04-23,sz.300748,24.9000,25.2600,23.8800,24.7800,24.8700,4000781,98340145.9500
2019-04-24,sz.300748,24.5800,24.6900,24.1600,24.5500,24.7800,2209315,53997589.0900
2019-04-25,sz.300748,24.6100,25.5100,24.0000,24.1000,24.5500,4348709,108293023.0100
2019-04-26,sz.300748,24.0000,24.1100,22.8000,23.0500,24.1000,4004995,93495650.5500
2019-04-29,sz.300748,23.0900,23.3000,20.7500,20.7500,23.0500,3802745,82671412.1300
2019-04-30,sz.300748,20.2000,21.3600,20.2000,21.0800,20.7500,2067745,43459824.6200
2019-05-06,sz.300748,20.4700,20.4700,18.9700,18.9700,21.0800,3339455,65410461.8500
2019-05-07,sz.300748,19.2300,19.3800,18.5700,19.1100,18.9700,2386712,45438319.9400
2019-05-08,sz.300748,18.9500,19.4000,18.4400,19.2200,19.1100,2469761,46997620.4100
2019-05-09,sz.300748,19.0000,20.4600,18.9000,19.8800,19.2200,4197138,82944186.1800
2019-05-10,sz.300748,19.7000,20.4200,19.4100,20.3400,19.8800,4511431,90514670.3100
2019-05-13,sz.300748,20.0900,20.3400,19.9600,20.0200,20.3400,2451282,49316984.4600
2019-05-14,sz.300748,20.3000,22.0000,20.1700,20.6500,20.0200,4585990,95480486.3000
2019-05-15,sz.300748,20.7000,21.0900,20.5900,20.9000,20.6500,3314140,69142566.8000
2019-05-16,sz.300748,20.9000,22.9900,20.9000,22.9900,20.9000,5654047,126277495.6200
2019-05-17,sz.300748,23.7000,24.9400,22.5100,23.6000,22.9900,14364476,339676147.6000
2019-05-20,sz.300748,23.0000,25.9600,22.7000,25.9600,23.6000,12379368,303885479.9700
2019-05-21,sz.300748,28.5600,28.5600,27.5000,28.5600,25.9600,10930261,310603694.1400
2019-05-22,sz.300748,31.4200,31.4200,30.3100,30.6300,28.5600,27873606,870833991.6400
2019-05-23,sz.300748,30.1900,33.6900,29.5800,33.6900,30.6300,23314572,750967783.4900
2019-05-24,sz.300748,33.5800,37.0600,32.7100,37.0600,33.6900,21133344,765248793.4200
2019-05-27,sz.300748,38.0000,40.7700,37.6200,40.7700,37.0600,11422550,456589594.9500
2019-05-28,sz.300748,44.5000,44.8500,43.8000,44.8500,40.7700,9373674,419279914.4000
2019-05-29,sz.300748,49.3400,49.3400,49.3400,49.3400,44.8500,717965,35424393.1000
2019-05-30,sz.300748,54.2700,54.2700,51.0100,54.2700,49.3400,18845751,1007225269.8800
2019-05-31,sz.300748,56.8800,59.7000,55.9100,59.7000,54.2700,11020889,637561116.8000
2019-06-03,sz.300748,65.5100,65.6700,56.8600,60.4000,59.7000,28607219,1765788679.5800
2019-06-04,sz.300748,59.4300,66.4400,57.6100,64.0900,60.4000,27939005,1713667721.9400
2019-06-05,sz.300748,61.9900,67.8000,57.6800,58.9400,64.0900,27824280,1743415995.3800
2019-06-06,sz.300748,55.5000,64.8300,55.0000,64.8300,58.9400,25292911,1539177034.3500
2019-06-10,sz.300748,69.2100,69.2900,59.8800,61.7700,64.8300,23934740,1541656944.2500
2019-06-11,sz.300748,62.0000,67.9500,61.8000,67.9500,61.7700,16976066,1111957086.3000
2019-06-12,sz.300748,74.7500,74.7500,68.0000,69.0000,67.9500,28226382,2045294128.1800
2019-06-13,sz.300748,68.5400,69.5000,62.1000,65.0300,69.0000,21345022,1391499105.8300
2019-06-14,sz.300748,62.9200,63.7200,59.8900,60.1300,65.0300,14636762,899117014.4100
2019-06-17,sz.300748,60.1300,63.5500,59.5100,62.0900,60.1300,14859491,923015097.2800
2019-06-18,sz.300748,59.0000,60.9800,59.0000,59.8000,62.0900,10238700,612487075.6700
2019-06-19,sz.300748,58.8000,65.0000,57.5000,62.3000,59.8000,17618374,1101874085.0100
2019-06-20,sz.300748,62.0100,62.3000,58.2000,60.6000,62.3000,14454285,867777935.0700
2019-06-21,sz.300748,60.6100,66.6600,59.3800,63.6900,60.6000,21830553,1399975728.3000
2019-06-24,sz.300748,62.9500,70.0600,62.2000,70.0600,63.6900,23418937,1603329748.0000
2019-06-25,sz.300748,65.0000,66.2000,63.0500,63.0500,70.0600,20830719,1335111909.6000
2019-06-26,sz.300748,59.5000,61.9800,57.0500,58.1500,63.0500,14176080,838473352.7100
2019-06-27,sz.300748,58.9000,58.9200,57.2000,57.7600,58.1500,8165551,473856014.4400
2019-06-28,sz.300748,57.7700,61.9900,57.2100,60.0800,57.7600,12138285,723010992.3500
2019-07-01,sz.300748,57.0800,58.0000,55.3200,57.9700,60.0800,10877055,620887877.9400
2019-07-02,sz.300748,57.1000,59.4400,56.5200,57.7200,57.9700,8124865,470975761.1500
2019-07-03,sz.300748,57.0000,58.0700,55.0000,55.1600,57.7200,8617325,482460968.8400
2019-07-04,sz.300748,55.1400,55.6900,52.1000,53.1000,55.1600,8142757,434893900.0600
2019-07-05,sz.300748,53.7600,54.2000,52.7200,53.7900,53.1000,5914323,316570375.4000
2019-07-08,sz.300748,52.2300,55.5500,50.0100,54.3200,53.7900,11266167,600094358.4900
2019-07-09,sz.300748,52.6400,59.4500,52.6300,56.8400,54.3200,13760811,781831557.8000
2019-07-10,sz.300748,56.3600,58.7900,53.3000,53.8500,56.8400,11960213,663609089.9300
2019-07-11,sz.300748,54.0000,54.1900,52.0000,52.2000,53.8500,7684648,406043535.8000
2019-07-12,sz.300748,52.0000,52.7000,50.8100,51.0400,52.2000,5260265,270078208.4200
2019-07-15,sz.300748,51.9700,53.1700,51.2100,52.1700,51.0400,6696250,348986751.5000
2019-07-16,sz.300748,51.8400,52.4800,50.8700,51.1600,52.1700,5374800,276678103.0000
2019-07-17,sz.300748,51.1800,52.5500,50.3300,51.6200,51.1600,6655206,344069829.4000
2019-07-18,sz.300748,52.3800,55.2900,52.1000,53.2100,51.6200,10459206,561170026.2600
2019-07-19,sz.300748,52.0000,52.2600,50.8700,51.1000,53.2100,7082668,363869993.5200
2019-07-22,sz.300748,50.5400,50.5400,45.9900,45.9900,51.1000,8524900,400781855.5000
2019-07-23,sz.300748,45.5000,46.2500,44.5500,45.9200,45.9900,5107148,231907475.8000
2019-07-24,sz.300748,45.7800,46.5000,45.6000,46.1200,45.9200,4342147,200390449.0000
2019-07-25,sz.300748,46.1200,46.6800,45.1700,46.2700,46.1200,5339661,245828538.0100
2019-07-26,sz.300748,45.5100,45.9500,44.9400,45.4100,46.2700,4253900,193012180.0000
2019-07-29,sz.300748,46.0000,46.0000,44.7600,45.1900,45.4100,3303726,149509677.0700
2019-07-30,sz.300748,45.2800,45.5600,45.0000,45.1200,45.1900,3724570,168464891.4300
2019-07-31,sz.300748,45.1700,46.3500,43.7500,45.9300,45.1200,8865822,401762758.1300
2019-08-01,sz.300748,45.0000,45.4700,44.3600,44.5500,45.9300,5871548,263367617.4000
2019-08-02,sz.300748,49.0000,49.0100,47.4400,49.0100,44.5500,15604067,757713515.2700
2019-08-05,sz.300748,49.0000,53.9100,48.9100,53.9100,49.0100,18411442,964426593.0500
2019-08-06,sz.300748,54.0000,59.3000,54.0000,59.3000,53.9100,11146265,646311158.7300
