date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002129,7.3400,7.4200,7.2000,7.3100,7.2300,26480360,193507755.8700
2019-01-03,sz.002129,7.3000,7.3800,7.1500,7.1500,7.3100,20491811,148410313.7000
2019-01-04,sz.002129,7.1800,7.4500,7.0500,7.3700,7.1500,30865742,225898852.7400
2019-01-07,sz.002129,7.4100,7.6100,7.3600,7.5900,7.3700,30944496,232245408.1800
2019-01-08,sz.002129,7.4500,7.4500,6.9000,7.0400,7.5900,68724237,487310188.6800
2019-01-09,sz.002129,7.0600,7.2800,7.0600,7.1700,7.0400,35992212,258235466.3900
2019-01-10,sz.002129,7.2100,7.8900,7.2000,7.4500,7.1700,72623356,548710795.7100
2019-01-11,sz.002129,7.4700,7.5600,7.1800,7.3900,7.4500,39563515,289810365.6800
2019-01-14,sz.002129,7.3900,7.4400,7.0900,7.1700,7.3900,28021200,201401858.8500
2019-01-15,sz.002129,7.1700,7.3800,7.0700,7.3200,7.1700,31250478,226963025.3200
2019-01-16,sz.002129,7.3100,7.4300,7.2600,7.3100,7.3200,21054404,154554479.2800
2019-01-17,sz.002129,7.2900,7.4000,7.1600,7.1900,7.3100,18837566,136408592.0100
2019-01-18,sz.002129,7.2300,7.3700,7.1100,7.3000,7.1900,32625715,236214984.5900
2019-01-21,sz.002129,7.2800,7.5200,7.2400,7.4400,7.3000,34066807,251618704.9500
2019-01-22,sz.002129,7.4000,7.4600,7.1800,7.2400,7.4400,21746382,158821539.6700
2019-01-23,sz.002129,7.2500,7.2500,6.9600,7.1200,7.2400,21763095,154338945.8400
2019-01-24,sz.002129,7.0700,7.5300,7.0700,7.4200,7.1200,51086786,377729398.2900
2019-01-25,sz.002129,7.4600,7.5500,7.4000,7.4200,7.4200,29890458,223215542.4700
2019-01-28,sz.002129,7.5700,7.7300,7.3700,7.4100,7.4200,35982329,271204214.8100
2019-01-29,sz.002129,7.4500,8.1500,7.3800,8.1500,7.4100,103076970,810698078.4400
2019-01-30,sz.002129,8.2400,8.7700,8.1300,8.4600,8.1500,126858203,1071787319.9600
2019-01-31,sz.002129,8.4400,8.6800,8.3300,8.4100,8.4600,65440407,557401114.8500
2019-02-01,sz.002129,8.5000,9.0300,8.4700,8.8500,8.4100,64061184,565769335.5600
2019-02-11,sz.002129,8.8600,9.0300,8.7500,8.9100,8.8500,49682022,440654878.1100
2019-02-12,sz.002129,8.8700,8.9900,8.7400,8.8400,8.9100,40547411,358535089.5500
2019-02-13,sz.002129,8.8400,9.1100,8.7800,8.9500,8.8400,51125649,457360072.8300
2019-02-14,sz.002129,8.9400,9.6200,8.9000,9.3900,8.9500,73598797,689856135.0800
2019-02-15,sz.002129,9.3800,9.5900,9.2900,9.3800,9.3900,56148222,530272347.3300
2019-02-18,sz.002129,9.4500,10.2800,9.4500,10.0200,9.3800,78436138,783116779.6600
2019-02-19,sz.002129,10.2100,10.4400,9.8300,10.0000,10.0200,72180089,730409060.7900
2019-02-20,sz.002129,10.0500,10.2500,9.8600,10.2000,10.0000,50447858,509976968.2100
2019-02-21,sz.002129,10.0600,10.6700,10.0200,10.1700,10.2000,91354413,945244288.7000
2019-02-22,sz.002129,10.2400,10.5800,10.1700,10.4400,10.1700,83149758,860269978.3400
2019-02-25,sz.002129,10.6000,10.6500,10.2000,10.4100,10.4400,119373195,1240624841.8900
2019-02-26,sz.002129,10.3100,10.3100,9.6400,9.9400,10.4100,137219477,1365040125.3000
2019-02-27,sz.002129,9.8100,9.8200,9.2500,9.3700,9.9400,134043387,1263332442.7700
2019-02-28,sz.002129,9.3200,9.8200,9.3200,9.6800,9.3700,94635707,909507455.3900
2019-03-01,sz.002129,9.7300,9.9500,9.6000,9.8700,9.6800,67462255,660804539.8200
2019-03-04,sz.002129,9.9300,10.0800,9.6900,9.7800,9.8700,90017023,889187777.5000
2019-03-05,sz.002129,9.7500,10.7600,9.5900,10.6000,9.7800,146947512,1512927450.6000
2019-03-06,sz.002129,10.6500,10.7600,10.0400,10.2300,10.6000,116709749,1194682169.7300
2019-03-07,sz.002129,10.1200,10.1300,9.8500,9.9800,10.2300,75617576,753344525.3300
2019-03-08,sz.002129,9.7400,10.6500,9.5600,10.0000,9.9800,126284953,1289379059.9400
2019-03-11,sz.002129,10.0600,10.6500,10.0400,10.4800,10.0000,116417057,1212383574.7300
2019-03-12,sz.002129,10.4900,10.6500,10.2200,10.4500,10.4800,102942907,1072512367.6500
2019-03-13,sz.002129,10.4400,11.1500,10.3200,10.6900,10.4500,138556462,1503514238.5500
2019-03-14,sz.002129,10.4200,10.6300,9.7900,9.9300,10.6900,98476835,992740624.7400
2019-03-15,sz.002129,9.9700,10.0800,9.6700,9.7800,9.9300,75375802,745388719.3900
2019-03-18,sz.002129,9.7900,9.9900,9.7200,9.8600,9.7800,67293471,661675739.5500
2019-03-19,sz.002129,9.8800,10.5700,9.8300,10.2200,9.8600,122604809,1252485375.5300
2019-03-20,sz.002129,10.1800,10.1800,9.7900,9.9400,10.2200,69192992,687545794.4900
2019-03-21,sz.002129,9.9900,10.2300,9.9400,10.0600,9.9400,59671758,601633341.4400
2019-03-22,sz.002129,10.1700,10.3700,9.9000,10.1600,10.0600,61902410,626470552.6800
2019-03-25,sz.002129,10.0000,10.1300,9.8500,9.8800,10.1600,52661597,525621989.4800
2019-03-26,sz.002129,9.9000,9.9700,9.3800,9.4200,9.8800,62848358,603559868.2400
2019-03-27,sz.002129,9.4200,9.5800,9.2500,9.5100,9.4200,35531962,335294190.2200
2019-03-28,sz.002129,9.5000,9.7900,9.3500,9.4800,9.5100,28438197,273383945.9800
2019-03-29,sz.002129,9.5600,9.9300,9.3900,9.9200,9.4800,58922387,573188173.3400
2019-04-01,sz.002129,10.1000,10.3800,9.9800,10.2900,9.9200,107913796,1101413375.6300
2019-04-02,sz.002129,10.3600,10.9500,10.3300,10.5200,10.2900,118322599,1254690666.4900
2019-04-03,sz.002129,10.5500,10.7700,10.4300,10.7100,10.5200,71181881,758289883.2200
2019-04-04,sz.002129,10.7300,11.0200,10.6100,10.7900,10.7100,75746620,819773942.4200
2019-04-08,sz.002129,10.7900,10.9800,10.4800,10.6200,10.7900,72874334,780995655.0200
2019-04-09,sz.002129,10.5000,10.8600,10.4200,10.5200,10.6200,49813027,529051273.7200
2019-04-10,sz.002129,10.6700,11.2800,10.4000,11.0100,10.5200,107170415,1167471035.3700
2019-04-11,sz.002129,10.9300,11.0000,10.2600,10.2900,11.0100,85388844,909865688.8100
2019-04-12,sz.002129,10.2200,10.6000,10.2100,10.4700,10.2900,41835525,437301514.4000
2019-04-15,sz.002129,10.6300,10.6900,10.1700,10.1900,10.4700,47557634,494900477.2500
2019-04-16,sz.002129,10.1700,10.3900,10.0100,10.3800,10.1900,41945934,429383770.9700
2019-04-17,sz.002129,10.4400,10.9100,10.4000,10.7300,10.3800,72605572,777219226.4100
2019-04-18,sz.002129,10.6300,11.2700,10.5600,11.0600,10.7300,100773874,1113979736.0300
