date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600732,4.5600,4.7000,4.5100,4.6700,4.5200,3085617,14283904.0000
2019-01-03,sh.600732,4.6800,4.9000,4.6400,4.8800,4.6700,4771447,22937544.0000
2019-01-04,sh.600732,4.8800,4.8800,4.8800,4.8800,4.8800,0,0.0000
2019-01-07,sh.600732,4.8800,4.8800,4.8800,4.8800,4.8800,0,0.0000
2019-01-08,sh.600732,5.1200,5.1200,5.1200,5.1200,4.8800,113900,583168.0000
2019-01-09,sh.600732,5.3800,5.3800,5.3800,5.3800,5.1200,21221,114169.0000
2019-01-10,sh.600732,5.6500,5.6500,5.6500,5.6500,5.3800,788436,4454663.0000
2019-01-11,sh.600732,5.9200,5.9200,5.5600,5.5600,5.6500,28884449,166335609.0000
2019-01-14,sh.600732,5.3300,5.4900,5.2800,5.2800,5.5600,12513700,66547472.0000
2019-01-15,sh.600732,5.3000,5.4700,5.1900,5.2800,5.2800,10099368,53604740.0000
2019-01-16,sh.600732,5.3100,5.5400,5.1900,5.4900,5.2800,12019805,65265969.0000
2019-01-17,sh.600732,5.3800,5.4900,5.2700,5.4000,5.4900,8309454,44627333.0000
2019-01-18,sh.600732,5.3600,5.5200,5.3600,5.4500,5.4000,3988538,21721274.0000
2019-01-21,sh.600732,5.4500,5.4700,5.2100,5.2500,5.4500,7082020,37499296.0000
2019-01-22,sh.600732,5.2500,5.2500,5.0500,5.0900,5.2500,5785646,29608128.0000
2019-01-23,sh.600732,5.0100,5.1900,4.9400,4.9400,5.0900,4518700,22744533.0000
2019-01-24,sh.600732,4.9800,4.9800,4.8100,4.8700,4.9400,6606710,32206219.0000
2019-01-25,sh.600732,4.8300,4.9300,4.8000,4.8400,4.8700,2807239,13636001.0000
2019-01-28,sh.600732,4.8400,5.0400,4.8300,4.9200,4.8400,4596700,22852345.0000
2019-01-29,sh.600732,4.9200,5.0200,4.7600,4.7900,4.9200,5662856,27682764.0000
2019-01-30,sh.600732,4.6200,4.9100,4.6200,4.8800,4.7900,3186469,15225660.0000
2019-01-31,sh.600732,4.7900,5.0100,4.6700,4.7000,4.8800,3467293,16997912.0000
2019-02-01,sh.600732,4.7800,4.9400,4.7600,4.9300,4.7000,3054800,14902242.0000
2019-02-11,sh.600732,4.9800,5.1800,4.9700,5.1800,4.9300,2370871,12154923.0000
2019-02-12,sh.600732,5.2400,5.4400,5.1300,5.1700,5.1800,5607024,29809672.0000
