date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300393,15.1000,15.1200,14.8500,15.0000,15.0800,744213,11125849.5600
2019-01-03,sz.300393,15.1300,15.6000,15.0000,15.4000,15.0000,1495782,23023422.0600
2019-01-04,sz.300393,15.3000,16.9400,15.1700,16.4700,15.4000,3794748,61839583.4600
2019-01-07,sz.300393,16.3900,16.7800,16.1600,16.5400,16.4700,3140898,51738389.1900
2019-01-08,sz.300393,16.5300,16.5300,15.7400,15.9700,16.5400,2982896,47601620.3800
2019-01-09,sz.300393,15.8100,16.1500,15.6700,15.9000,15.9700,2012743,32077679.3900
2019-01-10,sz.300393,15.9000,17.4900,15.9000,17.1600,15.9000,6341775,107303158.6300
2019-01-11,sz.300393,17.0300,17.1500,16.5100,16.7900,17.1600,3884866,65098030.1000
2019-01-14,sz.300393,16.6100,16.8600,16.3500,16.4400,16.7900,1849592,30448463.4500
2019-01-15,sz.300393,16.5800,16.9500,16.4000,16.7300,16.4400,2466282,41213772.0600
2019-01-16,sz.300393,16.7500,16.9000,16.2000,16.2800,16.7300,1663350,27318676.0000
2019-01-17,sz.300393,16.2800,16.2900,15.9400,16.1000,16.2800,1132624,18232925.0000
2019-01-18,sz.300393,15.9500,16.4200,15.9500,16.3600,16.1000,1279794,20767733.7000
2019-01-21,sz.300393,16.3500,16.6800,16.2600,16.3800,16.3600,1232007,20266160.4200
2019-01-22,sz.300393,16.2800,16.3800,16.1600,16.2000,16.3800,670550,10887858.0000
2019-01-23,sz.300393,16.0000,16.2300,16.0000,16.1800,16.2000,540900,8708911.0000
2019-01-24,sz.300393,16.2200,16.6500,16.0100,16.5400,16.1800,1227756,20213007.2000
2019-01-25,sz.300393,16.5300,16.6300,15.7600,15.7600,16.5400,1276507,20551856.0000
2019-01-28,sz.300393,15.7600,16.1100,15.6500,15.9000,15.7600,709957,11293913.3000
2019-01-29,sz.300393,15.6400,15.9300,15.0100,15.7100,15.9000,1461306,22488161.9600
2019-01-30,sz.300393,15.6300,16.0900,15.4300,15.9100,15.7100,960271,15319076.4600
2019-01-31,sz.300393,15.7900,16.1200,15.3700,15.5800,15.9100,976600,15275269.0000
2019-02-01,sz.300393,15.8600,16.4100,15.3600,16.2400,15.5800,1398622,22527734.3800
2019-02-11,sz.300393,15.9100,16.6700,15.8100,16.5800,16.2400,1587355,26086288.6700
2019-02-12,sz.300393,16.6000,17.4800,16.4000,16.9000,16.5800,2254901,38233462.8800
2019-02-13,sz.300393,16.8600,17.0200,16.6000,16.9500,16.9000,1776575,29935392.2500
2019-02-14,sz.300393,16.9600,17.1800,16.6800,17.0300,16.9500,1965136,33271989.4000
2019-02-15,sz.300393,17.0000,17.0700,16.6600,16.8000,17.0300,1557972,26220560.9200
2019-02-18,sz.300393,17.1000,18.4800,16.9300,18.4800,16.8000,5418061,97903153.4800
2019-02-19,sz.300393,19.3800,20.2000,18.7000,19.2700,18.4800,8360735,162157115.9900
2019-02-20,sz.300393,19.0300,21.2000,19.0300,21.2000,19.2700,5963479,121613703.6300
2019-02-21,sz.300393,22.1800,23.3200,21.5000,22.9000,21.2000,8466608,190393981.8000
2019-02-22,sz.300393,22.4400,22.7100,21.8100,22.5000,22.9000,6783007,151093316.9800
2019-02-25,sz.300393,22.0000,24.3800,21.3600,23.6100,22.5000,10025279,228907361.2600
2019-02-26,sz.300393,22.8400,23.2500,22.0500,22.3500,23.6100,6275352,142122842.9700
2019-02-27,sz.300393,22.1200,22.1200,20.6500,21.1400,22.3500,4529465,96272202.2500
2019-02-28,sz.300393,20.8000,21.3000,20.2800,20.6000,21.1400,3917084,81196426.4200
2019-03-01,sz.300393,20.8900,21.3400,20.2100,21.1000,20.6000,3168641,66420341.5700
2019-03-04,sz.300393,21.2100,22.2700,20.9700,21.2100,21.1000,5415732,116482153.1700
2019-03-05,sz.300393,21.4300,22.2200,21.0200,22.1800,21.2100,3909807,85623462.4000
2019-03-06,sz.300393,22.2400,23.4000,22.2400,22.7100,22.1800,4580950,105039141.9800
2019-03-07,sz.300393,23.6000,24.2000,22.0000,22.5500,22.7100,5494050,127185281.6200
2019-03-08,sz.300393,21.8900,23.5000,21.1200,22.1000,22.5500,4957211,112263456.0300
2019-03-11,sz.300393,23.0900,24.3100,22.0100,24.3100,22.1000,5163234,120975087.1400
2019-03-12,sz.300393,25.1100,25.3500,23.5000,24.1900,24.3100,4138390,101544797.0200
2019-03-13,sz.300393,24.4000,25.0000,23.4200,25.0000,24.1900,3811570,91515291.4600
2019-03-14,sz.300393,24.7000,26.6000,24.1300,25.7100,25.0000,5184370,132094019.0900
2019-03-15,sz.300393,25.1900,26.0000,24.8600,25.0500,25.7100,2974592,75135622.6000
2019-03-18,sz.300393,24.7800,24.8300,23.9900,24.3300,25.0500,1836939,44575200.2200
2019-03-19,sz.300393,24.2000,24.5400,23.4700,23.6300,24.3300,2426732,57877759.6400
2019-03-20,sz.300393,23.7100,23.7300,22.9000,23.4200,23.6300,2132532,49572867.0000
2019-03-21,sz.300393,23.4800,24.0000,23.0000,23.3600,23.4200,2325540,54700207.3600
2019-03-22,sz.300393,23.3400,24.1700,23.1800,23.7000,23.3600,2516920,59609537.8000
2019-03-25,sz.300393,22.0900,23.1200,22.0000,22.2600,23.7000,3022851,68050375.5900
2019-03-26,sz.300393,22.7000,22.9500,21.0000,21.2600,22.2600,3720410,80663285.5500
2019-03-27,sz.300393,21.2500,21.4500,20.5500,20.9400,21.2600,2346243,48925552.1000
2019-03-28,sz.300393,20.9900,21.3400,20.5000,20.8800,20.9400,1770600,36991015.0700
2019-03-29,sz.300393,21.0000,21.1000,20.3000,20.9800,20.8800,2080519,43395964.0500
2019-04-01,sz.300393,21.1100,21.9500,21.1000,21.8800,20.9800,2304150,50073920.0000
2019-04-02,sz.300393,21.8100,22.2100,21.4700,21.5800,21.8800,2325256,50794565.4900
2019-04-03,sz.300393,21.5800,21.8400,21.4300,21.7500,21.5800,1963049,42512101.3100
2019-04-04,sz.300393,21.9100,21.9500,21.0100,21.1300,21.7500,2609683,55564606.9300
2019-04-08,sz.300393,21.3600,21.3900,20.2200,20.6800,21.1300,2598150,54000228.0000
2019-04-09,sz.300393,20.3500,21.5000,20.3400,21.4700,20.6800,2357678,49802320.8800
2019-04-10,sz.300393,21.2000,21.4500,20.8000,20.8000,21.4700,2476219,51895730.2900
2019-04-11,sz.300393,20.8100,21.0900,20.4500,20.6200,20.8000,1720819,35565824.2800
2019-04-12,sz.300393,20.6400,21.1800,20.1300,21.0500,20.6200,2474450,51472808.5000
2019-04-15,sz.300393,21.2400,21.4400,20.7100,20.7200,21.0500,2533150,53724423.0000
2019-04-16,sz.300393,20.7000,21.2800,20.5600,21.2400,20.7200,2018000,42340810.0000
2019-04-17,sz.300393,21.2400,22.1300,21.1500,21.8700,21.2400,3713674,80861001.8200
2019-04-18,sz.300393,21.8300,21.8300,21.0500,21.1200,21.8700,2568350,54987447.0000
2019-04-19,sz.300393,21.1200,21.4900,21.0000,21.4000,21.1200,1699970,36197458.1000
2019-04-22,sz.300393,22.1300,22.1300,21.1600,21.3700,21.4000,1618520,34720970.5000
2019-04-23,sz.300393,21.4000,21.4000,20.6000,20.6300,21.3700,1520500,31643858.0000
2019-04-24,sz.300393,20.6300,20.9000,19.7500,20.4200,20.6300,2308607,46748221.7500
2019-04-25,sz.300393,20.4300,20.4300,18.7200,18.7200,20.4200,2483100,48602251.5000
2019-04-26,sz.300393,18.7300,19.2600,18.6100,18.7900,18.7200,2363342,44930174.6200
2019-04-29,sz.300393,18.8000,19.1400,17.7000,17.9900,18.7900,2488115,45686902.2000
2019-04-30,sz.300393,18.5100,19.2700,18.0300,18.6800,17.9900,2504769,46965171.5000
2019-05-06,sz.300393,18.3900,18.5000,16.8100,17.1700,18.6800,2822100,49719258.5000
2019-05-07,sz.300393,17.2300,18.1300,17.0000,18.0000,17.1700,2426500,43055263.0000
2019-05-08,sz.300393,17.7200,18.2000,17.6500,17.7700,18.0000,1599243,28662604.4100
2019-05-09,sz.300393,17.8000,17.9400,17.3500,17.4800,17.7700,1233600,21789039.0000
2019-05-10,sz.300393,17.5300,18.1700,16.8900,17.9500,17.4800,2431293,43065535.7200
2019-05-13,sz.300393,17.7500,18.1900,17.6600,17.7700,17.9500,1582900,28340999.0000
2019-05-14,sz.300393,17.7600,18.0500,17.5000,17.8500,17.7700,1379607,24698355.8300
2019-05-15,sz.300393,18.0000,18.3100,17.8100,18.2500,17.8500,2014847,36433788.3000
2019-05-16,sz.300393,18.6800,18.7700,18.0300,18.1400,18.2500,2939430,54004832.2500
