date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603501,29.5200,29.8500,28.8900,29.0000,29.3900,1910264,55949206.0000
2019-01-03,sh.603501,28.8400,29.4000,28.3900,28.4700,29.0000,2074784,59914639.0000
2019-01-04,sh.603501,28.0800,29.5000,27.6200,29.3300,28.4700,2728987,78363698.0000
2019-01-07,sh.603501,29.6800,31.3800,29.5200,30.6600,29.3300,4942229,150681391.0000
2019-01-08,sh.603501,30.1100,30.5900,29.8000,29.9800,30.6600,2768407,83244302.0000
2019-01-09,sh.603501,29.9800,30.9800,29.2600,30.0700,29.9800,3961586,119435742.0000
2019-01-10,sh.603501,29.6000,30.2300,29.5100,29.5900,30.0700,2161775,64551397.0000
2019-01-11,sh.603501,29.5200,30.0500,29.5100,29.8800,29.5900,1538609,45870931.0000
2019-01-14,sh.603501,30.0500,30.1600,28.1000,28.1600,29.8800,3815931,109550756.0000
2019-01-15,sh.603501,28.0400,29.2500,28.0400,29.1900,28.1600,3039147,87510714.0000
2019-01-16,sh.603501,29.8800,30.1900,29.1900,29.3300,29.1900,2616185,77501957.0000
2019-01-17,sh.603501,29.8100,30.4500,28.9800,29.1200,29.3300,3410804,101623910.0000
2019-01-18,sh.603501,29.1200,29.5000,28.4300,29.2000,29.1200,2915477,84265916.0000
2019-01-21,sh.603501,29.1800,30.3000,28.5900,30.2800,29.2000,4376626,129794225.0000
2019-01-22,sh.603501,29.8600,30.1000,29.2100,29.5600,30.2800,2966288,87840331.0000
2019-01-23,sh.603501,29.5400,29.5800,28.9400,29.1900,29.5600,1902888,55555686.0000
2019-01-24,sh.603501,29.1600,31.5900,29.0700,30.5800,29.1900,7896220,241294485.0000
2019-01-25,sh.603501,30.3900,31.2000,30.0300,30.3600,30.5800,5461242,168077012.0000
2019-01-28,sh.603501,30.8000,31.2800,30.3600,30.4500,30.3600,3054900,93921268.0000
2019-01-29,sh.603501,30.1000,30.1500,28.8800,29.2300,30.4500,3363657,98977126.0000
2019-01-30,sh.603501,29.3900,29.6900,28.4500,28.6100,29.2300,2270400,65863723.0000
2019-01-31,sh.603501,28.3000,29.2900,28.1600,28.2800,28.6100,2236430,63982644.0000
2019-02-01,sh.603501,28.4900,29.3600,28.2000,29.2500,28.2800,2234566,64731637.0000
2019-02-11,sh.603501,29.5000,30.9200,29.1200,30.9000,29.2500,3793480,115040408.0000
2019-02-12,sh.603501,31.0800,31.9700,30.5800,31.3900,30.9000,5297597,166038509.0000
2019-02-13,sh.603501,31.2900,33.8900,31.2200,33.5000,31.3900,7357239,242569459.0000
2019-02-14,sh.603501,33.1100,33.6000,32.8600,33.4800,33.5000,4783500,158661461.0000
2019-02-15,sh.603501,33.2600,34.9800,33.0900,33.6100,33.4800,3871868,132057709.0000
2019-02-18,sh.603501,33.9900,35.5500,33.6800,35.3000,33.6100,4229177,147398213.0000
2019-02-19,sh.603501,36.3500,36.4400,33.9000,35.3600,35.3000,4794876,169624995.0000
2019-02-20,sh.603501,34.8000,35.2100,34.0500,34.6300,35.3600,2790933,96385708.0000
2019-02-21,sh.603501,35.0800,36.1000,34.6500,35.0300,34.6300,4643099,164704696.0000
2019-02-22,sh.603501,34.7700,38.4200,34.7700,38.0300,35.0300,5374480,196800681.0000
2019-02-25,sh.603501,39.9900,41.7600,39.1300,40.8000,38.0300,9108597,370356735.0000
2019-02-26,sh.603501,40.5000,43.1700,39.7000,41.3000,40.8000,7501811,314460457.0000
2019-02-27,sh.603501,40.9900,41.7000,38.9800,39.4700,41.3000,6830351,273132576.0000
2019-02-28,sh.603501,39.2500,40.2200,39.0300,39.4300,39.4700,3366714,133318926.0000
2019-03-01,sh.603501,39.5800,41.5600,39.3200,41.4600,39.4300,3919585,158485748.0000
2019-03-04,sh.603501,44.7700,45.6000,42.1000,42.5200,41.4600,6363507,279473580.0000
2019-03-05,sh.603501,42.5200,46.7700,42.2100,46.7500,42.5200,6903059,310742576.0000
2019-03-06,sh.603501,47.9200,48.8500,46.1700,46.6400,46.7500,8455274,398026443.0000
2019-03-07,sh.603501,46.6500,50.8000,45.4100,47.8800,46.6400,6425413,308129828.0000
2019-03-08,sh.603501,46.4000,52.6700,43.0900,50.1900,47.8800,11481204,580431819.0000
2019-03-11,sh.603501,52.0100,54.5500,49.0500,52.6800,50.1900,8043511,421044485.0000
2019-03-12,sh.603501,53.0000,55.8900,52.1100,54.4800,52.6800,7902499,427703298.0000
2019-03-13,sh.603501,53.9000,53.9000,49.0300,49.0300,54.4800,8424506,428208458.0000
2019-03-14,sh.603501,48.0000,49.6800,45.9300,48.5900,49.0300,8016683,383638949.0000
2019-03-15,sh.603501,48.2500,49.5800,47.2500,47.3800,48.5900,3996216,192952417.0000
2019-03-18,sh.603501,47.4200,51.6000,46.5500,51.3700,47.3800,5574188,275151450.0000
2019-03-19,sh.603501,50.0000,53.7800,49.5500,51.5700,51.3700,5970687,311778199.0000
2019-03-20,sh.603501,51.4800,51.9800,47.0800,49.3700,51.5700,5180212,256359430.0000
2019-03-21,sh.603501,49.2200,51.6000,48.3800,50.5700,49.3700,4659368,236423512.0000
2019-03-22,sh.603501,51.0100,53.7800,50.5100,50.6700,50.5700,5712758,297725097.0000
2019-03-25,sh.603501,49.8800,55.1900,49.1800,52.6700,50.6700,10120423,534516246.0000
2019-03-26,sh.603501,53.3300,54.0000,51.5500,52.3000,52.6700,6566594,346126310.0000
2019-03-27,sh.603501,53.0200,54.0700,51.2600,53.8000,52.3000,7476832,399407843.0000
2019-03-28,sh.603501,51.8000,53.8000,49.7200,49.7700,53.8000,7990811,410071802.0000
2019-03-29,sh.603501,48.8300,50.3500,47.0100,49.3900,49.7700,6010378,292301646.0000
2019-04-01,sh.603501,49.9100,54.3300,49.9100,54.3300,49.3900,7967163,417492428.0000
2019-04-02,sh.603501,55.8700,58.6500,55.6800,56.3400,54.3300,8865766,506997376.0000
2019-04-03,sh.603501,57.7300,59.8700,56.5000,57.9200,56.3400,5804771,336031302.0000
2019-04-04,sh.603501,59.5600,61.0000,57.2600,57.3000,57.9200,6706559,397041257.0000
2019-04-08,sh.603501,58.4800,58.5900,54.5000,56.3200,57.3000,6389343,358979047.0000
2019-04-09,sh.603501,56.5800,57.4400,54.0800,55.3100,56.3200,4951511,274696246.0000
2019-04-10,sh.603501,55.0800,55.8800,54.3200,54.8000,55.3100,2779966,153581287.0000
2019-04-11,sh.603501,55.0100,55.5000,51.5000,52.0000,54.8000,4526573,239565103.0000
2019-04-12,sh.603501,52.4600,52.8000,50.6000,51.1100,52.0000,4679551,241852309.0000
2019-04-15,sh.603501,52.5300,55.1000,51.6800,53.8000,51.1100,5221718,278655181.0000
2019-04-16,sh.603501,54.0000,59.1800,53.8000,59.1800,53.8000,9239965,526351473.0000
2019-04-17,sh.603501,61.0000,62.8900,56.7800,58.5200,59.1800,6573989,391000188.0000
2019-04-18,sh.603501,59.0000,59.0000,56.5700,56.9000,58.5200,3282082,188131607.0000
2019-04-19,sh.603501,56.7800,57.6500,55.3500,56.1300,56.9000,3277776,184581225.0000
2019-04-22,sh.603501,55.8100,57.6800,54.3700,55.5500,56.1300,3326129,185460632.0000
2019-04-23,sh.603501,55.2200,55.6700,54.0100,54.9900,55.5500,2153498,118159786.0000
2019-04-24,sh.603501,54.5500,58.0000,54.5500,57.8700,54.9900,4972123,281032388.0000
2019-04-25,sh.603501,56.9000,57.3300,54.0100,54.3400,57.8700,2829438,157797510.0000
2019-04-26,sh.603501,55.0900,55.5000,53.6000,54.6900,54.3400,2607083,142210984.0000
2019-04-29,sh.603501,55.3800,55.5500,49.2200,53.1200,54.6900,3230300,172354501.0000
2019-04-30,sh.603501,52.5100,54.8900,52.0200,54.8000,53.1200,1985163,107006238.0000
2019-05-06,sh.603501,54.8000,54.8000,54.8000,54.8000,54.8000,0,0.0000
2019-05-07,sh.603501,49.4100,52.8800,49.4100,52.0700,54.8000,4605415,235834208.0000
2019-05-08,sh.603501,50.0100,54.7000,48.6800,51.0400,52.0700,4188043,218523245.0000
2019-05-09,sh.603501,51.0000,52.5000,49.0000,50.2600,51.0400,3817125,193433351.0000
2019-05-10,sh.603501,51.1000,54.3000,49.4300,54.2000,50.2600,5118696,269555295.0000
2019-05-13,sh.603501,52.6000,53.9500,51.5000,51.8200,54.2000,3437828,180990175.0000
2019-05-14,sh.603501,51.1500,53.9000,51.0200,52.5000,51.8200,2767183,145837113.0000
2019-05-15,sh.603501,53.2800,54.1000,52.1000,52.7900,52.5000,2561224,135683061.0000
2019-05-16,sh.603501,52.6400,53.0000,51.5000,52.2800,52.7900,2856193,149235773.0000
2019-05-17,sh.603501,52.9500,54.5300,51.8500,52.0700,52.2800,3701433,197352331.0000
2019-05-20,sh.603501,53.8800,55.8800,52.6100,53.6900,52.0700,6473915,350119102.0000
2019-05-21,sh.603501,52.5200,52.5200,50.0500,51.5900,53.6900,5076872,260489355.0000
2019-05-22,sh.603501,51.6900,52.1100,50.0900,51.3300,51.5900,3417756,174615116.0000
2019-05-23,sh.603501,52.0800,52.0800,46.5200,47.1000,51.3300,5781011,283620058.0000
2019-05-24,sh.603501,46.5000,46.5000,42.6100,43.9500,47.1000,6607571,293952563.0000
2019-05-27,sh.603501,44.1200,46.2000,43.1100,45.5800,43.9500,4353420,195833658.0000
2019-05-28,sh.603501,45.8400,46.6500,43.8800,44.2000,45.5800,5267204,237353006.0000
2019-05-29,sh.603501,44.3900,45.2500,43.8000,44.7100,44.2000,4033668,179775699.0000
2019-05-30,sh.603501,44.4200,44.5000,42.2100,43.5500,44.7100,4532117,196009227.0000
2019-05-31,sh.603501,43.7800,43.9900,42.0000,42.0000,43.5500,5235970,224565224.0000
2019-06-03,sh.603501,42.6000,43.0700,41.0000,42.6000,42.0000,4849881,205446351.0000
2019-06-04,sh.603501,42.5200,42.6200,40.3200,40.9300,42.6000,4181517,172247822.0000
2019-06-05,sh.603501,41.9900,42.0100,40.7800,41.0300,40.9300,2922957,120505828.0000
2019-06-06,sh.603501,41.5000,41.5200,38.7200,39.0000,41.0300,6217060,245212873.0000
2019-06-10,sh.603501,39.7000,42.4200,39.0200,41.5000,39.0000,7481086,305607260.0000
2019-06-11,sh.603501,41.7500,44.9700,41.0000,44.5000,41.5000,7710056,334186541.0000
2019-06-12,sh.603501,44.1000,44.8600,43.5000,44.1000,44.5000,4423572,195481890.0000
2019-06-13,sh.603501,44.5400,45.9800,43.7600,45.3000,44.1000,4367582,196391948.0000
2019-06-14,sh.603501,45.1500,45.2700,43.7600,43.7800,45.3000,3797415,168762192.0000
2019-06-17,sh.603501,43.8000,45.3000,43.8000,45.0600,43.7800,2942500,131946119.0000
2019-06-18,sh.603501,45.3500,45.3900,44.0800,45.1500,45.0600,2420000,108307931.0000
2019-06-19,sh.603501,48.5000,49.6700,48.5000,49.6700,45.1500,5809097,286723817.0000
2019-06-20,sh.603501,48.8000,52.9900,48.5300,51.1300,49.6700,6908621,353743611.0000
2019-06-21,sh.603501,50.9400,53.0900,50.6600,51.0200,51.1300,5313641,276015980.0000
2019-06-24,sh.603501,51.0000,51.5000,49.2500,49.7500,51.0200,4345762,217571928.0000
2019-06-25,sh.603501,50.0000,50.6100,48.8800,49.5000,49.7500,4218936,210087141.0000
2019-06-26,sh.603501,49.5400,52.4500,49.4000,51.8300,49.5000,5833540,296716430.0000
2019-06-27,sh.603501,51.8500,56.9000,51.8500,55.8000,51.8300,6196603,338338807.0000
2019-06-28,sh.603501,55.0000,55.4900,53.1700,54.9100,55.8000,3400969,185197409.0000
2019-07-01,sh.603501,58.3600,58.7200,55.5200,56.1900,54.9100,6414833,366182223.0000
2019-07-02,sh.603501,56.6000,56.6000,54.0000,54.0000,56.1900,3619882,197834888.0000
2019-07-03,sh.603501,53.4000,54.4500,53.1000,53.6900,54.0000,2574929,137866800.0000
2019-07-04,sh.603501,53.5200,53.8700,52.0100,53.0900,53.5100,2927235,154609606.0000
2019-07-05,sh.603501,52.5000,54.3400,52.5000,54.3000,53.0900,2734922,147327367.0000
2019-07-08,sh.603501,53.9200,53.9800,51.4500,52.3300,54.3000,3892122,204183950.0000
2019-07-09,sh.603501,52.8900,54.1800,52.0500,53.3000,52.3300,2587979,137094223.0000
2019-07-10,sh.603501,53.6800,56.0000,53.5500,55.1800,53.3000,4195204,231589146.0000
2019-07-11,sh.603501,55.4800,55.7800,53.8000,54.8000,55.1800,2563460,139639829.0000
2019-07-12,sh.603501,54.8300,55.5000,54.1300,54.9500,54.8000,2185058,120293158.0000
2019-07-15,sh.603501,55.1100,60.1500,54.2900,58.9200,54.9500,6351347,366106241.0000
2019-07-16,sh.603501,58.6000,61.3800,58.2800,59.4900,58.9200,4376279,262547512.0000
2019-07-17,sh.603501,59.9100,64.4500,59.7900,62.4500,59.4900,6271583,393728887.0000
2019-07-18,sh.603501,62.4500,63.8000,60.3500,60.6300,62.4500,5399377,333410362.0000
2019-07-19,sh.603501,61.5000,62.0800,59.5900,60.2700,60.6300,3427557,207677639.0000
2019-07-22,sh.603501,61.1200,65.5900,58.2100,63.0000,60.2700,7852688,492628200.0000
2019-07-23,sh.603501,61.8100,65.1000,61.6000,64.8200,63.0000,4103384,261208570.0000
2019-07-24,sh.603501,64.8800,68.6800,63.8000,67.2200,64.8200,5681030,378364283.0000
2019-07-25,sh.603501,66.2000,70.4800,66.2000,69.8000,67.2200,7067254,491292716.0000
2019-07-26,sh.603501,69.7000,71.7100,68.0000,69.1000,69.8000,5264043,367831604.0000
2019-07-29,sh.603501,69.8000,71.5000,68.0000,69.6200,69.1000,3835388,267743320.0000
2019-07-30,sh.603501,69.0000,70.9000,67.1800,68.3900,69.6200,5571503,381274854.0000
2019-07-31,sh.603501,67.7400,68.7600,66.5800,67.1200,68.3900,5037100,339596782.0000
