date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300223,18.2100,18.4800,18.0600,18.2800,18.2500,1375649,25156423.4600
2019-01-03,sz.300223,18.1000,18.5100,18.1000,18.1800,18.2800,1636054,29956047.3800
2019-01-04,sz.300223,17.8500,18.7000,17.7300,18.5300,18.1800,2403530,44153468.7400
2019-01-07,sz.300223,18.5400,19.1900,18.4900,18.9400,18.5300,2721199,51459831.5600
2019-01-08,sz.300223,18.8900,19.1100,18.6300,18.7600,18.9400,1893044,35662164.3500
2019-01-09,sz.300223,18.8300,19.9500,18.7000,19.5400,18.7600,4769524,92595615.4700
2019-01-10,sz.300223,19.3000,19.6000,18.9400,19.1000,19.5400,3024714,58259159.2800
2019-01-11,sz.300223,19.2800,19.2800,18.8200,19.1000,19.1000,1823697,34668508.3300
2019-01-14,sz.300223,19.2200,19.2300,18.6800,19.0100,19.1000,1568880,29644055.2600
2019-01-15,sz.300223,19.0100,19.4800,18.6800,19.2600,19.0100,2711777,51952525.3200
2019-01-16,sz.300223,19.2500,19.4500,19.0600,19.2800,19.2600,1949541,37578122.8800
2019-01-17,sz.300223,19.2100,19.3000,18.8000,18.8000,19.2800,1743548,33106138.5700
2019-01-18,sz.300223,18.7600,19.1500,18.6200,18.8600,18.8000,2136379,40239757.4500
2019-01-21,sz.300223,18.8600,19.5900,18.7700,19.5900,18.8600,3722486,71743586.1600
2019-01-22,sz.300223,19.4800,19.9500,19.3500,19.5700,19.5900,3334026,65411463.1500
2019-01-23,sz.300223,19.3000,19.8000,19.2600,19.7400,19.5700,2196889,42841867.1400
2019-01-24,sz.300223,19.5800,21.3000,19.5800,20.3600,19.7400,6547358,134690681.5600
2019-01-25,sz.300223,20.1800,20.7600,19.9400,20.0200,20.3600,3673417,74854318.3900
2019-01-28,sz.300223,20.0500,20.6300,19.8000,20.0900,20.0200,2954445,59677433.4900
2019-01-29,sz.300223,19.8000,20.2800,19.0500,19.6000,20.0900,2703727,53173513.1800
2019-01-30,sz.300223,19.2800,20.3400,19.2800,19.6900,19.6000,3100847,61984109.9400
2019-01-31,sz.300223,19.7700,20.1700,19.0900,19.5000,19.6900,2824999,55586052.8300
2019-02-01,sz.300223,19.6000,20.1900,19.5400,20.1800,19.5000,2587610,51656437.5900
2019-02-11,sz.300223,20.3000,20.6900,19.9100,20.6800,20.1800,4187014,85216509.3800
2019-02-12,sz.300223,20.5500,20.8500,20.3300,20.7600,20.6800,4115630,84705248.2000
2019-02-13,sz.300223,20.9900,21.9600,20.7700,21.7200,20.7600,8049970,172839122.6000
2019-02-14,sz.300223,21.4100,21.6600,20.9000,21.2000,21.7200,5695955,120628224.1800
2019-02-15,sz.300223,21.2200,21.3300,20.7700,20.9400,21.2000,3524350,74301068.6800
2019-02-18,sz.300223,21.1000,21.6700,20.9800,21.6700,20.9400,5978937,128140536.7100
2019-02-19,sz.300223,21.6600,21.6700,21.0800,21.3900,21.6700,5143164,110125899.2300
2019-02-20,sz.300223,21.4200,21.4200,20.9300,21.1700,21.3900,2983021,62963022.9900
2019-02-21,sz.300223,21.1800,21.6700,20.8600,20.9300,21.1700,5693776,121435895.6400
2019-02-22,sz.300223,20.8200,21.5700,20.6800,21.4600,20.9300,4467006,94556423.2500
2019-02-25,sz.300223,21.7000,22.7400,21.6700,22.4500,21.4600,8277197,184011327.7600
2019-02-26,sz.300223,22.2000,23.6800,21.7500,22.4000,22.4500,9964709,225307810.7700
2019-02-27,sz.300223,22.2900,23.2200,22.2100,22.6700,22.4000,6599503,150128930.8500
2019-02-28,sz.300223,23.0200,23.7800,22.6800,23.7000,22.6700,8408591,196347176.9900
2019-03-01,sz.300223,23.6600,26.0000,22.9500,25.6600,23.7000,11542923,280000645.7000
2019-03-04,sz.300223,27.2400,27.8800,25.7000,25.9000,25.6600,12728558,335693230.5100
2019-03-05,sz.300223,25.6300,27.2700,25.3500,27.1500,25.9000,12093414,321747455.9800
2019-03-06,sz.300223,26.8900,27.5500,26.0300,26.7100,27.1500,10107803,268728973.5600
