date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300661,68.0200,68.2900,65.5500,66.4600,68.6000,402384,26813698.5400
2019-01-03,sz.300661,66.0000,68.3000,66.0000,67.1900,66.4600,357547,24138910.5300
2019-01-04,sz.300661,66.9900,70.2600,66.0900,69.5100,67.1900,429167,29620039.5400
2019-01-07,sz.300661,69.9800,74.3900,69.9800,72.4200,69.5100,783519,56912403.5200
2019-01-08,sz.300661,72.4200,72.9500,71.0400,71.2700,72.4200,289050,20739778.9400
2019-01-09,sz.300661,70.7500,73.2000,70.7300,71.7500,71.2700,353537,25526218.0700
2019-01-10,sz.300661,72.4800,72.7000,71.1600,71.6000,71.7500,323302,23227739.6800
2019-01-11,sz.300661,71.4800,72.4500,70.6100,72.3000,71.6000,250194,17890144.3700
2019-01-14,sz.300661,71.5000,71.5000,66.8000,69.3800,72.3000,878063,60526960.6100
2019-01-15,sz.300661,68.9100,69.2800,67.1600,68.7000,69.3800,533601,36496444.4900
2019-01-16,sz.300661,68.6000,73.4000,68.0100,71.9800,68.7000,1010540,72223709.0500
2019-01-17,sz.300661,71.9500,72.0000,70.0300,70.1000,71.9800,385533,27434693.2600
2019-01-18,sz.300661,70.1000,72.3800,67.0000,72.1000,70.1000,761559,53049643.3600
2019-01-21,sz.300661,72.2000,73.5900,70.5000,71.5500,72.1000,616774,44250360.0200
2019-01-22,sz.300661,71.5500,72.2300,70.5300,70.8200,71.5500,460528,32844691.0500
2019-01-23,sz.300661,70.5800,71.2800,69.8000,70.5000,70.8200,319810,22530053.3900
2019-01-24,sz.300661,70.3900,77.5500,70.0400,75.1700,70.5000,1293288,97551825.9600
2019-01-25,sz.300661,75.2100,78.8800,74.0300,76.2000,75.1700,1242647,95522478.0800
2019-01-28,sz.300661,77.0000,77.6900,74.6600,76.0000,76.2000,435996,33148143.4400
2019-01-29,sz.300661,75.1200,75.6100,70.9800,72.9200,76.0000,697349,50506173.0200
2019-01-30,sz.300661,72.9200,73.6700,71.6900,72.3000,72.9200,360683,26289983.8700
2019-01-31,sz.300661,72.7800,74.3000,72.1300,72.9900,72.3000,391179,28676076.2300
2019-02-01,sz.300661,73.6000,79.6600,73.2000,78.8800,72.9900,645187,49804804.5600
2019-02-11,sz.300661,79.1000,80.1000,77.8000,79.9200,78.8800,568095,45084527.9900
2019-02-12,sz.300661,79.9200,81.6300,78.5100,79.0400,79.9200,464490,36984214.5800
2019-02-13,sz.300661,79.5000,83.0000,78.9000,81.1900,79.0400,856602,69651299.0400
2019-02-14,sz.300661,80.5000,81.2700,78.8000,80.1100,81.1900,468317,37422162.2500
2019-02-15,sz.300661,79.5100,82.0000,79.0200,79.2500,80.1100,445207,35611525.1900
2019-02-18,sz.300661,80.0000,83.0400,79.3800,82.3000,79.2500,828443,67739890.7900
2019-02-19,sz.300661,82.7200,83.4200,81.1000,82.4000,82.3000,593804,48725861.7200
2019-02-20,sz.300661,81.4900,81.9300,79.9000,80.5100,82.4000,569906,46021400.6000
2019-02-21,sz.300661,80.1800,81.7700,78.8100,79.3700,80.5100,718290,57671075.5200
2019-02-22,sz.300661,78.3700,81.8800,78.3700,81.7900,79.3700,625559,50281145.4900
2019-02-25,sz.300661,83.0000,89.9700,83.0000,89.2700,81.7900,1458050,127420750.5200
2019-02-26,sz.300661,89.5000,96.6700,87.2000,92.1800,89.2700,1456176,135821996.8300
2019-02-27,sz.300661,92.1800,95.6000,88.4000,88.6000,92.1800,1171766,107055041.8500
2019-02-28,sz.300661,89.6600,90.7300,87.3500,87.6000,88.6000,714383,63373410.4700
2019-03-01,sz.300661,86.9300,89.0000,86.9300,88.4800,87.6000,585363,51486016.5100
2019-03-04,sz.300661,88.8000,94.6200,88.8000,92.3100,88.4800,1013473,93141637.2900
2019-03-05,sz.300661,92.0000,101.5400,91.3600,101.5400,92.3100,848403,82840450.6700
2019-03-06,sz.300661,105.2800,111.0000,98.0100,104.5000,101.5400,1955850,198860430.7200
2019-03-07,sz.300661,101.4100,104.3900,99.0000,101.0000,104.5000,1008461,103104020.4700
2019-03-08,sz.300661,101.3000,111.1000,95.5700,106.0000,101.0000,1785338,191616456.8100
2019-03-11,sz.300661,106.0000,110.9700,102.7200,106.9500,106.0000,1359866,145427469.3700
2019-03-12,sz.300661,106.0400,109.3000,104.4500,106.8700,106.9500,962423,102607780.9400
2019-03-13,sz.300661,105.7400,106.4900,97.1200,99.2900,106.8700,928272,94492565.3700
2019-03-14,sz.300661,99.8100,101.6600,93.3600,96.0900,99.2900,810464,78289320.5100
2019-03-15,sz.300661,95.8500,97.9200,94.1100,94.8800,96.0900,692257,66167385.7500
2019-03-18,sz.300661,95.1200,97.8300,93.4000,96.0000,94.8800,1111904,105651947.0200
2019-03-19,sz.300661,96.8800,97.0000,94.0000,95.3500,96.0000,1238824,118387470.7000
2019-03-20,sz.300661,96.2200,96.2200,92.1200,93.9000,95.3500,797672,74954356.6000
2019-03-21,sz.300661,93.8800,95.0000,92.8600,94.6000,93.9000,933197,87699514.6800
2019-03-22,sz.300661,94.6400,96.4000,93.5900,94.1000,94.6000,720219,68332624.4200
2019-03-25,sz.300661,91.6000,94.8000,90.0500,90.9300,94.1000,981140,90857219.8000
