date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002156,7.1400,7.2000,7.1000,7.1600,7.1300,3437116,24579817.6600
2019-01-03,sz.002156,7.1600,7.2900,7.0800,7.0900,7.1600,5982279,42915465.1300
2019-01-04,sz.002156,7.0100,7.2800,6.9600,7.2800,7.0900,8163146,58550417.4900
2019-01-07,sz.002156,7.3300,7.4900,7.2900,7.4600,7.2800,9995104,74132231.0300
2019-01-08,sz.002156,7.4300,7.4500,7.3500,7.3900,7.4600,6005658,44427279.9400
2019-01-09,sz.002156,7.4300,7.9800,7.4000,7.6300,7.3900,20100626,154395687.5000
2019-01-10,sz.002156,7.5700,7.6600,7.5100,7.5500,7.6300,10766108,81585215.4000
2019-01-11,sz.002156,7.5200,7.7300,7.5200,7.6300,7.5500,9015196,68774960.8800
2019-01-14,sz.002156,7.6300,7.6500,7.4000,7.4700,7.6300,6734190,50429899.4100
2019-01-15,sz.002156,7.4700,7.5900,7.4100,7.5800,7.4700,7642570,57550548.8000
2019-01-16,sz.002156,7.5800,7.6800,7.5400,7.6000,7.5800,7499190,57032907.2000
2019-01-17,sz.002156,7.5400,7.5800,7.4100,7.4400,7.6000,5710830,42789467.3000
2019-01-18,sz.002156,7.5000,7.7800,7.3900,7.6500,7.4400,11344994,86205804.7000
2019-01-21,sz.002156,7.6500,7.8900,7.6000,7.7000,7.6500,13705285,105871576.1300
2019-01-22,sz.002156,7.7000,7.7000,7.5000,7.5600,7.7000,8216152,62290245.4600
2019-01-23,sz.002156,7.5300,7.5600,7.4500,7.5400,7.5600,4769825,35766723.4900
2019-01-24,sz.002156,7.5500,8.2000,7.5300,7.8800,7.5400,35177392,278571137.3000
2019-01-25,sz.002156,7.8400,8.1600,7.7600,7.9500,7.8800,29893488,238683516.0400
2019-01-28,sz.002156,8.0400,8.1300,7.8200,7.9900,7.9500,17953404,143508138.5900
2019-01-29,sz.002156,7.9100,7.9500,7.5700,7.7600,7.9900,14780973,114635999.6400
2019-01-30,sz.002156,7.7300,7.9200,7.6100,7.6500,7.7600,11193042,87099471.2900
2019-01-31,sz.002156,7.5800,7.6400,6.9600,7.1400,7.6500,26798353,193795136.1100
2019-02-01,sz.002156,7.1500,7.4700,7.1500,7.4500,7.1400,12985164,95567438.6700
2019-02-11,sz.002156,7.4300,7.7600,7.4000,7.7400,7.4500,12623966,96476357.5900
2019-02-12,sz.002156,7.7800,7.9400,7.7000,7.8400,7.7400,14078755,110352585.6500
2019-02-13,sz.002156,7.9100,8.1400,7.8700,8.0400,7.8400,24331189,195996307.3800
2019-02-14,sz.002156,8.0800,8.1400,7.9400,8.0400,8.0400,18567134,149333373.1600
2019-02-15,sz.002156,8.0400,8.3300,7.9800,8.2000,8.0400,32761869,267173312.5400
2019-02-18,sz.002156,8.3600,9.0200,8.1800,9.0200,8.2000,46455212,405201781.1200
2019-02-19,sz.002156,9.2900,9.4800,9.0000,9.1200,9.0200,70612162,652929452.6800
2019-02-20,sz.002156,9.0300,9.0300,8.6800,8.8600,9.1200,40212504,354420152.8500
2019-02-21,sz.002156,8.7700,9.2800,8.6800,8.9100,8.8600,45814613,413345763.4300
2019-02-22,sz.002156,8.8300,9.1700,8.7800,9.1200,8.9100,32065093,288531692.8500
2019-02-25,sz.002156,9.2100,9.6200,9.1700,9.5100,9.1200,51744622,485675611.5500
2019-02-26,sz.002156,9.4900,9.4900,9.1000,9.1700,9.5100,40446773,373554573.3700
2019-02-27,sz.002156,9.1100,9.2100,8.9000,8.9900,9.1700,28338964,255902578.8900
2019-02-28,sz.002156,9.0000,9.0700,8.9000,9.0100,8.9900,16346116,146773967.3300
2019-03-01,sz.002156,9.0300,9.0700,8.7100,8.8900,9.0100,21873024,192950143.9500
2019-03-04,sz.002156,9.0300,9.2800,8.9200,9.0500,8.8900,38550336,350935179.3300
2019-03-05,sz.002156,9.0400,9.6700,8.9500,9.6300,9.0500,52473468,493758397.6600
2019-03-06,sz.002156,9.6600,9.7400,9.3500,9.5200,9.6300,40564747,384209477.8300
2019-03-07,sz.002156,9.4300,9.8600,9.3600,9.6700,9.5200,43194470,414324425.1700
2019-03-08,sz.002156,9.6700,10.6400,9.5500,10.6400,9.6700,50056224,518076886.8200
2019-03-11,sz.002156,11.7000,11.7000,10.8100,11.1100,10.6400,122257460,1386083748.2100
2019-03-12,sz.002156,11.0100,12.1000,10.8200,11.7400,11.1100,97478150,1105762854.9600
2019-03-13,sz.002156,11.5000,11.8200,10.6300,10.9000,11.7400,71462121,810242031.1900
2019-03-14,sz.002156,10.4900,10.6600,10.0100,10.2200,10.9000,41907442,430550387.0100
2019-03-15,sz.002156,10.3700,10.5300,10.0400,10.2300,10.2200,26725683,275058548.9100
2019-03-18,sz.002156,10.1900,10.4400,9.9900,10.4200,10.2300,23987834,246814027.6500
2019-03-19,sz.002156,10.4100,10.7500,10.2600,10.5000,10.4200,24769095,260297074.9000
2019-03-20,sz.002156,10.5100,10.5300,10.1100,10.3100,10.5000,21855915,225041230.5600
2019-03-21,sz.002156,10.4500,10.9700,10.4100,10.7700,10.3100,41619326,444768035.3900
2019-03-22,sz.002156,10.7700,11.1200,10.7000,10.9600,10.7700,39100733,428319986.8500
2019-03-25,sz.002156,10.8000,11.2800,10.5800,11.0100,10.9600,35419660,387775038.2000
2019-03-26,sz.002156,11.0000,11.0500,10.2300,10.3500,11.0100,31275999,335192295.8600
2019-03-27,sz.002156,10.4800,10.6800,10.0100,10.5100,10.3500,28007597,290991563.5200
2019-03-28,sz.002156,10.3800,10.9800,10.2600,10.4700,10.5100,32045880,343466359.0100
2019-03-29,sz.002156,10.3900,10.7400,10.0800,10.7100,10.4700,29915614,311986018.4000
2019-04-01,sz.002156,10.3700,10.9800,10.3500,10.8800,10.7100,49314231,527733909.1000
2019-04-02,sz.002156,10.8400,11.1800,10.7200,11.0200,10.8800,43175773,473587752.5400
2019-04-03,sz.002156,10.8900,11.0200,10.6800,10.9200,11.0200,26522547,287762663.4200
2019-04-04,sz.002156,11.0000,11.1500,10.8300,10.9700,10.9200,26757124,293734746.0400
2019-04-08,sz.002156,10.9800,10.9900,10.3200,10.4400,10.9700,29608301,313955241.0900
2019-04-09,sz.002156,10.4500,10.6500,10.3500,10.4900,10.4400,14354281,150521055.1300
2019-04-10,sz.002156,10.3800,10.4500,10.1500,10.2000,10.4900,20365604,208593202.7100
2019-04-11,sz.002156,10.2200,10.2700,10.0000,10.0100,10.2000,14179714,143255555.7100
2019-04-12,sz.002156,10.0600,10.2100,9.8800,10.1400,10.0100,10571731,106759198.3500
2019-04-15,sz.002156,10.2500,10.4500,10.1100,10.1400,10.1400,12844730,132424671.7800
2019-04-16,sz.002156,10.0900,10.3900,9.9200,10.3700,10.1400,15918104,162339757.7400
2019-04-17,sz.002156,10.3500,10.7500,10.3200,10.4400,10.3700,18036691,190139791.1600
2019-04-18,sz.002156,10.4200,10.5200,10.1900,10.2500,10.4400,14077907,145060298.0700
2019-04-19,sz.002156,10.2400,10.3600,10.0700,10.2600,10.2500,10441223,106607025.7200
2019-04-22,sz.002156,10.3000,10.4800,10.2000,10.2100,10.2600,13533492,139614686.8800
2019-04-23,sz.002156,10.1200,10.2000,9.8400,9.8500,10.2100,14792413,147608418.8500
2019-04-24,sz.002156,9.8500,10.4400,9.7900,10.1900,9.8500,14003275,141067587.4600
2019-04-25,sz.002156,10.1400,10.2200,9.6700,9.6800,10.1900,12822899,127622207.0500
