date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601311,8.8000,8.8000,8.6200,8.6400,8.8300,1878169,16281460.0000
2019-01-03,sh.601311,8.6400,8.7400,8.4900,8.5100,8.6400,2438940,20957220.0000
2019-01-04,sh.601311,8.4700,8.7800,8.3900,8.7500,8.5100,2793456,24150837.0000
2019-01-07,sh.601311,8.8000,8.8500,8.7300,8.8000,8.7500,6015570,52819775.0000
2019-01-08,sh.601311,8.8000,8.8000,8.6900,8.7200,8.8000,3605636,31499659.0000
2019-01-09,sh.601311,8.7500,8.9000,8.7300,8.7500,8.7200,8022448,70739629.0000
2019-01-10,sh.601311,8.7800,8.7800,8.5400,8.5800,8.7500,5496601,47574348.0000
2019-01-11,sh.601311,8.5800,8.7300,8.5400,8.6900,8.5800,3875941,33454010.0000
2019-01-14,sh.601311,8.6800,8.7400,8.6400,8.6600,8.6900,2642700,22961581.0000
2019-01-15,sh.601311,8.6300,8.7500,8.6100,8.7500,8.6600,4631631,40267870.0000
2019-01-16,sh.601311,8.7600,8.7800,8.6500,8.6700,8.7500,4060457,35337670.0000
2019-01-17,sh.601311,8.6600,8.6700,8.5400,8.5400,8.6700,3119286,26849320.0000
2019-01-18,sh.601311,8.5600,8.6700,8.5400,8.6500,8.5400,3282384,28250339.0000
2019-01-21,sh.601311,8.6600,8.7700,8.6500,8.7100,8.6500,3676507,32072248.0000
2019-01-22,sh.601311,8.7200,8.7300,8.5600,8.5700,8.7100,3488789,30109388.0000
2019-01-23,sh.601311,8.5400,8.9500,8.5400,8.9300,8.5700,11301922,99948942.0000
2019-01-24,sh.601311,8.9600,8.9600,8.7900,8.8200,8.9300,7691610,68020572.0000
2019-01-25,sh.601311,8.8000,9.2000,8.7400,8.9900,8.8200,9269213,82904025.0000
2019-01-28,sh.601311,9.0300,9.2800,8.8300,8.8500,8.9900,7406275,66689596.0000
2019-01-29,sh.601311,8.8600,8.8600,8.4000,8.5900,8.8500,6798207,58323147.0000
2019-01-30,sh.601311,8.4900,8.5800,8.4200,8.4300,8.5900,3996160,33891417.0000
2019-01-31,sh.601311,8.4500,8.4800,8.0500,8.1000,8.4300,6102457,50163194.0000
2019-02-01,sh.601311,8.1500,8.3000,8.1200,8.2700,8.1000,2826700,23233436.0000
2019-02-11,sh.601311,8.3000,8.5600,8.2800,8.5400,8.2700,4203625,35538131.0000
2019-02-12,sh.601311,8.5400,8.7100,8.4900,8.6700,8.5400,4639232,39966619.0000
