date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002733,10.1700,10.9700,10.1700,10.6000,10.2500,12554474,133326189.4200
2019-01-03,sz.002733,10.5000,11.4000,10.4400,10.9900,10.6000,16231484,179708797.6000
2019-01-04,sz.002733,10.8900,11.4000,10.7300,11.0800,10.9900,17198202,190382742.6400
2019-01-07,sz.002733,11.1100,11.3300,10.9500,11.2300,11.0800,12771478,142196085.2500
2019-01-08,sz.002733,11.3300,11.7500,11.0500,11.5400,11.2300,16397745,186734739.1100
2019-01-09,sz.002733,11.6000,12.6900,11.4000,12.4100,11.5400,22770675,274569183.8400
2019-01-10,sz.002733,12.1900,13.6500,12.1000,13.6500,12.4100,24158911,312987115.9200
2019-01-11,sz.002733,14.0100,15.0200,13.5100,15.0200,13.6500,21091687,304851162.0200
2019-01-14,sz.002733,16.5200,16.5200,16.5200,16.5200,15.0200,2342313,38695010.7600
2019-01-15,sz.002733,18.1700,18.1700,17.8100,18.1700,16.5200,14641568,265935444.5600
2019-01-16,sz.002733,19.0000,19.9000,18.1700,18.4100,18.1700,55280121,1053691326.9100
2019-01-17,sz.002733,18.6000,20.2500,18.6000,20.2500,18.4100,36922997,718654605.1000
2019-01-18,sz.002733,21.2800,21.6900,18.2300,18.2300,20.2500,54358361,1066147894.5500
2019-01-21,sz.002733,18.0100,19.5000,18.0000,18.6100,18.2300,39326183,734800458.2600
2019-01-22,sz.002733,18.2000,19.7400,17.8100,19.1500,18.6100,41393038,776423352.2700
2019-01-23,sz.002733,18.7000,21.0700,18.6000,20.5900,19.1500,52870539,1080669237.6400
2019-01-24,sz.002733,20.1100,20.4700,18.5300,19.3000,20.5900,41537520,805476004.1600
2019-01-25,sz.002733,19.0000,21.2300,18.5000,21.2300,19.3000,53961662,1095818549.8000
2019-01-28,sz.002733,21.0000,21.0700,19.1100,19.1100,21.2300,41127096,801605523.5600
2019-01-29,sz.002733,18.6600,18.7000,17.2000,17.7800,19.1100,38220404,684202092.6600
2019-01-30,sz.002733,17.0200,18.5500,16.8300,17.6700,17.7800,28333706,504820104.0900
2019-01-31,sz.002733,17.6700,18.2800,17.1600,17.2000,17.6700,20875407,369834871.8700
2019-02-01,sz.002733,17.6000,17.8800,17.0600,17.2600,17.2000,18120684,315774461.4000
2019-02-11,sz.002733,17.5300,18.5300,17.3300,18.1900,17.2600,17401663,313782859.3400
2019-02-12,sz.002733,18.2000,18.6500,17.7200,18.2500,18.1900,20392503,370934400.3300
2019-02-13,sz.002733,18.1300,18.2500,17.5000,18.1500,18.2500,19428923,348187133.6800
2019-02-14,sz.002733,17.8500,19.4200,17.5300,19.0600,18.1500,34256054,635744138.1000
2019-02-15,sz.002733,18.6800,19.5500,18.5200,19.0600,19.0600,28727061,546725982.1900
2019-02-18,sz.002733,18.9000,20.9700,18.9000,20.2600,19.0600,40673820,822540075.8900
2019-02-19,sz.002733,20.2000,22.2900,20.1400,22.2900,20.2600,41887207,883241489.0400
2019-02-20,sz.002733,22.5000,24.4800,21.6000,22.1300,22.2900,57029842,1309346141.7100
2019-02-21,sz.002733,21.4600,23.4600,20.7000,22.7400,22.1300,45692191,1019353888.8300
2019-02-22,sz.002733,22.3000,22.6900,21.0500,21.3400,22.7400,39812593,863614036.2200
2019-02-25,sz.002733,21.2900,23.1500,21.0500,22.7500,21.3400,40385866,903270680.8800
2019-02-26,sz.002733,23.2800,25.0300,21.8000,25.0300,22.7500,49801568,1194427882.6000
2019-02-27,sz.002733,24.7800,27.5300,24.1100,25.2700,25.0300,53505579,1406095989.4200
2019-02-28,sz.002733,24.7200,25.9700,22.8100,23.5000,25.2700,35679172,855050087.7500
2019-03-01,sz.002733,23.5900,24.3700,22.5300,23.6600,23.5000,26664312,632707060.8800
2019-03-04,sz.002733,23.6000,25.1500,23.0100,24.6300,23.6600,31274859,763062665.8700
2019-03-05,sz.002733,24.2300,24.8000,23.8000,24.5000,24.6300,27033778,656343482.9800
2019-03-06,sz.002733,24.2000,26.1000,24.2000,24.6900,24.5000,34363698,860143140.8900
2019-03-07,sz.002733,24.1700,24.2100,22.9000,23.6500,24.6900,34935921,824958858.5400
2019-03-08,sz.002733,22.3000,23.2100,22.1000,22.5200,23.6500,23471708,533079589.7400
2019-03-11,sz.002733,22.5200,24.0200,22.5000,23.8800,22.5200,22320267,524065751.9600
2019-03-12,sz.002733,23.8000,24.1300,23.1500,23.6600,23.8800,19122046,449918305.5100
2019-03-13,sz.002733,23.7700,26.0300,23.5500,24.8300,23.6600,44334805,1119185272.3000
2019-03-14,sz.002733,24.6800,26.3000,22.3500,22.4100,24.8300,49134205,1197889253.4900
2019-03-15,sz.002733,21.8200,23.3200,21.5400,22.6400,22.4100,30688288,682343477.4400
2019-03-18,sz.002733,23.9000,24.4600,22.6700,23.2200,22.6400,22720152,529276532.0800
2019-03-19,sz.002733,22.6500,24.9400,22.5100,24.5400,23.2200,26757407,634638550.7800
2019-03-20,sz.002733,24.5000,25.4300,23.6400,24.2000,24.5400,24058916,588161263.7000
2019-03-21,sz.002733,24.6000,26.2900,23.8000,25.0000,24.2000,30794639,771228231.2300
2019-03-22,sz.002733,24.5900,27.5000,24.3100,26.9300,25.0000,42094065,1116814172.4100
2019-03-25,sz.002733,26.0000,28.3500,25.4400,26.9800,26.9300,38077752,1026187138.4700
2019-03-26,sz.002733,26.9800,27.9900,25.3800,25.7600,26.9800,27730163,737790709.7100
2019-03-27,sz.002733,26.8900,27.6800,25.8000,26.1200,25.7600,29008715,773241423.9000
2019-03-28,sz.002733,25.2500,25.5500,23.5100,23.5100,26.1200,29060787,704744615.5900
2019-03-29,sz.002733,23.1100,24.6900,23.0100,24.3300,23.5100,22602016,538090426.4900
2019-04-01,sz.002733,24.3300,25.6800,24.3100,25.0900,24.3300,25335054,635954891.5500
2019-04-02,sz.002733,25.1200,25.8500,24.5000,24.8600,25.0900,27102672,681055018.9700
2019-04-03,sz.002733,24.8800,26.1000,24.5700,25.8000,24.8600,25418311,648428047.4200
2019-04-04,sz.002733,25.5800,27.1800,24.9000,26.2000,25.8000,35355162,920358769.9000
2019-04-08,sz.002733,25.9100,27.9900,25.6600,27.9900,26.2000,38973356,1046434539.6800
2019-04-09,sz.002733,27.7000,27.8000,26.0000,27.0100,27.9900,31864287,855570117.1300
2019-04-10,sz.002733,26.2800,27.8600,25.7100,26.0900,27.0100,31037613,831677546.2900
2019-04-11,sz.002733,25.7500,27.0000,25.5100,25.6700,26.0900,25481815,670645008.6600
2019-04-12,sz.002733,26.7100,28.2400,26.4000,27.5500,25.6700,52498069,1453434412.3200
2019-04-15,sz.002733,28.0900,30.3100,26.9500,28.8800,27.5500,51456142,1465828593.7700
2019-04-16,sz.002733,28.6000,31.7700,28.4500,31.7700,28.8800,49523150,1496771042.9600
2019-04-17,sz.002733,33.2000,34.9500,31.8800,34.9500,31.7700,53951182,1834013822.7800
2019-04-18,sz.002733,34.8800,36.5000,32.0200,32.5800,34.9500,57087977,1951435073.6900
2019-04-19,sz.002733,31.5000,33.4500,30.0500,31.5100,32.5800,43110697,1358645702.5700
2019-04-22,sz.002733,31.5900,32.1500,30.1100,31.6300,31.5100,31118603,972195627.5700
2019-04-23,sz.002733,31.2200,31.2200,28.9000,29.3300,31.6300,29221182,879422880.6300
2019-04-24,sz.002733,31.0000,32.2600,30.6600,32.2600,29.3300,29916556,949626114.7500
2019-04-25,sz.002733,32.6000,33.9000,30.2500,30.3100,32.2600,46081708,1481233850.8900
2019-04-26,sz.002733,29.1800,31.7200,29.1800,31.0200,30.3100,31512315,961949181.7900
2019-04-29,sz.002733,31.6000,31.6000,27.9200,27.9200,31.0200,32616501,954174775.4500
2019-04-30,sz.002733,25.6600,28.2900,25.6600,27.5100,27.9200,28085552,755393635.0900
2019-05-06,sz.002733,26.0500,26.5000,24.7600,24.7600,27.5100,14438025,371020752.8500
2019-05-07,sz.002733,24.8000,25.8000,22.9200,23.7900,24.7600,26274314,642056715.2000
2019-05-08,sz.002733,23.0800,24.4000,22.9300,23.5700,23.7900,19950993,473205702.2900
2019-05-09,sz.002733,23.2400,24.1500,22.8100,22.8900,23.5700,16911100,397721988.2500
2019-05-10,sz.002733,23.6600,25.1800,23.0300,24.8400,22.8900,30389197,736856632.1900
2019-05-13,sz.002733,24.3700,24.5000,23.6100,23.9000,24.8400,19729875,474916174.6200
2019-05-14,sz.002733,23.9100,24.6300,23.8000,24.0000,23.9000,17612867,426415027.6700
2019-05-15,sz.002733,24.6000,24.9500,24.1500,24.6400,24.0000,24862660,610217208.4400
2019-05-16,sz.002733,24.5800,24.5800,23.6600,23.7000,24.6400,19926123,478186371.4200
2019-05-17,sz.002733,23.7000,23.8000,21.5800,21.8800,23.7000,24256139,547241411.8000
2019-05-20,sz.002733,21.8300,22.3600,21.0400,22.0000,21.8800,13735175,298423113.3500
2019-05-21,sz.002733,21.9500,22.8000,21.9500,22.5000,22.0000,14592165,328686568.6000
