date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600478,3.8700,3.8800,3.8000,3.8800,3.9000,6349861,24388664.0000
2019-01-03,sh.600478,3.8600,3.8900,3.8200,3.8800,3.8800,4924694,18995880.0000
2019-01-04,sh.600478,3.8500,3.9500,3.8200,3.9400,3.8800,5327655,20798864.0000
2019-01-07,sh.600478,3.9800,4.2200,3.9500,4.1600,3.9400,15693746,64561299.0000
2019-01-08,sh.600478,4.1000,4.2100,4.1000,4.1800,4.1600,9841861,41024476.0000
2019-01-09,sh.600478,4.2500,4.3400,4.1700,4.1700,4.1800,13057360,55504836.0000
2019-01-10,sh.600478,4.2400,4.3400,4.2000,4.2300,4.1700,11798282,50421115.0000
2019-01-11,sh.600478,4.2600,4.6500,4.2600,4.6500,4.2300,35402208,160183523.0000
2019-01-14,sh.600478,4.7200,4.9500,4.6400,4.7800,4.6500,44820628,214348480.0000
2019-01-15,sh.600478,4.7300,4.7600,4.6000,4.6500,4.7800,25744931,119993136.0000
2019-01-16,sh.600478,4.6200,4.6900,4.5400,4.5500,4.6500,17783227,81676763.0000
2019-01-17,sh.600478,4.6300,4.6900,4.4800,4.5000,4.5500,17915060,82362982.0000
2019-01-18,sh.600478,4.5400,4.6100,4.4700,4.5400,4.5000,14186109,64506275.0000
2019-01-21,sh.600478,4.5100,4.6300,4.4800,4.5300,4.5400,12715267,57896981.0000
2019-01-22,sh.600478,4.5600,4.5700,4.3300,4.3800,4.5300,15761169,69358401.0000
2019-01-23,sh.600478,4.3800,4.3800,4.3800,4.3800,4.3800,0,0.0000
2019-01-24,sh.600478,4.6300,4.8200,4.5300,4.8200,4.3800,12056341,57195629.0000
2019-01-25,sh.600478,5.2000,5.2000,4.8300,4.8500,4.8200,62825114,314719807.0000
2019-01-28,sh.600478,4.7200,4.8500,4.5000,4.5100,4.8500,37614335,175721018.0000
2019-01-29,sh.600478,4.4200,4.5200,4.2600,4.4100,4.5100,21710728,95011106.0000
2019-01-30,sh.600478,4.3900,4.4000,4.1200,4.1800,4.4100,15219374,65134685.0000
2019-01-31,sh.600478,4.2100,4.3400,4.1100,4.1500,4.1800,12095747,51175480.0000
2019-02-01,sh.600478,4.2800,4.3000,4.1800,4.2900,4.1500,9700073,41199545.0000
2019-02-11,sh.600478,4.2800,4.4400,4.2600,4.4300,4.2900,12259017,53849763.0000
2019-02-12,sh.600478,4.4700,4.5700,4.4400,4.5400,4.4300,15057807,67920027.0000
2019-02-13,sh.600478,4.5100,4.5900,4.4800,4.5600,4.5400,15854770,72127883.0000
2019-02-14,sh.600478,4.5800,4.6300,4.5000,4.5700,4.5600,14862167,67852933.0000
2019-02-15,sh.600478,4.5900,4.5900,4.4500,4.4600,4.5700,14984307,67665202.0000
2019-02-18,sh.600478,4.5100,4.7200,4.4800,4.7200,4.4600,25966288,119629171.0000
2019-02-19,sh.600478,4.7200,4.7900,4.5700,4.7100,4.7200,25268975,118194912.0000
2019-02-20,sh.600478,4.7200,4.9000,4.6100,4.8300,4.7100,31848469,152703961.0000
2019-02-21,sh.600478,4.7700,4.8700,4.6700,4.7000,4.8300,26618089,127432004.0000
2019-02-22,sh.600478,4.6800,4.7900,4.6600,4.7700,4.7000,18681712,88563232.0000
2019-02-25,sh.600478,4.7000,5.0300,4.7000,5.0100,4.7700,37022266,181599948.0000
2019-02-26,sh.600478,5.0400,5.2700,4.9200,5.0400,5.0100,39386756,200740879.0000
2019-02-27,sh.600478,5.0500,5.3900,4.9700,5.2300,5.0400,39814678,206325117.0000
2019-02-28,sh.600478,5.1600,5.3200,5.1200,5.1900,5.2300,29618133,154126229.0000
2019-03-01,sh.600478,5.3700,5.4000,5.0300,5.1400,5.1900,30880591,159258436.0000
2019-03-04,sh.600478,5.1100,5.2400,5.0300,5.1200,5.1400,34846606,179039862.0000
2019-03-05,sh.600478,5.1000,5.1800,5.0800,5.1800,5.1200,22679528,116555413.0000
2019-03-06,sh.600478,5.1800,5.3500,5.1500,5.2800,5.1800,38875867,204053988.0000
2019-03-07,sh.600478,5.2900,5.5600,5.2300,5.4200,5.2800,41005380,221750779.0000
2019-03-08,sh.600478,5.2500,5.4300,5.0600,5.0700,5.4200,37280761,195609286.0000
2019-03-11,sh.600478,5.1100,5.3200,5.0700,5.3100,5.0700,27110190,141280412.0000
2019-03-12,sh.600478,5.3500,5.4800,5.2600,5.4300,5.3100,33553184,180874500.0000
2019-03-13,sh.600478,5.4400,5.4500,5.1800,5.2100,5.4300,24574166,130594876.0000
2019-03-14,sh.600478,5.2400,5.3100,4.9500,5.0200,5.2100,27645993,140959347.0000
2019-03-15,sh.600478,5.0900,5.5200,5.0700,5.5200,5.0200,13634245,74688055.0000
2019-03-18,sh.600478,6.0700,6.0700,5.9000,6.0700,5.5200,38183674,231606234.0000
2019-03-19,sh.600478,6.1100,6.5700,6.0000,6.2100,6.0700,143048667,894429052.0000
2019-03-20,sh.600478,6.0100,6.1200,5.7100,5.8500,6.2100,89586806,528682695.0000
2019-03-21,sh.600478,5.7700,6.0100,5.6900,5.7800,5.8500,65721813,383604764.0000
2019-03-22,sh.600478,5.7800,5.8800,5.6300,5.8100,5.7800,42998233,247509262.0000
2019-03-25,sh.600478,5.6700,6.0600,5.6300,5.9100,5.8100,52595271,309826108.0000
2019-03-26,sh.600478,5.9100,6.1800,5.8000,5.8500,5.9100,56066576,337092088.0000
2019-03-27,sh.600478,6.1200,6.1400,5.7800,5.9500,5.8500,44183403,262324168.0000
2019-03-28,sh.600478,5.9200,5.9200,5.5500,5.5900,5.9500,35678348,203669894.0000
2019-03-29,sh.600478,5.6400,5.8600,5.5900,5.8000,5.5900,27851908,159683608.0000
2019-04-01,sh.600478,5.9200,6.0400,5.8200,6.0200,5.8000,44574510,266079405.0000
2019-04-02,sh.600478,6.0200,6.2600,5.9100,6.1000,6.0200,55002864,333911872.0000
2019-04-03,sh.600478,6.0000,6.1500,5.9500,6.1000,6.1000,33864092,205117705.0000
2019-04-04,sh.600478,6.1000,6.4500,6.0800,6.3500,6.1000,66604993,418244330.0000
2019-04-08,sh.600478,6.3400,6.4000,6.0100,6.2400,6.3500,49122237,306046289.0000
2019-04-09,sh.600478,6.2300,6.2400,6.0300,6.1200,6.2400,31634901,193260359.0000
2019-04-10,sh.600478,6.0000,6.1500,5.9200,6.0300,6.1200,39495373,237581378.0000
