date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300207,8.5700,8.6400,8.4300,8.5900,8.5900,5823584,49642914.7100
2019-01-03,sz.300207,8.6500,8.6700,8.1000,8.1200,8.5900,9589539,79942305.7400
2019-01-04,sz.300207,8.0000,8.3500,7.7100,8.2800,8.1200,14115820,113941803.0900
2019-01-07,sz.300207,8.3700,8.5000,8.2400,8.4500,8.2800,12535494,104911780.2700
2019-01-08,sz.300207,8.4500,9.1700,8.4500,9.1400,8.4500,22747912,202820188.7700
2019-01-09,sz.300207,8.9400,8.9900,8.6300,8.7700,9.1400,19737212,173574658.0100
2019-01-10,sz.300207,8.7400,8.8500,8.6600,8.7300,8.7700,8277818,72586976.2300
2019-01-11,sz.300207,8.7300,8.8200,8.6200,8.8100,8.7300,6502307,56764504.7400
2019-01-14,sz.300207,8.8100,8.8100,8.5200,8.5800,8.8100,6161460,53289219.5700
2019-01-15,sz.300207,8.5500,8.8800,8.4900,8.8400,8.5800,9294927,80673304.5300
2019-01-16,sz.300207,8.8000,8.8500,8.6600,8.7200,8.8400,7320356,64044881.8600
2019-01-17,sz.300207,8.7500,8.7900,8.6400,8.6900,8.7200,4906234,42802462.5600
2019-01-18,sz.300207,8.6900,8.9200,8.6900,8.8100,8.6900,8032703,70917326.0600
2019-01-21,sz.300207,8.8000,9.0800,8.7900,9.0000,8.8100,11652612,104744420.9300
2019-01-22,sz.300207,9.0000,9.1500,8.9300,8.9700,9.0000,8487948,76841065.7600
2019-01-23,sz.300207,8.9300,9.1600,8.8900,9.1000,8.9700,8009141,72669957.9200
2019-01-24,sz.300207,9.1000,9.4600,9.0100,9.3500,9.1000,11335376,105270435.7300
2019-01-25,sz.300207,9.3100,9.9400,9.3100,9.7000,9.3500,20072550,194472688.6000
2019-01-28,sz.300207,9.6400,9.9200,9.5600,9.7600,9.7000,11496125,111369260.9700
2019-01-29,sz.300207,9.7000,9.7000,9.3600,9.6000,9.7600,11682739,111070780.5500
2019-01-30,sz.300207,9.6500,9.8100,9.5800,9.6500,9.6000,9700481,94420444.7000
2019-01-31,sz.300207,9.6800,9.9600,9.6300,9.6700,9.6500,8100906,79492964.8000
2019-02-01,sz.300207,9.8600,10.0900,9.7000,10.0100,9.6700,10422026,103923621.9100
2019-02-11,sz.300207,10.0100,10.6800,10.0100,10.4900,10.0100,14418115,150524172.4200
2019-02-12,sz.300207,10.5600,10.6800,10.4200,10.5500,10.4900,16531194,174606033.3900
2019-02-13,sz.300207,10.5000,10.9500,10.4600,10.8800,10.5500,20636895,222993203.3100
2019-02-14,sz.300207,10.7600,10.9900,10.7100,10.9700,10.8800,16385401,178566074.1700
2019-02-15,sz.300207,10.9700,10.9700,10.4900,10.6000,10.9700,15544621,165419525.4500
2019-02-18,sz.300207,10.6200,10.7800,10.5800,10.7300,10.6000,14940015,159363954.2600
2019-02-19,sz.300207,10.7600,10.7900,10.2400,10.4200,10.7300,17064596,178178732.9500
2019-02-20,sz.300207,10.4400,10.6800,10.2800,10.4100,10.4200,9875312,103127057.9500
2019-02-21,sz.300207,10.4000,11.0300,10.3900,10.7500,10.4100,20448987,220402182.0300
2019-02-22,sz.300207,10.7300,10.9500,10.6200,10.9000,10.7500,11940894,128817963.1400
2019-02-25,sz.300207,11.1200,11.9200,11.1200,11.8900,10.9000,23722259,275494004.5500
2019-02-26,sz.300207,11.9000,11.9000,11.4700,11.4800,11.8900,15463260,179454769.5500
2019-02-27,sz.300207,11.5000,11.6100,11.2100,11.2500,11.4800,12825851,145884656.0200
2019-02-28,sz.300207,11.3800,11.4300,11.0500,11.2600,11.2500,8235124,92729138.5500
2019-03-01,sz.300207,11.2600,11.4200,11.1000,11.4000,11.2600,12122654,136638111.1200
2019-03-04,sz.300207,11.6000,11.9500,11.4000,11.6000,11.4000,16726716,196348607.6600
2019-03-05,sz.300207,11.6200,11.9200,11.5600,11.8800,11.6000,18955959,224283288.2200
2019-03-06,sz.300207,11.9100,12.3600,11.9000,12.2500,11.8800,17838135,216519459.0500
2019-03-07,sz.300207,12.1500,12.3900,11.8800,12.0200,12.2500,18324268,221474273.7900
2019-03-08,sz.300207,11.7200,12.3600,11.7000,11.8600,12.0200,21386988,257056919.2700
2019-03-11,sz.300207,11.8500,12.9500,11.8000,12.7900,11.8600,23965953,301619046.8400
2019-03-12,sz.300207,12.8500,13.6300,12.7400,12.9900,12.7900,21474734,282646594.3400
2019-03-13,sz.300207,13.0200,13.3600,12.7200,12.8700,12.9900,23150429,303890511.6300
2019-03-14,sz.300207,13.0300,13.1500,12.3600,12.4900,12.8700,19246585,244151581.9200
2019-03-15,sz.300207,12.6000,12.8900,12.2800,12.5000,12.4900,13450329,169554777.1400
2019-03-18,sz.300207,12.3000,12.4800,11.8600,12.2600,12.5000,24029399,290145240.8400
2019-03-19,sz.300207,12.2900,12.3500,11.9800,12.2500,12.2600,15518609,188048082.2200
2019-03-20,sz.300207,12.2500,12.2700,11.4500,11.9000,12.2500,28227801,333371478.9400
2019-03-21,sz.300207,11.8100,12.2600,11.8100,12.1800,11.9000,18331452,221637432.9200
2019-03-22,sz.300207,12.2900,12.3000,11.6500,12.1200,12.1800,16926307,202640674.8500
2019-03-25,sz.300207,11.8200,12.2400,11.8200,12.0600,12.1200,11543307,139729508.8100
2019-03-26,sz.300207,12.1600,12.2000,11.6800,11.6900,12.0600,12007485,143762113.0800
2019-03-27,sz.300207,11.7600,12.3400,11.6500,11.6900,11.6900,21813841,261334984.2300
2019-03-28,sz.300207,11.9300,12.1500,11.7200,11.8300,11.6900,12636442,150728812.3200
2019-03-29,sz.300207,11.7700,11.9700,11.3100,11.9100,11.8300,31537440,366999371.0500
2019-04-01,sz.300207,11.8900,12.6500,11.8400,12.4700,11.9100,26172513,322353359.1000
2019-04-02,sz.300207,12.5600,13.0200,12.4700,12.6000,12.4700,25568619,325946216.3300
2019-04-03,sz.300207,13.2500,13.8600,13.2500,13.8600,12.6000,33233426,457679103.0700
2019-04-04,sz.300207,14.0000,14.5500,13.8600,14.1200,13.8600,42551275,604092797.6700
2019-04-08,sz.300207,14.0100,14.1000,13.5400,13.8500,14.1200,21020774,291260896.6800
2019-04-09,sz.300207,13.8500,13.9200,13.2000,13.4000,13.8500,17580053,238029352.0200
2019-04-10,sz.300207,13.5300,13.7200,13.2300,13.2600,13.4000,13863668,185607975.7300
2019-04-11,sz.300207,13.2100,13.3200,12.6600,12.7100,13.2600,17822211,229116126.5800
2019-04-12,sz.300207,12.7800,13.0200,12.6100,12.8700,12.7100,11402463,146197532.4200
2019-04-15,sz.300207,13.0300,13.6400,12.9300,13.3500,12.8700,21585293,289159101.3700
2019-04-16,sz.300207,13.1800,13.8500,12.9200,13.7300,13.3500,17399010,234156629.5200
2019-04-17,sz.300207,14.3700,15.1000,13.9100,14.0000,13.7300,46117155,674626304.7800
2019-04-18,sz.300207,13.9000,14.7600,13.7000,14.4000,14.0000,25906122,373995085.9800
2019-04-19,sz.300207,14.5000,14.7600,14.2800,14.3800,14.4000,17849406,259231345.9100
2019-04-22,sz.300207,14.4500,14.8200,13.7000,14.0100,14.3800,22728891,322212472.6000
2019-04-23,sz.300207,13.9800,14.5300,13.9500,14.1500,14.0100,15635238,223256233.3300
2019-04-24,sz.300207,14.3000,14.3600,13.7400,14.1900,14.1500,9977918,140046448.0300
2019-04-25,sz.300207,14.2600,14.2600,13.6100,13.6100,14.1900,10799725,149580936.0000
2019-04-26,sz.300207,13.5400,14.3000,13.5400,13.8100,13.6100,14418908,202208892.4500
2019-04-29,sz.300207,14.0200,14.2100,13.4100,13.7500,13.8100,10802230,149675437.7700
2019-04-30,sz.300207,13.9200,13.9200,13.2100,13.4500,13.7500,9546530,129273061.7700
2019-05-06,sz.300207,12.7000,12.9400,12.1100,12.1100,13.4500,15355227,191011728.3800
2019-05-07,sz.300207,12.3000,12.3600,11.7500,11.8500,12.1100,14125131,169976914.6100
2019-05-08,sz.300207,11.8500,12.3500,11.5500,11.9600,11.8500,13407936,161148075.0300
2019-05-09,sz.300207,11.9000,12.1500,11.5000,11.8400,11.9600,12203579,143897390.3500
2019-05-10,sz.300207,11.9800,13.0200,11.9800,12.7900,11.8400,19361748,245764016.0300
2019-05-13,sz.300207,12.6900,12.7000,12.0300,12.1700,12.7900,16925912,208614920.1000
2019-05-14,sz.300207,11.9700,12.2500,11.8000,11.8900,12.1700,11665933,139702382.0900
2019-05-15,sz.300207,12.0700,13.0800,12.0700,13.0800,11.8900,20499935,261272492.9100
2019-05-16,sz.300207,13.2800,13.5700,12.9500,13.1200,13.0800,20177261,265958220.9400
2019-05-17,sz.300207,13.3300,13.3300,12.4600,12.5600,13.1200,13195181,168943104.6200
2019-05-20,sz.300207,12.6500,12.6500,11.4000,11.7300,12.5600,27443134,324960423.3000
2019-05-21,sz.300207,11.9900,12.1100,11.6500,11.9100,11.7300,18128260,215884827.6800
2019-05-22,sz.300207,11.9500,12.4800,11.9200,12.2000,11.9100,13320528,162933811.1600
2019-05-23,sz.300207,12.2500,12.2600,10.9800,10.9900,12.2000,29003405,327708675.0900
2019-05-24,sz.300207,11.0400,11.3700,10.9000,11.1300,10.9900,17317320,193102685.9800
2019-05-27,sz.300207,11.1300,11.5100,10.8700,11.4600,11.1300,17753744,199507111.4600
2019-05-28,sz.300207,11.4500,11.7300,11.1900,11.3300,11.4600,13523830,155216142.3900
2019-05-29,sz.300207,11.2600,11.6500,11.1500,11.4600,11.3300,10971964,125294550.3300
2019-05-30,sz.300207,11.3900,11.3900,11.0000,11.1600,11.4600,9008732,99871425.7600
2019-05-31,sz.300207,11.3500,11.3900,11.0800,11.1500,11.1600,7960144,89055826.8700
2019-06-03,sz.300207,11.1500,11.5000,10.9000,11.3700,11.1500,16650110,186158634.0100
2019-06-04,sz.300207,11.3000,11.3500,10.9300,11.0300,11.3700,12894771,142779352.1700
2019-06-05,sz.300207,11.2100,11.5400,11.1500,11.3000,11.0300,16761355,190378723.7700
2019-06-06,sz.300207,11.1800,11.4200,11.0600,11.1000,11.3000,10031242,112621422.6300
2019-06-10,sz.300207,11.2500,11.4400,11.0100,11.3900,11.1000,10108870,113801148.8100
2019-06-11,sz.300207,11.3600,11.9500,11.2600,11.8500,11.3900,16065492,187936220.6800
2019-06-12,sz.300207,11.8200,11.8400,11.3300,11.5300,11.8500,14450530,167126467.6900
2019-06-13,sz.300207,11.4600,11.4600,11.1400,11.3200,11.5300,12708341,143178089.5700
2019-06-14,sz.300207,11.3000,11.4000,11.0100,11.0100,11.3200,18590425,207407878.3300
2019-06-17,sz.300207,11.0900,11.2400,11.0600,11.1900,11.0100,11841559,132308964.7600
2019-06-18,sz.300207,11.0700,11.5000,11.0700,11.3100,11.1900,13516131,153302000.9400
2019-06-19,sz.300207,12.3800,12.3800,11.5400,11.6800,11.3100,24976860,295235151.9900
2019-06-20,sz.300207,11.6800,11.9200,11.3400,11.8000,11.6800,17873060,209631120.9900
2019-06-21,sz.300207,12.1500,12.1900,11.7700,11.8400,11.8000,11148345,133571211.6700
2019-06-24,sz.300207,11.8500,11.9600,11.4000,11.6400,11.8400,15099023,175913459.8600
2019-06-25,sz.300207,11.5400,11.5500,11.0200,11.2400,11.5100,16389854,182639984.4200
2019-06-26,sz.300207,11.1000,11.4700,11.0500,11.3100,11.2400,14724264,166684000.0000
2019-06-27,sz.300207,11.4200,12.0500,11.3100,11.9100,11.3100,23461711,277436518.6000
2019-06-28,sz.300207,12.0000,12.0500,11.3300,11.5200,11.9100,17488563,202665789.8100
2019-07-01,sz.300207,12.1500,12.5300,11.9000,12.4500,11.5200,30776245,378374973.5000
2019-07-02,sz.300207,12.4500,12.6300,12.2900,12.5000,12.4500,21812526,271851528.7200
2019-07-03,sz.300207,12.4500,12.4500,11.8900,12.0200,12.5000,18573295,223941875.2400
