date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000049,28.5800,29.6000,28.5000,29.1000,28.6800,2200970,64420672.1100
2019-01-03,sz.000049,29.3000,30.0900,28.7900,29.2000,29.1000,2545893,75353473.3200
2019-01-04,sz.000049,28.5100,29.4700,28.5000,29.3800,29.2000,2376739,68869599.1400
2019-01-07,sz.000049,29.6500,29.6500,28.8000,29.4500,29.3800,2552085,74331304.6800
2019-01-08,sz.000049,29.2800,29.3500,28.8200,29.2300,29.4500,2110640,61486418.5500
2019-01-09,sz.000049,29.0800,30.7900,28.8700,30.2500,29.2300,5408244,162837863.7600
2019-01-10,sz.000049,30.1500,30.4100,29.8500,30.3600,30.2500,3568407,107679961.8900
2019-01-11,sz.000049,30.2900,30.4100,29.5000,30.1000,30.3600,3298072,98541547.3500
2019-01-14,sz.000049,29.9300,29.9300,29.0000,29.0900,30.1000,3283460,96136461.1800
2019-01-15,sz.000049,29.0800,29.0800,28.0000,28.9000,29.0900,3530589,100989525.9100
2019-01-16,sz.000049,28.8000,29.1000,28.5500,28.9000,28.9000,1694888,48856965.9600
2019-01-17,sz.000049,28.9000,28.9400,28.1000,28.1300,28.9000,1834755,52090983.8800
2019-01-18,sz.000049,28.3000,28.6800,28.2000,28.5700,28.1300,1668572,47587717.8300
2019-01-21,sz.000049,28.6800,28.8900,28.4800,28.6600,28.5700,1478213,42417350.2600
2019-01-22,sz.000049,28.6900,28.8000,28.3200,28.5300,28.6600,1396235,39841504.8900
2019-01-23,sz.000049,28.3300,28.7300,28.3000,28.5200,28.5300,1044785,29778015.1400
2019-01-24,sz.000049,28.4400,28.9800,28.3500,28.8900,28.5200,2100485,60549982.9500
2019-01-25,sz.000049,28.8200,29.0800,28.3600,28.5200,28.8900,2216395,63412863.5600
2019-01-28,sz.000049,28.5000,28.9500,28.4300,28.5900,28.5200,1727426,49588643.9800
2019-01-29,sz.000049,28.4000,28.4800,26.6600,27.4700,28.5900,2710421,74440673.7500
2019-01-30,sz.000049,27.0300,27.9700,27.0300,27.5900,27.4700,1825720,50548064.4200
2019-01-31,sz.000049,27.9000,28.2000,27.2300,27.3100,27.5900,1462691,40562922.7000
2019-02-01,sz.000049,27.4500,28.0900,27.4500,28.0700,27.3100,2007370,55850070.1800
2019-02-11,sz.000049,28.1000,29.8500,28.1000,29.7100,28.0700,3869148,112939381.0100
