date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002245,3.9100,3.9300,3.8500,3.8800,3.8800,3614300,14059493.8000
2019-01-03,sz.002245,3.8900,3.9400,3.8500,3.8900,3.8800,3492700,13606035.0000
2019-01-04,sz.002245,3.8500,4.0400,3.8300,4.0200,3.8900,8028020,31875359.2000
2019-01-07,sz.002245,4.0500,4.1200,4.0200,4.1100,4.0200,7257960,29614596.0000
2019-01-08,sz.002245,4.1000,4.1200,4.0600,4.1100,4.1100,5720455,23424731.0000
2019-01-09,sz.002245,4.1100,4.1900,4.0900,4.1000,4.1100,11112700,46089871.0000
2019-01-10,sz.002245,4.1000,4.2100,4.0900,4.1200,4.1000,9257300,38491096.0000
2019-01-11,sz.002245,4.1300,4.1700,4.1100,4.1700,4.1200,5830673,24167547.4100
2019-01-14,sz.002245,4.1900,4.3800,4.1600,4.2900,4.1700,16579274,70967321.0600
2019-01-15,sz.002245,4.2500,4.2800,4.1700,4.2800,4.2900,11008825,46684481.5000
2019-01-16,sz.002245,4.2700,4.3300,4.2200,4.2300,4.2800,6960925,29653709.5000
2019-01-17,sz.002245,4.2600,4.2600,4.1300,4.1400,4.2300,9737130,40757966.9000
2019-01-18,sz.002245,4.1700,4.2200,4.1400,4.1800,4.1400,7363287,30808008.9900
2019-01-21,sz.002245,4.1900,4.2300,4.1500,4.1800,4.1800,7328732,30688255.4800
2019-01-22,sz.002245,4.1800,4.1800,4.0800,4.1100,4.1800,7600923,31310579.9200
2019-01-23,sz.002245,4.1100,4.1800,4.1000,4.1300,4.1100,6237106,25802916.7800
2019-01-24,sz.002245,4.1300,4.3200,4.0800,4.2300,4.1300,13964600,58979532.0000
2019-01-25,sz.002245,4.2000,4.3000,4.1800,4.1900,4.2300,11247925,47682115.2500
2019-01-28,sz.002245,4.2100,4.2900,4.1600,4.2000,4.1900,9434300,39845873.8000
2019-01-29,sz.002245,4.2000,4.2000,3.9400,3.9800,4.2000,12131157,48838423.1000
2019-01-30,sz.002245,3.9600,4.0200,3.8300,3.8300,3.9800,10658860,41534705.2300
2019-01-31,sz.002245,3.8500,3.8800,3.6600,3.7000,3.8300,9874438,37226178.8200
2019-02-01,sz.002245,3.7000,3.9000,3.7000,3.8900,3.7000,9520262,36395254.6300
2019-02-11,sz.002245,3.9500,4.0000,3.9300,3.9900,3.8900,7915020,31439710.4800
2019-02-12,sz.002245,3.9800,4.0900,3.9600,4.0700,3.9900,7628381,30840187.2600
2019-02-13,sz.002245,4.0800,4.3100,4.0600,4.2900,4.0700,20517287,86712802.2400
2019-02-14,sz.002245,4.2900,4.2900,4.2200,4.2600,4.2900,11597041,49342435.5700
2019-02-15,sz.002245,4.2800,4.3700,4.2000,4.2800,4.2600,13527737,57959322.7100
2019-02-18,sz.002245,4.3000,4.5700,4.2700,4.5400,4.2800,28913382,128525339.7600
2019-02-19,sz.002245,4.5500,4.7400,4.4500,4.5300,4.5400,30421107,139301736.9300
2019-02-20,sz.002245,4.4800,4.5200,4.4000,4.4800,4.5300,20330178,90505314.5400
2019-02-21,sz.002245,4.3900,4.5000,4.3400,4.3700,4.4800,21499898,94938655.6800
2019-02-22,sz.002245,4.3400,4.8100,4.3300,4.6800,4.3700,57375596,269088720.0600
2019-02-25,sz.002245,4.6500,5.1500,4.6200,5.0900,4.6800,73238790,360207139.0600
2019-02-26,sz.002245,4.9800,4.9900,4.8500,4.8600,5.0900,55429886,272352786.3000
2019-02-27,sz.002245,4.8000,4.9200,4.7700,4.8700,4.8600,25315727,123080351.0300
2019-02-28,sz.002245,4.8500,4.9000,4.7700,4.8000,4.8700,17865472,86182883.0300
2019-03-01,sz.002245,4.7900,4.8200,4.7300,4.8200,4.8000,14181725,67682878.2800
2019-03-04,sz.002245,4.8400,4.9400,4.8100,4.8200,4.8200,30119500,146634540.8800
2019-03-05,sz.002245,4.8200,5.0200,4.7600,5.0100,4.8200,37542584,184289901.2600
2019-03-06,sz.002245,5.0000,5.2600,4.9000,5.2400,5.0100,54536887,276071284.0000
2019-03-07,sz.002245,5.1800,5.5500,5.1400,5.3100,5.2400,55854397,297054627.4000
2019-03-08,sz.002245,5.1800,5.6000,5.0300,5.1400,5.3100,70136100,375606913.1900
2019-03-11,sz.002245,5.3100,5.6000,5.2200,5.5300,5.1400,55880932,301407545.3000
2019-03-12,sz.002245,5.5900,5.7200,5.4000,5.5200,5.5300,54227758,298816205.5600
2019-03-13,sz.002245,5.5300,5.6200,5.2800,5.3300,5.5200,42094833,228760247.1200
2019-03-14,sz.002245,5.2900,5.3500,4.9700,5.0600,5.3300,31480344,161296068.2800
2019-03-15,sz.002245,5.1000,5.2200,5.0500,5.1500,5.0600,27311655,140752318.2800
2019-03-18,sz.002245,5.1300,5.2300,5.0500,5.2300,5.1500,22952718,118106849.7000
2019-03-19,sz.002245,5.2300,5.2400,5.1200,5.1800,5.2300,17445101,90453168.1000
2019-03-20,sz.002245,5.1900,5.2000,5.0400,5.1300,5.1800,17375502,88860388.6700
2019-03-21,sz.002245,5.1300,5.2200,5.1000,5.1900,5.1300,21888273,113392192.3200
2019-03-22,sz.002245,5.1600,5.1900,4.9900,5.1200,5.1900,25103572,127563411.7200
2019-03-25,sz.002245,5.0000,5.1500,4.9700,5.0400,5.1200,16974669,85953578.4500
2019-03-26,sz.002245,5.0500,5.1000,4.8500,4.8600,5.0400,17657618,87668862.4600
2019-03-27,sz.002245,4.8900,4.9300,4.7300,4.7800,4.8600,16407240,78549371.4600
2019-03-28,sz.002245,4.7700,4.8900,4.7100,4.7700,4.7800,13629242,65484928.7600
2019-03-29,sz.002245,4.8300,4.9400,4.7500,4.9400,4.7700,18828634,91345119.7000
2019-04-01,sz.002245,4.9800,5.1000,4.9500,5.0900,4.9400,20730859,104744220.4000
2019-04-02,sz.002245,5.1300,5.1300,5.0500,5.0800,5.0900,20126372,102295551.1000
2019-04-03,sz.002245,5.1000,5.4900,5.0500,5.4800,5.0800,58732027,312695307.7300
2019-04-04,sz.002245,5.5200,5.5900,5.3000,5.3700,5.4800,38779484,210654930.2900
2019-04-08,sz.002245,5.3900,5.4300,5.1100,5.2400,5.3700,25070242,131930114.5600
2019-04-09,sz.002245,5.2400,5.3100,5.1800,5.2900,5.2400,15432571,81163703.9200
2019-04-10,sz.002245,5.2400,5.8200,5.1200,5.8200,5.2900,57108252,314295881.0800
2019-04-11,sz.002245,6.0000,6.3000,5.6400,5.6400,5.8200,92056472,552016350.7300
2019-04-12,sz.002245,5.4500,5.8900,5.3800,5.7300,5.6400,55486213,310390528.4500
2019-04-15,sz.002245,5.6400,6.0300,5.6200,5.7700,5.7300,51799211,302345691.4000
2019-04-16,sz.002245,5.7000,6.3500,5.6300,6.1600,5.7700,88463277,540628049.3400
2019-04-17,sz.002245,6.0300,6.3000,6.0300,6.0700,6.1600,72778521,447402571.4100
2019-04-18,sz.002245,6.0100,6.1000,5.7600,5.7900,6.0700,45179958,267102189.4800
2019-04-19,sz.002245,5.8000,5.9500,5.7200,5.9400,5.7700,26909068,157419596.6800
2019-04-22,sz.002245,5.8500,5.9100,5.6700,5.6900,5.9400,29065498,167605300.6200
2019-04-23,sz.002245,5.7100,5.8000,5.5000,5.6900,5.6900,20751155,117749850.3500
2019-04-24,sz.002245,5.6300,5.7100,5.4700,5.6200,5.6900,18561785,103528356.1400
2019-04-25,sz.002245,5.5600,5.7900,5.5000,5.5200,5.6200,22043800,123766467.2700
2019-04-26,sz.002245,5.5200,5.6400,5.4700,5.5800,5.5200,16091255,89506992.2000
2019-04-29,sz.002245,5.6000,5.6000,5.0200,5.0200,5.5800,30109517,155970186.3400
2019-04-30,sz.002245,5.0000,5.1300,4.9500,5.0600,5.0200,10609482,53664830.3400
2019-05-06,sz.002245,4.8700,4.8700,4.5500,4.5500,5.0600,20724882,96630044.4000
2019-05-07,sz.002245,4.6100,4.6500,4.4100,4.5400,4.5500,13899182,62904882.0600
2019-05-08,sz.002245,4.4100,4.6100,4.3500,4.5000,4.5400,11295558,50997383.3400
2019-05-09,sz.002245,4.4600,4.6000,4.4100,4.4900,4.5000,8423314,38023061.5200
2019-05-10,sz.002245,4.5800,4.7000,4.4200,4.6800,4.4900,15855800,73064528.6000
2019-05-13,sz.002245,4.6300,5.1500,4.6100,5.1500,4.6800,29810848,148546316.0200
2019-05-14,sz.002245,5.1500,5.2300,4.9000,4.9600,5.1500,36403895,183184999.1300
2019-05-15,sz.002245,4.9800,5.3500,4.9100,5.2300,4.9600,36678542,188723743.0400
2019-05-16,sz.002245,5.1100,5.2200,5.0500,5.1100,5.2300,23006023,117691417.2500
2019-05-17,sz.002245,5.1200,5.3500,5.0000,5.0500,5.1100,33819927,175621009.6800
2019-05-20,sz.002245,5.1400,5.1500,4.5500,4.8900,5.0500,21415000,103335314.0000
2019-05-21,sz.002245,4.9100,5.0000,4.8000,4.9500,4.8900,15945720,78424257.5400
2019-05-22,sz.002245,4.9200,5.0600,4.8300,4.8700,4.9500,18620201,91703053.8700
2019-05-23,sz.002245,4.8100,4.8500,4.6000,4.6600,4.8700,19446088,91966434.9400
2019-05-24,sz.002245,4.6400,4.7100,4.5800,4.5900,4.6600,9958200,46194462.6900
2019-05-27,sz.002245,4.6000,4.8000,4.5900,4.7600,4.5900,13693494,64614942.6200
2019-05-28,sz.002245,4.7600,4.9100,4.7100,4.7900,4.7600,17574400,85018803.0000
2019-05-29,sz.002245,4.7900,4.9500,4.7700,4.8700,4.7900,21801054,106252929.6000
2019-05-30,sz.002245,4.8300,4.8400,4.6600,4.7500,4.8700,15770358,74489195.8000
2019-05-31,sz.002245,4.7500,4.8200,4.6600,4.7000,4.7500,13252800,62848224.0000
2019-06-03,sz.002245,4.8100,4.9200,4.7000,4.7200,4.7000,18649907,89267381.7000
2019-06-04,sz.002245,4.6400,4.6800,4.4300,4.5100,4.7200,16442455,74537329.9900
2019-06-05,sz.002245,4.5900,4.6000,4.4200,4.4800,4.5100,9987591,44998775.5900
2019-06-06,sz.002245,4.4900,4.5100,4.3200,4.3400,4.4800,11271955,49480038.1500
2019-06-10,sz.002245,4.3700,4.4400,4.3400,4.4100,4.3400,6335240,27856091.4000
2019-06-11,sz.002245,4.3900,4.5800,4.3900,4.5700,4.4100,12812015,57692651.2800
2019-06-12,sz.002245,4.5300,4.5900,4.4800,4.5000,4.5700,9774757,44218612.6000
2019-06-13,sz.002245,4.4900,4.5600,4.4600,4.5100,4.5000,7280949,32860536.2100
2019-06-14,sz.002245,4.5200,4.5400,4.3500,4.3800,4.5100,9642702,42846510.7200
2019-06-17,sz.002245,4.3600,4.4000,4.3300,4.3800,4.3800,4492417,19643714.5100
2019-06-18,sz.002245,4.3700,4.4100,4.3200,4.3900,4.3800,4643378,20237068.1800
2019-06-19,sz.002245,4.4700,4.5200,4.4400,4.4500,4.3900,8950210,40009517.5000
2019-06-20,sz.002245,4.4500,4.5300,4.4000,4.5100,4.4500,10311702,46306503.4800
2019-06-21,sz.002245,4.5300,4.5900,4.5200,4.5500,4.5100,11427744,52099312.7200
2019-06-24,sz.002245,4.5400,4.5900,4.5200,4.5400,4.5500,6824200,31069614.0000
2019-06-25,sz.002245,4.5700,4.5700,4.3800,4.4500,4.5400,7620042,33917205.7800
2019-06-26,sz.002245,4.4300,4.4800,4.4100,4.4300,4.4500,4116331,18308013.9400
2019-06-27,sz.002245,4.4400,4.5000,4.4400,4.4500,4.4300,5168561,23079009.2200
2019-06-28,sz.002245,4.4500,4.4600,4.3200,4.3700,4.4500,7679654,33521400.7000
2019-07-01,sz.002245,4.4400,4.5300,4.4400,4.5000,4.3700,10409627,46729094.2300
2019-07-02,sz.002245,4.5100,4.5800,4.4700,4.5100,4.5000,8162990,36941136.2000
2019-07-03,sz.002245,4.5100,4.5200,4.4100,4.4300,4.5100,5702202,25329710.8400
2019-07-04,sz.002245,4.4200,4.4600,4.3900,4.4100,4.4300,5081538,22464543.9600
2019-07-05,sz.002245,4.4200,4.4500,4.4000,4.4300,4.4100,4251873,18847242.2800
2019-07-08,sz.002245,4.4300,4.4300,4.1000,4.1800,4.4300,10511600,44625471.0000
2019-07-09,sz.002245,4.2000,4.2100,4.1200,4.1700,4.1800,5101430,21232126.8000
2019-07-10,sz.002245,4.1700,4.2000,4.0800,4.1000,4.1700,4673941,19335759.7600
2019-07-11,sz.002245,4.1300,4.1800,4.0900,4.1000,4.1000,4256800,17580487.0000
2019-07-12,sz.002245,4.1000,4.1400,4.0800,4.1200,4.1000,4243778,17452490.5800
2019-07-15,sz.002245,4.0500,4.0600,3.9100,4.0100,4.1200,10598431,42246423.2800
2019-07-16,sz.002245,4.0000,4.0500,3.9800,4.0100,4.0100,6144100,24692509.0000
2019-07-17,sz.002245,4.0000,4.0600,3.9900,4.0200,4.0100,6043387,24341637.7700
2019-07-18,sz.002245,4.0200,4.0200,3.9100,3.9200,4.0200,6745143,26613450.3200
2019-07-19,sz.002245,3.9200,3.9800,3.9200,3.9300,3.9200,4459576,17574888.4000
2019-07-22,sz.002245,3.9300,3.9500,3.7600,3.7900,3.9300,8557973,32648177.4800
2019-07-23,sz.002245,3.7900,3.8500,3.7800,3.8400,3.7900,5719875,21868093.4500
2019-07-24,sz.002245,3.8500,3.9200,3.8500,3.9000,3.8400,6680955,26056750.2300
2019-07-25,sz.002245,3.8800,3.9200,3.8500,3.9000,3.9000,5385269,20934064.8800
2019-07-26,sz.002245,3.9000,3.9000,3.8400,3.8800,3.9000,3832942,14828995.5400
2019-07-29,sz.002245,3.8900,3.9100,3.8400,3.8500,3.8800,3512900,13590253.2000
2019-07-30,sz.002245,3.8700,3.9100,3.8600,3.8800,3.8500,5155429,20065708.0800
2019-07-31,sz.002245,3.9000,3.9000,3.8500,3.8700,3.8800,2999100,11590039.0000
2019-08-01,sz.002245,3.8600,3.8600,3.8100,3.8300,3.8700,3995520,15317435.6000
2019-08-02,sz.002245,3.7700,3.7700,3.6800,3.7200,3.8300,8330419,31051946.7900
2019-08-05,sz.002245,3.7000,3.7500,3.6800,3.6900,3.7200,4707128,17459003.3200
2019-08-06,sz.002245,3.6100,3.6100,3.3500,3.4600,3.6900,15365923,53229514.7100
2019-08-07,sz.002245,3.4600,3.5300,3.4500,3.4600,3.4600,5573859,19413214.3200
2019-08-08,sz.002245,3.4700,3.5300,3.4700,3.5300,3.4600,6356300,22211837.0000
2019-08-09,sz.002245,3.5500,3.5500,3.4700,3.4700,3.5300,5261001,18409202.7000
2019-08-12,sz.002245,3.4600,3.5100,3.4500,3.5100,3.4700,4095854,14262284.0800
2019-08-13,sz.002245,3.4900,3.5300,3.4500,3.5200,3.5100,4755122,16598610.0000
2019-08-14,sz.002245,3.5400,3.6000,3.5300,3.5700,3.5200,5622389,20121928.2600
2019-08-15,sz.002245,3.4300,3.5900,3.4300,3.5900,3.5700,4536124,16004938.2100
2019-08-16,sz.002245,3.6300,3.6300,3.5500,3.5700,3.5900,5572641,19999720.4500
2019-08-19,sz.002245,3.5800,3.6600,3.5800,3.6600,3.5700,6730794,24454706.6900
2019-08-20,sz.002245,3.6800,3.7500,3.6400,3.6700,3.6600,7356324,27127672.8100
2019-08-21,sz.002245,3.6400,3.7300,3.6400,3.7100,3.6700,5916258,21870767.0400
2019-08-22,sz.002245,3.7200,3.7400,3.6900,3.7400,3.7100,5858170,21757989.2700
2019-08-23,sz.002245,3.7500,3.8500,3.7000,3.8400,3.7400,12000272,45546313.0800
2019-08-26,sz.002245,3.7500,3.8000,3.7300,3.7400,3.8400,9189800,34595907.9300
2019-08-27,sz.002245,3.7900,3.8400,3.7700,3.7900,3.7400,6680490,25417468.0000
2019-08-28,sz.002245,3.7900,3.8100,3.7700,3.8000,3.7900,4755097,18020682.0400
2019-08-29,sz.002245,3.8000,3.8100,3.7200,3.7300,3.8000,5612851,21048207.1200
2019-08-30,sz.002245,3.7400,3.7800,3.6200,3.6400,3.7300,7734277,28531932.9000
2019-09-02,sz.002245,3.6700,3.8300,3.6400,3.7700,3.6400,7510498,28072487.0400
2019-09-03,sz.002245,3.8000,3.8000,3.7200,3.7500,3.7700,4684437,17557017.1800
2019-09-04,sz.002245,3.7400,3.8200,3.7100,3.7800,3.7500,6745946,25388952.6100
2019-09-05,sz.002245,3.8000,3.8900,3.7800,3.8400,3.7800,10409203,40017917.9000
2019-09-06,sz.002245,3.8600,3.8800,3.7900,3.8300,3.8400,6959295,26601721.0100
2019-09-09,sz.002245,3.8500,3.9400,3.8200,3.9400,3.8300,12536079,48770874.7700
2019-09-10,sz.002245,3.9500,3.9500,3.8900,3.8900,3.9400,8746991,34137046.4900
2019-09-11,sz.002245,3.9100,3.9400,3.8500,3.8600,3.8900,8465281,32914172.5000
2019-09-12,sz.002245,3.8700,3.9200,3.8300,3.9100,3.8600,6286600,24366462.4000
