date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600869,4.7900,4.8300,4.7000,4.7100,4.8500,6859100,32540659.0000
2019-01-03,sh.600869,4.7000,4.8200,4.6600,4.7800,4.7100,15323360,72582167.0000
2019-01-04,sh.600869,4.7600,5.1200,4.7300,4.9500,4.7800,30290064,148363572.0000
2019-01-07,sh.600869,4.9700,5.1500,4.8000,4.8100,4.9500,23933743,117203376.0000
2019-01-08,sh.600869,4.8200,4.8600,4.7800,4.8000,4.8100,17718287,85394277.0000
2019-01-09,sh.600869,4.7700,5.2500,4.7700,5.1000,4.8000,39312052,197403863.0000
2019-01-10,sh.600869,5.0800,5.3000,5.0500,5.2200,5.1000,29372980,151698725.0000
2019-01-11,sh.600869,5.2900,5.3500,5.1100,5.2900,5.2200,21710156,113883781.0000
2019-01-14,sh.600869,5.3300,5.4300,5.1700,5.3700,5.2900,19464360,103002721.0000
2019-01-15,sh.600869,5.4000,5.4900,5.1100,5.1700,5.3700,23676139,124537268.0000
2019-01-16,sh.600869,5.1800,5.1800,5.0400,5.0400,5.1700,19676725,100233184.0000
2019-01-17,sh.600869,5.0300,5.1000,4.9700,5.0100,5.0400,15312738,77153832.0000
2019-01-18,sh.600869,4.9800,5.0800,4.9700,5.0600,5.0100,12167738,61561254.0000
2019-01-21,sh.600869,5.0000,5.5500,5.0000,5.5000,5.0600,39833890,207200599.0000
2019-01-22,sh.600869,5.4600,5.6500,5.2600,5.5500,5.5000,40972115,222885845.0000
2019-01-23,sh.600869,5.5300,5.6000,5.3400,5.5500,5.5500,23869782,129852553.0000
2019-01-24,sh.600869,5.5600,5.6700,5.4000,5.6000,5.5500,35829436,198917472.0000
2019-01-25,sh.600869,5.6200,5.6400,5.2900,5.2900,5.6000,24404274,132154338.0000
2019-01-28,sh.600869,5.4100,5.4100,5.1100,5.1400,5.2900,20343759,106042115.0000
2019-01-29,sh.600869,5.1700,5.2000,5.0800,5.1500,5.1400,16096165,82637305.0000
2019-01-30,sh.600869,5.1700,5.1700,5.0600,5.1000,5.1500,11644026,59482827.0000
2019-01-31,sh.600869,5.1500,5.1900,5.0200,5.1000,5.1000,11590877,59030179.0000
2019-02-01,sh.600869,5.1200,5.3200,5.0600,5.2900,5.1000,24549753,126561511.0000
2019-02-11,sh.600869,5.2600,5.2600,5.0800,5.1000,5.2900,30000160,153861431.0000
2019-02-12,sh.600869,5.0800,5.0900,4.9600,4.9700,5.1000,27047128,135412123.0000
2019-02-13,sh.600869,4.9600,5.0700,4.9600,5.0500,4.9700,16462239,82971472.0000
2019-02-14,sh.600869,5.0500,5.0900,5.0200,5.0300,5.0500,15270507,77217673.0000
2019-02-15,sh.600869,5.0000,5.0900,4.9800,5.0700,5.0300,14417053,73097718.0000
2019-02-18,sh.600869,5.0500,5.1900,5.0500,5.1900,5.0700,19719065,101563993.0000
2019-02-19,sh.600869,5.2000,5.2600,5.1500,5.1700,5.1900,20243651,105136794.0000
2019-02-20,sh.600869,5.1600,5.1900,5.1200,5.1500,5.1700,13405400,69287583.0000
2019-02-21,sh.600869,5.1200,5.1900,5.0100,5.0500,5.1500,17781100,91339646.0000
2019-02-22,sh.600869,4.9800,5.0900,4.9700,5.0800,5.0500,15655369,78854254.0000
2019-02-25,sh.600869,5.0900,5.2800,5.0800,5.2600,5.0800,32156758,167044496.0000
2019-02-26,sh.600869,5.2500,5.4000,5.2200,5.4000,5.2600,38237765,203088812.0000
2019-02-27,sh.600869,5.4300,5.4300,5.2600,5.3100,5.4000,30256390,161716745.0000
2019-02-28,sh.600869,5.2900,5.3300,5.2600,5.3100,5.3100,12958602,68568397.0000
2019-03-01,sh.600869,5.3200,5.3300,5.2200,5.2800,5.3100,11529583,60693391.0000
2019-03-04,sh.600869,5.3000,5.4000,5.2800,5.3200,5.2800,22501706,120244859.0000
2019-03-05,sh.600869,5.3100,5.4900,5.2600,5.4700,5.3200,29405198,158250700.0000
2019-03-06,sh.600869,5.4900,5.8000,5.3700,5.6600,5.4700,59734979,332065102.0000
2019-03-07,sh.600869,5.6100,5.7500,5.5000,5.6900,5.6600,49652726,278379766.0000
2019-03-08,sh.600869,5.5500,5.7300,5.4000,5.4000,5.6900,49421106,276294073.0000
2019-03-11,sh.600869,5.6000,5.9400,5.4800,5.9400,5.4000,81394008,467357014.0000
2019-03-12,sh.600869,6.2300,6.3900,5.9500,6.0600,5.9400,143055924,880827441.0000
2019-03-13,sh.600869,5.8700,6.0400,5.6100,5.8000,6.0600,76838400,450847916.0000
2019-03-14,sh.600869,5.7300,5.7500,5.4600,5.5600,5.8000,40931185,228799654.0000
2019-03-15,sh.600869,5.6200,5.6500,5.5200,5.6400,5.5600,27395770,153187687.0000
2019-03-18,sh.600869,5.6700,5.7000,5.5500,5.6800,5.6400,22494603,126633660.0000
2019-03-19,sh.600869,5.6700,5.8400,5.6500,5.7800,5.6800,29589823,169706067.0000
2019-03-20,sh.600869,5.8200,5.8300,5.6700,5.7900,5.7800,34094004,196310986.0000
2019-03-21,sh.600869,5.8000,5.8100,5.7300,5.7600,5.7900,27742651,160155070.0000
2019-03-22,sh.600869,5.7600,5.7600,5.6100,5.6700,5.7600,22620300,127891766.0000
2019-03-25,sh.600869,5.5500,5.5900,5.4700,5.5000,5.6700,22972627,127311342.0000
2019-03-26,sh.600869,5.5100,5.5500,5.3200,5.3300,5.5000,21807600,118393512.0000
2019-03-27,sh.600869,5.3400,5.3900,5.3000,5.3700,5.3300,14506784,77515195.0000
2019-03-28,sh.600869,5.3600,5.3900,5.3000,5.3100,5.3700,12504157,66782675.0000
2019-03-29,sh.600869,5.3400,5.4400,5.2600,5.4300,5.3100,17280046,92695105.0000
2019-04-01,sh.600869,5.4800,5.5800,5.4500,5.5600,5.4300,21953034,121559914.0000
2019-04-02,sh.600869,5.5900,5.6100,5.5100,5.5300,5.5600,22077600,122530681.0000
2019-04-03,sh.600869,5.5100,5.5500,5.4600,5.5500,5.5300,17243704,94829682.0000
2019-04-04,sh.600869,5.5600,5.5600,5.4900,5.5100,5.5500,15204691,83917429.0000
2019-04-08,sh.600869,5.5300,5.5600,5.4200,5.4700,5.5100,17870000,98278974.0000
2019-04-09,sh.600869,5.4500,5.5100,5.4400,5.5000,5.4700,10588038,58085745.0000
2019-04-10,sh.600869,5.4800,5.4900,5.4100,5.4500,5.5000,12310601,67045832.0000
2019-04-11,sh.600869,5.4600,5.4800,5.4100,5.4400,5.4500,11570556,62970454.0000
2019-04-12,sh.600869,5.4500,5.4500,5.4000,5.4400,5.4400,10372675,56227960.0000
2019-04-15,sh.600869,5.4800,5.8200,5.4700,5.6000,5.4400,42762975,240745274.0000
2019-04-16,sh.600869,5.5800,5.7500,5.5100,5.7200,5.6000,35341294,199396232.0000
2019-04-17,sh.600869,5.7300,5.8500,5.6500,5.6800,5.7200,29344060,167925604.0000
2019-04-18,sh.600869,5.6200,5.7500,5.6000,5.6600,5.6800,21070859,119283401.0000
2019-04-19,sh.600869,5.6100,5.9200,5.6000,5.9200,5.6600,68194342,396380535.0000
2019-04-22,sh.600869,5.9200,5.9300,5.6300,5.6900,5.9200,48227987,277892122.0000
2019-04-23,sh.600869,5.6900,5.6900,5.4800,5.5000,5.6900,26324241,146120806.0000
2019-04-24,sh.600869,5.5000,5.6100,5.4600,5.6000,5.5000,16470800,91180886.0000
2019-04-25,sh.600869,5.5300,5.5500,5.2000,5.2500,5.6000,28790211,155432039.0000
2019-04-26,sh.600869,5.2300,5.3500,5.1400,5.2600,5.2500,15293956,80517440.0000
2019-04-29,sh.600869,5.2700,5.2900,5.0200,5.0600,5.2600,16362700,84111098.0000
2019-04-30,sh.600869,5.0700,5.1700,5.0600,5.1300,5.0600,8371857,42878093.0000
2019-05-06,sh.600869,5.0000,5.0500,4.8300,4.8400,5.1300,20273019,99958692.0000
2019-05-07,sh.600869,4.8800,4.9800,4.8100,4.9100,4.8400,10829700,53020846.0000
2019-05-08,sh.600869,4.8400,5.0300,4.5900,4.9000,4.9100,11240561,54857884.0000
2019-05-09,sh.600869,4.8300,4.9100,4.8300,4.8500,4.9000,5711104,27862707.0000
2019-05-10,sh.600869,4.8900,4.9600,4.7700,4.9400,4.8500,10618300,52089555.0000
2019-05-13,sh.600869,4.9800,5.0700,4.9400,4.9900,4.9400,11496300,57598115.0000
2019-05-14,sh.600869,4.9300,4.9800,4.9100,4.9100,4.9900,7619600,37631300.0000
2019-05-15,sh.600869,4.9400,4.9800,4.9200,4.9500,4.9100,8285353,40950768.0000
2019-05-16,sh.600869,4.9500,4.9700,4.9200,4.9400,4.9500,7280600,36018297.0000
2019-05-17,sh.600869,4.9400,4.9500,4.7200,4.8300,4.9400,13368689,64576565.0000
2019-05-20,sh.600869,4.8200,4.8200,4.6600,4.7200,4.8300,7334600,34602310.0000
2019-05-21,sh.600869,4.7200,4.7700,4.7000,4.7400,4.7200,6614600,31371640.0000
2019-05-22,sh.600869,4.8500,4.8700,4.7300,4.8500,4.7400,11664460,55895373.0000
2019-05-23,sh.600869,4.7500,4.8300,4.6200,4.6200,4.8500,10251826,48111324.0000
2019-05-24,sh.600869,4.6300,4.6800,4.5700,4.6300,4.6200,6155552,28392118.0000
2019-05-27,sh.600869,4.6300,4.7000,4.5900,4.7000,4.6300,6413787,29890969.0000
2019-05-28,sh.600869,4.6900,4.7200,4.6500,4.6600,4.7000,6254100,29357969.0000
2019-05-29,sh.600869,4.6600,4.6700,4.6300,4.6300,4.6600,5555502,25821588.0000
2019-05-30,sh.600869,4.6000,4.7700,4.5900,4.6300,4.6300,7484200,34761699.0000
2019-05-31,sh.600869,4.6300,4.6600,4.6000,4.6000,4.6300,4972802,23011000.0000
2019-06-03,sh.600869,4.6200,4.6300,4.4600,4.5900,4.6000,9499154,43242469.0000
2019-06-04,sh.600869,4.5300,4.5900,4.5000,4.5800,4.5900,5702899,25900602.0000
2019-06-05,sh.600869,4.5800,4.6400,4.5300,4.5300,4.5800,4929000,22564272.0000
2019-06-06,sh.600869,4.5100,4.5800,4.3900,4.5200,4.5300,10921106,48921317.0000
2019-06-10,sh.600869,4.5200,4.5900,4.4500,4.4900,4.5200,6236469,28182322.0000
2019-06-11,sh.600869,4.5000,4.6400,4.4700,4.5800,4.4900,19547520,89042594.0000
2019-06-12,sh.600869,4.5300,4.5700,4.5000,4.5500,4.5800,9368800,42433457.0000
2019-06-13,sh.600869,4.6000,4.6000,4.5200,4.5400,4.5500,7998500,36398340.0000
2019-06-14,sh.600869,4.5500,4.5500,4.4500,4.5100,4.5400,11864500,53380944.0000
2019-06-17,sh.600869,4.5000,4.5800,4.4700,4.5000,4.5100,5277800,23819488.0000
2019-06-18,sh.600869,4.4900,4.5400,4.4700,4.5000,4.5000,5089745,22876918.0000
2019-06-19,sh.600869,4.5300,4.5700,4.5000,4.5300,4.5000,11721877,53011692.0000
2019-06-20,sh.600869,4.5300,4.5700,4.5000,4.5600,4.5300,11126262,50524462.0000
2019-06-21,sh.600869,4.5500,4.6000,4.5500,4.5800,4.5600,15285800,69881829.0000
2019-06-24,sh.600869,4.6000,4.6000,4.5400,4.5600,4.5800,9542700,43454089.0000
2019-06-25,sh.600869,4.5400,4.5500,4.4500,4.5100,4.5600,10986045,49345363.0000
2019-06-26,sh.600869,4.4900,4.5100,4.4700,4.5100,4.5100,5767520,25928552.0000
2019-06-27,sh.600869,4.5200,4.5300,4.4700,4.5000,4.5100,8653100,38868068.0000
2019-06-28,sh.600869,4.4900,4.5500,4.4100,4.5200,4.5000,13635590,61107510.0000
2019-07-01,sh.600869,4.5600,4.6000,4.5300,4.6000,4.5200,19353957,88138653.0000
2019-07-02,sh.600869,4.5700,4.5800,4.5400,4.5700,4.6000,12358080,56339400.0000
2019-07-03,sh.600869,4.5700,4.5700,4.5100,4.5200,4.5700,7278600,32981326.0000
2019-07-04,sh.600869,4.5200,4.5500,4.4800,4.5300,4.5200,8356983,37661680.0000
2019-07-05,sh.600869,4.5000,4.5300,4.4900,4.5200,4.5300,3922904,17713773.0000
2019-07-08,sh.600869,4.5100,4.5300,4.4300,4.5000,4.5200,11738857,52409984.0000
2019-07-09,sh.600869,4.4800,4.5800,4.4400,4.5400,4.5000,11190333,50366988.0000
2019-07-10,sh.600869,4.5400,4.7000,4.5300,4.5900,4.5400,27602634,127569353.0000
2019-07-11,sh.600869,4.5900,4.7400,4.5500,4.6700,4.5900,24359669,112923765.0000
2019-07-12,sh.600869,4.6700,4.8400,4.6200,4.7700,4.6700,31504470,149940801.0000
2019-07-15,sh.600869,4.7600,4.9900,4.7200,4.8900,4.7700,29933176,145245312.0000
2019-07-16,sh.600869,4.8700,4.9500,4.6900,4.7700,4.8900,33964582,162070856.0000
2019-07-17,sh.600869,4.7500,4.7900,4.6400,4.6500,4.7700,22475882,105361667.0000
2019-07-18,sh.600869,4.6200,4.7400,4.5800,4.6800,4.6500,28241058,131795841.0000
2019-07-19,sh.600869,4.6800,4.7800,4.6200,4.7100,4.6800,17079604,80545708.0000
2019-07-22,sh.600869,4.7200,4.7900,4.6100,4.6700,4.7100,11772680,54820137.0000
2019-07-23,sh.600869,4.6100,4.6700,4.6100,4.6600,4.6700,6013876,27915137.0000
2019-07-24,sh.600869,4.6400,4.7300,4.6400,4.6600,4.6600,10529178,49258451.0000
2019-07-25,sh.600869,4.6500,4.6600,4.6000,4.6100,4.6600,7423489,34319962.0000
2019-07-26,sh.600869,4.6000,4.6400,4.5100,4.6400,4.6100,12526140,57162781.0000
2019-07-29,sh.600869,4.6300,4.6300,4.5800,4.6300,4.6400,6569438,30224861.0000
2019-07-30,sh.600869,4.6400,4.7300,4.6000,4.7100,4.6300,20905604,97675658.0000
2019-07-31,sh.600869,4.6900,4.7500,4.6400,4.7000,4.7100,15824357,74228912.0000
2019-08-01,sh.600869,4.6700,4.6900,4.6300,4.6700,4.7000,6378300,29710465.0000
2019-08-02,sh.600869,4.5900,4.6200,4.5400,4.6000,4.6700,13675670,62609559.0000
2019-08-05,sh.600869,4.5700,4.5800,4.5200,4.5600,4.6000,7652282,34771937.0000
2019-08-06,sh.600869,4.5200,4.5500,4.4400,4.5100,4.5600,22825043,103075021.0000
2019-08-07,sh.600869,4.5500,4.5500,4.4900,4.5200,4.5100,13252800,60051325.0000
2019-08-08,sh.600869,4.5200,4.5400,4.4900,4.4900,4.5200,4588000,20675295.0000
2019-08-09,sh.600869,4.5000,4.5300,4.4600,4.5100,4.4900,11009566,49574057.0000
2019-08-12,sh.600869,4.5100,4.5400,4.5000,4.5300,4.5100,4894300,22126196.0000
2019-08-13,sh.600869,4.5000,4.6400,4.4800,4.5800,4.5300,20152900,92528043.0000
2019-08-14,sh.600869,4.6000,4.6800,4.5600,4.6100,4.5800,12855600,59387326.0000
2019-08-15,sh.600869,4.5300,4.5900,4.5100,4.5900,4.6100,5467017,24901321.0000
2019-08-16,sh.600869,4.5900,4.6400,4.5600,4.6200,4.5900,7805969,35921040.0000
2019-08-19,sh.600869,4.6100,4.6700,4.5700,4.6600,4.6200,21233002,98583105.0000
2019-08-20,sh.600869,4.6400,4.6600,4.6100,4.6100,4.6600,11402600,52814559.0000
2019-08-21,sh.600869,4.6100,4.6300,4.5500,4.5500,4.6100,10520000,48250050.0000
2019-08-22,sh.600869,4.5600,4.5800,4.5100,4.5500,4.5500,9076375,41127569.0000
2019-08-23,sh.600869,4.5500,4.5800,4.5300,4.5500,4.5500,9565293,43594810.0000
2019-08-26,sh.600869,4.5000,4.7300,4.4800,4.6500,4.5500,26408000,121768148.0000
2019-08-27,sh.600869,4.6500,4.8700,4.6400,4.7600,4.6500,38010722,181395348.0000
2019-08-28,sh.600869,4.7100,4.8700,4.6400,4.7000,4.7600,27128314,127993970.0000
2019-08-29,sh.600869,4.6700,4.6900,4.6100,4.6400,4.7000,9861700,45787246.0000
2019-08-30,sh.600869,4.6400,4.6900,4.5900,4.6200,4.6400,9537800,44172714.0000
2019-09-02,sh.600869,4.6200,4.6900,4.6000,4.6800,4.6200,13505484,62745113.0000
2019-09-03,sh.600869,4.6600,4.6800,4.6300,4.6400,4.6800,6576200,30540585.0000
2019-09-04,sh.600869,4.6200,4.6600,4.6100,4.6500,4.6400,6926200,32092746.0000
2019-09-05,sh.600869,4.6700,4.7500,4.6600,4.7300,4.6500,21556200,101551847.0000
2019-09-06,sh.600869,4.7600,4.9300,4.7200,4.9000,4.7300,37723946,181907002.0000
2019-09-09,sh.600869,4.9400,5.2000,4.8600,5.1100,4.9000,61280683,307212345.0000
2019-09-10,sh.600869,5.1000,5.1700,4.9400,4.9400,5.1100,45049120,227923727.0000
2019-09-11,sh.600869,4.9900,5.0800,4.8800,4.8900,4.9400,28948020,143932065.0000
2019-09-12,sh.600869,4.8900,4.9600,4.8500,4.9300,4.8900,14662700,71980187.0000
2019-09-16,sh.600869,4.9400,5.0800,4.8900,5.0700,4.9300,29377200,147239711.0000
2019-09-17,sh.600869,5.0500,5.4800,5.0200,5.4000,5.0700,57750021,297474164.0000
2019-09-18,sh.600869,5.2800,5.3800,5.1000,5.2400,5.4000,45636046,237588477.0000
2019-09-19,sh.600869,5.1600,5.3300,5.1400,5.2000,5.2400,30333956,158379017.0000
2019-09-20,sh.600869,5.1900,5.2100,5.0900,5.1400,5.2000,15346700,78716875.0000
2019-09-23,sh.600869,5.1300,5.1800,5.0300,5.1500,5.1400,11693479,59515547.0000
2019-09-24,sh.600869,5.1300,5.2100,5.0900,5.1500,5.1500,19008489,97903881.0000
2019-09-25,sh.600869,5.1400,5.1400,5.0500,5.0900,5.1500,7533299,38294890.0000
2019-09-26,sh.600869,5.0600,5.2800,4.9700,5.0200,5.0900,27032176,137595753.0000
2019-09-27,sh.600869,5.0100,5.1300,4.9600,4.9900,5.0200,21419916,107912163.0000
2019-09-30,sh.600869,4.9900,5.0200,4.9100,4.9500,4.9900,27731900,137226128.0000
2019-10-08,sh.600869,4.9100,5.0500,4.8300,5.0300,4.9500,20902320,103691834.0000
2019-10-09,sh.600869,5.0000,5.0700,4.9700,5.0200,5.0300,11073800,55541205.0000
2019-10-10,sh.600869,5.0300,5.0700,4.9800,5.0600,5.0200,30344196,153050985.0000
2019-10-11,sh.600869,5.0500,5.1800,5.0100,5.1500,5.0600,40655446,207394727.0000
2019-10-14,sh.600869,5.1500,5.2700,5.1000,5.1400,5.1500,25546422,131908437.0000
2019-10-15,sh.600869,5.1200,5.1300,5.0400,5.0600,5.1400,9264197,46927016.0000
2019-10-16,sh.600869,5.0300,5.2300,5.0300,5.1800,5.0600,29148822,150104931.0000
2019-10-17,sh.600869,5.1800,5.4200,5.1700,5.3300,5.1800,47745995,254500417.0000
2019-10-18,sh.600869,5.3600,5.4300,5.0200,5.0700,5.3300,58618141,305614239.0000
2019-10-21,sh.600869,5.0500,5.0800,4.8500,5.0600,5.0700,34551474,173147936.0000
2019-10-22,sh.600869,5.0600,5.1500,5.0300,5.1100,5.0600,17145222,87583808.0000
2019-10-23,sh.600869,5.1100,5.1200,5.0500,5.0600,5.1100,9681400,49086956.0000
2019-10-24,sh.600869,5.0800,5.0800,4.9900,5.0400,5.0600,12135596,60987842.0000
2019-10-25,sh.600869,5.0200,5.0700,4.9400,5.0600,5.0400,10612691,53088943.0000
2019-10-28,sh.600869,5.0600,5.1300,5.0300,5.1200,5.0600,9315148,47489548.0000
2019-10-29,sh.600869,5.1400,5.1400,5.0300,5.0600,5.1200,8739466,44260202.0000
2019-10-30,sh.600869,5.0100,5.0600,4.9700,5.0500,5.0600,11109429,55784791.0000
2019-10-31,sh.600869,5.0400,5.1400,5.0100,5.0800,5.0500,29142333,147966275.0000
2019-11-01,sh.600869,5.0600,5.3500,5.0300,5.1700,5.0800,33801093,174659146.0000
2019-11-04,sh.600869,5.1800,5.2900,5.1000,5.2200,5.1700,38122603,198152962.0000
2019-11-05,sh.600869,5.1900,5.2800,5.1700,5.2200,5.2200,34628157,180792683.0000
2019-11-06,sh.600869,5.2100,5.2700,5.1700,5.1800,5.2200,26779711,139287407.0000
2019-11-07,sh.600869,5.1600,5.1800,5.0600,5.1600,5.1800,26281471,135025345.0000
2019-11-08,sh.600869,5.1400,5.2400,5.1100,5.1700,5.1600,22915124,118322414.0000
2019-11-11,sh.600869,5.1600,5.1900,5.0200,5.0800,5.1700,16005420,81097332.0000
2019-11-12,sh.600869,5.0600,5.0800,4.9900,5.0500,5.0800,10086469,50702156.0000
2019-11-13,sh.600869,5.0200,5.0900,5.0200,5.0500,5.0500,10052365,50799968.0000
2019-11-14,sh.600869,5.0400,5.0700,5.0000,5.0400,5.0500,13542093,68210303.0000
2019-11-15,sh.600869,5.0500,5.0800,4.9500,5.0300,5.0400,9699880,48757223.0000
