date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600875,7.8900,7.9900,7.7700,7.8800,7.8900,8356500,65881014.0000
2019-01-03,sh.600875,7.8900,7.9700,7.7200,7.7700,7.8800,7242114,56802206.0000
2019-01-04,sh.600875,7.7100,8.1900,7.6900,8.1700,7.7700,17378859,140096055.0000
2019-01-07,sh.600875,8.2000,8.4800,8.1200,8.4000,8.1700,19278660,161022525.0000
2019-01-08,sh.600875,8.3600,8.5400,8.3300,8.4000,8.4000,14633742,123266693.0000
2019-01-09,sh.600875,8.5200,8.5500,8.3200,8.3400,8.4000,11138955,93668306.0000
2019-01-10,sh.600875,8.4000,8.5300,8.3500,8.3800,8.3400,10604908,89278484.0000
2019-01-11,sh.600875,8.3300,8.5400,8.3100,8.5000,8.3800,11573179,97607274.0000
2019-01-14,sh.600875,8.5600,8.7500,8.4500,8.5300,8.5000,17657523,152004066.0000
2019-01-15,sh.600875,8.5700,8.6600,8.4600,8.6600,8.5300,11673402,100257550.0000
2019-01-16,sh.600875,8.7000,8.7100,8.4600,8.5500,8.6600,8827664,75483128.0000
2019-01-17,sh.600875,8.5200,8.6300,8.4000,8.5000,8.5500,9734232,83014647.0000
2019-01-18,sh.600875,8.4700,8.6000,8.4400,8.4900,8.5000,7459107,63375111.0000
2019-01-21,sh.600875,8.5300,8.6700,8.4900,8.5800,8.4900,7658222,65801107.0000
2019-01-22,sh.600875,8.5900,8.5900,8.3800,8.4000,8.5800,6802685,57589757.0000
2019-01-23,sh.600875,8.5200,8.7200,8.4500,8.5900,8.4000,10042498,86065759.0000
2019-01-24,sh.600875,8.5800,8.6500,8.4600,8.5800,8.5900,7867402,67392457.0000
2019-01-25,sh.600875,8.7500,9.2900,8.6600,9.0600,8.5800,47580669,429383899.0000
2019-01-28,sh.600875,9.0600,9.7600,9.0400,9.3300,9.0600,44514719,418044107.0000
2019-01-29,sh.600875,9.3800,9.5600,9.1400,9.3400,9.3300,27416243,256583198.0000
2019-01-30,sh.600875,9.3600,9.6600,9.3000,9.3900,9.3400,22922818,217232542.0000
2019-01-31,sh.600875,9.4400,9.6200,9.1700,9.2600,9.3900,19645690,183149569.0000
2019-02-01,sh.600875,9.2900,9.4000,9.1900,9.2700,9.2600,15077040,139927357.0000
2019-02-11,sh.600875,9.4000,9.5900,9.3000,9.5600,9.2700,19704596,186762305.0000
2019-02-12,sh.600875,9.5600,9.6200,9.4000,9.4800,9.5600,14844164,141126769.0000
2019-02-13,sh.600875,9.4600,9.5500,9.3700,9.5300,9.4800,15819042,149728123.0000
2019-02-14,sh.600875,9.4300,9.7400,9.4200,9.6400,9.5300,17126526,164461619.0000
2019-02-15,sh.600875,9.6000,9.6500,9.4400,9.4800,9.6400,12761972,121805925.0000
2019-02-18,sh.600875,9.5200,9.7700,9.4700,9.7400,9.4800,18697321,180035686.0000
2019-02-19,sh.600875,9.7400,9.7700,9.3900,9.5100,9.7400,18000534,172456967.0000
2019-02-20,sh.600875,9.5100,9.5900,9.3000,9.3700,9.5100,15637722,146973814.0000
2019-02-21,sh.600875,9.4000,9.4400,9.2000,9.2300,9.3700,15115463,141040089.0000
2019-02-22,sh.600875,9.3000,9.4000,9.2300,9.3800,9.2300,12417756,115628977.0000
2019-02-25,sh.600875,9.5600,9.8400,9.4100,9.8100,9.3800,26446153,255050930.0000
2019-02-26,sh.600875,9.8000,10.1800,9.6400,9.9300,9.8100,33680195,333269276.0000
2019-02-27,sh.600875,9.9000,10.0700,9.6700,9.7400,9.9300,19510959,191937558.0000
2019-02-28,sh.600875,9.7000,9.8800,9.6100,9.8600,9.7400,12820971,125590595.0000
2019-03-01,sh.600875,9.8800,9.9400,9.6700,9.8200,9.8600,12675252,123770776.0000
