date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002531,4.4800,4.5000,4.2700,4.4000,4.4500,10931165,47707780.9700
2019-01-03,sz.002531,4.3100,4.4600,4.3100,4.3200,4.4000,8692544,37915255.5700
2019-01-04,sz.002531,4.3000,4.5000,4.2600,4.4700,4.3200,9853752,43437190.6500
2019-01-07,sz.002531,4.5400,4.5800,4.3900,4.4800,4.4700,13220272,59222906.7600
2019-01-08,sz.002531,4.4600,4.5100,4.3600,4.5100,4.4800,11039347,48909115.3000
2019-01-09,sz.002531,4.4900,4.6800,4.4500,4.6400,4.5100,18259285,83453695.8000
2019-01-10,sz.002531,4.6400,4.9000,4.6000,4.7900,4.6400,19141463,91553303.8800
2019-01-11,sz.002531,4.8000,4.8000,4.6200,4.6700,4.7900,12020282,56217766.2300
2019-01-14,sz.002531,4.6100,4.7200,4.5800,4.6600,4.6700,10988305,51216399.3700
2019-01-15,sz.002531,4.6500,4.6500,4.4800,4.5700,4.6600,13768282,62493781.5300
2019-01-16,sz.002531,4.5700,4.5700,4.4800,4.5000,4.5700,5436950,24524829.7000
2019-01-17,sz.002531,4.5400,4.6100,4.5100,4.5500,4.5000,8155616,37146483.1400
2019-01-18,sz.002531,4.5600,4.5900,4.4800,4.5400,4.5500,3862300,17486397.2400
2019-01-21,sz.002531,4.5400,4.7900,4.5200,4.6500,4.5400,24581656,114449967.6100
2019-01-22,sz.002531,4.6300,4.6300,4.5100,4.5400,4.6500,9530974,43220597.4000
2019-01-23,sz.002531,4.5400,4.5400,4.4700,4.5200,4.5400,6723194,30246347.4600
2019-01-24,sz.002531,4.5100,4.7400,4.5100,4.7200,4.5200,15786999,73842840.5900
2019-01-25,sz.002531,4.7700,5.0500,4.7000,4.8400,4.7200,19695528,95788744.2900
2019-01-28,sz.002531,5.0500,5.3200,4.9000,4.9400,4.8400,55188184,284901517.4400
2019-01-29,sz.002531,4.9600,5.0900,4.8100,4.9400,4.9400,16024375,79282304.1100
2019-01-30,sz.002531,4.8600,5.1800,4.7800,5.0800,4.9400,21908543,111019948.9700
2019-01-31,sz.002531,5.0500,5.3500,5.0000,5.1300,5.0800,21568598,112052038.8500
2019-02-01,sz.002531,5.1200,5.4300,5.1000,5.3500,5.1300,20161979,107140242.5700
2019-02-11,sz.002531,5.3800,5.6000,5.3400,5.4600,5.3500,19168875,104665388.5300
2019-02-12,sz.002531,5.4200,5.4400,5.3000,5.3800,5.4600,16964050,90654903.7200
2019-02-13,sz.002531,5.3800,5.3800,5.2200,5.3300,5.3800,23710878,125231057.4400
2019-02-14,sz.002531,5.3300,5.4800,5.2600,5.3100,5.3300,20188254,108096253.4000
2019-02-15,sz.002531,5.3000,5.3200,5.1800,5.2000,5.3100,17977693,94158513.3900
2019-02-18,sz.002531,5.2000,5.5200,5.2000,5.4300,5.2000,30610593,165134450.9900
2019-02-19,sz.002531,5.4600,5.4800,5.0800,5.2300,5.4300,26628183,140203368.7700
2019-02-20,sz.002531,5.2100,5.2300,5.1300,5.2000,5.2300,14108466,73150481.7400
2019-02-21,sz.002531,5.2200,5.3000,5.0800,5.1000,5.2000,17523425,91051455.3900
2019-02-22,sz.002531,5.0900,5.2000,5.0700,5.1900,5.1000,13362866,68689932.5500
2019-02-25,sz.002531,5.2700,5.5000,5.2100,5.4700,5.1900,35681176,192248772.9500
2019-02-26,sz.002531,5.4800,5.4900,5.1800,5.3400,5.4700,34110548,181482294.3800
2019-02-27,sz.002531,5.3300,5.3400,5.1600,5.2700,5.3400,21267037,111300856.2400
2019-02-28,sz.002531,5.2700,5.2700,5.1500,5.2000,5.2700,13261744,68835610.0400
2019-03-01,sz.002531,5.1900,5.2900,5.1900,5.2800,5.2000,12573168,66035879.2500
2019-03-04,sz.002531,5.2900,5.5600,5.2900,5.3800,5.2800,24116395,131029304.5700
2019-03-05,sz.002531,5.3800,5.9200,5.3100,5.9000,5.3800,38057918,214366607.2900
2019-03-06,sz.002531,5.9000,5.9500,5.6400,5.7300,5.9000,26891267,154820403.3200
2019-03-07,sz.002531,5.7400,5.8400,5.6000,5.6800,5.7300,19462404,110827786.5800
2019-03-08,sz.002531,5.5900,5.7900,5.4300,5.4800,5.6800,19812102,110846184.4200
2019-03-11,sz.002531,5.4600,5.7900,5.3600,5.7400,5.4800,32614945,182670443.6800
2019-03-12,sz.002531,5.8100,6.1400,5.8100,5.9600,5.7400,29751394,177852238.8200
2019-03-13,sz.002531,5.9600,6.2500,5.8100,6.0900,5.9600,26134277,158343976.0500
2019-03-14,sz.002531,6.0800,6.2000,5.8200,5.8400,6.0900,13466602,79899810.3900
