date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603218,16.4500,16.9000,16.4500,16.7300,16.5200,471731,7905005.0000
2019-01-03,sh.603218,16.7300,17.0800,15.8500,16.1400,16.7300,536181,8835746.0000
2019-01-04,sh.603218,16.1400,17.7100,15.6200,17.5000,16.1400,1539247,25988588.0000
2019-01-07,sh.603218,17.5000,17.6900,17.1000,17.4600,17.5000,837708,14618046.0000
2019-01-08,sh.603218,17.5000,17.6000,17.2100,17.3600,17.4600,448655,7801772.0000
2019-01-09,sh.603218,17.2600,17.5200,17.2300,17.3000,17.3600,526249,9134435.0000
2019-01-10,sh.603218,17.3000,18.3000,17.3000,18.1800,17.3000,1579975,28571850.0000
2019-01-11,sh.603218,18.0800,18.1300,17.6800,17.7100,18.1800,761860,13595419.0000
2019-01-14,sh.603218,17.6700,17.8500,17.2000,17.3600,17.7100,568571,9906179.0000
2019-01-15,sh.603218,17.3600,17.6400,17.1800,17.4500,17.3600,427374,7472985.0000
2019-01-16,sh.603218,17.4500,18.0000,17.4500,17.9800,17.4500,916351,16394894.0000
2019-01-17,sh.603218,17.9800,18.1200,17.4300,18.0900,17.9800,1059900,18903985.0000
2019-01-18,sh.603218,18.0900,18.1500,17.6200,17.9200,18.0900,435162,7798041.0000
2019-01-21,sh.603218,18.0000,18.5900,17.4100,17.7800,17.9200,1291743,23272165.0000
2019-01-22,sh.603218,17.4300,17.9500,17.4300,17.6700,17.7800,626800,11112919.0000
2019-01-23,sh.603218,17.7700,17.8800,17.5300,17.6300,17.6700,288105,5087230.0000
2019-01-24,sh.603218,17.6300,18.7500,17.4800,18.4800,17.6300,1811870,33321038.0000
2019-01-25,sh.603218,19.0800,19.5500,18.2200,18.9000,18.4800,2014408,38168504.0000
2019-01-28,sh.603218,19.5400,20.7900,19.2100,20.5600,18.9000,2915319,59198280.0000
2019-01-29,sh.603218,20.0100,20.5800,19.2600,19.8400,20.5600,1352380,26907504.0000
2019-01-30,sh.603218,20.6600,20.6600,19.3400,20.1100,19.8400,1700191,34000073.0000
2019-01-31,sh.603218,19.9800,20.8700,19.8400,19.9700,20.1100,1754506,36005671.0000
2019-02-01,sh.603218,19.9000,20.9700,19.9000,20.5500,19.9700,1227670,25176374.0000
2019-02-11,sh.603218,20.9800,20.9800,20.3500,20.6500,20.5500,1148636,23883690.0000
2019-02-12,sh.603218,20.8000,20.9000,20.3200,20.5300,20.6500,1124273,23034460.0000
2019-02-13,sh.603218,20.5300,20.5400,19.9800,20.4200,20.5300,1789185,36139460.0000
2019-02-14,sh.603218,20.0000,20.0800,19.2200,19.6500,20.4200,3531470,69598910.0000
2019-02-15,sh.603218,19.7500,19.7500,18.9400,19.2000,19.6500,2501989,48341413.0000
2019-02-18,sh.603218,19.2000,20.2400,19.2000,19.8700,19.2000,2136669,42274843.0000
2019-02-19,sh.603218,19.9400,20.3400,19.7900,19.8700,19.8700,1599232,32008348.0000
2019-02-20,sh.603218,19.8700,20.1300,19.5000,19.9900,19.8700,815262,16254754.0000
2019-02-21,sh.603218,20.0800,20.1400,19.6900,19.7100,19.9900,977959,19489413.0000
2019-02-22,sh.603218,19.7100,19.7500,18.9300,19.2700,19.7100,1740302,33499624.0000
2019-02-25,sh.603218,19.6600,20.7900,19.4000,20.4800,19.2700,2064723,41796402.0000
2019-02-26,sh.603218,21.0100,21.0500,19.9800,20.0700,20.4800,2171884,44093837.0000
2019-02-27,sh.603218,20.0300,20.4400,19.7000,19.7700,20.0700,1382696,27509478.0000
2019-02-28,sh.603218,19.7700,20.4100,19.6500,20.2000,19.7700,1274682,25679570.0000
2019-03-01,sh.603218,20.3200,20.5000,19.9800,20.4900,20.2000,1278255,25913019.0000
2019-03-04,sh.603218,20.3600,20.7900,20.2500,20.3900,20.4900,2539600,51760468.0000
2019-03-05,sh.603218,20.4500,22.2000,20.3300,21.9800,20.3900,3392236,73118702.0000
2019-03-06,sh.603218,22.0100,22.3000,21.3300,21.7900,21.9800,1570093,34222554.0000
2019-03-07,sh.603218,21.7800,21.8100,21.2300,21.4100,21.7900,1257573,27047155.0000
2019-03-08,sh.603218,21.4000,21.7800,20.4000,20.4100,21.4100,1267600,26761128.0000
2019-03-11,sh.603218,20.3700,21.6600,20.3700,21.5400,20.4100,1278308,27094625.0000
2019-03-12,sh.603218,21.6700,23.0000,21.6700,22.5900,21.5400,2694330,60663938.0000
2019-03-13,sh.603218,22.5800,23.7000,22.2800,22.3700,22.5900,1498859,34396497.0000
2019-03-14,sh.603218,22.0300,23.2500,22.0300,23.0200,22.3700,1597962,36649841.0000
2019-03-15,sh.603218,23.0000,25.1500,22.8000,24.6600,23.0200,2595806,63636608.0000
2019-03-18,sh.603218,24.6600,26.4000,23.9900,24.9700,24.6600,2549130,64078046.0000
2019-03-19,sh.603218,24.9000,25.4800,23.8600,25.3100,24.9700,2936241,71914934.0000
2019-03-20,sh.603218,25.6000,27.6900,25.5200,26.3400,25.3100,4977937,131965892.0000
2019-03-21,sh.603218,25.5200,27.0800,25.5200,26.0900,26.3400,1913900,50354149.0000
2019-03-22,sh.603218,25.8500,26.3900,24.6000,25.1200,26.0900,2076910,52249940.0000
2019-03-25,sh.603218,25.3700,26.4800,24.8400,26.2600,25.1200,2275496,59443708.0000
2019-03-26,sh.603218,26.2600,26.6400,25.6000,25.8700,26.2600,1393030,36316950.0000
2019-03-27,sh.603218,25.8700,26.6600,25.7000,25.9300,25.8700,1224566,32158388.0000
2019-03-28,sh.603218,25.8000,27.0300,25.5700,26.2500,25.9300,1814393,48048908.0000
2019-03-29,sh.603218,26.2500,26.8900,25.1000,26.5800,26.2500,2017768,52292642.0000
2019-04-01,sh.603218,26.5800,28.2400,25.7600,27.9200,26.5800,2161575,59582036.0000
2019-04-02,sh.603218,28.0500,28.2400,27.3200,27.4000,27.9200,1054023,29126934.0000
2019-04-03,sh.603218,27.3800,27.5800,25.0000,25.4400,27.4000,2894794,76095466.0000
2019-04-04,sh.603218,25.7400,26.2600,24.2000,25.0600,25.4400,4870950,122226836.0000
2019-04-08,sh.603218,25.0500,26.1600,25.0500,26.1600,25.0600,3151163,81183459.0000
2019-04-09,sh.603218,25.7100,26.0300,25.0000,25.1300,26.1600,2440701,61691423.0000
2019-04-10,sh.603218,24.8700,25.2800,24.5800,24.9900,25.1300,2163241,54139614.0000
2019-04-11,sh.603218,25.1800,25.1800,24.3000,24.4500,24.9900,1426620,35275212.0000
2019-04-12,sh.603218,24.2300,24.6800,22.1000,22.8700,24.4500,4119649,95155960.0000
2019-04-15,sh.603218,23.5300,24.2900,23.1300,23.1300,22.8700,4433505,104788945.0000
2019-04-16,sh.603218,23.5000,24.2600,22.8900,23.2300,23.1300,3665600,85660961.0000
2019-04-17,sh.603218,23.4000,24.4900,23.2000,24.0000,23.2300,3044723,73252447.0000
2019-04-18,sh.603218,23.9300,23.9300,23.0400,23.2600,24.0000,2393439,55944424.0000
2019-04-19,sh.603218,23.3200,23.8500,23.0300,23.4700,23.2600,1644038,38479164.0000
2019-04-22,sh.603218,23.4400,23.9300,23.0500,23.2500,23.4700,1735554,40953929.0000
2019-04-23,sh.603218,23.3500,23.5000,22.5500,22.6500,23.2500,1708444,39162646.0000
2019-04-24,sh.603218,22.6500,23.5000,22.6300,22.8700,22.6500,1568672,35964528.0000
2019-04-25,sh.603218,23.2000,23.2000,21.3000,21.7900,22.8700,1706259,38152725.0000
2019-04-26,sh.603218,21.7900,23.8800,21.7200,23.2200,21.7900,3781447,86206100.0000
2019-04-29,sh.603218,23.2200,23.6700,22.3000,22.8000,23.2200,2713823,61994801.0000
2019-04-30,sh.603218,22.8100,23.7900,22.8000,23.3300,22.8000,2029738,47397226.0000
2019-05-06,sh.603218,22.2200,23.2700,21.1100,22.2500,23.3300,2250375,50357210.0000
2019-05-07,sh.603218,22.1400,23.3100,22.1200,23.1100,22.2500,1514908,34554692.0000
2019-05-08,sh.603218,22.0000,23.8700,22.0000,22.9500,23.1100,1790327,41447646.0000
2019-05-09,sh.603218,23.1000,25.0000,22.8100,24.7200,22.9500,3153082,75914462.0000
