date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002196,5.0700,5.1200,5.0300,5.0500,5.0700,1143160,5786426.2000
2019-01-03,sz.002196,5.0500,5.1000,5.0400,5.1000,5.0500,1096802,5564579.2400
2019-01-04,sz.002196,5.1200,5.3100,5.0800,5.2800,5.1000,3123160,16307599.6000
2019-01-07,sz.002196,5.2800,5.4000,5.2500,5.3600,5.2800,3211581,17152802.0600
2019-01-08,sz.002196,5.3600,5.4800,5.3300,5.4600,5.3600,2469573,13399730.2700
2019-01-09,sz.002196,5.5000,5.6200,5.4600,5.4900,5.4600,4127100,22904495.2900
2019-01-10,sz.002196,5.4700,5.5700,5.4600,5.4700,5.4900,2512660,13855121.9000
2019-01-11,sz.002196,5.5300,5.7700,5.4500,5.5900,5.4700,4957881,27840536.1900
2019-01-14,sz.002196,5.5200,5.6800,5.4100,5.4400,5.5900,3941847,21789521.8900
2019-01-15,sz.002196,4.9000,5.0700,4.9000,4.9700,5.4400,16189491,79946482.5800
2019-01-16,sz.002196,4.9100,5.3800,4.9000,5.1800,4.9700,16156121,82775148.8600
2019-01-17,sz.002196,5.1800,5.3200,5.1000,5.1800,5.1800,9603244,50073449.6000
2019-01-18,sz.002196,5.2000,5.2800,5.1200,5.2100,5.1800,6103535,31808764.8500
2019-01-21,sz.002196,5.2500,5.3600,5.2100,5.2600,5.2100,5555506,29448136.7700
2019-01-22,sz.002196,5.3100,5.3300,5.1500,5.1600,5.2600,3270150,17052533.8000
2019-01-23,sz.002196,5.1800,5.2300,5.1200,5.2000,5.1600,2635977,13666575.7200
2019-01-24,sz.002196,5.1900,5.2700,5.1400,5.1800,5.2000,3668036,19091677.4200
2019-01-25,sz.002196,5.1500,5.2200,5.1500,5.1500,5.1800,2370238,12279049.0800
2019-01-28,sz.002196,5.1600,5.2000,5.0500,5.0700,5.1500,3869989,19753914.6100
2019-01-29,sz.002196,5.0000,5.0800,4.9100,4.9600,5.0700,3417147,17006776.1400
2019-01-30,sz.002196,4.9300,5.0700,4.9300,4.9800,4.9600,1902633,9529744.4200
2019-01-31,sz.002196,4.9800,5.0300,4.7500,4.8100,4.9800,2884992,14128787.0800
2019-02-01,sz.002196,4.8900,5.0400,4.8300,5.0000,4.8100,2110027,10471549.9600
2019-02-11,sz.002196,5.0500,5.1500,5.0200,5.1400,5.0000,2316798,11841746.2400
2019-02-12,sz.002196,5.1200,5.2600,5.1100,5.2300,5.1400,2663406,13819757.4400
2019-02-13,sz.002196,5.2100,5.3500,5.2100,5.3100,5.2300,5278230,27993752.7000
2019-02-14,sz.002196,5.3000,5.5300,5.2500,5.4900,5.3100,7260718,39406589.2500
2019-02-15,sz.002196,5.5000,5.5300,5.4100,5.5000,5.4900,4055624,22207171.9000
2019-02-18,sz.002196,5.5000,5.8700,5.5000,5.8100,5.5000,7765943,44506000.6800
2019-02-19,sz.002196,5.7800,5.9700,5.6800,5.7500,5.8100,8733792,50813650.1800
2019-02-20,sz.002196,5.8500,5.9300,5.7100,5.8200,5.7500,5467592,31828676.0200
2019-02-21,sz.002196,5.8000,5.8900,5.7300,5.7500,5.8200,6469354,37579483.2800
2019-02-22,sz.002196,5.7700,5.8500,5.7000,5.8500,5.7500,5605538,32354864.2600
2019-02-25,sz.002196,5.8000,6.1200,5.7500,6.0700,5.8500,10177224,60906927.5700
2019-02-26,sz.002196,6.1000,6.1100,5.9400,6.0200,6.0700,7559654,45623156.5200
2019-02-27,sz.002196,6.0200,6.0500,5.8600,5.9000,6.0200,6063060,36200640.6000
2019-02-28,sz.002196,5.9000,6.0300,5.8900,5.9600,5.9000,4814202,28748677.4700
2019-03-01,sz.002196,5.9700,5.9700,5.8300,5.9000,5.9600,4279367,25183306.5800
2019-03-04,sz.002196,5.9400,6.0300,5.8800,5.9400,5.9000,6593500,39308153.1000
2019-03-05,sz.002196,5.9400,6.0500,5.8300,6.0500,5.9400,7772026,46338294.0900
2019-03-06,sz.002196,6.0600,6.3100,5.9700,6.2200,6.0500,12216626,74853818.5500
2019-03-07,sz.002196,6.1800,6.2500,6.0800,6.2100,6.2200,9969631,61352480.4100
2019-03-08,sz.002196,6.1400,6.2500,5.9400,6.0100,6.2100,9903195,60338657.9700
2019-03-11,sz.002196,6.1900,6.3800,6.0700,6.3000,6.0100,14942104,93038072.1700
2019-03-12,sz.002196,6.3100,6.4900,6.2100,6.3200,6.3000,16105430,101945018.6400
2019-03-13,sz.002196,6.2700,6.4000,6.1300,6.1600,6.3200,9877755,61961654.7000
2019-03-14,sz.002196,6.1400,6.2300,5.8900,5.9900,6.1600,7627572,46043609.6100
