date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000063,19.6000,20.0600,19.4000,19.5600,19.5900,64968272,1280972083.2600
2019-01-03,sz.000063,19.5900,19.6000,18.7200,18.7800,19.5600,94860012,1810713994.4900
2019-01-04,sz.000063,18.5100,19.2700,18.2400,19.2000,18.7800,77189145,1459623167.6700
2019-01-07,sz.000063,19.4500,20.1500,19.2000,20.0200,19.2000,124849276,2470029122.4400
2019-01-08,sz.000063,19.9200,20.2600,19.7300,19.9000,20.0200,83061720,1660115078.2500
2019-01-09,sz.000063,19.9500,20.3500,19.7900,19.9200,19.9000,98407244,1981761729.4700
2019-01-10,sz.000063,19.9000,20.3500,19.7800,20.0700,19.9200,84904964,1704608232.3700
2019-01-11,sz.000063,20.2900,21.2700,20.2900,20.5100,20.0700,151834299,3141167857.3000
2019-01-14,sz.000063,20.2000,20.4700,19.9000,20.0900,20.5100,76204961,1533016230.1000
2019-01-15,sz.000063,20.0700,20.8000,19.9000,20.6000,20.0900,97565498,1985090241.2100
2019-01-16,sz.000063,20.5500,20.6100,20.2200,20.3100,20.6000,61508709,1253685527.3700
2019-01-17,sz.000063,20.2400,20.4800,19.9000,20.0100,20.3100,64369144,1294498777.8400
2019-01-18,sz.000063,19.8500,20.0800,19.6700,19.9800,20.0100,70848056,1408714561.6100
2019-01-21,sz.000063,20.0600,21.1600,20.0100,21.0400,19.9800,185582442,3857031667.4800
2019-01-22,sz.000063,21.0000,21.0900,20.2400,20.4400,21.0400,108159491,2228177094.8000
2019-01-23,sz.000063,20.3600,20.6900,20.0800,20.4500,20.4400,59412582,1208834458.5200
2019-01-24,sz.000063,20.5000,20.7200,20.1200,20.3700,20.4500,66569135,1361121122.8900
2019-01-25,sz.000063,20.4000,20.6700,20.2000,20.3200,20.3700,50864961,1039203431.6500
2019-01-28,sz.000063,20.3500,20.5500,20.1200,20.2400,20.3200,48450074,984143469.1800
2019-01-29,sz.000063,20.1000,20.2000,19.7000,19.9800,20.2400,56953024,1138035224.3500
