date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300443,11.0500,11.1800,10.0000,10.8800,10.9000,3592096,38294356.9200
2019-01-03,sz.300443,10.5500,10.9800,10.3000,10.5600,10.8800,2614583,27761249.2100
2019-01-04,sz.300443,10.4700,11.2400,10.3500,11.0400,10.5600,2480806,27126819.4000
2019-01-07,sz.300443,11.1800,11.2400,10.9100,10.9800,11.0400,1561483,17275968.6400
2019-01-08,sz.300443,10.9800,11.2600,10.7300,11.2300,10.9800,2222366,24370060.0100
2019-01-09,sz.300443,11.3000,11.3300,10.9300,11.0700,11.2300,2284216,25397740.1400
2019-01-10,sz.300443,10.9400,11.6300,10.8300,11.6300,11.0700,4118712,46894230.0100
2019-01-11,sz.300443,11.6800,11.8400,11.3500,11.7700,11.6300,2719425,31542836.2300
2019-01-14,sz.300443,11.6200,11.8000,11.1400,11.2200,11.7700,2782700,31730235.3600
2019-01-15,sz.300443,11.2800,11.5800,11.1000,11.5100,11.2200,1525541,17356882.6800
2019-01-16,sz.300443,11.4500,11.7200,11.2800,11.2800,11.5100,1291485,14798351.3100
2019-01-17,sz.300443,11.1500,11.4000,10.8600,11.1900,11.2800,2122033,23714903.7600
2019-01-18,sz.300443,11.1700,11.3800,11.0100,11.0100,11.1900,1216932,13599237.4300
2019-01-21,sz.300443,11.0100,11.3900,10.9200,11.1400,11.0100,2628820,29446303.6600
2019-01-22,sz.300443,11.2300,11.2300,10.8000,10.9700,11.1400,1584570,17368964.9600
2019-01-23,sz.300443,10.8500,11.0600,10.8200,10.8900,10.9700,755199,8242998.5100
2019-01-24,sz.300443,10.8300,11.3400,10.8300,11.2100,10.8900,1998626,22303874.7100
2019-01-25,sz.300443,11.2800,11.6800,11.1500,11.6600,11.2100,3589135,41424859.8300
2019-01-28,sz.300443,11.8000,12.8300,11.8000,12.5800,11.6600,5088964,63938227.3000
2019-01-29,sz.300443,12.5800,12.6000,12.0500,12.1700,12.5800,2111241,25766713.4900
