date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601016,2.3300,2.3300,2.3000,2.3100,2.3200,9956979,23015549.0000
2019-01-03,sh.601016,2.2800,2.3300,2.2800,2.2900,2.3100,11682345,26852174.0000
2019-01-04,sh.601016,2.2700,2.3400,2.2600,2.3300,2.2900,12656223,29171341.0000
2019-01-07,sh.601016,2.3300,2.4700,2.3300,2.4400,2.3300,30385154,73097603.0000
2019-01-08,sh.601016,2.4300,2.4500,2.3600,2.4000,2.4400,23092282,55524287.0000
2019-01-09,sh.601016,2.4200,2.4500,2.4000,2.4000,2.4000,16289524,39500377.0000
2019-01-10,sh.601016,2.4400,2.5400,2.4100,2.4600,2.4000,35978657,89010533.0000
2019-01-11,sh.601016,2.4300,2.4800,2.4000,2.4400,2.4600,32437563,78785463.0000
2019-01-14,sh.601016,2.4300,2.4400,2.4000,2.4100,2.4400,18332942,44256767.0000
2019-01-15,sh.601016,2.4100,2.4300,2.3500,2.4200,2.4100,29968350,71493797.0000
2019-01-16,sh.601016,2.4100,2.4200,2.3700,2.3900,2.4200,23937526,57194577.0000
2019-01-17,sh.601016,2.3800,2.6300,2.3500,2.4700,2.3900,57479331,141323790.0000
2019-01-18,sh.601016,2.4500,2.4700,2.4000,2.4500,2.4700,35309774,86048928.0000
2019-01-21,sh.601016,2.4500,2.4600,2.4100,2.4200,2.4500,21620100,52648301.0000
2019-01-22,sh.601016,2.4000,2.4200,2.3800,2.3900,2.4200,20322835,48779005.0000
2019-01-23,sh.601016,2.3800,2.4100,2.3700,2.4100,2.3900,10460575,25085841.0000
2019-01-24,sh.601016,2.4100,2.4600,2.3900,2.4300,2.4100,25757246,62598220.0000
2019-01-25,sh.601016,2.4400,2.4500,2.4000,2.4000,2.4300,17533556,42527345.0000
2019-01-28,sh.601016,2.4100,2.4700,2.4100,2.4300,2.4000,22764714,55590113.0000
2019-01-29,sh.601016,2.4200,2.4200,2.3100,2.3700,2.4300,20374685,48258571.0000
2019-01-30,sh.601016,2.3500,2.4000,2.3400,2.3600,2.3700,12088474,28627679.0000
2019-01-31,sh.601016,2.3600,2.4300,2.3600,2.3800,2.3600,22216339,53059216.0000
2019-02-01,sh.601016,2.3800,2.4800,2.3700,2.4700,2.3800,42067568,102545117.0000
2019-02-11,sh.601016,2.4800,2.7200,2.4600,2.7200,2.4700,110440485,289279924.0000
2019-02-12,sh.601016,2.7200,2.7600,2.6600,2.6900,2.7200,93799793,253402545.0000
2019-02-13,sh.601016,2.6400,2.6900,2.6200,2.6700,2.6900,76358751,203021315.0000
2019-02-14,sh.601016,2.6500,2.7500,2.6400,2.6700,2.6700,59494582,160192433.0000
2019-02-15,sh.601016,2.6600,2.7400,2.6400,2.6600,2.6700,43978999,118077451.0000
2019-02-18,sh.601016,2.6800,2.7200,2.6600,2.7200,2.6600,52825612,142490799.0000
2019-02-19,sh.601016,2.7200,2.7400,2.6600,2.6900,2.7200,49523526,133522176.0000
