date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000723,3.2100,3.2300,3.1700,3.1900,3.2100,10589820,33870083.6000
2019-01-03,sz.000723,3.2000,3.2200,3.1600,3.1800,3.1900,10381315,33097463.8300
2019-01-04,sz.000723,3.1500,3.2700,3.1300,3.2700,3.1800,17523338,56168856.3800
2019-01-07,sz.000723,3.2800,3.3100,3.2500,3.3000,3.2700,17740671,58299958.9500
2019-01-08,sz.000723,3.2900,3.2900,3.2600,3.2700,3.3000,12495962,40915867.6400
2019-01-09,sz.000723,3.2800,3.3900,3.2700,3.2900,3.2700,24035802,80217366.0600
2019-01-10,sz.000723,3.2900,3.3200,3.2600,3.2900,3.2900,12264268,40366421.5200
2019-01-11,sz.000723,3.2700,3.5400,3.2600,3.4400,3.2900,48494238,165462516.4100
2019-01-14,sz.000723,3.5000,3.7800,3.5000,3.7800,3.4400,73187208,271739495.2400
2019-01-15,sz.000723,3.8600,3.9300,3.6700,3.7700,3.7800,120421074,457843503.8200
2019-01-16,sz.000723,3.6800,4.1500,3.6700,4.1500,3.7700,173415447,694635604.7100
2019-01-17,sz.000723,4.0800,4.5700,4.0600,4.3900,4.1500,194100233,845777686.2000
2019-01-18,sz.000723,4.2600,4.5500,4.0600,4.1800,4.3900,168797098,721779636.9900
2019-01-21,sz.000723,4.1500,4.2600,4.0100,4.1700,4.1800,86632675,358616901.6000
2019-01-22,sz.000723,4.1500,4.3100,4.0300,4.3000,4.1700,103085703,431819050.2000
2019-01-23,sz.000723,4.2000,4.7300,4.1800,4.6500,4.3000,150737629,695136540.1700
2019-01-24,sz.000723,4.6000,4.7000,4.3900,4.6100,4.6500,106085182,483091696.4700
2019-01-25,sz.000723,4.5600,4.8600,4.4700,4.5800,4.6100,93035149,433780737.4100
2019-01-28,sz.000723,4.5800,4.5900,4.2700,4.3100,4.5800,71457595,313502754.9100
2019-01-29,sz.000723,4.3500,4.5400,4.2800,4.3900,4.3100,56688247,249318716.8700
2019-01-30,sz.000723,4.3000,4.3300,4.1000,4.1600,4.3900,58230044,244596879.0700
2019-01-31,sz.000723,4.1900,4.2700,4.1200,4.1600,4.1600,36174254,151498661.6400
2019-02-01,sz.000723,4.2100,4.3700,4.1600,4.2700,4.1600,46410449,197710763.6400
2019-02-11,sz.000723,4.2800,4.4700,4.2700,4.4200,4.2700,46794197,204274086.2400
2019-02-12,sz.000723,4.3800,4.4500,4.3300,4.4400,4.4200,45981057,201823255.5500
2019-02-13,sz.000723,4.4000,4.4300,4.3200,4.3900,4.4400,47511153,207845400.5400
2019-02-14,sz.000723,4.3700,4.8300,4.3000,4.7700,4.3900,92439140,423929797.2000
2019-02-15,sz.000723,4.6900,4.9600,4.6400,4.6900,4.7700,72028069,344823892.1300
2019-02-18,sz.000723,4.6900,5.1000,4.6900,5.0000,4.6900,71944412,354630278.7800
2019-02-19,sz.000723,5.0700,5.1800,4.8200,4.9800,5.0000,71816621,357308217.2600
2019-02-20,sz.000723,5.0300,5.1900,4.8900,5.0400,4.9800,71725019,362883198.8700
2019-02-21,sz.000723,4.9700,5.0400,4.8500,4.8800,5.0400,62331842,308070775.6700
2019-02-22,sz.000723,4.7600,4.9800,4.7600,4.8900,4.8800,50465071,246690437.9600
2019-02-25,sz.000723,4.9800,5.3800,4.9000,5.2500,4.8900,91662043,472235141.4000
2019-02-26,sz.000723,5.3000,5.7300,5.1400,5.3200,5.2500,91964588,497684994.8200
2019-02-27,sz.000723,5.3100,5.6000,5.1300,5.2000,5.3200,69730175,373005411.1900
2019-02-28,sz.000723,5.2800,5.3500,5.0600,5.1100,5.2000,47634291,246435167.9700
2019-03-01,sz.000723,5.1300,5.5500,5.0800,5.5200,5.1100,74415923,393999747.9900
2019-03-04,sz.000723,5.5300,5.6600,5.3900,5.4700,5.5200,90193642,497102036.5700
2019-03-05,sz.000723,5.4000,5.5500,5.3100,5.5400,5.4700,51942914,282144412.5400
2019-03-06,sz.000723,5.5100,5.7200,5.4500,5.5800,5.5400,76810118,428327773.3000
2019-03-07,sz.000723,5.5100,5.6700,5.4400,5.5500,5.5800,59657821,329364479.9200
2019-03-08,sz.000723,5.3900,5.3900,5.0500,5.0600,5.5500,67953847,356100753.2900
2019-03-11,sz.000723,5.0500,5.2500,4.9600,5.1600,5.0600,69759691,355924145.5500
2019-03-12,sz.000723,5.2200,5.2900,5.0500,5.1400,5.1600,59076936,306214857.8000
2019-03-13,sz.000723,5.1500,5.4300,5.0600,5.3600,5.1400,89376064,472501730.3300
2019-03-14,sz.000723,5.4000,5.8500,5.3000,5.6300,5.3600,126046914,704498260.8200
2019-03-15,sz.000723,5.7000,6.1900,5.4600,6.1300,5.6300,140704534,825727370.5400
2019-03-18,sz.000723,6.6800,6.6800,6.1300,6.4400,6.1300,164623312,1051187156.4600
2019-03-19,sz.000723,6.2500,7.0800,6.2100,7.0800,6.4400,152779712,1039951648.1000
2019-03-20,sz.000723,6.9300,7.3800,6.5000,6.7800,7.0800,212295007,1457547470.9200
2019-03-21,sz.000723,7.0200,7.1500,6.7200,6.7600,6.7800,134112087,921569099.9100
2019-03-22,sz.000723,6.6600,7.0500,6.4600,6.8700,6.7600,123816507,835006236.5100
2019-03-25,sz.000723,6.6900,7.5600,6.6200,7.3300,6.8700,181052396,1318903301.1800
2019-03-26,sz.000723,7.7200,8.0600,7.5000,8.0600,7.3300,243331545,1935830973.8500
2019-03-27,sz.000723,8.5400,8.8700,8.4800,8.8700,8.0600,154916633,1364451630.7300
2019-03-28,sz.000723,9.2900,9.7600,8.3900,8.3900,8.8700,305433712,2785054276.8000
2019-03-29,sz.000723,8.0600,9.2300,8.0000,9.2300,8.3900,203550709,1794021307.4500
2019-04-01,sz.000723,10.1000,10.1500,9.9000,10.1500,9.2300,90432687,915042470.0100
2019-04-02,sz.000723,10.8800,11.1700,10.3200,10.6600,10.1500,319522816,3470707791.3200
2019-04-03,sz.000723,10.3600,11.7300,10.2800,11.7300,10.6600,235177704,2620247942.9200
2019-04-04,sz.000723,12.2800,12.9000,11.8000,12.9000,11.7300,263902652,3311156277.9600
2019-04-08,sz.000723,13.5000,14.1900,13.2600,14.1900,12.9000,199175616,2773243422.2500
2019-04-09,sz.000723,14.6000,15.6100,13.5000,15.6100,14.1900,275542832,4054085752.3900
2019-04-10,sz.000723,15.9300,17.1700,14.8500,16.4400,15.6100,298600304,4929963231.1000
2019-04-11,sz.000723,16.4500,17.8500,15.7200,16.6400,16.4400,288622944,4916882778.7100
2019-04-12,sz.000723,16.6000,16.9000,14.9800,14.9800,16.6400,291047728,4570833754.7200
2019-04-15,sz.000723,15.3200,16.3000,14.7000,15.6900,14.9800,289157936,4506424643.9900
2019-04-16,sz.000723,15.3700,17.2600,14.9000,17.2600,15.6900,288584496,4561582172.6200
2019-04-17,sz.000723,17.7800,18.9900,17.5000,18.9900,17.2600,265848950,4907184957.6700
2019-04-18,sz.000723,19.7800,20.8900,18.3300,20.2300,18.9900,365094224,7333705527.9900
2019-04-19,sz.000723,19.3300,21.5400,18.6000,20.0400,20.2300,319690192,6402784681.4100
2019-04-22,sz.000723,19.6100,20.1200,18.3300,18.6000,20.0400,239760324,4583491030.7400
2019-04-23,sz.000723,18.8000,19.0000,17.7100,18.0000,18.6000,209852551,3841186803.1100
2019-04-24,sz.000723,18.2100,18.6900,17.4600,18.2900,18.0000,226392653,4094482471.1000
2019-04-25,sz.000723,17.4300,17.4400,16.4600,16.4600,18.2900,185840519,3140145869.4100
2019-04-26,sz.000723,16.1100,16.9900,15.8000,16.0600,16.4600,195521583,3209545980.4300
2019-04-29,sz.000723,16.5400,16.9500,15.1500,15.9200,16.0600,240660849,3919243389.2100
2019-04-30,sz.000723,15.2000,15.6900,14.7200,15.1700,15.9200,207991274,3166501352.9500
2019-05-06,sz.000723,14.5000,15.4500,14.0900,14.4000,15.1700,210963000,3106179414.7100
2019-05-07,sz.000723,14.6100,15.8400,14.5000,15.5600,14.4000,277247104,4274914760.8500
