date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600499,3.6800,4.0300,3.6800,3.9800,4.0400,19402307,74947347.0000
2019-01-03,sh.600499,4.0000,4.1600,3.9200,4.0900,3.9800,12084368,49164002.0000
2019-01-04,sh.600499,4.0300,4.1900,4.0200,4.1400,4.0900,11579260,47798078.0000
2019-01-07,sh.600499,4.2000,4.3300,4.1600,4.3000,4.1400,10296255,43865835.0000
2019-01-08,sh.600499,4.3600,4.4200,4.2900,4.3600,4.3000,9805291,42787223.0000
2019-01-09,sh.600499,4.3700,4.4300,4.2600,4.3100,4.3600,11089488,48509865.0000
2019-01-10,sh.600499,4.3100,4.4500,4.3000,4.3900,4.3100,10220465,44946323.0000
2019-01-11,sh.600499,4.4000,4.4700,4.3400,4.4300,4.3900,7815144,34341889.0000
2019-01-14,sh.600499,4.4500,4.4900,4.2500,4.3800,4.4300,9996870,43830599.0000
2019-01-15,sh.600499,4.4300,4.4400,4.3300,4.4100,4.3800,7708720,33793530.0000
2019-01-16,sh.600499,4.4200,4.4300,4.3400,4.3800,4.4100,5372424,23500135.0000
2019-01-17,sh.600499,4.3700,4.4100,4.3200,4.3700,4.3800,6328600,27560850.0000
2019-01-18,sh.600499,4.3400,4.4800,4.3200,4.3600,4.3700,7956632,34714798.0000
2019-01-21,sh.600499,4.3500,4.5100,4.3400,4.4000,4.3600,6880391,30412131.0000
2019-01-22,sh.600499,4.4000,4.4200,4.2700,4.2900,4.4000,8950754,38601639.0000
2019-01-23,sh.600499,4.2800,4.3800,4.2200,4.2300,4.2900,7890521,33665411.0000
2019-01-24,sh.600499,4.2700,4.3300,4.2100,4.2900,4.2300,7350074,31481453.0000
2019-01-25,sh.600499,4.2900,4.3300,4.2100,4.2100,4.2900,6085300,25948115.0000
2019-01-28,sh.600499,4.2600,4.3100,4.1400,4.1500,4.2100,6617600,27933983.0000
2019-01-29,sh.600499,4.2000,4.2100,4.0100,4.0300,4.1500,8671027,35427668.0000
2019-01-30,sh.600499,4.0600,4.0800,3.9600,3.9700,4.0300,6063099,24436786.0000
2019-01-31,sh.600499,3.8000,4.0200,3.8000,3.9200,3.9700,16560779,65021644.0000
2019-02-01,sh.600499,3.9100,4.0500,3.9000,4.0300,3.9200,7146584,28385048.0000
2019-02-11,sh.600499,4.0900,4.3900,4.0900,4.3800,4.0300,18557987,79533517.0000
2019-02-12,sh.600499,4.3800,4.4600,4.3100,4.4100,4.3800,15462417,68167047.0000
2019-02-13,sh.600499,4.4200,4.7200,4.4100,4.6600,4.4100,24224396,111117018.0000
2019-02-14,sh.600499,4.6200,4.7900,4.6100,4.7100,4.6600,18897668,88722819.0000
2019-02-15,sh.600499,5.1000,5.1800,4.8300,4.9000,4.7100,43735241,219256395.0000
2019-02-18,sh.600499,4.9000,4.9900,4.8000,4.9900,4.9000,27140722,133789127.0000
2019-02-19,sh.600499,4.9600,5.1600,4.9100,5.1400,4.9900,30377862,152874077.0000
2019-02-20,sh.600499,5.1100,5.2300,5.0300,5.1800,5.1400,25888519,133193204.0000
