date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000408,11.1500,11.2700,10.9500,11.1800,11.2200,1866550,20726480.0800
2019-01-03,sz.000408,11.0400,11.2400,11.0400,11.0600,11.1800,1212486,13522445.0200
2019-01-04,sz.000408,10.9900,11.2400,10.9000,11.1900,11.0600,1113386,12411416.7400
2019-01-07,sz.000408,11.2100,11.2800,11.1700,11.2100,11.1900,1863938,20868236.0300
2019-01-08,sz.000408,11.2300,11.2300,11.0600,11.0900,11.2100,992100,11065206.0000
2019-01-09,sz.000408,11.1600,11.5600,11.1000,11.1300,11.0900,2401809,27215088.2700
2019-01-10,sz.000408,11.1200,11.3400,11.1100,11.2200,11.1300,1238428,13886199.0400
2019-01-11,sz.000408,11.2200,11.4200,11.1500,11.3500,11.2200,1784405,20159761.1000
2019-01-14,sz.000408,11.4600,11.8700,11.3400,11.8000,11.3500,5279025,61368733.7700
2019-01-15,sz.000408,11.9800,11.9900,11.5800,11.6900,11.8000,4367245,51430397.0800
2019-01-16,sz.000408,11.6000,11.6900,11.3400,11.4700,11.6900,2954979,33852249.9400
2019-01-17,sz.000408,11.4500,11.5200,11.2500,11.4700,11.4700,1611401,18347303.3800
2019-01-18,sz.000408,11.5700,11.5700,11.3200,11.4200,11.4700,1589201,18144445.7300
2019-01-21,sz.000408,11.4200,11.6000,11.3300,11.3600,11.4200,2004164,22915355.1200
2019-01-22,sz.000408,11.3600,11.3800,11.0500,11.0700,11.3600,1904032,21283462.6400
2019-01-23,sz.000408,11.0100,11.2100,11.0100,11.1500,11.0700,1451700,16165254.0000
2019-01-24,sz.000408,11.1500,11.1900,11.0500,11.1000,11.1500,1018400,11309080.0000
2019-01-25,sz.000408,11.0600,11.1600,10.9800,10.9900,11.1000,1497300,16591217.0000
2019-01-28,sz.000408,10.9900,11.0800,10.7500,10.8000,10.9900,2534100,27708317.0000
2019-01-29,sz.000408,10.8100,10.9300,10.5000,10.8300,10.8000,1585000,17033644.0000
2019-01-30,sz.000408,10.8200,10.9700,10.7200,10.7800,10.8300,1411520,15254293.7700
2019-01-31,sz.000408,10.7800,10.8200,10.5200,10.5200,10.7800,2159808,22953000.4800
2019-02-01,sz.000408,10.5000,10.8500,10.5000,10.8300,10.5200,1575144,16839947.8800
2019-02-11,sz.000408,10.8000,11.1500,10.8000,11.1400,10.8300,3380189,37361622.8900
2019-02-12,sz.000408,11.1700,11.1700,10.9800,11.0900,11.1400,2826400,31188026.0000
2019-02-13,sz.000408,11.0400,11.2500,11.0200,11.2300,11.0900,3059100,34136068.0000
2019-02-14,sz.000408,11.2500,11.3400,11.1400,11.1900,11.2300,2487401,27869213.2200
