date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002141,4.3500,4.4400,4.2100,4.3400,4.3300,23045253,100545461.9900
2019-01-03,sz.002141,4.3100,4.3800,4.1300,4.1900,4.3400,25209416,106823618.4400
2019-01-04,sz.002141,4.1400,4.3900,4.0300,4.3300,4.1900,26539581,113392939.5300
2019-01-07,sz.002141,4.3500,4.4200,4.3000,4.3700,4.3300,26801057,116844603.9600
2019-01-08,sz.002141,4.4400,4.5500,4.3600,4.4500,4.3700,32394178,144304341.4200
2019-01-09,sz.002141,4.4300,4.5900,4.3200,4.5400,4.4500,36857512,165250373.8400
2019-01-10,sz.002141,4.5000,4.5500,4.3700,4.3800,4.5400,24717480,109807292.2000
2019-01-11,sz.002141,4.3500,4.3900,4.3000,4.3400,4.3800,17326070,75131853.0000
2019-01-14,sz.002141,4.3100,4.4200,4.3100,4.3600,4.3400,14402306,62815319.4400
2019-01-15,sz.002141,4.3100,4.3500,4.2600,4.3400,4.3600,13567500,58411805.0000
2019-01-16,sz.002141,4.3600,4.4300,4.3200,4.3200,4.3400,17011478,74263593.3000
2019-01-17,sz.002141,4.2900,4.4800,4.2100,4.4500,4.3200,33233062,145466658.3400
2019-01-18,sz.002141,4.4000,4.4300,4.2500,4.3000,4.4500,21978298,94915850.4800
2019-01-21,sz.002141,4.2700,4.3200,4.2500,4.2700,4.3000,9794924,41941493.9800
2019-01-22,sz.002141,4.2600,4.3700,4.2500,4.2700,4.2700,11744600,50424867.0000
2019-01-23,sz.002141,4.2500,4.4500,4.1900,4.3700,4.2700,22456264,97219340.6600
2019-01-24,sz.002141,4.4300,4.4300,4.2800,4.2900,4.3700,17928014,77834494.6900
2019-01-25,sz.002141,4.2500,4.3600,4.2100,4.2500,4.2900,12165725,52069273.0900
2019-01-28,sz.002141,4.3000,4.3000,4.0200,4.0300,4.2500,14270500,59320043.0000
2019-01-29,sz.002141,3.9900,4.0600,3.6300,3.8600,4.0300,22099591,84077629.4900
2019-01-30,sz.002141,3.8300,3.9300,3.7500,3.8700,3.8600,10766256,41706327.8400
2019-01-31,sz.002141,3.9000,3.9400,3.6500,3.7300,3.8700,11828100,44716785.0000
2019-02-01,sz.002141,3.8200,4.0000,3.7700,3.9900,3.7300,10719300,41879726.6300
2019-02-11,sz.002141,4.0100,4.1100,4.0000,4.1000,3.9900,7589500,30900043.0000
2019-02-12,sz.002141,4.1000,4.1700,4.0600,4.1100,4.1000,8873950,36495946.5000
2019-02-13,sz.002141,4.1000,4.2000,4.0800,4.1300,4.1100,12882750,53663864.0600
2019-02-14,sz.002141,4.1500,4.5400,4.1200,4.4000,4.1300,40573516,180650210.1100
2019-02-15,sz.002141,4.3000,4.4200,4.2800,4.3200,4.4000,25755372,111744096.4100
2019-02-18,sz.002141,4.3700,4.4800,4.3500,4.4700,4.3200,23927198,105683628.6600
2019-02-19,sz.002141,4.7500,4.8500,4.4900,4.5700,4.4700,45200314,209441464.7800
2019-02-20,sz.002141,4.5500,4.5900,4.3500,4.4200,4.5700,24312356,108011668.8000
2019-02-21,sz.002141,4.4300,4.6500,4.3600,4.4700,4.4200,29965353,135232101.7000
2019-02-22,sz.002141,4.4200,4.7400,4.3700,4.6700,4.4700,40624495,187220441.6600
2019-02-25,sz.002141,4.7400,5.0500,4.6500,4.9200,4.6700,52732602,254915446.9300
2019-02-26,sz.002141,4.8600,5.2700,4.7500,4.9300,4.9200,56517116,279299237.8000
2019-02-27,sz.002141,4.9300,5.1500,4.8600,5.1100,4.9300,50529160,254364064.0900
2019-02-28,sz.002141,5.0000,5.0600,4.7200,4.7700,5.1100,40201206,197186069.5000
2019-03-01,sz.002141,4.7600,4.8500,4.7100,4.8100,4.7700,20929656,100050279.6800
2019-03-04,sz.002141,4.9000,5.0600,4.8700,4.9000,4.8100,31598434,156134577.1400
2019-03-05,sz.002141,4.8300,5.2900,4.8300,5.2300,4.9000,63505548,324511767.6700
2019-03-06,sz.002141,5.2100,5.2400,5.0000,5.1700,5.2300,54217603,277284967.5200
2019-03-07,sz.002141,5.1700,5.3700,5.0800,5.2900,5.1700,53217340,278556104.9200
2019-03-08,sz.002141,5.1500,5.2000,4.8300,4.8500,5.2900,40626576,203954096.0600
2019-03-11,sz.002141,4.8500,5.1200,4.8400,5.1100,4.8500,29515381,147586804.3800
2019-03-12,sz.002141,5.2300,5.3400,5.1000,5.2100,5.1100,40736840,212939181.6800
2019-03-13,sz.002141,5.2700,5.6000,5.2000,5.3600,5.2100,60214733,325957247.0200
2019-03-14,sz.002141,5.2900,5.3000,4.9200,5.2800,5.3600,42725611,218587501.8900
2019-03-15,sz.002141,5.2300,5.5600,5.1800,5.3800,5.2800,51688057,276581542.0500
2019-03-18,sz.002141,5.3200,5.3200,4.9800,5.2400,5.3800,34693390,179438639.3400
2019-03-19,sz.002141,5.2000,5.2200,5.0300,5.1200,5.2400,26572300,135928827.0000
2019-03-20,sz.002141,5.1200,5.1500,4.8300,4.9800,5.1200,31235371,154958004.2700
2019-03-21,sz.002141,4.9400,5.1000,4.9000,5.0300,4.9800,26880757,134925611.8700
2019-03-22,sz.002141,5.0900,5.1100,4.9000,5.0400,5.0300,21296700,106488346.6400
2019-03-25,sz.002141,4.9600,5.1100,4.9000,4.9800,5.0400,21156953,106402427.7000
2019-03-26,sz.002141,5.0500,5.0700,4.7700,4.8300,4.9800,19906260,97289816.1000
2019-03-27,sz.002141,4.8100,4.8700,4.6100,4.7200,4.8300,15639810,73654917.8000
2019-03-28,sz.002141,4.7000,4.7900,4.6100,4.6200,4.7200,10912400,51121915.0000
2019-03-29,sz.002141,4.6300,4.7800,4.6000,4.7500,4.6200,11005571,51784689.7500
2019-04-01,sz.002141,4.7400,4.9200,4.7300,4.9000,4.7500,12820053,62423425.0200
2019-04-02,sz.002141,5.1300,5.1900,4.9300,4.9700,4.9000,25684507,129682267.1700
2019-04-03,sz.002141,4.8800,5.0100,4.8500,5.0000,4.9700,16008056,79383062.0800
2019-04-04,sz.002141,5.0000,5.0500,4.8800,4.9100,5.0000,17230450,84927486.5000
2019-04-08,sz.002141,4.8900,4.9400,4.6900,4.7700,4.9100,16952250,81385511.9400
2019-04-09,sz.002141,4.7300,4.8500,4.6900,4.8200,4.7700,12209348,58413240.4400
2019-04-10,sz.002141,4.7800,4.8000,4.6800,4.7200,4.8200,14270111,67560804.2000
2019-04-11,sz.002141,4.7200,4.7500,4.6700,4.6900,4.7200,9387751,44207545.6400
2019-04-12,sz.002141,4.6800,4.7100,4.5700,4.6300,4.6900,9984203,46278750.8600
2019-04-15,sz.002141,4.6700,4.7600,4.6400,4.6400,4.6300,9046600,42521334.0000
2019-04-16,sz.002141,4.6100,4.6900,4.4900,4.6900,4.6400,10419253,47841768.6800
2019-04-17,sz.002141,4.6400,4.6600,4.4400,4.6300,4.6900,16753226,77053715.3600
2019-04-18,sz.002141,4.5800,4.6200,4.5100,4.5500,4.6300,11818803,54023684.2400
2019-04-19,sz.002141,4.5800,4.7400,4.5400,4.7300,4.5500,17119719,79525918.5000
2019-04-22,sz.002141,4.7400,4.9500,4.7300,4.9100,4.7300,34289077,166863328.4800
2019-04-23,sz.002141,4.9000,5.0500,4.7600,4.9500,4.9100,23159058,113674509.7900
2019-04-24,sz.002141,4.9900,5.1500,4.9100,5.1000,4.9500,34029369,171898061.2000
2019-04-25,sz.002141,5.0300,5.0300,4.6600,4.7100,5.1000,23466800,115052140.0000
2019-04-26,sz.002141,4.6700,4.7900,4.5000,4.6400,4.7100,12298700,57927978.0000
2019-04-29,sz.002141,4.6700,4.7600,4.1800,4.2800,4.6400,17111893,75924038.7400
2019-04-30,sz.002141,4.2900,4.3900,4.2000,4.3300,4.2800,8742313,37826504.7700
2019-05-06,sz.002141,4.2200,4.2300,3.9000,3.9400,4.3300,9641512,39319646.0400
2019-05-07,sz.002141,4.0000,4.0800,3.9100,4.0200,3.9400,5958200,23876644.0000
2019-05-08,sz.002141,4.0500,4.0900,3.9400,4.0200,4.0200,5604712,22614006.3600
2019-05-09,sz.002141,3.9800,4.0300,3.9100,3.9300,4.0200,5441553,21569242.7300
2019-05-10,sz.002141,3.9300,4.0400,3.8500,4.0400,3.9300,6927250,27692563.5200
2019-05-13,sz.002141,4.0000,4.1400,3.9500,4.0600,4.0400,5198350,21117846.0000
2019-05-14,sz.002141,4.0000,4.1700,3.9700,4.0100,4.0600,6956312,28247431.3400
2019-05-15,sz.002141,4.0400,4.1000,4.0100,4.0700,4.0100,6603412,26808307.6000
2019-05-16,sz.002141,4.0800,4.1400,4.0400,4.1300,4.0700,6625550,27151796.0000
2019-05-17,sz.002141,4.1300,4.1300,3.8500,3.9200,4.1300,10246925,40801257.6300
2019-05-20,sz.002141,3.9000,3.9300,3.7400,3.8500,3.9200,4776650,18274366.0000
2019-05-21,sz.002141,3.8700,3.9900,3.8500,3.9900,3.8500,5982900,23639011.0000
2019-05-22,sz.002141,3.9600,4.0700,3.9600,3.9900,3.9900,5028285,20145873.3000
2019-05-23,sz.002141,3.9900,4.0100,3.8500,3.8900,3.9900,4540150,17774134.0000
