date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000546,8.6000,8.6000,8.3600,8.4600,8.6600,1441700,12261474.0000
2019-01-03,sz.000546,8.4400,8.5000,8.3100,8.3600,8.4600,1029400,8641964.0000
2019-01-04,sz.000546,8.3600,8.6400,8.1100,8.5500,8.3600,1663220,14012469.8000
2019-01-07,sz.000546,8.6000,8.7900,8.5600,8.7500,8.5500,1544572,13436497.1800
2019-01-08,sz.000546,8.7500,8.9900,8.7100,8.9100,8.7500,1687986,14956865.2500
2019-01-09,sz.000546,8.8900,9.0500,8.8500,8.9000,8.9100,1632828,14656486.1700
2019-01-10,sz.000546,9.0800,9.0800,8.8800,8.8900,8.9000,1012500,9063316.0000
2019-01-11,sz.000546,8.9500,9.0100,8.8500,8.9900,8.8900,1321858,11855813.2300
2019-01-14,sz.000546,9.1000,9.1000,8.8400,8.9000,8.9900,1148926,10301294.2600
2019-01-15,sz.000546,9.0200,9.0200,8.9400,8.9900,8.9000,1278200,11485382.0000
2019-01-16,sz.000546,9.0100,9.1000,8.9700,8.9800,8.9900,1161800,10502504.0000
2019-01-17,sz.000546,8.9900,9.0700,8.9100,9.0400,8.9800,1158471,10443738.0400
2019-01-18,sz.000546,9.0400,9.0400,8.8600,9.0000,9.0400,1419087,12703154.8900
2019-01-21,sz.000546,8.9900,9.0800,8.9200,9.0100,9.0000,1148043,10331013.0200
2019-01-22,sz.000546,9.0600,9.0600,8.6600,8.7500,9.0100,1944000,17082897.0000
2019-01-23,sz.000546,8.7400,8.8500,8.6900,8.7400,8.7500,1085701,9510489.7200
2019-01-24,sz.000546,8.7400,8.8300,8.7200,8.7500,8.7400,826600,7243832.0000
2019-01-25,sz.000546,8.7900,9.0300,8.7400,8.8200,8.7500,2313780,20625829.8400
2019-01-28,sz.000546,8.8900,8.9800,8.6700,8.7600,8.8200,1291700,11379412.0000
2019-01-29,sz.000546,8.8500,8.8500,8.4200,8.4700,8.7600,1303412,11134530.6400
2019-01-30,sz.000546,8.5400,8.7500,8.3500,8.6800,8.4700,1174007,10113417.9900
2019-01-31,sz.000546,8.6600,8.6900,8.2600,8.2900,8.6800,2015550,16926048.1300
2019-02-01,sz.000546,8.3700,8.5700,8.2900,8.5400,8.2900,1234491,10440997.4900
2019-02-11,sz.000546,8.5600,8.8100,8.5600,8.7600,8.5400,1750900,15242272.0000
2019-02-12,sz.000546,8.7200,8.8900,8.6700,8.8600,8.7600,1851700,16343855.0000
2019-02-13,sz.000546,8.8500,8.9400,8.8400,8.9300,8.8600,2873650,25575073.3200
2019-02-14,sz.000546,8.9300,9.0100,8.8000,8.8600,8.9300,3136500,27835211.8600
2019-02-15,sz.000546,8.7700,8.8800,8.7700,8.8100,8.8600,1873100,16530228.0000
2019-02-18,sz.000546,8.8000,9.0900,8.7900,9.0900,8.8100,4231950,37935523.0000
2019-02-19,sz.000546,9.0800,9.6600,9.0800,9.5800,9.0900,7163695,67447710.4100
2019-02-20,sz.000546,9.6400,9.8000,9.3600,9.6400,9.5800,4671741,44790220.4200
2019-02-21,sz.000546,9.7400,9.7400,9.4400,9.4400,9.6400,3372817,32251017.8100
2019-02-22,sz.000546,9.4900,9.5200,9.3400,9.5100,9.4400,2473434,23319824.1200
2019-02-25,sz.000546,9.5700,9.8100,9.5200,9.8000,9.5100,5630028,54612236.9300
2019-02-26,sz.000546,9.7900,10.7800,9.7200,10.2000,9.8000,11195877,114875704.8600
2019-02-27,sz.000546,10.2400,10.3300,9.6700,9.8000,10.2000,8913388,89155263.3100
2019-02-28,sz.000546,9.7000,10.2200,9.7000,10.2200,9.8000,5472419,54905187.0500
2019-03-01,sz.000546,10.2200,10.5700,10.1200,10.2300,10.2200,6425290,66311162.4900
2019-03-04,sz.000546,10.1700,10.4400,10.1600,10.2200,10.2300,9673661,99355455.9600
2019-03-05,sz.000546,10.1700,10.2700,10.1300,10.2600,10.2200,4421588,45085306.2700
2019-03-06,sz.000546,10.2700,10.4500,10.2000,10.4200,10.2600,5799504,59963894.2800
2019-03-07,sz.000546,10.3600,10.5900,10.1500,10.3800,10.4200,7645226,79105754.1200
2019-03-08,sz.000546,10.1700,10.1900,9.9600,10.0000,10.3800,6766564,67948679.3800
2019-03-11,sz.000546,10.0600,10.4100,9.8600,10.3800,10.0000,7675686,77684168.8000
2019-03-12,sz.000546,10.4700,10.6200,10.2600,10.4800,10.3800,7371037,76970948.7100
2019-03-13,sz.000546,10.4100,10.4600,10.1300,10.3000,10.4800,7560962,77501528.8200
2019-03-14,sz.000546,10.2600,10.5500,10.1500,10.2300,10.3000,6753184,69994275.8400
2019-03-15,sz.000546,10.2500,10.3300,10.0200,10.1700,10.2300,5411337,55020641.3100
2019-03-18,sz.000546,10.2000,10.5000,10.1000,10.4000,10.1700,8899541,92083762.1100
2019-03-19,sz.000546,10.4500,10.8000,10.3400,10.8000,10.4000,10956824,115789593.7800
2019-03-20,sz.000546,11.0000,11.1200,10.4000,10.5100,10.8000,10259700,109139335.9800
2019-03-21,sz.000546,10.4500,10.5500,10.2800,10.3900,10.5100,8283897,85995525.3300
2019-03-22,sz.000546,10.4000,10.4200,10.2000,10.3200,10.3900,4336065,44620479.6500
2019-03-25,sz.000546,10.2300,10.3400,10.1500,10.2000,10.3200,3337255,34144267.3400
2019-03-26,sz.000546,10.2200,10.3000,9.8500,9.8600,10.2000,5415840,54364850.5000
2019-03-27,sz.000546,9.8900,9.9800,9.5500,9.9400,9.8600,3596420,35319938.6000
2019-03-28,sz.000546,9.9400,10.0200,9.7700,9.8100,9.9400,2287640,22641547.0000
2019-03-29,sz.000546,9.7500,10.0300,9.6900,9.9700,9.8100,3409328,33721785.8800
2019-04-01,sz.000546,10.0000,10.3000,10.0000,10.2900,9.9700,5343899,54628852.7000
2019-04-02,sz.000546,10.3000,10.4700,10.1800,10.3800,10.2900,7794531,80693415.0600
2019-04-03,sz.000546,10.3500,10.5500,10.2200,10.5100,10.3800,9858776,102540431.3000
2019-04-04,sz.000546,10.3100,10.4500,10.0100,10.3900,10.5100,10720978,110283019.6600
2019-04-08,sz.000546,10.5000,10.9000,10.3100,10.8600,10.3900,14333975,151944443.8300
2019-04-09,sz.000546,10.7700,10.9800,10.4600,10.6600,10.8600,8701076,92913122.5800
2019-04-10,sz.000546,10.5600,10.6200,10.2800,10.3600,10.6600,6830019,71189152.6900
2019-04-11,sz.000546,10.3700,10.4400,10.0500,10.2200,10.3600,6027884,61609695.6000
2019-04-12,sz.000546,10.2200,10.3600,10.1200,10.2900,10.2200,3667300,37627010.9800
2019-04-15,sz.000546,10.3000,10.3900,9.9200,9.9500,10.2900,6918225,70403018.0000
2019-04-16,sz.000546,9.9400,10.1600,9.8500,10.1500,9.9500,4181621,41870637.4200
2019-04-17,sz.000546,10.1900,10.5400,10.0600,10.4500,10.1500,8424578,86991254.0400
2019-04-18,sz.000546,10.4500,10.8600,10.3900,10.6100,10.4500,8457138,90058485.7300
2019-04-19,sz.000546,10.6400,10.8300,10.4100,10.6200,10.6100,6196466,65451837.7000
2019-04-22,sz.000546,10.6900,10.7500,10.4000,10.6300,10.6200,7588425,80154982.8700
2019-04-23,sz.000546,10.5000,10.6600,10.3800,10.4500,10.6300,5147261,53960947.3700
2019-04-24,sz.000546,10.4600,10.9400,10.3300,10.9300,10.4500,10913065,117153191.4700
2019-04-25,sz.000546,10.8300,10.8800,10.2500,10.2600,10.9300,9249800,97253841.2600
2019-04-26,sz.000546,10.0500,10.3500,10.0000,10.1600,10.2600,4203478,42650465.8400
2019-04-29,sz.000546,10.0500,10.6800,10.0400,10.4500,10.1600,9541843,99763629.5300
2019-04-30,sz.000546,10.4300,10.5800,10.2400,10.3500,10.4500,4289019,44545417.9900
2019-05-06,sz.000546,10.0000,10.0100,9.5000,9.5900,10.3500,6549800,64050718.8000
2019-05-07,sz.000546,9.7200,9.9900,9.6600,9.8600,9.5900,3514584,34545664.7200
2019-05-08,sz.000546,9.7500,10.1000,9.6300,9.9800,9.8600,4842918,48204443.3800
2019-05-09,sz.000546,10.0300,10.0300,9.8600,9.9100,9.9800,1204651,11969923.3700
2019-05-10,sz.000546,10.0000,10.1500,9.6000,10.0100,9.9100,2400268,23907597.1300
2019-05-13,sz.000546,9.9900,10.0800,9.9100,10.0000,10.0100,1493442,14941669.9700
2019-05-14,sz.000546,9.9000,9.9600,9.7400,9.8500,10.0000,1446707,14299874.8800
2019-05-15,sz.000546,9.9300,10.0400,9.8600,9.9600,9.8500,1128007,11215630.6500
2019-05-16,sz.000546,10.0000,10.0500,9.9200,9.9400,9.9600,1282121,12785770.0000
2019-05-17,sz.000546,9.9400,10.0400,9.7400,9.9000,9.9400,2519153,24877860.0800
2019-05-20,sz.000546,9.9000,10.0000,9.7300,10.0000,9.9000,1650369,16316556.8400
2019-05-21,sz.000546,10.0500,10.2500,10.0000,10.1700,10.0000,2286365,23230290.3400
2019-05-22,sz.000546,10.1700,10.2100,9.9100,9.9900,10.1700,1593689,15966197.8500
2019-05-23,sz.000546,9.9800,9.9800,9.7800,9.7900,9.9900,1425264,13995837.9200
2019-05-24,sz.000546,9.7700,9.8600,9.6500,9.7800,9.7900,1748563,17002978.8200
2019-05-27,sz.000546,9.7200,9.9900,9.7000,9.9600,9.7800,1407073,13876933.2800
2019-05-28,sz.000546,10.0000,10.0300,9.8800,9.9000,9.9600,3145320,31265174.5900
2019-05-29,sz.000546,9.8900,10.0000,9.8100,9.8400,9.9000,3079101,30434193.9100
2019-05-30,sz.000546,9.7500,9.8000,9.6000,9.7400,9.8400,4059801,39363660.6500
2019-05-31,sz.000546,9.7000,9.8300,9.6500,9.7000,9.7400,2428900,23665746.9800
2019-06-03,sz.000546,9.7000,9.7900,9.4500,9.4900,9.7000,1140133,10900152.5000
2019-06-04,sz.000546,9.4900,9.5600,9.3700,9.4400,9.4900,1561000,14703722.0000
2019-06-05,sz.000546,9.4300,9.5100,9.3800,9.3800,9.4400,931795,8800611.0000
2019-06-06,sz.000546,9.3800,9.4000,9.0800,9.0900,9.3800,993609,9167345.2600
2019-06-10,sz.000546,9.0900,9.1800,9.0100,9.1800,9.0900,909283,8261958.0700
2019-06-11,sz.000546,9.1200,9.4900,9.1200,9.4400,9.1800,1371207,12770168.8600
2019-06-12,sz.000546,9.4300,9.4800,9.2900,9.3500,9.4400,1070561,10021689.2900
2019-06-13,sz.000546,9.3400,9.4200,9.2500,9.3600,9.3500,2247376,20999111.2800
2019-06-14,sz.000546,9.4500,9.4500,9.0800,9.1000,9.3600,1443497,13266233.6400
2019-06-17,sz.000546,8.9600,9.2500,8.9600,9.1900,9.1000,1901363,17340353.2900
2019-06-18,sz.000546,9.2200,9.3000,9.1800,9.2100,9.1900,2032020,18724285.7800
2019-06-19,sz.000546,9.3400,9.4700,9.3000,9.4300,9.2100,1992863,18750631.8300
2019-06-20,sz.000546,9.4100,9.6900,9.3900,9.5300,9.4300,3253065,31033974.5800
2019-06-21,sz.000546,9.5000,9.6400,9.5000,9.5700,9.5300,3031100,29006915.0000
2019-06-24,sz.000546,9.5800,9.6400,9.4300,9.5100,9.5700,1896500,18086909.0000
2019-06-25,sz.000546,9.5000,9.5600,9.0300,9.3000,9.5100,3917300,36202269.0000
2019-06-26,sz.000546,9.1100,9.4400,9.1100,9.4000,9.3000,3636500,33657669.0000
2019-06-27,sz.000546,9.3900,9.7500,9.3500,9.6900,9.4000,5706618,54223762.7600
2019-06-28,sz.000546,9.7000,9.7400,9.5400,9.6400,9.6900,2109643,20271420.9400
2019-07-01,sz.000546,9.7000,9.8100,9.6300,9.6600,9.6400,2221301,21576615.7800
2019-07-02,sz.000546,9.7000,9.7200,9.5000,9.6600,9.6600,2061301,19796855.6300
2019-07-03,sz.000546,9.5600,10.0700,9.5500,9.9000,9.6600,5001520,48838213.6100
2019-07-04,sz.000546,9.9500,10.2100,9.7600,9.9900,9.9000,7366772,73243759.6300
2019-07-05,sz.000546,9.9100,10.1500,9.8400,9.9400,9.9900,3938818,39367991.7400
2019-07-08,sz.000546,9.9400,9.9400,9.6000,9.7900,9.9400,3633489,35388347.1100
2019-07-09,sz.000546,9.7800,9.7800,9.5600,9.6100,9.7900,2058307,19813530.1300
2019-07-10,sz.000546,9.6400,9.6500,9.2800,9.5000,9.6100,2819425,26678981.2300
2019-07-11,sz.000546,9.5000,9.5300,9.3400,9.4500,9.5000,1931400,18200856.0000
2019-07-12,sz.000546,9.4500,9.4500,9.3100,9.3700,9.4500,715676,6700791.6400
2019-07-15,sz.000546,9.3800,9.4500,9.1000,9.4500,9.3700,1148176,10756646.3700
2019-07-16,sz.000546,9.3400,9.4200,9.2800,9.3100,9.4500,1034456,9645903.8000
2019-07-17,sz.000546,9.3500,9.3800,9.2000,9.3800,9.2600,1325908,12303575.0400
2019-07-18,sz.000546,9.3000,9.3400,9.1800,9.1800,9.3800,1304500,12033874.0000
2019-07-19,sz.000546,9.1800,9.3500,9.1600,9.3500,9.1800,1099860,10207950.9200
2019-07-22,sz.000546,9.2900,9.3500,9.1800,9.2300,9.3500,777700,7188889.2000
