date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002667,6.5200,6.6400,6.4900,6.5600,6.5600,1981402,13008637.3400
2019-01-03,sz.002667,6.5300,6.6500,6.4500,6.4500,6.5600,2118960,13837119.8000
2019-01-04,sz.002667,6.4000,7.1000,6.0000,6.7600,6.4500,6104652,40817570.0600
2019-01-07,sz.002667,6.7700,6.9300,6.7000,6.8300,6.7600,4155630,28317745.2000
2019-01-08,sz.002667,6.8500,7.0600,6.7000,6.9300,6.8300,6142940,42572168.0000
2019-01-09,sz.002667,6.8700,7.0400,6.8700,7.0300,6.9300,5194090,36183050.1000
2019-01-10,sz.002667,6.9900,7.1900,6.8300,6.9500,7.0300,4587290,31830859.7000
2019-01-11,sz.002667,6.8700,7.3300,6.5700,7.1900,6.9500,11276961,79166428.3600
2019-01-14,sz.002667,7.0800,7.1300,6.8500,6.9800,7.1900,5481652,38160575.1000
2019-01-15,sz.002667,6.9300,7.0200,6.8800,6.9800,6.9800,3235246,22489199.7000
2019-01-16,sz.002667,6.9600,7.6800,6.8300,7.2900,6.9800,10586414,77493724.7000
2019-01-17,sz.002667,7.2100,7.4400,7.0000,7.2000,7.2900,7629530,54490719.1000
2019-01-18,sz.002667,7.1000,7.9000,7.0500,7.3100,7.2000,10659472,79088448.0900
2019-01-21,sz.002667,7.2900,7.4900,7.2200,7.3200,7.3100,5347750,39339821.8000
2019-01-22,sz.002667,7.2700,7.2800,7.0100,7.0800,7.3200,6043640,42971318.6000
2019-01-23,sz.002667,7.0100,7.1600,6.9200,7.0200,7.0800,3349300,23504597.0000
2019-01-24,sz.002667,7.0200,7.0700,6.9200,6.9900,7.0200,2572589,18028344.6100
2019-01-25,sz.002667,6.9500,7.0100,6.8200,6.8400,6.9900,2971760,20481907.1000
2019-01-28,sz.002667,6.8500,6.9100,6.6300,6.6600,6.8400,2626050,17693658.4000
2019-01-29,sz.002667,6.6600,6.6600,6.3600,6.5000,6.6600,3031710,19671060.3000
2019-01-30,sz.002667,6.4000,6.4900,6.3300,6.3600,6.5000,1454920,9325705.3000
2019-01-31,sz.002667,6.3100,6.3900,5.8800,6.0600,6.3600,2752980,16998094.6000
2019-02-01,sz.002667,6.0700,6.2900,6.0700,6.2500,6.0600,1668740,10330855.1000
2019-02-11,sz.002667,6.2500,6.4500,6.2300,6.4400,6.2500,1932700,12318765.8000
2019-02-12,sz.002667,6.3800,6.5500,6.3800,6.4800,6.4400,3040180,19668219.6000
2019-02-13,sz.002667,6.5100,6.6500,6.4600,6.6100,6.4800,3294449,21596770.6000
2019-02-14,sz.002667,6.6000,6.6800,6.5300,6.6300,6.6100,2848840,18812876.6000
2019-02-15,sz.002667,6.6300,6.6700,6.5600,6.6000,6.6300,2464570,16276576.5400
