date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002202,9.9800,10.0400,9.6500,9.6600,9.9900,17310055,169177526.4700
2019-01-03,sz.002202,9.7000,9.8700,9.0100,9.3400,9.6600,27220136,257459752.0100
2019-01-04,sz.002202,9.2000,9.8500,9.1800,9.8000,9.3400,20736355,199843171.8500
2019-01-07,sz.002202,9.9600,10.0600,9.7900,9.9800,9.8000,17691035,176134035.1100
2019-01-08,sz.002202,10.0000,10.3500,9.9000,10.2400,9.9800,16825652,171368267.5900
2019-01-09,sz.002202,10.2400,10.5800,10.1700,10.3100,10.2400,18937526,197244276.4300
2019-01-10,sz.002202,10.4000,10.9600,10.4000,10.7300,10.3100,36516660,391677906.7200
2019-01-11,sz.002202,10.6000,10.6300,10.4500,10.5500,10.7300,15295085,161049506.3600
2019-01-14,sz.002202,10.5500,10.6300,10.3200,10.4000,10.5500,12670888,132041242.3300
2019-01-15,sz.002202,10.3300,10.6400,10.2700,10.6100,10.4000,13843072,145515505.9700
2019-01-16,sz.002202,10.6100,10.7200,10.5200,10.6600,10.6100,11777138,125517442.8300
2019-01-17,sz.002202,10.7000,10.7400,10.4800,10.5200,10.6600,8896622,94512411.3200
2019-01-18,sz.002202,10.5900,11.0000,10.5300,10.9900,10.5200,22867016,248411088.6400
2019-01-21,sz.002202,11.1000,11.3800,10.8100,11.2800,10.9900,27727481,308552414.0100
2019-01-22,sz.002202,11.2300,11.2300,10.8500,10.9700,11.2800,16454292,180900394.8500
2019-01-23,sz.002202,10.8600,10.9700,10.7200,10.8700,10.9700,14791013,160178818.8400
2019-01-24,sz.002202,10.8800,11.6800,10.8800,11.4400,10.8700,34579326,392071926.2300
2019-01-25,sz.002202,11.4800,12.3500,11.4500,11.8800,11.4400,44092592,525450046.8800
2019-01-28,sz.002202,12.3500,13.0700,12.3500,13.0600,11.8800,75910794,984819484.4400
2019-01-29,sz.002202,12.7300,12.9900,12.4200,12.7800,13.0600,43100780,547039890.7200
2019-01-30,sz.002202,12.6900,13.1000,12.5300,12.9400,12.7800,40205197,519549523.7500
2019-01-31,sz.002202,12.9500,13.3500,12.6600,12.8500,12.9400,28890666,377824687.4300
2019-02-01,sz.002202,12.9600,13.8500,12.9600,13.6600,12.8500,38362767,519138054.9600
2019-02-11,sz.002202,13.6600,13.9300,13.5100,13.8400,13.6600,30005106,411566810.0000
2019-02-12,sz.002202,13.6500,13.7300,13.3700,13.6000,13.8400,27835324,376374328.6300
2019-02-13,sz.002202,13.5000,13.6900,13.2400,13.6200,13.6000,38191261,512023015.1100
2019-02-14,sz.002202,13.4000,13.8600,13.3000,13.4900,13.6200,31550402,426557154.0000
2019-02-15,sz.002202,13.5000,13.6200,13.1500,13.3300,13.4900,24023533,320551664.1000
2019-02-18,sz.002202,13.3800,14.0500,13.3800,14.0000,13.3300,35131215,484419501.9400
2019-02-19,sz.002202,14.0800,14.1600,13.2500,13.4000,14.0000,43936773,600002370.2900
2019-02-20,sz.002202,13.4100,13.7300,13.1900,13.7300,13.4000,28759485,387461166.5200
2019-02-21,sz.002202,13.7000,13.8500,13.3800,13.4200,13.7300,26702210,363778624.0600
2019-02-22,sz.002202,13.3000,13.5200,13.0900,13.4100,13.4200,30711437,408077529.5900
2019-02-25,sz.002202,13.6200,14.7500,13.6200,14.7500,13.4100,72327093,1027882841.0300
2019-02-26,sz.002202,14.9000,14.9000,14.1000,14.1800,14.7500,47676867,684335731.0900
2019-02-27,sz.002202,14.1800,14.1800,13.5400,13.7200,14.1800,38032038,523454655.4300
2019-02-28,sz.002202,13.6800,13.9500,13.5400,13.8200,13.7200,24632902,340063231.5800
2019-03-01,sz.002202,13.9000,14.2100,13.7100,14.0900,13.8200,29038547,405684394.2800
2019-03-04,sz.002202,14.1500,15.0100,13.9500,14.5500,14.0900,60070871,868766365.8100
2019-03-05,sz.002202,14.5000,15.3600,14.4200,15.3600,14.5500,49959278,754482353.4900
2019-03-06,sz.002202,15.3000,15.5000,15.1000,15.4000,15.3600,31332759,479473561.3900
2019-03-07,sz.002202,15.4000,15.4000,14.7100,14.9200,15.4000,31445498,470340323.5500
2019-03-08,sz.002202,14.6000,14.8800,14.2900,14.3100,14.9200,25618263,373310086.7700
2019-03-11,sz.002202,14.3100,15.5300,14.0800,15.4200,14.3100,41027239,619057735.9700
2019-03-12,sz.002202,15.8200,16.2000,15.4500,15.6000,15.4200,42436857,673229512.1100
2019-03-13,sz.002202,15.8800,15.9100,15.1100,15.2300,15.6000,25963693,399785562.6100
2019-03-14,sz.002202,15.2000,15.4000,14.5000,14.6400,15.2300,22351010,331844625.1000
2019-03-15,sz.002202,14.7700,15.5400,14.7700,15.2600,14.6400,38273393,584839779.0300
2019-03-18,sz.002202,15.3700,15.5700,14.4800,14.9900,15.2600,60122868,900670799.1800
2019-03-19,sz.002202,14.8600,14.9600,14.5600,14.6800,14.9900,43525030,640146083.0700
2019-03-20,sz.002202,15.1500,16.1500,15.1000,16.0500,14.6800,114100431,1805485285.7200
2019-03-21,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-22,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-25,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-26,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-27,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-28,sz.002202,16.0500,16.0500,16.0500,16.0500,16.0500,0,0.0000
2019-03-29,sz.002202,13.6500,14.7100,13.1600,14.5500,14.6200,79285243,1103619346.0200
2019-04-01,sz.002202,14.4800,14.9500,14.0000,14.6000,14.5500,105979777,1509910810.6800
2019-04-02,sz.002202,14.5200,14.5200,14.0000,14.0900,14.6000,83383644,1180649012.1700
2019-04-03,sz.002202,14.0900,14.0900,13.7900,13.9600,14.0900,48971177,682124200.5600
2019-04-04,sz.002202,14.0200,14.0400,13.5800,13.7100,13.9600,69007170,948704112.1100
2019-04-08,sz.002202,13.7100,13.8400,13.3100,13.4900,13.7100,60196483,814655805.4700
2019-04-09,sz.002202,13.5500,13.8400,13.4600,13.8000,13.4900,50904429,699417654.5600
2019-04-10,sz.002202,13.7900,13.8800,13.6000,13.6800,13.8000,34866990,477907775.5100
2019-04-11,sz.002202,13.5000,13.6500,12.9600,13.0100,13.6800,80468211,1059776400.2200
2019-04-12,sz.002202,13.0100,13.0800,12.5000,12.8600,13.0100,69170458,877772140.7000
2019-04-15,sz.002202,12.9900,13.2600,12.7800,12.7900,12.8600,52317572,680838644.8900
2019-04-16,sz.002202,12.7900,12.9700,12.5000,12.9600,12.7900,43184400,548871820.3000
2019-04-17,sz.002202,12.9600,13.3500,12.8600,13.3000,12.9600,63101326,831522575.7000
2019-04-18,sz.002202,13.2800,13.2800,13.0000,13.0300,13.3000,36091060,472085575.0900
2019-04-19,sz.002202,13.0800,13.0800,12.6800,12.8900,13.0300,36937869,474465206.6700
2019-04-22,sz.002202,12.9500,12.9700,12.6000,12.6500,12.8900,35269711,448492205.9500
2019-04-23,sz.002202,12.6900,12.6900,12.2700,12.3500,12.6500,36001434,446230986.8200
2019-04-24,sz.002202,12.3400,12.5200,12.2800,12.5200,12.3500,26613493,330298153.2300
2019-04-25,sz.002202,12.4100,12.4900,12.0800,12.1200,12.5200,27189839,333541002.2300
2019-04-26,sz.002202,12.1000,12.1100,11.3000,11.5900,12.1200,64389350,748336407.3300
2019-04-29,sz.002202,11.4900,11.6200,11.2600,11.5000,11.5900,40337184,462217212.6300
2019-04-30,sz.002202,11.4800,11.6900,11.4000,11.5600,11.5000,22391147,259337987.2200
2019-05-06,sz.002202,11.3000,11.3000,10.5000,11.0000,11.5600,49125235,533129143.3100
2019-05-07,sz.002202,10.9200,11.1300,10.7100,10.9300,11.0000,25464545,278354826.2000
2019-05-08,sz.002202,10.7600,11.0200,10.5600,10.7700,10.9300,20718689,223558877.2200
2019-05-09,sz.002202,10.7600,10.8800,10.6100,10.6400,10.7700,19086684,204527930.1100
2019-05-10,sz.002202,10.7400,11.0500,10.5600,11.0300,10.6400,38163995,415760306.6900
2019-05-13,sz.002202,10.9500,10.9500,10.6200,10.7300,11.0300,25300531,272477324.7000
2019-05-14,sz.002202,10.6000,10.9500,10.5300,10.7800,10.7300,23474435,252555200.0200
2019-05-15,sz.002202,10.9500,11.2600,10.9300,11.2300,10.7800,38745668,430480882.1400
2019-05-16,sz.002202,11.2500,11.3500,11.1100,11.2200,11.2300,26115768,293098473.1300
2019-05-17,sz.002202,11.2800,11.3000,10.6000,10.7100,11.2200,35813535,390494211.0700
2019-05-20,sz.002202,10.7300,10.7700,10.3100,10.4200,10.7100,27995727,292894653.3500
2019-05-21,sz.002202,10.5000,10.7400,10.4200,10.6800,10.4200,20456370,216790377.4100
2019-05-22,sz.002202,10.7000,10.7500,10.4800,10.5600,10.6800,21034639,222873976.9100
2019-05-23,sz.002202,10.4800,10.5500,10.3100,10.3400,10.5600,15525178,161268458.3900
2019-05-24,sz.002202,10.3700,10.6900,10.2500,10.5600,10.3400,20591571,214745001.1400
2019-05-27,sz.002202,10.6000,11.2700,10.6000,11.1900,10.5600,50877848,563555443.8700
2019-05-28,sz.002202,11.2000,11.2600,11.0700,11.1800,11.1900,31336535,349086932.7500
2019-05-29,sz.002202,11.0800,11.2600,10.9600,11.1800,11.1800,26831972,298325208.0500
2019-05-30,sz.002202,11.1600,11.2000,10.9500,11.1700,11.1800,19608592,217702001.5500
2019-05-31,sz.002202,11.2200,11.5700,11.2200,11.4300,11.1700,37270881,426340589.0800
2019-06-03,sz.002202,11.4300,11.5200,11.1400,11.4000,11.4300,27794421,314992078.9700
2019-06-04,sz.002202,11.3600,11.3800,11.0600,11.1400,11.4000,16177740,180566404.2600
2019-06-05,sz.002202,11.2500,11.3500,11.0800,11.0900,11.1400,13181597,147236249.5600
2019-06-06,sz.002202,11.0600,11.1300,10.6000,10.8400,11.0900,28423314,306801061.9300
2019-06-10,sz.002202,10.8800,10.9800,10.7200,10.8500,10.8400,18590452,201632742.3800
2019-06-11,sz.002202,10.8700,11.2900,10.8300,11.2300,10.8500,27736954,309114705.1600
2019-06-12,sz.002202,11.2300,11.2400,11.0600,11.1100,11.2300,18996566,211562663.6400
2019-06-13,sz.002202,11.1100,11.1800,10.9200,11.1200,11.1100,16773447,185831041.5900
2019-06-14,sz.002202,11.1300,11.1400,11.0000,11.0300,11.1200,16195175,179391440.6800
2019-06-17,sz.002202,11.0800,11.2300,11.0400,11.0900,11.0300,11217753,124898808.7900
2019-06-18,sz.002202,11.1600,11.2100,11.0600,11.1000,11.0900,11829678,131450568.4100
2019-06-19,sz.002202,11.3100,11.4400,11.1800,11.2300,11.1000,29059705,327795768.4600
2019-06-20,sz.002202,11.2100,11.6300,11.2000,11.4800,11.2300,39763876,455896128.3100
2019-06-21,sz.002202,11.5800,11.9200,11.5400,11.8700,11.4800,45844273,541261095.7600
2019-06-24,sz.002202,11.8000,12.3400,11.7400,12.2200,11.8700,47135831,571885667.1700
2019-06-25,sz.002202,12.2100,12.6500,12.1600,12.4100,12.2200,44563717,553541090.9200
2019-06-26,sz.002202,12.3200,12.5000,12.2700,12.3600,12.4100,20641691,255677389.3100
2019-06-27,sz.002202,12.5200,12.6600,12.1700,12.3300,12.3600,34209552,424964142.3500
2019-06-28,sz.002202,12.3900,12.4500,12.1400,12.4300,12.3300,23430378,288199772.0700
2019-07-01,sz.002202,12.7500,12.8100,12.4000,12.5600,12.4300,33028245,415460111.0600
2019-07-02,sz.002202,12.6200,12.6300,12.3100,12.3500,12.5600,20811897,258762247.5100
2019-07-03,sz.002202,12.4000,12.4200,12.2400,12.3400,12.3500,13236003,163223817.4100
2019-07-04,sz.002202,12.3400,12.4300,12.1500,12.2100,12.3400,12465725,152885366.8500
2019-07-05,sz.002202,12.3000,12.3400,12.2000,12.3000,12.2100,10018498,123137544.5100
2019-07-08,sz.002202,12.2800,12.2800,11.8200,12.0000,12.3000,19801256,237333547.4000
2019-07-09,sz.002202,11.9900,12.1600,11.9000,12.1400,12.0000,10517449,126901429.3700
2019-07-10,sz.002202,12.1300,12.7600,12.0300,12.7100,12.1400,51663075,649534456.2600
2019-07-11,sz.002202,12.7500,12.7900,12.5300,12.6000,12.7100,23871107,301929142.1600
2019-07-12,sz.002202,12.5900,13.1000,12.5200,12.9600,12.6000,38372858,495795823.2600
2019-07-15,sz.002202,12.9000,13.0000,12.6600,12.8200,12.9600,27239343,348364489.3300
2019-07-16,sz.002202,12.8500,12.8500,12.4800,12.5200,12.8200,24114999,303147993.5100
2019-07-17,sz.002202,12.4800,12.6700,12.4100,12.6300,12.5200,17487582,219388519.0100
2019-07-18,sz.002202,12.5200,12.5700,12.0900,12.1700,12.6300,23214352,285504666.0900
2019-07-19,sz.002202,12.1700,12.7500,12.1700,12.6200,12.1700,28499221,358393079.9300
2019-07-22,sz.002202,12.7300,12.7300,12.2800,12.2900,12.6200,20079634,249847149.1800
2019-07-23,sz.002202,12.3000,12.6200,12.2900,12.3900,12.2900,17734502,220524892.5500
2019-07-24,sz.002202,12.4200,12.6500,12.3600,12.4400,12.3900,19199640,240814915.3200
2019-07-25,sz.002202,12.5000,12.8000,12.4100,12.7500,12.4400,28418075,359943280.2700
2019-07-26,sz.002202,12.6600,12.7100,12.3100,12.4300,12.7500,27383272,340642075.6500
2019-07-29,sz.002202,12.4400,12.4500,12.0100,12.1000,12.4300,27720206,338284649.3700
2019-07-30,sz.002202,12.0800,12.2700,12.0700,12.1400,12.1000,15498274,188365056.9100
2019-07-31,sz.002202,12.1100,12.2000,11.9100,11.9600,12.1400,16107285,193402955.9600
