date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002785,10.1500,10.1500,8.9100,8.9500,9.5600,4944801,47714908.9300
2019-01-03,sz.002785,8.6000,8.8500,8.0600,8.6200,8.9500,2482072,21221472.9200
2019-01-04,sz.002785,8.3500,8.8400,8.3300,8.7300,8.6200,1638201,14125339.6100
2019-01-07,sz.002785,8.7600,9.2200,8.7600,8.8700,8.7300,2056300,18393288.0000
2019-01-08,sz.002785,8.8900,9.0700,8.8500,9.0400,8.8700,1189100,10666481.0000
2019-01-09,sz.002785,9.0500,9.2500,9.0100,9.1200,9.0400,1654500,15096368.0000
2019-01-10,sz.002785,9.1200,9.2300,9.0300,9.2300,9.1200,975485,8945120.0000
2019-01-11,sz.002785,9.2300,9.9500,9.2100,9.8400,9.2300,3061800,29402736.0000
2019-01-14,sz.002785,9.8400,9.9300,9.6200,9.6900,9.8400,1760000,17053341.0000
2019-01-15,sz.002785,9.6000,9.7700,9.5500,9.6300,9.6900,1688100,16297730.0000
2019-01-16,sz.002785,9.6500,9.8500,9.4500,9.6500,9.6300,1073700,10294117.0000
2019-01-17,sz.002785,9.6300,9.6500,9.4300,9.4600,9.6500,736000,7015126.0000
2019-01-18,sz.002785,9.5800,9.5800,9.3700,9.4800,9.4600,659700,6245057.0000
2019-01-21,sz.002785,9.5500,9.5500,9.4000,9.4600,9.4800,726800,6880527.0000
2019-01-22,sz.002785,9.4100,9.6900,9.4100,9.6300,9.4600,1306785,12502179.2000
2019-01-23,sz.002785,9.6300,9.6300,9.4200,9.5000,9.6300,935600,8862619.0000
2019-01-24,sz.002785,9.4100,9.5200,9.3900,9.4300,9.5000,962000,9095457.0000
2019-01-25,sz.002785,9.4400,9.5100,9.3500,9.3600,9.4300,609400,5736549.0000
2019-01-28,sz.002785,9.3700,9.4400,8.9600,9.0000,9.3600,1301500,11935118.0000
2019-01-29,sz.002785,8.9900,9.4500,8.9000,8.9500,9.0000,1278400,11565009.0000
2019-01-30,sz.002785,8.8900,9.1500,8.8800,9.0400,8.9500,1086400,9855462.0000
2019-01-31,sz.002785,8.9600,9.1400,8.7400,8.7400,9.0400,870600,7726059.0000
2019-02-01,sz.002785,8.7600,8.9800,8.7600,8.9700,8.7400,564100,5017590.0000
2019-02-11,sz.002785,8.8500,9.1100,8.8500,9.0800,8.9700,490500,4445613.0000
2019-02-12,sz.002785,9.0800,9.2300,9.0600,9.1300,9.0800,808800,7391612.0000
2019-02-13,sz.002785,9.1300,9.2100,9.1200,9.1600,9.1300,1022910,9360520.4000
2019-02-14,sz.002785,9.1600,9.1700,9.0900,9.1200,9.1600,1013900,9258320.0000
2019-02-15,sz.002785,9.1400,9.4600,9.1100,9.1800,9.1200,1446500,13296392.0000
2019-02-18,sz.002785,9.1900,9.4300,9.1800,9.3900,9.1800,1812210,16877917.3000
2019-02-19,sz.002785,9.3300,9.4300,9.2600,9.3600,9.3900,1241200,11589073.0000
2019-02-20,sz.002785,9.3600,9.5900,9.2900,9.4500,9.3600,2012800,19029050.0000
2019-02-21,sz.002785,9.4500,9.5200,9.3000,9.3500,9.4500,1594900,15006872.0000
2019-02-22,sz.002785,9.3300,9.4700,9.3000,9.4100,9.3500,1700800,15944835.0000
2019-02-25,sz.002785,9.4600,9.8000,9.3600,9.7600,9.4100,5765310,55286404.2000
2019-02-26,sz.002785,9.9000,9.9000,9.6300,9.7000,9.7600,4296801,41875613.7500
2019-02-27,sz.002785,9.6500,9.8000,9.6100,9.8000,9.7000,2553755,24845939.8500
2019-02-28,sz.002785,9.8300,10.7800,9.7600,10.7800,9.8000,8879302,92389266.1100
2019-03-01,sz.002785,10.7800,10.9200,10.4000,10.5100,10.7800,7190867,76011947.0500
2019-03-04,sz.002785,10.5100,10.8300,10.4300,10.6800,10.5100,7285966,77492302.1500
2019-03-05,sz.002785,10.4700,10.8000,10.4600,10.7700,10.6800,4914036,52402377.8600
2019-03-06,sz.002785,10.8000,11.1600,10.7000,10.9300,10.7700,6085876,66335165.4600
2019-03-07,sz.002785,10.9400,10.9600,10.7000,10.8500,10.9300,4753200,51360807.0000
2019-03-08,sz.002785,10.7900,10.7900,10.0300,10.1000,10.8500,4317200,44789810.0000
2019-03-11,sz.002785,10.1500,10.7600,10.0100,10.6200,10.1000,3668200,38646845.0000
2019-03-12,sz.002785,10.6400,10.8400,10.5400,10.7100,10.6200,5360036,57431820.4700
2019-03-13,sz.002785,10.7400,11.5600,10.5600,11.1800,10.7100,10216886,113742169.3500
2019-03-14,sz.002785,11.1000,11.2700,10.7700,10.8100,11.1800,5018251,55318288.4900
2019-03-15,sz.002785,10.6000,11.4900,10.6000,11.1700,10.8100,6431878,70762178.4500
2019-03-18,sz.002785,11.1900,11.3400,11.0000,11.1900,11.1700,4808327,53847420.1600
2019-03-19,sz.002785,11.2000,11.3000,10.7700,11.2100,11.1900,4693000,51811921.0000
2019-03-20,sz.002785,11.2600,11.2600,10.9600,11.1400,11.2100,2834200,31516066.0000
2019-03-21,sz.002785,11.1400,11.2000,11.0300,11.0500,11.1400,3423886,38011719.3300
2019-03-22,sz.002785,11.0400,11.2800,10.9800,11.1500,11.0500,3107279,34568438.5800
2019-03-25,sz.002785,11.1500,11.4100,11.0100,11.4100,11.1500,4152253,46598709.7400
2019-03-26,sz.002785,11.4100,11.9500,11.3900,11.9200,11.4100,8634238,101623054.1500
2019-03-27,sz.002785,11.8000,11.9200,11.1300,11.2400,11.9200,5522700,63122305.0000
2019-03-28,sz.002785,11.2900,11.3200,10.6000,10.7900,11.2400,4237000,46302117.0000
2019-03-29,sz.002785,10.7900,11.2000,10.7300,11.1800,10.7900,3168929,35044759.7000
2019-04-01,sz.002785,11.5000,11.7200,11.3300,11.5400,11.1800,4352301,50175246.6000
2019-04-02,sz.002785,11.6500,11.9500,11.4900,11.6400,11.5400,5065800,59295724.9200
2019-04-03,sz.002785,11.5400,11.8900,11.3700,11.7500,11.6400,3406009,39970216.5500
2019-04-04,sz.002785,11.9500,11.9600,11.4500,11.7100,11.7500,3700252,43397121.7300
2019-04-08,sz.002785,11.7100,11.8500,11.2500,11.6400,11.7100,4520910,52342621.8000
2019-04-09,sz.002785,11.6300,11.6400,11.2100,11.5100,11.6400,4067010,46512173.4000
2019-04-10,sz.002785,11.2800,12.6600,11.2800,11.7200,11.5100,6514882,77575512.8900
2019-04-11,sz.002785,11.6000,11.7800,11.3300,11.3400,11.7200,2899692,33304467.9500
2019-04-12,sz.002785,11.3600,11.4800,11.0900,11.2900,11.3400,2875443,32265624.7900
2019-04-15,sz.002785,11.4000,11.5200,11.0100,11.2400,11.2900,2060620,23313752.8200
2019-04-16,sz.002785,11.2400,11.3500,10.9600,11.3000,11.2400,2300300,25700127.0000
2019-04-17,sz.002785,11.3000,11.4000,11.2600,11.3200,11.3000,1919801,21757320.3200
2019-04-18,sz.002785,11.3800,11.3900,11.0200,11.0700,11.3200,2599455,29019723.9000
2019-04-19,sz.002785,11.0000,11.4500,10.9700,11.4400,11.0700,3230528,36342510.2400
2019-04-22,sz.002785,11.4400,11.5000,11.2000,11.2000,11.4400,2183200,24657364.0000
2019-04-23,sz.002785,11.1900,11.2200,10.9700,10.9800,11.2000,1642925,18168248.0000
2019-04-24,sz.002785,10.9800,11.1500,10.8800,11.0700,10.9800,893500,9836956.0000
2019-04-25,sz.002785,11.0000,11.2500,10.8300,10.9000,11.0700,2015500,22333589.0000
2019-04-26,sz.002785,10.8800,10.9500,10.6300,10.8200,10.9000,2152885,23163223.7500
2019-04-29,sz.002785,10.8200,11.0000,10.1500,10.6700,10.8200,2100589,22511499.8300
2019-04-30,sz.002785,10.6000,11.2000,10.3300,11.1800,10.6700,2224055,24279633.9000
2019-05-06,sz.002785,10.9500,10.9500,10.3000,10.5800,11.1800,2394401,25690239.4700
2019-05-07,sz.002785,10.7000,10.9600,10.5100,10.8400,10.5800,1806080,19432883.7300
2019-05-08,sz.002785,10.6600,10.9900,10.5200,10.7200,10.8400,815900,8810015.0000
