date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603399,9.8200,10.0000,9.5700,9.5800,9.8200,5455197,52846275.0000
2019-01-03,sh.603399,9.5000,9.5300,9.2800,9.5000,9.5800,4420772,41783529.0000
2019-01-04,sh.603399,9.3800,9.6600,9.3800,9.5300,9.5000,2634975,25182527.0000
2019-01-07,sh.603399,9.5500,9.9100,9.4500,9.8000,9.5300,5960145,57730672.0000
2019-01-08,sh.603399,9.7500,9.7900,9.6100,9.6100,9.8000,3037649,29471075.0000
2019-01-09,sh.603399,9.6000,10.0400,9.6000,9.8500,9.6100,6550794,64416792.0000
2019-01-10,sh.603399,9.8400,9.9100,9.7000,9.8000,9.8500,2497000,24488306.0000
2019-01-11,sh.603399,9.7300,9.9900,9.7300,9.8100,9.8000,2771500,27287168.0000
2019-01-14,sh.603399,9.8200,9.9900,9.6000,9.8800,9.8100,3080088,30203854.0000
2019-01-15,sh.603399,9.8700,9.9800,9.7800,9.8300,9.8800,2015900,19855732.0000
2019-01-16,sh.603399,9.8600,9.8700,9.7300,9.8200,9.8300,2602100,25520804.0000
2019-01-17,sh.603399,9.8200,9.8200,9.6900,9.7000,9.8200,3493300,34111055.0000
2019-01-18,sh.603399,9.7000,9.9000,9.7000,9.7800,9.7000,2330100,22833006.0000
2019-01-21,sh.603399,9.8700,9.8700,9.7500,9.8400,9.7800,1967600,19297763.0000
2019-01-22,sh.603399,9.8400,9.9700,9.7000,9.7300,9.8400,6924582,67751561.0000
2019-01-23,sh.603399,9.7500,9.8200,9.6500,9.7100,9.7300,2340539,22772707.0000
2019-01-24,sh.603399,9.7100,10.0200,9.6500,9.8000,9.7100,4169592,40884241.0000
2019-01-25,sh.603399,9.7900,9.9000,9.7100,9.7500,9.8000,3452400,33732793.0000
2019-01-28,sh.603399,9.7800,9.8100,9.6000,9.7500,9.7500,4100831,39820385.0000
2019-01-29,sh.603399,9.6700,9.8900,9.6000,9.7000,9.7500,3499195,34037968.0000
2019-01-30,sh.603399,9.6500,10.0200,9.2000,9.9300,9.7000,4268301,41729157.0000
2019-01-31,sh.603399,9.7700,9.9500,9.7000,9.8400,9.9300,3593581,35291932.0000
2019-02-01,sh.603399,9.6500,9.9900,9.6500,9.8500,9.8400,2340180,23047222.0000
2019-02-11,sh.603399,9.8400,10.0900,9.8000,9.9200,9.8500,5389922,53538074.0000
2019-02-12,sh.603399,9.9200,10.0100,9.9000,9.9500,9.9200,3260247,32442764.0000
2019-02-13,sh.603399,9.9600,10.5800,9.9000,10.3200,9.9500,9441622,97012285.0000
2019-02-14,sh.603399,10.3000,10.3800,10.1100,10.2200,10.3200,5252600,53770157.0000
2019-02-15,sh.603399,10.2000,10.4000,10.1800,10.3300,10.2200,5960140,61456149.0000
2019-02-18,sh.603399,10.4500,11.0000,10.3300,10.7400,10.3300,9606840,102267455.0000
2019-02-19,sh.603399,10.6600,11.1000,10.6600,10.8500,10.7400,8064174,87569513.0000
