date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601618,3.1000,3.1100,3.0400,3.0700,3.1100,20017656,61303827.0000
2019-01-03,sh.601618,3.0700,3.0800,3.0400,3.0700,3.0700,20734960,63437535.0000
2019-01-04,sh.601618,3.0500,3.1100,3.0400,3.1000,3.0700,30126457,92639771.0000
2019-01-07,sh.601618,3.1100,3.1300,3.0800,3.1100,3.1000,33381849,103519107.0000
2019-01-08,sh.601618,3.1000,3.1000,3.0300,3.0300,3.1100,68137035,208660308.0000
2019-01-09,sh.601618,3.0300,3.0900,3.0300,3.0600,3.0300,39085276,119692331.0000
2019-01-10,sh.601618,3.0600,3.0600,3.0300,3.0400,3.0600,33405645,101617321.0000
2019-01-11,sh.601618,3.0400,3.0600,3.0300,3.0500,3.0400,23650110,71994962.0000
2019-01-14,sh.601618,3.0500,3.0600,3.0300,3.0500,3.0500,27311088,83058294.0000
2019-01-15,sh.601618,3.0400,3.0600,3.0300,3.0600,3.0500,28808481,87778395.0000
2019-01-16,sh.601618,3.0600,3.0600,3.0300,3.0400,3.0600,24785748,75407411.0000
2019-01-17,sh.601618,3.0400,3.0500,3.0000,3.0200,3.0400,42889898,129385243.0000
2019-01-18,sh.601618,3.0200,3.0500,3.0100,3.0500,3.0200,43624738,132297084.0000
2019-01-21,sh.601618,3.0400,3.0600,3.0300,3.0400,3.0500,35984898,109459515.0000
2019-01-22,sh.601618,3.0500,3.0500,3.0200,3.0300,3.0400,21030995,63706730.0000
2019-01-23,sh.601618,3.0200,3.0300,3.0000,3.0100,3.0300,23845481,71823477.0000
2019-01-24,sh.601618,3.0100,3.0200,2.9700,3.0000,3.0100,27338735,81782732.0000
2019-01-25,sh.601618,3.0000,3.0100,2.9800,2.9900,3.0000,30392145,90991105.0000
2019-01-28,sh.601618,3.0000,3.0100,2.9700,2.9800,2.9900,30181348,90283818.0000
2019-01-29,sh.601618,2.9800,2.9800,2.9000,2.9200,2.9800,38862585,113691929.0000
2019-01-30,sh.601618,2.9300,2.9400,2.9000,2.9200,2.9200,16900370,49381455.0000
2019-01-31,sh.601618,2.9300,2.9400,2.9000,2.9200,2.9200,24783032,72366222.0000
2019-02-01,sh.601618,2.9300,2.9500,2.9100,2.9500,2.9200,26113258,76518473.0000
2019-02-11,sh.601618,2.9500,3.0000,2.9400,2.9900,2.9500,41907755,124534122.0000
2019-02-12,sh.601618,2.9800,3.0200,2.9800,3.0100,2.9900,39025577,117043452.0000
2019-02-13,sh.601618,3.0000,3.0700,2.9900,3.0600,3.0100,70765424,214901635.0000
2019-02-14,sh.601618,3.0500,3.0600,3.0300,3.0400,3.0600,46476516,141403470.0000
2019-02-15,sh.601618,3.0300,3.0500,3.0200,3.0300,3.0400,37150200,112623435.0000
2019-02-18,sh.601618,3.0300,3.0900,3.0300,3.0900,3.0300,80982662,248068101.0000
2019-02-19,sh.601618,3.0900,3.1200,3.0500,3.0700,3.0900,71217322,219342557.0000
2019-02-20,sh.601618,3.0700,3.0900,3.0600,3.0800,3.0700,41406908,127256677.0000
2019-02-21,sh.601618,3.0800,3.1100,3.0600,3.0700,3.0800,64903142,200129800.0000
2019-02-22,sh.601618,3.0600,3.0900,3.0400,3.0900,3.0700,48613922,148940210.0000
2019-02-25,sh.601618,3.1100,3.2700,3.0900,3.2700,3.0900,180940988,574559046.0000
