date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600490,4.6000,4.6000,4.4800,4.4800,4.5500,8129682,36899024.0000
2019-01-03,sh.600490,4.4900,4.7100,4.3200,4.6500,4.4800,22362295,102672784.0000
2019-01-04,sh.600490,4.6100,4.7700,4.5900,4.7500,4.6500,22822630,107363327.0000
2019-01-07,sh.600490,4.7500,4.8600,4.7100,4.7900,4.7500,21027148,100561536.0000
2019-01-08,sh.600490,4.7700,4.8200,4.6800,4.6900,4.7900,13404301,63687160.0000
2019-01-09,sh.600490,4.6900,4.8000,4.6600,4.7300,4.6900,17318279,82199813.0000
2019-01-10,sh.600490,4.7500,4.8400,4.7100,4.7400,4.7300,16227582,77503077.0000
2019-01-11,sh.600490,4.7200,4.9500,4.7200,4.8800,4.7400,28937776,140301393.0000
2019-01-14,sh.600490,4.8700,4.9300,4.8100,4.8400,4.8800,19788252,96234491.0000
2019-01-15,sh.600490,4.8500,4.8700,4.7400,4.8500,4.8400,15731388,75713613.0000
2019-01-16,sh.600490,4.8500,4.8500,4.7100,4.7600,4.8500,15571529,74393968.0000
2019-01-17,sh.600490,4.7600,4.8200,4.6900,4.7400,4.7600,13775630,65480722.0000
2019-01-18,sh.600490,4.7400,4.9700,4.7000,4.8600,4.7400,30073764,146505080.0000
2019-01-21,sh.600490,4.8800,4.8900,4.8100,4.8400,4.8600,17518297,84860148.0000
2019-01-22,sh.600490,4.8400,4.9000,4.7300,4.7600,4.8400,16642638,80108728.0000
2019-01-23,sh.600490,4.7100,4.7600,4.6600,4.6700,4.7600,14664208,68899672.0000
2019-01-24,sh.600490,4.6500,4.6900,4.6000,4.6500,4.6700,11340208,52650902.0000
2019-01-25,sh.600490,4.6500,4.6500,4.5100,4.5100,4.6500,16691633,76163212.0000
2019-01-28,sh.600490,4.5600,4.6300,4.5000,4.5300,4.5100,10791071,49213460.0000
2019-01-29,sh.600490,4.4700,4.5100,4.2000,4.3500,4.5300,16545472,72080931.0000
2019-01-30,sh.600490,4.3400,4.3700,4.2900,4.2900,4.3500,8641607,37412131.0000
2019-01-31,sh.600490,4.2900,4.3600,4.0100,4.0900,4.2900,20799891,86755563.0000
2019-02-01,sh.600490,4.1400,4.3200,4.1300,4.3200,4.0900,12602989,53292313.0000
2019-02-11,sh.600490,4.3800,4.4900,4.3200,4.4700,4.3200,13624578,60164940.0000
2019-02-12,sh.600490,4.4700,4.5400,4.4300,4.5000,4.4700,13070441,58728955.0000
2019-02-13,sh.600490,4.5300,4.7000,4.4900,4.6100,4.5000,21426487,98688300.0000
2019-02-14,sh.600490,4.6100,4.6500,4.5700,4.6100,4.6100,13322272,61336219.0000
2019-02-15,sh.600490,4.5900,4.6700,4.5700,4.5900,4.6100,14563709,67177151.0000
2019-02-18,sh.600490,4.6300,4.7500,4.6200,4.7400,4.5900,24455623,114789134.0000
2019-02-19,sh.600490,4.7600,4.8500,4.6900,4.8200,4.7400,30026415,143509501.0000
2019-02-20,sh.600490,4.8200,5.3000,4.8200,5.3000,4.8200,91683899,479501236.0000
2019-02-21,sh.600490,5.4000,5.8000,5.1600,5.5200,5.3000,127361671,687995557.0000
2019-02-22,sh.600490,5.3300,5.6800,5.2500,5.5100,5.5200,87211667,474561801.0000
2019-02-25,sh.600490,5.5400,5.9000,5.5400,5.8300,5.5100,103422427,593974168.0000
2019-02-26,sh.600490,5.8200,6.0400,5.6800,5.7500,5.8300,110442477,648173449.0000
2019-02-27,sh.600490,5.6800,5.9300,5.5700,5.6700,5.7500,74765278,429394398.0000
2019-02-28,sh.600490,5.7600,5.8000,5.6100,5.7200,5.6700,46894259,267182113.0000
2019-03-01,sh.600490,5.7200,5.7500,5.5500,5.6400,5.7200,39990321,225031402.0000
2019-03-04,sh.600490,5.6500,5.9000,5.6200,5.7800,5.6400,71227085,409313429.0000
2019-03-05,sh.600490,5.7600,5.9900,5.6900,5.9700,5.7800,81236833,473983251.0000
2019-03-06,sh.600490,6.0800,6.1100,5.8400,6.0200,5.9700,96658493,579349564.0000
2019-03-07,sh.600490,5.9900,6.4500,5.9100,6.1400,6.0200,96418236,595532614.0000
2019-03-08,sh.600490,5.9800,5.9900,5.5300,5.5600,6.1400,80965602,471425843.0000
2019-03-11,sh.600490,5.5600,5.7800,5.5600,5.7600,5.5600,44977815,255554889.0000
2019-03-12,sh.600490,5.7900,5.9300,5.7200,5.8100,5.7600,57003872,331445911.0000
2019-03-13,sh.600490,5.8600,6.0500,5.8000,5.8900,5.8100,78941130,469746858.0000
2019-03-14,sh.600490,5.9200,6.3000,5.8800,6.0200,5.8900,103870181,628494326.0000
2019-03-15,sh.600490,6.0100,6.3700,5.8600,6.3500,6.0200,103531713,632204637.0000
2019-03-18,sh.600490,6.3600,6.6200,6.3400,6.4300,6.3500,96993892,623241487.0000
2019-03-19,sh.600490,6.3600,6.4400,6.3000,6.4000,6.4300,47810548,304544447.0000
2019-03-20,sh.600490,6.3700,6.7400,6.3700,6.5100,6.4000,71158301,465284280.0000
2019-03-21,sh.600490,6.5700,6.6000,6.4000,6.4100,6.5100,69978648,452945124.0000
2019-03-22,sh.600490,6.4000,6.4400,6.1400,6.3300,6.4100,44562883,280838107.0000
2019-03-25,sh.600490,6.1700,6.3200,6.1100,6.1400,6.3300,36117142,223789713.0000
2019-03-26,sh.600490,6.1600,6.2100,5.8000,5.8600,6.1400,37008206,222244171.0000
2019-03-27,sh.600490,5.9400,5.9600,5.6900,5.8700,5.8600,28733121,167700425.0000
2019-03-28,sh.600490,5.8000,5.8300,5.6400,5.6800,5.8700,24039383,138228711.0000
2019-03-29,sh.600490,5.6300,5.8500,5.5700,5.8500,5.6800,27071827,155720562.0000
2019-04-01,sh.600490,5.9700,6.2200,5.9200,6.1500,5.8500,41926720,255773171.0000
2019-04-02,sh.600490,6.1800,6.3300,6.0800,6.2900,6.1500,53541302,331511904.0000
2019-04-03,sh.600490,6.2200,6.2700,6.1700,6.2500,6.2900,32762315,204155801.0000
2019-04-04,sh.600490,6.3000,6.4300,6.2000,6.4000,6.2500,58443325,368659159.0000
2019-04-08,sh.600490,6.4300,6.5500,6.1700,6.2900,6.4000,58203565,371402474.0000
2019-04-09,sh.600490,6.2800,6.2800,6.1200,6.2000,6.2900,30322307,187500963.0000
2019-04-10,sh.600490,6.2200,6.3400,6.0700,6.2700,6.2000,34429083,213817089.0000
2019-04-11,sh.600490,6.3000,6.3200,5.9900,6.0100,6.2700,33328503,205950322.0000
2019-04-12,sh.600490,5.8400,6.1100,5.8400,5.9900,6.0100,22061833,132185968.0000
2019-04-15,sh.600490,6.0900,6.1500,5.8000,5.8300,5.9900,29634220,177709833.0000
2019-04-16,sh.600490,5.8300,6.2800,5.8000,6.2600,5.8300,43427438,263482460.0000
2019-04-17,sh.600490,6.2700,6.2800,6.1500,6.1800,6.2600,34199784,212620035.0000
2019-04-18,sh.600490,6.2100,6.3800,6.1700,6.2400,6.1800,43597758,274164922.0000
2019-04-19,sh.600490,6.2900,6.4500,6.2400,6.4400,6.2400,54930029,350018677.0000
2019-04-22,sh.600490,6.4700,6.6400,6.1900,6.2000,6.4400,50726705,323801591.0000
2019-04-23,sh.600490,6.1700,6.3800,6.1000,6.3400,6.2000,39699642,248987913.0000
