date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300477,9.0700,9.0800,8.9500,9.0400,9.0600,1587497,14308178.8900
2019-01-03,sz.300477,8.9900,9.1300,8.9300,9.0500,9.0400,3605120,32660814.2000
2019-01-04,sz.300477,9.0100,9.2900,8.9000,9.2900,9.0500,5691897,52089580.7700
2019-01-07,sz.300477,9.3800,9.6000,9.2600,9.4900,9.2900,6340340,59987683.8300
2019-01-08,sz.300477,9.4100,9.4600,9.2500,9.2500,9.4900,4227380,39505660.8000
2019-01-09,sz.300477,9.1400,9.3600,9.0000,9.1800,9.2500,5829290,53431879.4300
2019-01-10,sz.300477,9.1100,9.3600,9.1000,9.2100,9.1800,8432600,77983081.7000
2019-01-11,sz.300477,9.2300,9.3000,9.1300,9.2600,9.2100,3493153,32188632.6600
2019-01-14,sz.300477,9.2500,9.5900,9.1600,9.3900,9.2600,8814320,82921685.2000
2019-01-15,sz.300477,9.3500,9.5800,9.3500,9.5000,9.3900,5789350,54880561.0000
2019-01-16,sz.300477,9.5100,9.5100,9.3500,9.3900,9.5000,3499060,32921627.6000
2019-01-17,sz.300477,9.3900,9.3900,9.0500,9.0500,9.3900,5137660,47172904.4000
2019-01-18,sz.300477,9.0900,9.3900,9.0900,9.2800,9.0500,3924183,36304377.5100
2019-01-21,sz.300477,9.2100,9.3600,9.1300,9.2200,9.2800,3604270,33404844.5000
2019-01-22,sz.300477,9.2200,9.3200,9.1000,9.1200,9.2200,4106770,37821540.9000
2019-01-23,sz.300477,9.0900,9.1900,9.0700,9.1100,9.1200,2379600,21707269.6000
2019-01-24,sz.300477,9.0900,9.1600,9.0400,9.0400,9.1100,4279560,38967115.6000
2019-01-25,sz.300477,9.1000,9.5600,9.1000,9.5600,9.0400,16170420,151457738.5000
2019-01-28,sz.300477,9.4200,9.8000,9.2600,9.4300,9.5600,16859120,161649269.2000
2019-01-29,sz.300477,9.4400,9.4800,8.4900,8.6600,9.4300,17175650,150092999.8000
2019-01-30,sz.300477,8.4900,8.8900,7.8000,8.8400,8.6600,14121549,119586359.7300
2019-01-31,sz.300477,8.4300,8.9900,8.4300,8.5100,8.8400,7703710,66395435.3000
2019-02-01,sz.300477,8.6000,8.6500,8.3800,8.5400,8.5100,6651700,56462623.2000
2019-02-11,sz.300477,8.5700,8.8500,8.5500,8.7700,8.5400,5253443,45438077.5100
2019-02-12,sz.300477,8.7100,8.8600,8.6200,8.7700,8.7700,6581982,57352590.5300
2019-02-13,sz.300477,8.8200,9.0300,8.7100,8.9400,8.7700,8027729,71397001.4600
2019-02-14,sz.300477,8.9100,9.5500,8.8300,9.2800,8.9400,11644411,107979789.6100
2019-02-15,sz.300477,9.2600,9.3700,9.1500,9.1700,9.2800,6738053,62274472.2800
2019-02-18,sz.300477,9.2000,9.4800,9.1600,9.4400,9.1700,8411359,78453230.3100
2019-02-19,sz.300477,9.6000,9.6000,9.0300,9.2100,9.4400,11530130,106626984.9200
2019-02-20,sz.300477,9.1900,9.4800,9.1600,9.2900,9.2100,11480567,107052703.6700
2019-02-21,sz.300477,9.2700,9.3400,9.0300,9.1300,9.2900,12877474,117827462.8400
2019-02-22,sz.300477,9.0800,9.2100,9.0600,9.2000,9.1300,9428339,86025995.3400
2019-02-25,sz.300477,9.2900,9.7900,9.2200,9.6700,9.2000,19350245,184118847.4600
2019-02-26,sz.300477,9.6800,10.4500,9.5100,9.9000,9.6700,25937279,256635803.3100
2019-02-27,sz.300477,9.9000,10.0600,9.5500,9.6700,9.9000,15197315,149063531.1000
2019-02-28,sz.300477,9.5500,9.7900,9.4800,9.5500,9.6700,9114528,87485271.8400
2019-03-01,sz.300477,9.6500,9.7300,9.4900,9.7000,9.5500,8551282,82120166.6600
2019-03-04,sz.300477,9.7000,10.0000,9.6500,9.8000,9.7000,15207488,149477610.1400
2019-03-05,sz.300477,9.8300,10.2000,9.8300,9.9900,9.8000,15093722,150435124.7100
2019-03-06,sz.300477,10.1600,10.4200,10.0500,10.3000,9.9900,21515050,220496882.6100
2019-03-07,sz.300477,10.1800,10.5900,10.1700,10.4400,10.3000,20636601,215115771.6900
2019-03-08,sz.300477,10.3000,10.3000,9.6200,9.6300,10.4400,18631795,186966762.5300
2019-03-11,sz.300477,9.6700,10.5900,9.6700,10.5900,9.6300,25801384,265283004.3300
2019-03-12,sz.300477,10.7700,11.1900,10.5000,10.9000,10.5900,42971705,466697310.6900
2019-03-13,sz.300477,10.7800,10.8800,10.4500,10.5400,10.9000,21317698,226711947.1600
2019-03-14,sz.300477,10.5400,10.8000,10.0400,10.2000,10.5400,17139567,177848322.3800
2019-03-15,sz.300477,10.3000,10.4300,10.0800,10.3000,10.2000,12065185,124002730.9000
2019-03-18,sz.300477,10.3200,10.4100,10.1500,10.4100,10.3000,14320252,147263578.4400
2019-03-19,sz.300477,10.4500,10.4800,10.1000,10.1900,10.4100,13005730,133127690.1000
2019-03-20,sz.300477,10.1700,10.1700,9.7000,9.9400,10.1900,16537273,164334768.8900
2019-03-21,sz.300477,9.8600,10.0700,9.8600,10.0300,9.9400,12439479,124202344.3400
2019-03-22,sz.300477,9.9900,10.0100,9.7600,9.9400,10.0300,10208839,100687704.3100
2019-03-25,sz.300477,9.8000,9.8800,9.7100,9.7300,9.9400,9300430,91102864.1000
2019-03-26,sz.300477,9.7400,9.8600,9.0200,9.2900,9.7300,13500470,128015270.0000
2019-03-27,sz.300477,9.3000,9.3800,9.0800,9.1700,9.2900,8820850,81109467.3000
2019-03-28,sz.300477,9.0500,9.3500,9.0100,9.1000,9.1700,8651990,79507561.8000
2019-03-29,sz.300477,9.1100,9.3200,9.0500,9.3100,9.1000,9362558,86303138.5400
2019-04-01,sz.300477,9.3900,10.2000,9.3500,10.0200,9.3100,22433675,219886019.7100
2019-04-02,sz.300477,10.1000,10.4200,10.0200,10.2700,10.0200,29231423,297293237.2700
2019-04-03,sz.300477,10.0900,10.3200,10.0400,10.1800,10.2700,14132578,143857212.4600
2019-04-04,sz.300477,10.3300,10.5500,10.2000,10.2600,10.1800,19528288,202134955.2600
2019-04-08,sz.300477,10.1200,10.3400,9.7200,9.8900,10.2600,18254336,182983775.8000
2019-04-09,sz.300477,9.9300,10.0000,9.8300,9.9600,9.8900,9653356,95803299.7800
2019-04-10,sz.300477,9.7500,9.7500,9.5300,9.5700,9.9600,13640652,131008544.2200
2019-04-11,sz.300477,9.5500,9.7200,9.5000,9.5500,9.5700,9824839,94386675.2600
2019-04-12,sz.300477,9.6800,9.6800,9.2600,9.3600,9.5500,7971606,75039819.3800
2019-04-15,sz.300477,9.5300,9.5300,9.3100,9.3300,9.3600,6359251,59999886.9500
2019-04-16,sz.300477,9.2300,9.6400,9.2000,9.6000,9.3300,7932044,74788004.0000
2019-04-17,sz.300477,9.6300,9.7300,9.5200,9.7100,9.6000,9774120,94118722.9800
2019-04-18,sz.300477,9.7500,9.7500,9.3200,9.4200,9.7100,8372160,79777450.4600
2019-04-19,sz.300477,9.4100,9.5100,9.2900,9.4500,9.4200,6320701,59295761.2600
2019-04-22,sz.300477,9.5200,9.5200,9.1200,9.1800,9.4500,8845536,82003523.1400
2019-04-23,sz.300477,9.1300,9.2700,9.0600,9.1900,9.1800,6416760,58894497.6000
2019-04-24,sz.300477,9.1900,9.3500,9.0600,9.3000,9.1900,6620816,60979469.1200
2019-04-25,sz.300477,9.2500,9.3100,8.8800,8.9200,9.3000,7286820,66251376.2400
2019-04-26,sz.300477,8.8500,9.0000,8.7000,8.8400,8.9200,6979369,61629439.9800
2019-04-29,sz.300477,8.8600,8.8600,8.4200,8.4900,8.8400,7648506,66023530.0400
2019-04-30,sz.300477,8.6600,8.6600,8.4900,8.6000,8.4900,3523080,30245421.7000
2019-05-06,sz.300477,8.4400,8.6000,8.0100,8.4600,8.6000,9609587,80910305.8800
2019-05-07,sz.300477,8.4600,8.5800,8.3700,8.5600,8.4600,5447640,46329652.7000
2019-05-08,sz.300477,8.4900,8.7800,8.3500,8.6300,8.5600,4459251,38383990.7800
2019-05-09,sz.300477,8.5900,8.6900,8.3800,8.4400,8.6300,4569647,39003399.6800
2019-05-10,sz.300477,8.4600,8.6300,8.3300,8.6100,8.4400,5909873,50402808.0400
2019-05-13,sz.300477,8.5200,8.5500,8.4100,8.5200,8.6100,3711976,31470739.5000
2019-05-14,sz.300477,8.5000,8.6300,8.3600,8.5400,8.5200,4076311,34869552.8800
2019-05-15,sz.300477,8.6600,8.7600,8.5500,8.5800,8.5400,5026631,43260751.5700
2019-05-16,sz.300477,8.6000,8.7200,8.5600,8.5900,8.5800,5515496,47554146.0600
2019-05-17,sz.300477,8.6000,8.6000,8.0900,8.5100,8.5900,9928360,82849770.4800
2019-05-20,sz.300477,8.4300,8.6000,8.2300,8.5500,8.5100,6733288,56680050.4200
2019-05-21,sz.300477,8.4000,8.6800,8.3100,8.6000,8.5500,8150124,69619153.0600
2019-05-22,sz.300477,8.5900,8.6100,8.4300,8.5400,8.6000,5316160,45355384.4000
2019-05-23,sz.300477,8.5100,8.5100,8.3700,8.5100,8.5400,4135460,34854457.2000
2019-05-24,sz.300477,8.4500,8.5300,8.4200,8.5200,8.5100,3548850,30111197.4800
2019-05-27,sz.300477,8.5000,8.5600,8.3900,8.5200,8.5200,5185042,44042589.6200
2019-05-28,sz.300477,8.5100,8.5400,8.4400,8.5100,8.5200,3903380,33142689.0000
2019-05-29,sz.300477,8.5000,8.5000,8.4200,8.5000,8.5100,3855625,32640780.0000
2019-05-30,sz.300477,8.4900,8.5000,8.3700,8.5000,8.5000,4365635,36851978.5000
2019-05-31,sz.300477,8.4800,8.5300,8.3900,8.5000,8.5000,5920020,50099036.3000
2019-06-03,sz.300477,8.4700,8.4900,8.3300,8.4900,8.5000,4967393,41891054.4000
2019-06-04,sz.300477,8.4600,8.4700,8.3500,8.4700,8.4900,6054066,50937957.6900
2019-06-05,sz.300477,8.4400,9.3000,8.4200,8.8100,8.4700,15896122,140892829.3600
2019-06-06,sz.300477,8.7000,8.9700,8.6000,8.7300,8.8100,7039246,61704140.2000
2019-06-10,sz.300477,8.7900,8.8900,8.7000,8.8200,8.7300,6163110,54315464.6000
2019-06-11,sz.300477,8.7600,8.9300,8.7400,8.8300,8.8200,10324442,91319457.0600
2019-06-12,sz.300477,8.8100,8.8800,8.6400,8.6400,8.8300,5916232,51776495.9200
2019-06-13,sz.300477,8.5500,8.7100,8.1100,8.6500,8.6400,9273751,79478142.3700
2019-06-14,sz.300477,8.6200,8.7200,8.4600,8.5100,8.6500,5910977,50841994.6700
2019-06-17,sz.300477,8.4100,8.5800,8.3100,8.5000,8.5100,6662740,56140781.7000
2019-06-18,sz.300477,8.5000,8.6500,8.3300,8.4800,8.5000,5493200,46450272.6000
2019-06-19,sz.300477,8.5000,8.5800,8.4300,8.4800,8.4800,4797120,40619532.9000
2019-06-20,sz.300477,8.4700,8.5300,8.4100,8.5000,8.4800,7466703,63260134.1800
2019-06-21,sz.300477,8.5000,8.5600,8.4800,8.5000,8.5000,6211280,52868545.5000
2019-06-24,sz.300477,8.5000,8.8400,8.5000,8.5500,8.5000,5612204,48331016.0800
2019-06-25,sz.300477,8.5900,8.6500,8.4500,8.5000,8.5500,4570680,38928741.1000
2019-06-26,sz.300477,8.4900,8.7400,8.4100,8.5500,8.5000,11875342,101561698.6400
2019-06-27,sz.300477,8.5500,8.7500,8.5500,8.5600,8.5500,6174410,53176497.1000
2019-06-28,sz.300477,8.5600,8.5900,8.4100,8.4800,8.5600,3404360,28864497.5600
2019-07-01,sz.300477,8.5200,8.6700,8.5000,8.5300,8.4800,6205670,53068363.0000
2019-07-02,sz.300477,8.6000,8.6000,8.4800,8.5200,8.5300,5475380,46648617.6000
2019-07-03,sz.300477,8.5100,8.5100,8.4300,8.5000,8.5200,4056113,34338767.1800
2019-07-04,sz.300477,8.4800,8.5000,8.4400,8.5000,8.5000,5069541,42952493.4400
2019-07-05,sz.300477,8.5000,8.5000,8.4300,8.4700,8.5000,3297504,27885875.3600
2019-07-08,sz.300477,8.4600,8.4600,8.2300,8.4500,8.4700,6028000,50301634.7000
