date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002455,5.0500,5.0800,4.9800,5.0100,5.0300,1611500,8087579.0000
2019-01-03,sz.002455,5.0100,5.0500,4.9300,5.0100,5.0100,1342900,6721962.0000
2019-01-04,sz.002455,5.0000,5.1000,4.9300,5.1000,5.0100,1487500,7506912.0000
2019-01-07,sz.002455,5.1100,5.1800,5.0800,5.1600,5.1000,1634726,8399565.8600
2019-01-08,sz.002455,5.1800,5.1800,5.1300,5.1500,5.1600,1026800,5285093.0000
2019-01-09,sz.002455,5.1900,5.2200,5.1100,5.1300,5.1500,2593700,13382142.0000
2019-01-10,sz.002455,5.1200,5.1600,5.0500,5.0600,5.1300,1626900,8299745.0000
2019-01-11,sz.002455,5.0900,5.1200,5.0500,5.1100,5.0600,1422300,7239996.0000
2019-01-14,sz.002455,5.0900,5.1600,5.0900,5.1300,5.1100,1081904,5546585.4400
2019-01-15,sz.002455,5.1700,5.1700,5.1000,5.1500,5.1300,1654500,8494556.0000
2019-01-16,sz.002455,5.1500,5.1500,5.0600,5.0600,5.1500,1897764,9697461.4800
2019-01-17,sz.002455,5.0600,5.0900,5.0100,5.0200,5.0600,1759484,8876124.8000
2019-01-18,sz.002455,5.0200,5.1000,5.0100,5.0700,5.0200,1301500,6576933.0000
2019-01-21,sz.002455,5.0700,5.1100,5.0400,5.0700,5.0700,1233480,6268820.6000
2019-01-22,sz.002455,5.0500,5.1100,4.9500,5.0400,5.0700,2937380,14717164.2000
2019-01-23,sz.002455,5.0000,5.0500,4.9500,5.0000,5.0400,2051900,10253267.0000
2019-01-24,sz.002455,5.0100,5.0100,4.9600,4.9700,5.0000,2011800,10017488.0000
2019-01-25,sz.002455,4.9700,5.0100,4.9300,4.9400,4.9700,2238400,11120754.0000
2019-01-28,sz.002455,4.9600,4.9900,4.7500,4.9400,4.9400,5233723,25480872.3500
2019-01-29,sz.002455,4.9000,4.9000,4.7300,4.8000,4.9400,3731085,17951671.4300
2019-01-30,sz.002455,4.7900,4.8200,4.7100,4.7100,4.8000,2882643,13767481.2100
2019-01-31,sz.002455,4.7100,4.7500,4.6000,4.6800,4.7100,3681000,17178321.0000
2019-02-01,sz.002455,4.6800,4.8700,4.6600,4.8200,4.6800,3148800,15063887.0000
2019-02-11,sz.002455,4.8100,4.8800,4.8000,4.8700,4.8200,2288400,11099540.0000
2019-02-12,sz.002455,5.0300,5.1100,4.9000,4.9300,4.8700,5697720,28380532.8000
2019-02-13,sz.002455,4.9300,5.0200,4.9100,4.9900,4.9300,7285220,36143240.8000
2019-02-14,sz.002455,4.9900,5.2900,4.9700,5.2200,4.9900,21639315,111496196.2800
2019-02-15,sz.002455,5.2500,5.4700,5.1300,5.3300,5.2200,25571420,135008695.8500
2019-02-18,sz.002455,5.3300,5.6700,5.2800,5.6700,5.3300,26677959,145591646.7200
2019-02-19,sz.002455,5.6000,5.8900,5.5400,5.7900,5.6700,25781171,146536421.7900
2019-02-20,sz.002455,5.7900,5.8300,5.5900,5.6600,5.7900,16737085,95495765.0000
2019-02-21,sz.002455,5.6500,5.6500,5.4900,5.5700,5.6600,17060028,94975164.4600
2019-02-22,sz.002455,5.5700,5.6100,5.4500,5.5800,5.5700,15019869,83101136.8300
2019-02-25,sz.002455,5.6700,6.0700,5.5500,5.8900,5.5800,29933397,171611080.0400
2019-02-26,sz.002455,5.9500,5.9500,5.7000,5.7000,5.8900,18923716,109494586.0300
2019-02-27,sz.002455,5.7400,5.8200,5.6200,5.6700,5.7000,12819451,73187418.0400
2019-02-28,sz.002455,5.6800,5.7200,5.6200,5.7000,5.6700,7060199,40042400.6900
2019-03-01,sz.002455,5.6900,5.7000,5.5600,5.6500,5.7000,8968589,50600595.7000
2019-03-04,sz.002455,5.6900,5.8500,5.6600,5.7200,5.6500,13946380,80209119.1000
2019-03-05,sz.002455,5.7100,5.8400,5.6400,5.8300,5.7200,12421766,71386843.0200
2019-03-06,sz.002455,5.9900,6.0000,5.7800,5.9200,5.8300,14136791,83072744.2300
2019-03-07,sz.002455,5.9000,6.1600,5.8100,6.1200,5.9200,19197635,115552146.9800
2019-03-08,sz.002455,5.9700,6.0500,5.6800,5.7400,6.1200,17289921,101751108.7700
2019-03-11,sz.002455,5.7500,6.0300,5.7200,6.0300,5.7400,12962154,76153054.9300
2019-03-12,sz.002455,6.1100,6.4900,6.0100,6.3900,6.0300,27159084,167694434.0500
2019-03-13,sz.002455,6.3500,6.3900,6.1200,6.2000,6.3900,22338784,139736623.6400
2019-03-14,sz.002455,6.1600,6.1900,5.8000,5.9900,6.2000,12958191,77420246.3200
2019-03-15,sz.002455,6.0300,6.2100,6.0100,6.1000,5.9900,10971527,66974470.9300
2019-03-18,sz.002455,6.1600,6.2400,6.0700,6.1900,6.1000,9840942,60671629.8800
2019-03-19,sz.002455,6.1900,6.2500,6.1200,6.1800,6.1900,9716309,60036126.3800
2019-03-20,sz.002455,6.1800,6.4900,6.0900,6.1900,6.1800,12827602,80293876.7800
2019-03-21,sz.002455,6.1600,6.2300,6.1200,6.2000,6.1900,11182600,69190186.0000
2019-03-22,sz.002455,6.1800,6.1900,5.9900,6.1500,6.2000,11356566,69294858.6200
2019-03-25,sz.002455,6.0600,6.1300,5.9700,5.9700,6.1500,10098944,61031712.2400
2019-03-26,sz.002455,6.0000,6.0400,5.7500,5.7700,5.9700,8440106,49591015.0600
2019-03-27,sz.002455,5.8200,5.8500,5.7000,5.7600,5.7700,5994100,34578261.6400
2019-03-28,sz.002455,5.7000,5.8700,5.6700,5.7600,5.7600,5800868,33475797.3200
2019-03-29,sz.002455,5.7600,5.9600,5.6800,5.9500,5.7600,9157424,53504919.8000
2019-04-01,sz.002455,6.0000,6.1900,5.9900,6.1300,5.9500,14202827,86775251.9900
2019-04-02,sz.002455,6.1700,6.2900,6.1300,6.2000,6.1300,14738987,91603510.9600
2019-04-03,sz.002455,6.2000,6.3100,6.1500,6.2400,6.2000,12939185,80816746.9800
2019-04-04,sz.002455,6.3200,6.8600,6.2700,6.6000,6.2400,33028473,215707401.5000
2019-04-08,sz.002455,7.0200,7.1800,6.6500,6.7500,6.6000,32052579,220050614.4100
2019-04-09,sz.002455,6.6600,6.6900,6.3500,6.5500,6.7500,16041309,104733806.9200
2019-04-10,sz.002455,6.5000,6.5800,6.4000,6.4700,6.5500,11938894,77343260.7000
2019-04-11,sz.002455,6.5400,6.6100,6.4400,6.4800,6.4700,11249240,73490125.8000
2019-04-12,sz.002455,6.4800,6.5100,6.3100,6.3300,6.4800,8430944,53864468.8400
2019-04-15,sz.002455,6.4200,6.5300,6.3300,6.3600,6.3300,7013404,45209358.5600
2019-04-16,sz.002455,6.3000,6.4800,6.2000,6.4700,6.3600,6583800,41946155.6000
2019-04-17,sz.002455,6.4400,6.6300,6.4000,6.5300,6.4700,9627864,62808057.4000
2019-04-18,sz.002455,6.4800,6.6200,6.4700,6.4900,6.5300,6828400,44683182.0000
2019-04-19,sz.002455,6.5000,6.7900,6.4600,6.7700,6.4900,15867683,105722417.4600
2019-04-22,sz.002455,6.8600,7.0700,6.6300,6.6700,6.7700,19084292,130379835.6600
2019-04-23,sz.002455,6.6200,6.6700,6.3600,6.3800,6.6700,9472718,61582753.7200
2019-04-24,sz.002455,6.4000,6.6400,6.3600,6.6400,6.3800,8492175,55415514.0500
2019-04-25,sz.002455,6.7100,6.8000,6.3200,6.3500,6.6400,10381940,68053613.2000
2019-04-26,sz.002455,6.3500,6.3600,6.1500,6.2600,6.3500,7372900,45914067.0000
2019-04-29,sz.002455,6.1800,6.2500,5.7400,5.7700,6.2600,7869100,46991788.0000
2019-04-30,sz.002455,5.7400,5.9400,5.7200,5.8700,5.7700,3201145,18783241.6000
2019-05-06,sz.002455,5.6800,5.7900,5.3300,5.5800,5.8700,6622120,36851306.5500
2019-05-07,sz.002455,5.5700,5.6600,5.4300,5.5700,5.5800,3916700,21743451.0000
2019-05-08,sz.002455,5.4900,5.5900,5.3800,5.4000,5.5700,3311606,18157273.8200
2019-05-09,sz.002455,5.4000,5.4800,5.3700,5.4100,5.4000,2503613,13566866.7500
2019-05-10,sz.002455,5.4500,5.6100,5.3600,5.6000,5.4100,4718696,26100725.0800
2019-05-13,sz.002455,5.5500,5.6200,5.5000,5.5800,5.6000,2618200,14546039.0000
2019-05-14,sz.002455,5.4900,5.6200,5.4700,5.5500,5.5800,2984169,16540650.5000
2019-05-15,sz.002455,5.5800,5.8500,5.5600,5.7700,5.5500,6256875,35805449.1300
2019-05-16,sz.002455,5.7500,5.8300,5.7100,5.8200,5.7700,3956312,22885911.4200
2019-05-17,sz.002455,5.8500,5.9000,5.6700,5.7200,5.8200,5782300,33445082.6400
2019-05-20,sz.002455,5.7500,5.7600,5.5800,5.7400,5.7200,3154369,17860045.9200
2019-05-21,sz.002455,5.7600,5.8400,5.7100,5.8300,5.7400,3490504,20215657.1200
2019-05-22,sz.002455,5.8300,5.8900,5.7200,5.8200,5.8300,3468045,20076816.4700
2019-05-23,sz.002455,5.8400,5.8400,5.6800,5.7700,5.8200,2442900,14018541.0000
2019-05-24,sz.002455,5.7100,5.7700,5.6800,5.7400,5.7700,2200500,12593149.0000
2019-05-27,sz.002455,5.7400,6.0400,5.7000,6.0000,5.7400,6567000,38871044.4400
2019-05-28,sz.002455,6.0300,6.4600,5.9600,6.3900,6.0000,14412698,91073605.9900
2019-05-29,sz.002455,6.3500,6.8000,6.3000,6.5900,6.2900,20591207,134934460.7800
2019-05-30,sz.002455,6.5900,6.7800,6.4500,6.7000,6.5900,15534021,103689558.0400
2019-05-31,sz.002455,6.8200,6.8200,6.5600,6.7800,6.7000,11654926,78375292.7200
2019-06-03,sz.002455,6.8500,7.0600,6.7600,7.0100,6.7800,13831928,95968767.4800
2019-06-04,sz.002455,7.0200,7.1000,6.6000,6.8200,7.0100,19134404,131565883.9400
2019-06-05,sz.002455,6.9000,7.0000,6.6400,6.7200,6.8200,10495253,71029425.7800
2019-06-06,sz.002455,6.8000,6.8000,6.5800,6.6100,6.7200,6538806,43576015.3800
2019-06-10,sz.002455,6.7300,6.7700,6.2800,6.5300,6.6100,9202335,59935274.8000
2019-06-11,sz.002455,6.5800,6.8000,6.4600,6.6500,6.5300,10564267,70292839.5600
2019-06-12,sz.002455,6.7000,6.7400,6.4800,6.6400,6.6500,8098906,53409757.2200
2019-06-13,sz.002455,6.5800,6.6200,6.5100,6.5200,6.6400,7749456,50813150.8900
2019-06-14,sz.002455,6.5200,6.5800,6.3700,6.4500,6.5200,6035099,39147893.5700
2019-06-17,sz.002455,6.4600,6.4800,6.2600,6.2700,6.4500,5374500,34020337.0000
