date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-03,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-04,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-07,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-08,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-09,sz.300080,4.3500,4.3500,4.3500,4.3500,4.3500,0,0.0000
2019-01-10,sz.300080,4.7900,4.7900,4.7900,4.7900,4.3500,198300,949857.0000
2019-01-11,sz.300080,5.2700,5.2700,5.2700,5.2700,4.7900,652661,3439523.4700
2019-01-14,sz.300080,5.8000,5.8000,5.8000,5.8000,5.2700,476589,2764216.2000
2019-01-15,sz.300080,6.3800,6.3800,6.3800,6.3800,5.8000,799560,5101192.8000
2019-01-16,sz.300080,7.0200,7.0200,6.8800,7.0200,6.3800,38288556,268450272.1900
2019-01-17,sz.300080,7.3900,7.6900,6.9100,7.2100,7.0200,101204987,729912206.6000
2019-01-18,sz.300080,7.2000,7.8800,7.0300,7.2600,7.2100,85116812,631353655.8800
2019-01-21,sz.300080,7.5500,7.9900,7.4800,7.9900,7.2600,25729461,199699910.6100
2019-01-22,sz.300080,8.2800,8.5000,7.2000,7.2500,7.9900,83286500,647473453.5600
2019-01-23,sz.300080,7.4500,7.9000,7.1600,7.8600,7.2500,72746823,548302082.6200
2019-01-24,sz.300080,7.5800,7.6800,7.2600,7.4700,7.8600,51695639,384918248.2700
2019-01-25,sz.300080,7.3900,7.5000,6.7200,6.7200,7.4700,51312649,359843903.8600
2019-01-28,sz.300080,6.6900,6.7800,6.1700,6.3000,6.7200,40742925,261190701.8500
2019-01-29,sz.300080,6.3000,6.3900,6.0600,6.1500,6.3000,26898240,166918921.6000
2019-01-30,sz.300080,6.0400,6.1800,5.7400,5.8000,6.1500,28749300,170907077.2000
2019-01-31,sz.300080,5.8700,5.9200,5.2800,5.4800,5.8000,36537930,203807315.1700
2019-02-01,sz.300080,5.5400,5.6200,5.4400,5.5700,5.4800,25909798,143612923.3100
2019-02-11,sz.300080,5.6300,5.8500,5.5700,5.8400,5.5700,25893937,147849051.6500
2019-02-12,sz.300080,5.8000,6.0500,5.7300,5.9700,5.8400,30157336,177108977.6900
