date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600346,13.2800,13.5800,13.0400,13.4500,13.2500,13689755,183226622.0000
2019-01-03,sh.600346,13.4200,13.5500,13.3000,13.4900,13.4500,10867590,146207875.0000
2019-01-04,sh.600346,13.3900,13.7000,13.2600,13.6400,13.4900,12874325,174013293.0000
2019-01-07,sh.600346,13.7000,13.8100,13.4100,13.7100,13.6400,12036322,164186606.0000
2019-01-08,sh.600346,13.7400,13.7500,13.4900,13.5500,13.7100,6583436,89662568.0000
2019-01-09,sh.600346,13.5500,13.7800,13.5000,13.6600,13.5500,8831118,120673234.0000
2019-01-10,sh.600346,13.7000,13.7900,13.5300,13.6100,13.6600,7397027,100903320.0000
2019-01-11,sh.600346,13.6000,13.6700,13.3000,13.5900,13.6100,11306959,152267121.0000
2019-01-14,sh.600346,13.6000,13.6000,13.2800,13.3000,13.5900,6780356,90870739.0000
2019-01-15,sh.600346,13.3200,13.3800,13.1200,13.2400,13.3000,7698987,101707217.0000
2019-01-16,sh.600346,13.2700,13.4000,13.2100,13.3000,13.2400,4581379,60908539.0000
2019-01-17,sh.600346,13.3100,13.3100,12.9700,13.0300,13.3000,4987749,65571178.0000
2019-01-18,sh.600346,13.0700,13.2300,13.0600,13.1300,13.0300,4279869,56247580.0000
2019-01-21,sh.600346,13.2400,13.5700,13.1600,13.4300,13.1300,9307468,124655472.0000
2019-01-22,sh.600346,13.4600,13.5200,13.2500,13.3000,13.4300,3689647,49326650.0000
2019-01-23,sh.600346,13.1800,13.3400,13.1500,13.2400,13.3000,2132915,28235311.0000
2019-01-24,sh.600346,13.1700,13.2600,13.0100,13.0700,13.2400,4730059,61827299.0000
2019-01-25,sh.600346,13.0800,13.2900,13.0500,13.1500,13.0700,3757549,49448522.0000
2019-01-28,sh.600346,13.1700,13.3700,13.1700,13.2900,13.1500,4990364,66419394.0000
2019-01-29,sh.600346,13.3100,13.3100,13.0000,13.1000,13.2900,4159017,54576993.0000
2019-01-30,sh.600346,13.1000,13.2200,13.0100,13.0300,13.1000,3492875,45765896.0000
2019-01-31,sh.600346,13.0800,13.0900,12.6500,12.8000,13.0300,6626089,85002794.0000
2019-02-01,sh.600346,12.9900,13.2600,12.8000,13.1900,12.8000,7930032,103937850.0000
2019-02-11,sh.600346,13.2100,13.3200,13.1500,13.3000,13.1900,4159427,55128071.0000
2019-02-12,sh.600346,13.3100,13.7800,13.2900,13.7700,13.3000,10205516,138585051.0000
2019-02-13,sh.600346,13.9500,13.9500,13.7000,13.8700,13.7700,9364447,129402772.0000
2019-02-14,sh.600346,13.9000,14.5400,13.7900,14.3800,13.8700,14570757,209049210.0000
2019-02-15,sh.600346,14.3800,14.4800,14.0900,14.1500,14.3800,6703256,95407521.0000
2019-02-18,sh.600346,14.3600,14.4500,14.1400,14.3400,14.1500,11313889,161502024.0000
2019-02-19,sh.600346,14.3000,14.3000,14.0400,14.2200,14.3400,8200949,116009281.0000
2019-02-20,sh.600346,14.2100,14.2500,13.9400,14.0800,14.2200,4434587,62477190.0000
2019-02-21,sh.600346,14.0500,14.2000,13.9000,14.0300,14.0800,8743801,123137866.0000
2019-02-22,sh.600346,13.9200,14.3000,13.9200,14.1900,14.0300,8558172,121087968.0000
2019-02-25,sh.600346,14.3000,15.2900,14.3000,15.1500,14.1900,22186758,328892330.0000
2019-02-26,sh.600346,15.1500,15.2800,14.9500,15.0000,15.1500,14867131,225080120.0000
2019-02-27,sh.600346,15.0000,15.2000,14.8100,14.9900,15.0000,9004412,135140766.0000
2019-02-28,sh.600346,14.9900,15.0800,14.8000,14.9300,14.9900,5402912,80701785.0000
2019-03-01,sh.600346,14.8900,14.9700,14.6200,14.9100,14.9300,8498837,125674317.0000
2019-03-04,sh.600346,14.9800,15.1700,14.8600,14.9200,14.9100,12655759,189918010.0000
2019-03-05,sh.600346,14.9500,15.2500,14.7600,15.2400,14.9200,11639443,175043188.0000
2019-03-06,sh.600346,15.2600,15.5500,15.1700,15.4900,15.2400,13239094,204363221.0000
2019-03-07,sh.600346,15.6100,15.6500,15.2600,15.2900,15.4900,12324006,190339295.0000
2019-03-08,sh.600346,15.1500,15.1600,14.6100,14.7400,15.2900,10971793,162997729.0000
