date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002091,5.6000,5.6800,5.5000,5.5200,5.6000,6806105,37948443.8000
2019-01-03,sz.002091,5.5500,5.7000,5.5400,5.5900,5.5200,7584785,42624388.0900
2019-01-04,sz.002091,5.5000,5.8100,5.4600,5.7800,5.5900,15263159,86599699.9700
2019-01-07,sz.002091,5.7900,5.8700,5.7000,5.8500,5.7800,16241008,93866340.7700
2019-01-08,sz.002091,5.8100,5.8200,5.7100,5.7300,5.8500,9792980,56294021.8200
2019-01-09,sz.002091,5.7400,5.8200,5.6800,5.7000,5.7300,11195850,64419000.2600
2019-01-10,sz.002091,5.6700,5.7400,5.6300,5.6400,5.7000,7624299,43318861.4200
2019-01-11,sz.002091,5.6500,5.7600,5.5900,5.7500,5.6400,9108506,51916721.5700
2019-01-14,sz.002091,5.7500,5.8100,5.7100,5.7700,5.7500,7076544,40753197.9500
2019-01-15,sz.002091,5.7600,6.1400,5.7200,5.9800,5.7700,18956208,112529630.9200
2019-01-16,sz.002091,5.9700,5.9700,5.8300,5.8800,5.9800,13029408,76729202.2500
2019-01-17,sz.002091,5.8600,5.8700,5.7200,5.7300,5.8800,7576504,43883840.7400
2019-01-18,sz.002091,5.7200,5.8000,5.6600,5.7600,5.7300,6597746,37889061.9500
2019-01-21,sz.002091,5.7600,5.8100,5.7300,5.7700,5.7600,4992265,28796706.7500
2019-01-22,sz.002091,5.7700,5.8800,5.6300,5.6600,5.7700,9894232,56784032.2200
2019-01-23,sz.002091,5.6600,5.7200,5.6400,5.7000,5.6600,3977667,22604540.0500
2019-01-24,sz.002091,5.6800,5.8200,5.6100,5.8200,5.7000,9130411,52453995.1000
2019-01-25,sz.002091,5.8000,6.0000,5.7600,5.8800,5.8200,15800674,93031001.0500
2019-01-28,sz.002091,5.8800,5.9300,5.7800,5.8000,5.8800,7824628,45669164.2200
2019-01-29,sz.002091,5.7800,5.7900,5.5800,5.6200,5.8000,8365293,47295247.2800
2019-01-30,sz.002091,5.6000,5.6600,5.4800,5.5000,5.6200,6247032,34901355.4000
2019-01-31,sz.002091,5.5100,5.6300,5.5100,5.5400,5.5000,6044933,33594522.6400
2019-02-01,sz.002091,5.5200,5.6600,5.5200,5.6300,5.5400,5581053,31287066.8600
2019-02-11,sz.002091,5.6500,5.8700,5.6400,5.8200,5.6300,9583445,55072996.9500
2019-02-12,sz.002091,5.8000,5.9000,5.7700,5.8600,5.8200,11009307,64423321.6700
2019-02-13,sz.002091,5.8400,6.0400,5.8200,6.0000,5.8600,23359525,138937082.1100
2019-02-14,sz.002091,5.9900,6.1500,5.9100,6.0000,6.0000,19769747,119166599.8800
2019-02-15,sz.002091,6.2200,6.6000,6.1700,6.2000,6.0000,40873004,258446329.8500
2019-02-18,sz.002091,6.2900,6.5300,6.1500,6.4800,6.2000,35726635,226378238.9200
2019-02-19,sz.002091,6.4200,6.4800,6.2600,6.3800,6.4800,22077004,140640990.3100
2019-02-20,sz.002091,6.3300,6.4700,6.2800,6.3600,6.3800,14123574,89704674.1600
2019-02-21,sz.002091,6.3600,6.4100,6.1900,6.2500,6.3600,19375049,122518903.3500
2019-02-22,sz.002091,6.2900,6.3900,6.1500,6.3700,6.2500,16701419,105352287.4300
2019-02-25,sz.002091,6.4300,6.6500,6.3900,6.6400,6.3700,28455057,186233421.3200
2019-02-26,sz.002091,6.6700,6.7000,6.4600,6.5600,6.6400,28748133,189751785.2400
2019-02-27,sz.002091,6.5100,6.6400,6.3900,6.4600,6.5600,19343251,126284400.2000
2019-02-28,sz.002091,6.4700,6.6500,6.4700,6.5800,6.4600,17102322,112555104.8200
2019-03-01,sz.002091,6.6100,6.6200,6.4500,6.5500,6.5800,11999730,78049664.2500
2019-03-04,sz.002091,6.5600,6.9200,6.5600,6.6300,6.5500,25772359,173225779.3600
2019-03-05,sz.002091,6.6000,6.8200,6.5700,6.7900,6.6300,22751734,152900214.2200
2019-03-06,sz.002091,6.8200,6.9300,6.6900,6.9000,6.7900,25880077,176248784.8300
2019-03-07,sz.002091,6.8500,6.9200,6.7700,6.8400,6.9000,26038156,177963402.8000
2019-03-08,sz.002091,6.6500,6.7900,6.3800,6.3900,6.8400,30705384,202269043.7000
2019-03-11,sz.002091,6.4100,6.6200,6.4100,6.6100,6.3900,20808063,135449931.3200
2019-03-12,sz.002091,6.6500,6.8100,6.6200,6.6800,6.6100,29320724,196922133.8100
2019-03-13,sz.002091,6.6700,6.8700,6.6200,6.6700,6.6800,28490086,192751120.9300
2019-03-14,sz.002091,6.6000,6.7700,6.4800,6.5500,6.6700,16985426,112101990.5100
2019-03-15,sz.002091,6.5600,6.8100,6.5600,6.7900,6.5500,21135951,142037892.5500
2019-03-18,sz.002091,6.8200,7.1700,6.7200,7.0700,6.7900,35447690,246385817.1400
2019-03-19,sz.002091,7.0200,7.0500,6.8900,6.9500,7.0700,22700927,157863838.2900
2019-03-20,sz.002091,6.9200,6.9700,6.7700,6.9000,6.9500,18414849,126295681.0900
2019-03-21,sz.002091,6.8900,6.9600,6.8300,6.9000,6.9000,17619078,121631560.4700
2019-03-22,sz.002091,6.8900,7.0200,6.8200,6.9900,6.9000,23711617,164271357.4600
2019-03-25,sz.002091,6.8600,6.9400,6.7800,6.7900,6.9900,18035436,123814462.7800
2019-03-26,sz.002091,6.8100,6.8500,6.5600,6.5600,6.7900,17475489,116466791.9400
2019-03-27,sz.002091,6.6100,6.6500,6.4700,6.6300,6.5600,11172505,73397462.3400
2019-03-28,sz.002091,6.6100,6.6600,6.5100,6.5300,6.6300,9550879,62905061.3800
2019-03-29,sz.002091,6.5100,6.7100,6.4300,6.7100,6.5300,16299343,107477605.1200
2019-04-01,sz.002091,6.7500,6.9800,6.7200,6.9500,6.7100,29597156,203949548.0100
2019-04-02,sz.002091,7.0000,7.0200,6.8800,6.9500,6.9500,22348992,155269368.6200
2019-04-03,sz.002091,6.9500,7.0700,6.9100,7.0200,6.9500,17994754,125914697.2500
2019-04-04,sz.002091,7.0600,7.2800,7.0200,7.0900,7.0200,28408570,202392446.7100
2019-04-08,sz.002091,7.2500,7.7500,6.9100,7.6000,7.0900,55212983,404868226.7200
2019-04-09,sz.002091,7.4600,7.4900,7.2900,7.3700,7.6000,36639949,270879276.8900
2019-04-10,sz.002091,7.2500,7.8700,7.2500,7.7000,7.3700,51499132,393887766.9200
2019-04-11,sz.002091,8.0000,8.4300,7.6600,7.7700,7.7000,61013395,489522324.8500
2019-04-12,sz.002091,7.5600,7.8900,7.5300,7.5800,7.7700,26826237,205596320.8300
2019-04-15,sz.002091,7.6800,7.7300,7.3200,7.3300,7.5800,26084936,196283160.7500
2019-04-16,sz.002091,7.3100,7.4700,7.2500,7.4400,7.3300,17057701,125789262.3200
2019-04-17,sz.002091,7.4400,7.6500,7.4000,7.5200,7.4400,22340983,168572510.4100
2019-04-18,sz.002091,7.4800,7.5300,7.2800,7.3100,7.5200,21483107,158326029.8100
2019-04-19,sz.002091,7.3400,7.6000,7.2600,7.4700,7.3100,21889670,163152566.1600
