date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002227,10.1500,10.2900,10.1400,10.2100,10.1700,719900,7347507.9800
2019-01-03,sz.002227,10.1900,10.3200,10.0800,10.1900,10.2100,933500,9553824.0000
2019-01-04,sz.002227,10.0900,10.5200,9.7600,10.4200,10.1900,1589500,16302620.0000
2019-01-07,sz.002227,10.5600,11.4600,10.4200,11.1500,10.4200,3909772,43145387.9600
2019-01-08,sz.002227,11.0000,11.1400,10.8200,10.8400,11.1500,2533121,27697562.1700
2019-01-09,sz.002227,10.8700,11.3900,10.7600,10.9400,10.8400,3545300,39456816.0200
2019-01-10,sz.002227,10.8800,11.5700,10.8200,11.5300,10.9400,4705290,53005516.0100
2019-01-11,sz.002227,11.3700,11.4800,11.1000,11.3300,11.5300,3813604,42972447.0200
2019-01-14,sz.002227,11.3000,11.4400,11.0100,11.0600,11.3300,1897309,21092549.4500
2019-01-15,sz.002227,11.0600,11.3400,11.0500,11.2700,11.0600,1920109,21549830.4500
2019-01-16,sz.002227,11.1100,11.3100,11.0600,11.0700,11.2700,1417562,15809095.1000
2019-01-17,sz.002227,11.0500,11.1000,10.8300,10.9000,11.0700,1318800,14406806.0000
2019-01-18,sz.002227,10.9100,11.3600,10.7900,11.3300,10.9000,2539909,28279221.7900
2019-01-21,sz.002227,12.0000,12.3900,11.4000,11.4300,11.3300,5453190,64355377.9400
2019-01-22,sz.002227,11.3300,11.4300,11.0300,11.1200,11.4300,2663202,29706191.5500
2019-01-23,sz.002227,11.0400,11.7900,10.9100,11.5400,11.1200,3416510,38858971.8200
2019-01-24,sz.002227,11.4000,11.5400,11.2500,11.2900,11.5400,2302201,26144245.0900
2019-01-25,sz.002227,11.3000,11.3000,11.1100,11.1500,11.2900,1401760,15686375.5800
2019-01-28,sz.002227,11.1600,11.3500,11.1100,11.1600,11.1500,1159445,13001528.4700
2019-01-29,sz.002227,11.2000,11.2000,10.1500,10.4400,11.1600,2105562,22306337.2400
2019-01-30,sz.002227,10.4700,10.5800,10.2200,10.2300,10.4400,1052260,10950710.2000
2019-01-31,sz.002227,10.2500,10.4500,10.0300,10.1700,10.2300,1332015,13681386.5000
2019-02-01,sz.002227,10.2600,10.4500,10.2500,10.4200,10.1700,710800,7374588.0000
2019-02-11,sz.002227,10.8900,10.8900,10.5100,10.7100,10.4200,1169817,12537954.1300
2019-02-12,sz.002227,10.7500,11.7800,10.7500,11.7800,10.7100,3801921,43904180.3100
2019-02-13,sz.002227,12.1500,12.9600,11.8200,12.9600,11.7800,15114219,189355048.3400
2019-02-14,sz.002227,12.7200,12.8600,12.3700,12.4800,12.9600,10443030,131283293.6100
2019-02-15,sz.002227,12.2000,12.5700,12.1800,12.3000,12.4800,6017314,74229313.3900
2019-02-18,sz.002227,12.5000,12.7600,12.3600,12.6500,12.3000,6881425,86483228.3500
2019-02-19,sz.002227,12.7300,12.7400,12.2600,12.4300,12.6500,6576786,81881400.6800
2019-02-20,sz.002227,12.5200,12.7300,12.3100,12.3900,12.4300,4750954,59485221.6900
2019-02-21,sz.002227,12.3300,13.3300,12.1000,12.5300,12.3900,8341852,105611265.0700
2019-02-22,sz.002227,12.3800,12.4800,12.1100,12.4800,12.5300,5859239,72015981.6700
2019-02-25,sz.002227,12.5500,13.3500,12.4100,13.0900,12.4800,8372958,107402898.1200
2019-02-26,sz.002227,13.1100,14.1400,13.1100,13.1800,13.0900,8753655,117683373.9300
2019-02-27,sz.002227,13.1000,13.8200,12.9500,13.3400,13.1800,6006921,80013700.7700
2019-02-28,sz.002227,13.2100,13.6600,13.0700,13.4900,13.3400,3852912,51179640.3600
2019-03-01,sz.002227,13.4300,13.7800,13.3000,13.5200,13.4900,4201778,56710770.5000
2019-03-04,sz.002227,13.7300,14.5300,13.6600,14.1900,13.5200,9728666,137574575.2100
2019-03-05,sz.002227,14.0000,14.2500,13.6700,14.2300,14.1900,6661302,92814321.8800
2019-03-06,sz.002227,14.3900,15.1800,13.8600,14.5000,14.2300,8445062,122161173.5500
2019-03-07,sz.002227,14.2900,14.4700,14.0500,14.2700,14.5000,6339530,90411740.6600
2019-03-08,sz.002227,13.8400,14.1300,13.2800,13.3500,14.2700,4760302,65703397.6800
