date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000630,1.9700,1.9800,1.9500,1.9500,1.9700,15599321,30621842.3500
2019-01-03,sz.000630,1.9600,1.9700,1.9500,1.9600,1.9500,17364218,34055920.1300
2019-01-04,sz.000630,1.9500,2.0000,1.9400,2.0000,1.9600,32180309,63655059.6500
2019-01-07,sz.000630,2.0100,2.0400,2.0000,2.0300,2.0000,41607980,84004327.8000
2019-01-08,sz.000630,2.0200,2.0300,2.0000,2.0200,2.0300,26882971,54130150.7100
2019-01-09,sz.000630,2.0100,2.0400,2.0100,2.0200,2.0200,52275794,105903364.2600
2019-01-10,sz.000630,2.0200,2.0200,2.0000,2.0000,2.0200,31590038,63394514.1400
2019-01-11,sz.000630,2.0000,2.0200,2.0000,2.0200,2.0000,31446557,63214980.0500
2019-01-14,sz.000630,2.0100,2.0300,2.0100,2.0300,2.0200,36143094,73145999.5200
2019-01-15,sz.000630,2.0200,2.0300,2.0100,2.0200,2.0300,30091900,60830102.1800
2019-01-16,sz.000630,2.0200,2.0300,2.0100,2.0200,2.0200,23500576,47437304.7600
2019-01-17,sz.000630,2.0200,2.0600,2.0000,2.0300,2.0200,64154470,130299664.0000
2019-01-18,sz.000630,2.0200,2.0800,2.0100,2.0600,2.0300,105037925,215807272.7000
2019-01-21,sz.000630,2.0600,2.0700,2.0400,2.0500,2.0600,60035614,123439353.1800
2019-01-22,sz.000630,2.0600,2.0600,2.0200,2.0300,2.0500,31223251,63502604.5300
2019-01-23,sz.000630,2.0200,2.0300,2.0100,2.0200,2.0300,21211100,42832816.0000
2019-01-24,sz.000630,2.0200,2.0300,2.0100,2.0200,2.0200,27602695,55672008.6600
2019-01-25,sz.000630,2.0200,2.0200,2.0000,2.0100,2.0200,27991028,56349644.2800
2019-01-28,sz.000630,2.0200,2.0300,2.0000,2.0000,2.0100,22119745,44572299.7000
2019-01-29,sz.000630,2.0000,2.0100,1.9500,1.9900,2.0000,40937846,80891270.6400
2019-01-30,sz.000630,1.9800,1.9900,1.9700,1.9700,1.9900,18607405,36832079.9000
2019-01-31,sz.000630,1.9800,2.0000,1.9600,1.9800,1.9700,36326080,72002412.6000
2019-02-01,sz.000630,1.9700,2.0100,1.9700,2.0100,1.9800,30008480,59791181.0000
2019-02-11,sz.000630,2.0100,2.0400,2.0100,2.0400,2.0100,37641388,76308055.6500
2019-02-12,sz.000630,2.0300,2.0500,2.0200,2.0500,2.0400,41160133,83936978.1200
2019-02-13,sz.000630,2.0500,2.0900,2.0400,2.0900,2.0500,96605340,200087548.6800
2019-02-14,sz.000630,2.0800,2.0900,2.0600,2.0700,2.0900,51374197,106316620.8300
2019-02-15,sz.000630,2.0700,2.0800,2.0500,2.0500,2.0700,35677133,73678812.9800
2019-02-18,sz.000630,2.0600,2.1200,2.0600,2.1100,2.0500,97847052,204167227.3500
2019-02-19,sz.000630,2.1000,2.1200,2.0800,2.1000,2.1100,70484411,147939129.1000
2019-02-20,sz.000630,2.1100,2.1700,2.1100,2.1400,2.1000,111037456,237585609.9200
