date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300490,13.0500,13.0700,12.5800,12.6000,13.1000,5655439,72123044.4700
2019-01-03,sz.300490,12.6600,12.8200,12.4800,12.6100,12.6000,3784090,47864016.0000
2019-01-04,sz.300490,12.5500,13.8700,12.1900,13.3500,12.6100,17535161,231523277.5700
2019-01-07,sz.300490,13.3500,13.9500,13.2200,13.4800,13.3500,17738918,240633345.4700
2019-01-08,sz.300490,13.5200,13.9600,13.3000,13.6800,13.4800,15490041,211979876.2700
2019-01-09,sz.300490,13.5300,15.0300,13.4600,14.8300,13.6800,20575547,289072290.6600
2019-01-10,sz.300490,14.4000,14.4000,13.8800,13.9200,14.8300,12627433,178563658.6100
2019-01-11,sz.300490,13.9200,14.3500,13.5500,14.2300,13.9200,14333004,202029074.5700
2019-01-14,sz.300490,14.1900,14.5100,14.0100,14.3300,14.2300,10460180,149785334.0500
2019-01-15,sz.300490,14.0600,14.7000,13.9800,14.5200,14.3300,12691305,182258830.2400
2019-01-16,sz.300490,14.7000,14.7500,14.1400,14.5000,14.5200,11567885,167105062.5000
2019-01-17,sz.300490,14.4500,14.4500,13.9500,14.1400,14.5000,7253691,103067281.9100
2019-01-18,sz.300490,14.1000,14.2900,13.8700,14.1100,14.1400,5152141,72551731.2700
2019-01-21,sz.300490,14.1100,14.4600,14.0200,14.3600,14.1100,12590024,179816239.8200
2019-01-22,sz.300490,14.3000,14.5700,13.9500,14.3700,14.3600,8579493,123146442.1800
2019-01-23,sz.300490,14.3000,14.4100,14.1700,14.2700,14.3700,5312108,75905530.0000
2019-01-24,sz.300490,14.3300,14.4700,14.0200,14.0500,14.2700,9242600,131494230.0000
2019-01-25,sz.300490,14.1000,14.5900,14.0800,14.0800,14.0500,13362593,190811303.6700
2019-01-28,sz.300490,14.1300,14.2900,13.1000,13.1000,14.0800,6534100,89082339.9200
2019-01-29,sz.300490,13.1000,13.3900,11.7900,11.7900,13.1000,9362202,113272417.6600
2019-01-30,sz.300490,11.8000,11.9700,11.6100,11.7900,11.7900,3976947,46901227.8100
2019-01-31,sz.300490,11.7300,11.8800,11.3800,11.3800,11.7900,3570800,41828151.0000
2019-02-01,sz.300490,11.5000,11.8500,11.5000,11.7400,11.3800,2454300,28874770.0000
2019-02-11,sz.300490,11.9200,12.0900,11.8300,11.9900,11.7400,3932600,47037158.6100
2019-02-12,sz.300490,11.9600,12.3000,11.9400,12.1500,11.9900,3963139,48189742.1200
2019-02-13,sz.300490,12.2500,12.3100,11.9700,12.2100,12.1500,5674798,69061799.1100
2019-02-14,sz.300490,12.1900,12.2900,12.0500,12.2200,12.2100,3736839,45537093.9500
2019-02-15,sz.300490,12.2200,12.2500,11.9500,12.0300,12.2200,3684585,44608106.2600
2019-02-18,sz.300490,12.0000,12.3900,12.0000,12.3700,12.0300,5309939,65156596.0200
2019-02-19,sz.300490,12.3900,12.4400,12.1300,12.2800,12.3700,4438965,54520437.7500
2019-02-20,sz.300490,12.2900,12.3500,12.1500,12.2300,12.2800,3046141,37319876.5100
2019-02-21,sz.300490,12.2300,12.5200,12.1600,12.3600,12.2300,6400467,79242421.6600
2019-02-22,sz.300490,12.4100,12.6600,12.2900,12.6500,12.3600,5733407,71672897.7000
2019-02-25,sz.300490,12.8600,13.3000,12.7700,13.2500,12.6500,10683611,139285503.1200
2019-02-26,sz.300490,13.2000,13.2500,12.8700,12.9900,13.2500,8294665,108131134.7500
2019-02-27,sz.300490,13.0800,13.3700,12.9000,13.0600,12.9900,6241402,82018051.1200
2019-02-28,sz.300490,13.1300,13.2600,12.9800,13.2500,13.0600,5126467,67464571.8100
2019-03-01,sz.300490,13.2200,13.4800,13.1600,13.3100,13.2500,5154700,68547932.0000
2019-03-04,sz.300490,13.3600,13.6000,13.2300,13.3100,13.3100,7939502,106493719.6900
2019-03-05,sz.300490,13.2800,13.4700,13.1800,13.4600,13.3100,7162100,95157100.0000
2019-03-06,sz.300490,13.4900,14.1500,13.4100,13.9500,13.4600,11908500,164051494.9800
2019-03-07,sz.300490,13.8300,13.9800,13.6700,13.8800,13.9500,8438900,116564418.0000
2019-03-08,sz.300490,13.5800,13.7500,12.6000,12.6100,13.8800,7953100,105855836.0000
2019-03-11,sz.300490,12.7200,13.8700,12.7200,13.8700,12.6100,9202694,123624180.5200
2019-03-12,sz.300490,14.3000,14.4700,13.8100,14.0700,13.8700,13838083,195954306.9800
2019-03-13,sz.300490,14.2000,14.6800,13.8500,14.2800,14.0700,13062320,187766242.6000
2019-03-14,sz.300490,14.2100,14.4000,13.2300,13.7900,14.2800,7974120,110303507.8000
2019-03-15,sz.300490,13.9700,14.1300,13.4900,13.9500,13.7900,5454421,75553389.9600
2019-03-18,sz.300490,14.0000,14.3500,13.9100,14.1900,13.9500,6808021,96132052.2100
2019-03-19,sz.300490,14.1600,14.3000,13.7300,13.9100,14.1900,5678883,79267948.2000
2019-03-20,sz.300490,13.8900,13.8900,13.4500,13.7000,13.9100,4315167,58941137.2300
2019-03-21,sz.300490,13.7500,13.9800,13.7000,13.8500,13.7000,4424900,61302653.1700
2019-03-22,sz.300490,13.8500,13.9900,13.4300,13.7300,13.8500,3991567,54587902.5200
2019-03-25,sz.300490,13.5000,14.3500,13.3000,14.1200,13.7300,8629551,121627536.4400
2019-03-26,sz.300490,14.1500,14.3500,13.4000,13.4800,14.1200,5646059,78155099.4100
