date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000800,6.6800,6.7300,6.6100,6.6400,6.6200,4489899,29945949.3300
2019-01-03,sz.000800,6.6400,6.8100,6.6300,6.7100,6.6400,4458628,30009561.1900
2019-01-04,sz.000800,6.6400,6.8900,6.6000,6.8700,6.7100,6331346,43029538.6900
2019-01-07,sz.000800,6.9200,7.2500,6.9200,7.2400,6.8700,13037601,92599789.6100
2019-01-08,sz.000800,7.1700,7.2000,7.0700,7.1000,7.2400,8587518,61271814.9400
2019-01-09,sz.000800,7.3300,7.3900,7.1200,7.1300,7.1000,12666511,92091517.5800
2019-01-10,sz.000800,7.0700,7.2900,7.0400,7.1700,7.1300,9628964,68783724.2500
2019-01-11,sz.000800,7.1200,7.1900,7.0800,7.1100,7.1700,5769400,41140356.2700
2019-01-14,sz.000800,7.1100,7.2300,7.0800,7.1300,7.1100,4801658,34336543.1600
2019-01-15,sz.000800,7.1100,7.2800,7.1100,7.2000,7.1300,6764239,48686210.5200
2019-01-16,sz.000800,7.2200,7.2500,7.1800,7.1900,7.2000,4384115,31616893.7000
2019-01-17,sz.000800,7.1900,7.2000,7.0100,7.0300,7.1900,6135747,43554802.0900
2019-01-18,sz.000800,7.0500,7.1300,7.0400,7.0900,7.0300,5503000,39014280.9100
2019-01-21,sz.000800,7.1400,7.2300,7.1200,7.1600,7.0900,5734865,41152755.9900
2019-01-22,sz.000800,7.1300,7.2200,7.0600,7.0800,7.1600,5284596,37695478.9500
2019-01-23,sz.000800,7.0700,7.1300,7.0100,7.1300,7.0800,3649645,25820333.6700
2019-01-24,sz.000800,7.1000,7.1300,7.0100,7.0600,7.1300,3979137,28124196.8500
2019-01-25,sz.000800,7.0900,7.0900,7.0000,7.0100,7.0600,4896103,34446202.0200
2019-01-28,sz.000800,7.0400,7.0800,6.8200,6.8500,7.0100,4932421,34313434.9300
2019-01-29,sz.000800,6.8900,6.8900,6.6800,6.7700,6.8500,5723890,38711188.5200
2019-01-30,sz.000800,6.7500,6.9100,6.7200,6.7400,6.7700,5260426,35924685.8400
2019-01-31,sz.000800,6.7400,6.8400,6.7000,6.7000,6.7400,4780700,32317160.8100
2019-02-01,sz.000800,6.6900,6.8900,6.6900,6.8900,6.7000,4823334,32926733.4100
2019-02-11,sz.000800,6.9600,7.1400,6.9400,7.1300,6.8900,9156404,64776757.0000
2019-02-12,sz.000800,7.1500,7.2300,7.0900,7.1800,7.1300,7868848,56378653.1200
2019-02-13,sz.000800,7.1800,7.4500,7.1500,7.3600,7.1800,14021478,102647547.2000
2019-02-14,sz.000800,7.3600,7.4000,7.2900,7.3200,7.3600,8941385,65572250.1300
2019-02-15,sz.000800,7.3000,7.3900,7.2800,7.2900,7.3200,6906901,50599861.4100
2019-02-18,sz.000800,7.3100,7.4400,7.3100,7.4100,7.2900,12716108,93915265.0300
2019-02-19,sz.000800,7.3900,7.5200,7.3000,7.3500,7.4100,12193462,90109802.0800
2019-02-20,sz.000800,7.3500,7.6000,7.3100,7.5500,7.3500,19857484,148457263.6500
2019-02-21,sz.000800,7.5200,8.2000,7.4800,7.9200,7.5500,37481733,297468478.3900
2019-02-22,sz.000800,7.8600,8.0600,7.7600,8.0500,7.9200,19418683,154162045.6100
2019-02-25,sz.000800,8.0500,8.3800,8.0400,8.3000,8.0500,26512572,218575877.0600
2019-02-26,sz.000800,8.3200,8.4800,8.1600,8.3100,8.3000,26582484,221257218.5400
2019-02-27,sz.000800,8.2900,8.4200,8.1300,8.2500,8.3100,16955293,140780214.6100
2019-02-28,sz.000800,8.2500,8.5600,8.2100,8.4000,8.2500,16900479,141907584.3700
2019-03-01,sz.000800,8.4400,8.4600,8.3000,8.4100,8.4000,10935340,91456134.2700
2019-03-04,sz.000800,8.4600,8.6300,8.3400,8.4000,8.4100,21278658,181449239.3700
