date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600166,1.8400,1.8400,1.7800,1.7800,1.8200,24548600,44254803.0000
2019-01-03,sh.600166,1.7900,1.8100,1.7800,1.7800,1.7800,15604230,27940567.0000
2019-01-04,sh.600166,1.7600,1.8000,1.7400,1.8000,1.7800,24984488,44337919.0000
2019-01-07,sh.600166,1.8000,1.8300,1.7900,1.8100,1.8000,26107705,47263675.0000
2019-01-08,sh.600166,1.8100,1.8200,1.8000,1.8100,1.8100,18282840,33106075.0000
2019-01-09,sh.600166,1.8400,1.9100,1.8400,1.8400,1.8100,64942741,120816900.0000
2019-01-10,sh.600166,1.8300,1.8400,1.8100,1.8100,1.8400,26597172,48465809.0000
2019-01-11,sh.600166,1.8100,1.9300,1.8100,1.8700,1.8100,66935391,124882928.0000
2019-01-14,sh.600166,1.8700,1.9200,1.8400,1.8900,1.8700,75943065,143299595.0000
2019-01-15,sh.600166,1.8800,1.8900,1.8500,1.8700,1.8900,54578041,101847892.0000
2019-01-16,sh.600166,1.8800,1.8800,1.8400,1.8600,1.8700,31343715,58303685.0000
2019-01-17,sh.600166,1.8500,1.9100,1.8400,1.8700,1.8600,46494702,87141004.0000
2019-01-18,sh.600166,1.8700,1.8700,1.8400,1.8600,1.8700,34830404,64635263.0000
2019-01-21,sh.600166,1.8600,1.8800,1.8400,1.8600,1.8600,22058576,41034034.0000
2019-01-22,sh.600166,1.8500,1.8600,1.8300,1.8300,1.8600,22234200,40913141.0000
2019-01-23,sh.600166,1.8300,1.8600,1.8300,1.8400,1.8300,21284775,39221444.0000
2019-01-24,sh.600166,1.8300,1.8500,1.8100,1.8400,1.8400,23665681,43245633.0000
2019-01-25,sh.600166,1.8300,1.8300,1.8100,1.8200,1.8400,23807610,43362508.0000
2019-01-28,sh.600166,1.7800,1.8000,1.7600,1.7600,1.8200,37382081,66563500.0000
2019-01-29,sh.600166,1.7600,1.7700,1.7100,1.7300,1.7600,24787700,43110606.0000
2019-01-30,sh.600166,1.7300,1.7500,1.7200,1.7200,1.7300,14880889,25810745.0000
2019-01-31,sh.600166,1.7200,1.7400,1.7000,1.7100,1.7200,18638701,32062981.0000
2019-02-01,sh.600166,1.7200,1.7600,1.7100,1.7500,1.7100,18705108,32463341.0000
2019-02-11,sh.600166,1.7500,1.7800,1.7500,1.7800,1.7500,20136800,35587621.0000
2019-02-12,sh.600166,1.7800,1.8000,1.7700,1.7900,1.7800,25663158,45879601.0000
2019-02-13,sh.600166,1.7900,1.8400,1.7800,1.8300,1.7900,47382006,85913748.0000
