date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000550,12.7900,13.1200,12.6700,12.7500,12.7600,2383642,30671347.4000
2019-01-03,sz.000550,12.7500,12.8800,12.2000,12.3300,12.7500,5458562,68176532.1500
2019-01-04,sz.000550,12.3200,13.3300,12.3200,13.1300,12.3300,7724712,100080338.8300
2019-01-07,sz.000550,13.2900,14.4400,13.0200,14.4300,13.1300,8963347,123480093.0100
2019-01-08,sz.000550,14.3800,15.1600,14.1000,14.8000,14.4300,9144223,134037805.4000
2019-01-09,sz.000550,15.0000,16.1000,15.0000,15.7900,14.8000,11327025,176759657.0000
2019-01-10,sz.000550,15.2100,16.0000,14.8100,15.0100,15.7900,5721398,88076887.5800
2019-01-11,sz.000550,15.3500,15.4900,14.4800,14.6700,15.0100,4105443,60447563.7200
2019-01-14,sz.000550,14.7600,14.8100,14.3600,14.5000,14.6700,3423190,49972280.6000
2019-01-15,sz.000550,14.4100,14.9900,14.4100,14.7100,14.5000,2806291,41247148.7300
2019-01-16,sz.000550,14.7000,15.5700,14.5500,15.0700,14.7100,3661388,55416674.0700
2019-01-17,sz.000550,15.1000,15.2000,14.4900,14.8000,15.0700,2998847,44277889.7100
2019-01-18,sz.000550,14.5200,14.8800,14.1200,14.8800,14.8000,3877201,56036510.9300
2019-01-21,sz.000550,14.7100,14.7100,14.3800,14.5100,14.8800,2685660,39041761.4500
2019-01-22,sz.000550,14.5500,14.6000,14.1000,14.3900,14.5100,1437338,20602579.7000
2019-01-23,sz.000550,14.5000,15.6800,14.3000,15.0000,14.3900,6849258,103350355.1700
2019-01-24,sz.000550,15.2000,15.2500,14.5700,14.9700,15.0000,3811093,56944266.4100
2019-01-25,sz.000550,14.8600,15.1500,14.7500,15.1400,14.9700,1768934,26513624.4800
2019-01-28,sz.000550,15.1400,15.5100,14.8000,15.0700,15.1400,2464988,37364106.8100
2019-01-29,sz.000550,15.1000,15.1500,14.8300,15.1300,15.0700,1150000,17284692.8600
2019-01-30,sz.000550,15.1300,15.7300,14.8600,15.6800,15.1300,3904862,60190284.1400
2019-01-31,sz.000550,15.7400,15.7400,15.0000,15.5800,15.6800,2667800,40869488.0000
2019-02-01,sz.000550,15.3700,15.7500,15.1000,15.4600,15.5800,3030721,46543106.5100
2019-02-11,sz.000550,15.4000,16.2900,15.2000,16.2900,15.4600,5102226,81397060.4700
2019-02-12,sz.000550,16.2800,17.0800,16.1500,16.7000,16.2900,3604502,60246869.2300
2019-02-13,sz.000550,16.5700,16.9300,16.0900,16.8000,16.7000,3256486,53659042.4000
2019-02-14,sz.000550,16.5000,16.5900,16.3400,16.4000,16.8000,3676165,60397230.7000
2019-02-15,sz.000550,16.2600,16.6400,16.1600,16.4700,16.4000,2088822,34196584.1000
2019-02-18,sz.000550,16.5200,16.6300,16.3300,16.4900,16.4700,2618500,43056347.9800
2019-02-19,sz.000550,16.4800,16.4800,16.0500,16.4000,16.4900,3933879,64160709.3900
2019-02-20,sz.000550,16.0100,16.6300,15.9700,16.3600,16.4000,2230600,36116768.0000
2019-02-21,sz.000550,16.2700,16.8000,16.1700,16.6500,16.3600,3187701,52984338.0500
2019-02-22,sz.000550,16.5500,17.8800,16.5500,17.6500,16.6500,4705006,81349930.1200
2019-02-25,sz.000550,17.6400,18.2900,17.4000,18.2500,17.6500,4741203,85305753.3400
2019-02-26,sz.000550,18.0300,18.7400,17.7000,18.4700,18.2500,4216524,77630137.1100
2019-02-27,sz.000550,18.7000,18.9000,17.3000,18.4900,18.4700,4316796,77449418.0600
2019-02-28,sz.000550,18.4100,18.7800,17.6100,18.4600,18.4900,4834390,87171110.1800
2019-03-01,sz.000550,18.3500,20.2200,17.0600,20.2000,18.4600,9205687,169440037.8700
2019-03-04,sz.000550,19.7500,21.0000,19.5800,19.8900,20.2000,7382067,149749705.2900
2019-03-05,sz.000550,19.8600,20.8900,19.7100,20.4700,19.8900,4468360,90870315.6600
2019-03-06,sz.000550,20.3200,21.2400,20.1000,21.0000,20.4700,3727696,77745523.7100
2019-03-07,sz.000550,20.9300,21.3700,20.5500,21.3500,21.0000,2479895,51982942.5000
2019-03-08,sz.000550,21.0200,21.7000,20.0900,21.3800,21.3500,4529668,94064111.4200
2019-03-11,sz.000550,21.1300,22.0200,19.6800,21.3900,21.3800,6722279,139657558.5800
2019-03-12,sz.000550,21.2800,21.2900,20.6200,20.7900,21.3900,4661110,97609485.0000
2019-03-13,sz.000550,20.7900,21.1800,20.4800,20.5800,20.7900,2442382,50881285.2300
2019-03-14,sz.000550,20.4600,20.6500,19.9600,20.1300,20.5800,1614663,32721415.4000
2019-03-15,sz.000550,20.1800,20.9600,20.1800,20.7600,20.1300,1457802,30121799.8600
2019-03-18,sz.000550,20.7600,21.9600,20.5800,21.7100,20.7600,2466145,52941602.4300
2019-03-19,sz.000550,21.7100,21.8100,20.9800,21.1900,21.7100,2639776,56053960.5700
2019-03-20,sz.000550,21.2200,21.5000,20.6500,20.9600,21.1900,1326451,27814975.8500
2019-03-21,sz.000550,20.9500,21.5800,20.8400,21.2200,20.9600,1447924,30830229.3400
2019-03-22,sz.000550,21.2200,22.6000,21.1300,22.5500,21.2200,3828315,84491167.6100
2019-03-25,sz.000550,21.9600,22.5500,21.5700,21.9000,22.5500,2161555,47313688.2000
2019-03-26,sz.000550,21.9000,22.0900,21.2500,21.6100,21.9000,1632201,35380614.6200
2019-03-27,sz.000550,21.6100,21.8000,21.2000,21.4800,21.6100,1016869,21830375.5700
2019-03-28,sz.000550,21.2000,21.8900,21.1800,21.3700,21.4800,1364969,29460512.4900
2019-03-29,sz.000550,21.3700,22.8500,21.3300,22.6900,21.3700,2592279,57701723.9700
2019-04-01,sz.000550,22.6200,23.8800,22.3300,23.6800,22.6900,3523611,81933483.2900
2019-04-02,sz.000550,23.6000,25.5200,23.3000,25.1000,23.6800,5164177,128442988.3900
2019-04-03,sz.000550,25.1500,26.3300,24.5200,25.8600,25.1000,3351234,85022810.2800
2019-04-04,sz.000550,25.9600,26.8000,25.2000,26.6800,25.8600,4417355,114104003.4200
2019-04-08,sz.000550,26.6800,28.1300,25.8000,28.1000,26.6800,4950992,134215471.0400
2019-04-09,sz.000550,27.9800,30.2400,27.5000,29.3800,28.1000,4870636,142209709.3200
